date,MBS
2001-06-01,6.5889360247895015
2001-07-01,6.641802758880016
2001-08-01,6.732554755877436
2001-09-01,6.607318732203193
2001-10-01,6.5374878594160135
2001-11-01,6.338828335624434
2001-12-01,6.183451836750579
2002-01-01,6.2230290084232225
2002-02-01,6.369057988652514
2002-03-01,6.481511570260087
2002-04-01,6.391033090771051
2002-05-01,6.547491507727853
2002-06-01,6.581315496543635
2002-07-01,6.41437203189434
2002-08-01,6.278168885996205
2002-09-01,6.086347501862666
2002-10-01,6.011216937561499
2002-11-01,5.80394748540393
2002-12-01,5.8299900076332785
2003-01-01,5.746440930610647
2003-02-01,5.762660249940904
2003-03-01,5.739822992033411
2003-04-01,5.678700752921679
2003-05-01,5.5431610353743785
2003-06-01,5.403232278502176
2003-07-01,5.306341947533484
2003-08-01,5.189173433154993
2003-09-01,5.2770587497093375
2003-10-01,5.462063661795645
2003-11-01,5.550916657956666
2003-12-01,5.62352010751983
2004-01-01,5.735769429905219
2004-02-01,5.573384765192735
2004-03-01,5.58519937489646
2004-04-01,5.538044439462151
2004-05-01,5.470889743288561
2004-06-01,5.6077632885767335
2004-07-01,5.884171510576898
2004-08-01,5.976113246326884
2004-09-01,5.894657201260768
2004-10-01,5.7506940360598024
2004-11-01,5.640516985405984
2004-12-01,5.666459915472896
2005-01-01,5.6676095774507935
2005-02-01,5.570997185829115
2005-03-01,5.554235364385053
2005-04-01,5.559546407369655
2005-05-01,5.563580277888842
2005-06-01,5.605954225965875
2005-07-01,5.472965611940224
2005-08-01,5.419499723050011
2005-09-01,5.503301095787381
2005-10-01,5.491417277239471
2005-11-01,5.554485932354117
2005-12-01,5.6628795032345085
2006-01-01,5.821564122145023
2006-02-01,5.9217819438428085
2006-03-01,5.890653779759171
2006-04-01,5.877308269423061
2006-05-01,6.0093779079192435
2006-06-01,6.106337324384897
2006-07-01,6.234936707058304
2006-08-01,6.234539055549062
2006-09-01,6.153352476371152
2006-10-01,6.054710511751351
2006-11-01,5.963187207683304
2006-12-01,5.8706110062281205
2007-01-01,5.80099902653654
2007-02-01,5.763095267284042
2007-03-01,5.823750775370966
2007-04-01,5.788027109573823
2007-05-01,5.708289107142411
2007-06-01,5.84446033703054
2007-07-01,5.971779407922431
2007-08-01,6.102578610250558
2007-09-01,6.142140930989598
2007-10-01,6.202412047678095
2007-11-01,5.994341896965538
2007-12-01,5.8613640652027845
2008-01-01,5.757364263373771
2008-02-01,5.554117428058968
2008-03-01,5.475226984692894
2008-04-01,5.467335201145863
2008-05-01,5.524161882727756
2008-06-01,5.643929205983161
2008-07-01,5.687351652648947
2008-08-01,5.8959316156995945
2008-09-01,5.942655264712101
2008-10-01,5.778544027059942
2008-11-01,5.646862537997098
2008-12-01,5.17208756701855
2009-01-01,4.982330133644413
2009-02-01,4.512510695349666
2009-03-01,4.448366710095396
2009-04-01,4.4429529934574346
2009-05-01,4.933561046144787
2009-06-01,4.671078183920633
2009-07-01,4.443036499525571
2009-08-01,4.648334805894873
2009-09-01,4.8571041853907495
2009-10-01,4.8324590505359915
2009-11-01,4.8643149905519785
2009-12-01,4.814384983252687
2010-01-01,4.869425136013196
2010-02-01,4.776235714539965
2010-03-01,4.813934040714135
2010-04-01,4.898279447958076
2010-05-01,4.858282217089165
2010-06-01,4.858379795591929
2010-07-01,4.772073254559123
2010-08-01,4.564020630212228
2010-09-01,4.300741559351119
2010-10-01,4.2009864436640765
2010-11-01,4.139249279383343
2010-12-01,3.999032227566374
2011-01-01,4.074164752563101
2011-02-01,4.2078190171631125
2011-03-01,4.4579820518185445
2011-04-01,4.65465295070475
2011-05-01,4.621780977270556
2011-06-01,4.607586615359219
2011-07-01,4.493064951084806
2011-08-01,4.320783517420858
2011-09-01,4.164892992891282
2011-10-01,3.8774306314742466
2011-11-01,3.7709051746720768
2011-12-01,3.762890803517879
2012-01-01,3.776912420175662
2012-02-01,3.6633506811736685
2012-03-01,3.5962069806270067
2012-04-01,3.561574473777567
2012-05-01,3.597188737453923
2012-06-01,3.537432378149399
2012-07-01,3.418363930642727
2012-08-01,3.3269569497992375
2012-09-01,3.2726442099622206
2012-10-01,3.147149775790249
2012-11-01,3.0977812529128284
2012-12-01,3.0290892353720316
2013-01-01,3.0192895151529826
2013-02-01,3.015134070899382
2013-03-01,3.048860154344187
2013-04-01,3.067592111555949
2013-05-01,3.114851082549658
2013-06-01,3.1635120660631357
2013-07-01,3.245622554441293
2013-08-01,3.532213779847209
2013-09-01,3.791958238079271
2013-10-01,3.8577441280031755
2013-11-01,3.9070464034344043
2013-12-01,3.9025631789843334
2014-01-01,3.9483767124625464
2014-02-01,3.9898317825475402
2014-03-01,4.015817660631783
2014-04-01,3.9420897315867185
2014-05-01,3.9600664154577085
2014-06-01,3.9073481160232704
2014-07-01,3.877961172204276
2014-08-01,3.821268412401383
2014-09-01,3.7955694305954304
2014-10-01,3.7674705267880246
2014-11-01,3.792512380848024
2014-12-01,3.6549068756290124
2015-01-01,3.516891898938849
2015-02-01,3.469463269821264
2015-03-01,3.310505942778564
2015-04-01,3.2324014819015594
2015-05-01,3.366899449472776
2015-06-01,3.3933713532891567
2015-07-01,3.447838382045811
2015-08-01,3.54760385411694
2015-09-01,3.5599186139653867
2015-10-01,3.5428758021379876
2015-11-01,3.5336443022387636
2015-12-01,3.4952181934275073
2016-01-01,3.474644536351356
2016-02-01,3.426890534150076
2016-03-01,3.4175266010780567
2016-04-01,3.232318835048948
2016-05-01,3.2113114628652895
2016-06-01,3.2213519657716936
2016-07-01,3.137168355717302
2016-08-01,3.1536809289712604
2016-09-01,3.069694304554338
2016-10-01,3.0196960707284672
2016-11-01,3.1103936978475004
2016-12-01,3.2215247358786296
2017-01-01,3.410552971372951
2017-02-01,3.5676081972672486
2017-03-01,3.713753464494491
2017-04-01,3.8614184058693684
2017-05-01,3.853340624456735
2017-06-01,3.824401070548673
2017-07-01,3.7563832286454604
2017-08-01,3.661806611864694
2017-09-01,3.6114398072868417
2017-10-01,3.6563401563567055
2017-11-01,3.5941100967017183
2017-12-01,3.6290348078042665
2018-01-01,3.69078787580061
2018-02-01,3.735912126778704
2018-03-01,3.849642574508674
2018-04-01,3.9687613222006157
2018-05-01,4.0771934589704415
2018-06-01,4.1231518567755225
2018-07-01,4.155518355150732
2018-08-01,4.13196985533309
2018-09-01,4.121461391521961
2018-10-01,4.1746676668039795
2018-11-01,4.211372084633457
2018-12-01,4.248251396594828
2019-01-01,4.178141459743759
2019-02-01,4.07756413370842
2019-03-01,3.8696798294269326
2019-04-01,3.715647029769841
2019-05-01,3.61637431769285
2019-06-01,3.527134224136792
2019-07-01,3.4714865247431947
2019-08-01,3.266720387943749
2019-09-01,3.1189254070239945
2019-10-01,3.047261056329765
2019-11-01,3.041160876547565
2019-12-01,3.0204332222488577
2020-01-01,3.041534240006108
2020-02-01,3.019581657956775
2020-03-01,2.8588173140950692
2020-04-01,2.6844012997202125
2020-05-01,2.5115454248429465
2020-06-01,2.4402764151440515
2020-07-01,2.3638995328374053
2020-08-01,2.259569311934052
2020-09-01,2.144483832821222
2020-10-01,2.068233190078127
2020-11-01,2.0176463474975828
2020-12-01,2.051622560459028
2021-01-01,2.0072377721760506
2021-02-01,2.0067757203559022
2021-03-01,2.0684085671647563
2021-04-01,2.1041395454692733
2021-05-01,2.207137269262642
2021-06-01,2.215603221808671
2021-07-01,2.2195300028898686
2021-08-01,2.1957382575809103
2021-09-01,2.137474265724178
2021-10-01,2.1690273142420238
2021-11-01,2.2037285043933563
2021-12-01,2.2812408701725695
2022-01-01,2.321665638495603
2022-02-01,2.4170568584242575
2022-03-01,2.7406704293685373
2022-04-01,3.2098654651459144
2022-05-01,3.5839084853538337
2022-06-01,4.04053113460685
2022-07-01,4.322063823305723
2022-08-01,4.560360068351638
2022-09-01,4.627375769567301
2022-10-01,4.780659270052022
2022-11-01,5.255693597057649
2022-12-01,5.479025779330764
2023-01-01,5.370965605599627
2023-02-01,5.399147501432295
2023-03-01,5.2504283873730655
2023-04-01,5.185463352969956
2023-05-01,5.432154918563262
2023-06-01,5.36853544825122
2023-07-01,5.477383355322831
2023-08-01,5.7622474808519835
2023-09-01,5.851720199174238
2023-10-01,6.046780714667553
2023-11-01,6.264985113399561
2023-12-01,6.370508001310966
2024-01-01,6.033692923315748
2024-02-01,5.850126556743129
2024-03-01,5.569634758388197
2024-04-01,5.595238207116063
2024-05-01,5.802364019659272
2024-06-01,5.9568272480254105
2024-07-01,5.864620331212391
2024-08-01,5.83591416449301
2024-09-01,5.595770174646796
2024-10-01,5.3270498932702814
2024-11-01,5.145059948399952
2024-12-01,5.441845087251432
2025-01-01,5.46861264634306
2025-02-01,5.781789816785552
2025-03-01,5.824816695176956
2025-04-01,5.605255059724429
2025-05-01,5.7553266555561855
2025-06-01,5.772781059849996
2025-07-01,5.829258004626179
2025-08-01,5.76064091933955
2025-09-01,5.62438944408611
2025-10-01,5.414778385698875
2025-11-01,5.199023609885911
2025-12-01,5.169206312682182
