date,Affordability Index,\hspace{2mm} Monthly Payment (\$),\hspace{4mm} Median Home Price (\$),\hspace{4mm} Mortgage Rate (\%),\hspace{2mm} Median Monthly Earnings (\$)
1997-11-01,75.2724871403006,886.2603688198438,145000.0,7.204999999999999,2221.4770397578272
1997-12-01,75.83814731024269,882.0025043897464,145900.0,7.095000000000001,2227.4182140018884
1998-01-01,77.51262567426855,885.6462485510291,148000.0,6.994,2286.003912587079
1998-02-01,72.63889912067683,938.0955510858282,156000.0,7.0425,2269.1361957592776
1998-03-01,72.942291307213,926.123277297696,152700.0,7.127500000000001,2249.53334417201
1998-04-01,74.94741968538278,898.7420423446862,148000.0,7.140000000000001,2243.034621315625
1998-05-01,72.12092184897372,930.6919693327519,153200.0,7.143999999999999,2235.1746807643044
1998-06-01,75.24812203596271,885.9592931849974,148000.0,6.9975000000000005,2220.0035413155824
1998-07-01,74.72312430557271,893.2147713544767,149900.0,6.952,2222.568486436759
1998-08-01,72.07516368272996,920.2534747410806,154900.0,6.9225,2208.7030800580937
1998-09-01,76.88047544286884,902.245776481552,155000.0,6.722499999999999,2309.8573059319956
1998-10-01,77.74198067098692,898.181575108672,154500.0,6.709999999999999,2325.219607882794
1998-11-01,77.2522950161898,891.8583824015598,151000.0,6.865,2294.3069587692394
1998-12-01,80.29186243711231,889.1063656213414,152500.0,6.7379999999999995,2377.2205998143068
1999-01-01,78.40680150079923,896.9113912959714,153100.0,6.785,2341.7876489242585
1999-02-01,73.67801706720196,939.4917852829467,160000.0,6.807499999999999,2305.0223966260805
1999-03-01,75.18633588923586,945.6749244584364,157300.0,7.04,2367.69102266158
1999-04-01,75.07737565567338,949.3320702907295,159900.0,6.9159999999999995,2373.402903424401
1999-05-01,74.50745303388933,938.0758494322209,154400.0,7.145,2327.4582883834414
1999-06-01,69.95224248152881,1007.3770510877873,159300.0,7.55,2346.5938488090774
1999-07-01,67.36147296832303,1008.4424437180237,158200.0,7.631999999999999,2262.074608140288
1999-08-01,67.7763514925496,1016.7017786790183,154800.0,7.9425,2294.6476259244887
1999-09-01,68.64871201650446,1059.6345078320903,163200.0,7.822500000000001,2422.32672089149
1999-10-01,70.24031913849569,1048.964377998288,161100.0,7.8519999999999985,2453.530436094596
1999-11-01,65.31493780889197,1107.6693046076464,172000.0,7.737500000000001,2409.1668130507924
1999-12-01,68.6337177311656,1079.234506678421,164800.0,7.912000000000001,2466.593487353447
2000-01-01,68.1955758457989,1101.3536216788846,163500.0,8.21,2501.0778998602477
2000-02-01,67.86736185853603,1105.7671635444979,162400.0,8.325,2499.015157311396
2000-03-01,66.89454708931208,1115.2626160587206,165100.0,8.24,2484.3460866434193
2000-04-01,68.44770207585677,1089.389080543461,162600.0,8.1525,2483.0537683500206
2000-05-01,64.93439253079478,1141.3366067019874,164700.0,8.515,2467.929574337428
2000-06-01,65.8625609951331,1086.3517339191221,160100.0,8.288,2382.611914335979
