date,Corporate Equities,Real Estate,Other,US Net Wealth
1999-10-01,181.18670499463192,125.02644146781736,148.96126520668486,455.17441166913414
2000-01-01,188.7025517139815,127.28988353437786,148.49760237244305,464.49003762080247
2000-04-01,177.12619002080464,129.35699843477377,148.71118648831154,455.19437494389
2000-07-01,176.80198950104017,133.11806895896703,148.2687377067531,458.18879616676026
2000-10-01,157.03223459678583,135.69585455526698,146.0237142651257,438.75180341717845
2001-01-01,138.75084513417136,141.99164278228434,151.50690562605544,432.24939354251114
2001-04-01,147.331653929616,144.08709312199264,148.81694499481085,440.2356920464195
2001-07-01,125.07673131396243,147.8472771328984,151.90645988590322,424.8304683327641
2001-10-01,139.17957612543168,149.79741502833133,147.7996972927541,436.7766884465171
2002-01-01,139.20408030787777,151.99897992303056,146.67123846617517,437.8742986970835
2002-04-01,121.89795416010713,153.78616316386007,149.92222244674147,425.6063397707087
2002-07-01,101.23526498446837,156.06260538016977,150.80294682102397,408.1008171856621
2002-10-01,107.18023605079017,158.8358036431627,149.9162088673321,415.932248561285
2003-01-01,102.63733307535648,161.10030589408802,149.18834389687106,412.9259828663156
2003-04-01,117.00594708668066,162.70716639944644,146.5683282054981,426.2814416916252
2003-07-01,118.85928437997144,162.56809112459257,143.86861939249752,425.2959948970616
2003-10-01,129.7536899113626,163.61958146601572,142.56143736184652,435.93470873922485
2004-01-01,132.93451130365236,168.0848918940974,142.34238639212302,443.3617895898727
2004-04-01,132.3902660116579,171.21253812594347,142.16601178173696,445.7688159193383
2004-07-01,128.2172886869056,175.336690096395,144.9079978256536,448.46197660895416
2004-10-01,137.77263643775862,177.88481141936268,145.33253762568435,460.98998548280565
2005-01-01,133.36846217747453,180.28683621562172,146.0344195312927,459.6897179243889
2005-04-01,135.04760940784928,183.9265859897532,147.4500830169897,466.42427841459215
2005-07-01,137.00851016104676,187.48839845139204,149.08726875463853,473.58417736707736
2005-10-01,136.80315912305156,190.56853227404804,149.26111908823972,476.6328104853393
2006-01-01,142.73800734751262,187.75241264901658,149.16973548366224,479.66015548019146
2006-04-01,136.84923841510303,189.06364698710664,151.7628555623676,477.67574096457724
2006-07-01,140.23838033053337,189.91179499513632,151.698203369702,481.8483786953717
2006-10-01,146.92832966275296,188.59989914213836,152.20966326580034,487.7378920706917
2007-01-01,149.35695874919833,184.97541899417763,153.1109549608386,487.4433327042145
2007-04-01,153.08531780335647,182.46388265252205,154.49253101044695,490.0417314663255
2007-07-01,151.85153346406102,179.53455743317633,156.24310076608145,487.6291916633188
2007-10-01,143.0088213040003,175.31588390613206,154.39206559702313,472.7167708071555
2008-01-01,131.04392073783782,169.5780135338446,154.90860595471213,455.5305402263945
2008-04-01,125.51856114958856,164.25925692976065,155.4994345708958,445.27725265024503
2008-07-01,114.505430868208,159.8248915917103,153.27100834089592,427.60133080081425
2008-10-01,93.21830622768336,158.8114121313571,154.6904004453934,406.7201188044339
2009-01-01,83.74242303079876,156.2038325809433,151.70177858598166,391.64803419772375
2009-04-01,96.865116461478,151.49722179651317,147.0130661926416,395.37540445063274
2009-07-01,111.77205267507895,148.35175482781298,143.62189406765174,403.7457015705437
2009-10-01,114.67139081453055,144.10077256894618,138.0578543167207,396.83001770019746
2010-01-01,119.97396477116564,142.65056103750794,135.56696045476312,398.1914862634367
2010-04-01,106.15774442959447,140.90100174276793,135.9723803291453,383.0311265015077
2010-07-01,115.62822889274567,138.4426699226839,135.63109252538385,389.70199134081344
2010-10-01,126.0371845564387,135.31849624618064,147.82313226437432,409.17881306699365
2011-01-01,133.42752423093899,133.18094162843792,146.42050052867975,413.0289663880567
2011-04-01,130.58713206503933,130.52951369750704,145.71208209730344,406.8287278598498
2011-07-01,110.46991630708195,129.15043635861673,142.6509808482791,382.2713335139778
2011-10-01,119.45434675698712,127.15918228580911,141.67549589992186,388.2890249427181
2012-01-01,132.41103492138961,124.20191793975968,137.79279790874307,394.40575076989234
2012-04-01,127.0349226250323,124.31021190384593,135.51848678805572,386.863621316934
2012-07-01,132.79853888047464,125.19543901387912,138.5282711076249,396.52224900197865
2012-10-01,131.43784576995265,125.69569022568791,142.1128535148829,399.24638951052344
2013-01-01,145.4468951547823,126.6076868781343,138.36460530331559,410.4191873362322
2013-04-01,147.9421786061273,129.66766010984603,142.4278725521017,420.03771126807504
2013-07-01,153.61273358870127,131.7768342483867,144.23613697382268,429.6257048109107
2013-10-01,163.3561770726289,131.904117835142,141.5866804242131,436.84697533198397
2014-01-01,168.7566992821963,133.40120660054248,140.31280741688238,442.47071329962114
2014-04-01,172.88819344661087,134.01559082542875,137.8261208089182,444.7299050809578
2014-07-01,169.37975631406204,134.3989921944383,135.69978996000276,439.47853846850313
2014-10-01,175.8429828273982,135.43833186532953,133.19605725276222,444.47737194548995
2015-01-01,175.76842265982467,136.7487272282177,134.39412641904028,446.91127630708263
2015-04-01,172.8987005535733,137.96305798799372,136.91845592923855,447.78021447080556
2015-07-01,158.67560834026298,139.50998134621364,137.4437291574125,435.6293188438891
2015-10-01,165.47813558423786,140.98588472654149,137.05789113473907,443.5219114455184
2016-01-01,165.74620020486955,141.62828398440175,134.19626423133454,441.57074842060587
2016-04-01,167.47473319102667,143.68517626028887,132.62052805244545,443.780437503761
2016-07-01,170.87274572916996,145.53214085125958,131.87835749150767,448.28324407193725
2016-10-01,173.28406544812168,146.26301882318958,134.51525583938587,454.06234011069716
2017-01-01,180.68765156832305,146.80412180776804,132.81733627301625,460.3091096491073
2017-04-01,183.1003069504389,149.3947751393963,133.78806329227817,466.28314538211333
