date,USA
2003-12-01,9.08074
2004-01-01,9.26506
2004-02-01,9.31608
2004-03-01,9.1896
2004-04-01,9.26094
2004-05-01,9.68571
2004-06-01,10.6659
2004-07-01,11.3877
2004-08-01,11.4524
2004-09-01,10.7419
2004-10-01,9.95619
2004-11-01,9.77889
2004-12-01,10.0956
2005-01-01,10.4393
2005-02-01,10.249
2005-03-01,10.1453
2005-04-01,10.3329
2005-05-01,10.9406
2005-06-01,11.0979
2005-07-01,11.1963
2005-08-01,10.9791
2005-09-01,11.0351
2005-10-01,10.2726
2005-11-01,9.61172
2005-12-01,8.45587
2006-01-01,8.06301
2006-02-01,7.06486
2006-03-01,6.19634
2006-04-01,4.61355
2006-05-01,3.80185
2006-06-01,2.80063
2006-07-01,2.0069
2006-08-01,1.16076
2006-09-01,0.765466
2006-10-01,1.00079
2006-11-01,1.24824
2006-12-01,1.61735
2007-01-01,2.08921
2007-02-01,2.08644
2007-03-01,2.53305
2007-04-01,2.16312
2007-05-01,1.55672
2007-06-01,-0.621967
2007-07-01,-2.97795
2007-08-01,-4.63722
2007-09-01,-5.23408
2007-10-01,-5.63549
2007-11-01,-6.30199
2007-12-01,-7.19837
2008-01-01,-7.63237
2008-02-01,-7.78798
2008-03-01,-8.16836
2008-04-01,-8.87546
2008-05-01,-10.1969
2008-06-01,-10.8164
2008-07-01,-10.9011
2008-08-01,-10.2868
2008-09-01,-10.2508
2008-10-01,-10.3332
2008-11-01,-11.4009
2008-12-01,-11.4621
2009-01-01,-9.68036
2009-02-01,-4.56481
2009-03-01,-1.12333
2009-04-01,-1.69184
2009-05-01,-4.99383
2009-06-01,-5.70168
2009-07-01,-4.09999
2009-08-01,-2.24986
2009-09-01,-1.93395
2009-10-01,-1.50341
2009-11-01,-0.355441
2009-12-01,-0.216565
2010-01-01,-0.899176
2010-02-01,-3.19502
2010-03-01,-3.26119
2010-04-01,-2.9529
2010-05-01,-1.1429
2010-06-01,-1.69609
2010-07-01,-3.34716
2010-08-01,-5.60556
2010-09-01,-6.52138
2010-10-01,-5.63909
2010-11-01,-4.83897
2010-12-01,-3.89691
2011-01-01,-4.76184
2011-02-01,-6.12871
2011-03-01,-8.19756
2011-04-01,-8.39817
2011-05-01,-7.04304
2011-06-01,-3.38309
2011-07-01,-0.715948
2011-08-01,1.06249
2011-09-01,1.34888
2011-10-01,0.706048
2011-11-01,1.01441
2011-12-01,0.606666
2012-01-01,1.37554
2012-02-01,0.981753
2012-03-01,1.59878
2012-04-01,3.31208
2012-05-01,5.84446
2012-06-01,7.03031
2012-07-01,6.44074
2012-08-01,5.4543
2012-09-01,5.14536
2012-10-01,5.69239
2012-11-01,5.78099
2012-12-01,6.01926
2013-01-01,6.17449
2013-02-01,6.90304
2013-03-01,8.17517
2013-04-01,8.78917
2013-05-01,9.46844
2013-06-01,8.86358
2013-07-01,8.68135
2013-08-01,7.45477
2013-09-01,6.6586
2013-10-01,5.34568
2013-11-01,4.40999
2013-12-01,3.74587
2014-01-01,3.74622
2014-02-01,4.58955
2014-03-01,4.96161
2014-04-01,4.9369
2014-05-01,4.14905
2014-06-01,3.94988
2014-07-01,4.07093
2014-08-01,4.69359
2014-09-01,4.48885
2014-10-01,4.39796
2014-11-01,4.22542
2014-12-01,5.39387
2015-01-01,5.53466
2015-02-01,6.0128
2015-03-01,5.33533
2015-04-01,5.74939
2015-05-01,5.40503
2015-06-01,5.52621
2015-07-01,5.55085
2015-08-01,5.33945
2015-09-01,5.19988
2015-10-01,4.92454
2015-11-01,5.55647
2015-12-01,5.91602
2016-01-01,6.01741
2016-02-01,5.17187
2016-03-01,4.98981
2016-04-01,5.02295
2016-05-01,6.05253
2016-06-01,6.21796
2016-07-01,6.44322
2016-08-01,6.21488
2016-09-01,6.33756
2016-10-01,6.31057
2016-11-01,6.33238
2016-12-01,6.44434
2017-01-01,5.8224
2017-02-01,5.36318
2017-03-01,4.87342
2017-04-01,6.24186
2017-05-01,7.22889
2017-06-01,7.70148
2017-07-01,6.77755
2017-08-01,6.33804
2017-09-01,6.33818
2017-10-01,6.41715
2017-11-01,6.17067
2017-12-01,6.02357
2018-01-01,6.59338
2018-02-01,7.41559
2018-03-01,7.983
2018-04-01,7.37013
2018-05-01,6.20988
2018-06-01,5.33778
2018-07-01,5.20867
2018-08-01,5.31199
2018-09-01,4.934
2018-10-01,4.42045
2018-11-01,4.12059
2018-12-01,4.32314
2019-01-01,4.94245
2019-02-01,5.23627
2019-03-01,5.47926
2019-04-01,5.34801
2019-05-01,5.58641
2019-06-01,5.74367
2019-07-01,5.54671
2019-08-01,4.85098
2019-09-01,4.55191
2019-10-01,4.68605
2019-11-01,5.45352
2019-12-01,6.09191
2020-01-01,7.11953
2020-02-01,8.37584
2020-03-01,8.5116
2020-04-01,7.50802
2020-05-01,4.67201
2020-06-01,3.92527
2020-07-01,5.10919
2020-08-01,10.2328
2020-09-01,14.947
2020-10-01,18.7546
2020-11-01,18.9318
2020-12-01,17.9151
2021-01-01,16.3043
2021-02-01,15.6932
2021-03-01,16.1932
2021-04-01,17.7714
2021-05-01,20.3009
2021-06-01,22.3697
2021-07-01,22.9545
2021-08-01,21.1446
2021-09-01,17.918
2021-10-01,14.9364
2021-11-01,13.5944
2021-12-01,13.9483
