date,FDHBATN,GFDEBTN,FDHBFRBN,FDHBPIN,FDHBFIN,FOREIGN,PD,IG
1996-10-01,18.12614417518355,64.4469683239402,4.732576726400768,41.5411032581896,13.342984932633117,0.04714416416628649,28.198118325556482,18.17328833934984
1997-01-01,18.018009830610016,64.3442782226458,4.724576106511628,41.281148152111975,13.842493801310706,0.3205441334121818,27.43865435080127,18.338553964022196
1997-04-01,18.44835408639102,63.10906727160142,4.823435156843813,39.64513885424339,13.883370065707417,0.1921391741231858,25.76176878853598,18.64049326051421
1997-07-01,18.43238630178638,62.48708994746862,4.7536467038516195,39.266645526521785,14.204376564083093,0.03441141530884063,25.062268962438683,18.46679771709522
1997-10-01,18.887743162230674,62.77032142823328,4.913353518352408,38.953185334957354,14.163965006701531,0.016039412692833148,24.789220328255823,18.90378257492351
1998-01-01,18.83924623977046,62.50987990724618,4.885817145022602,38.769613194864256,14.103680378233527,0.015203327588861261,24.66593281663073,18.85444956735932
1998-04-01,19.59436988911222,61.851964040264896,4.903174565835487,37.34016046692314,14.002699533172741,0.014259118394045794,23.3374609337504,19.60862900750627
1998-07-01,19.338244073053932,60.58693378658291,4.889762711656284,36.32457806336233,13.421631191949828,0.03434893851036471,22.902946871412507,19.372593011564295
1998-10-01,19.655990628783695,60.40695541882921,4.864433374209208,35.872640720224496,13.758352036278065,0.013890695611822384,22.114288683946437,19.669881324395515
1999-01-01,19.73149964055309,60.048937055034365,4.948105981481312,35.35499818204652,13.518306292116542,0.014333250953444454,21.83669188992998,19.74583289150653
1999-04-01,20.50776751719729,59.19227058819825,5.090167023401752,33.58313537072981,13.214069393809291,0.011200676869395146,20.369065976920517,20.518968194066687
1999-07-01,20.530099954308135,58.39258168943447,5.0481973805946465,32.78128008658536,13.228548309803642,0.0330042679463335,19.55273177678172,20.563104222254474
1999-10-01,20.813382074588826,58.34335757298689,4.828200407487993,32.66509894932097,12.814932755188321,0.03667614158910129,19.850166194132647,20.850058216177928
2000-01-01,20.84963686412731,57.721342519465004,5.015907033857323,31.82106618967727,10.847636300050219,0.0347324318031117,20.973429889627052,20.884369295930416
