date,total
2005-08-01,64.49396782841823
2005-09-01,67.49166227839214
2005-10-01,66.51816312542837
2005-11-01,63.85414831777347
2005-12-01,67.39022369511186
2006-01-01,66.12231294784202
2006-02-01,68.36628511966701
2006-03-01,67.28674375733199
2006-04-01,67.27363019367655
2006-05-01,67.36394835757477
2006-06-01,66.91212567501226
2006-07-01,65.85779738673003
2006-08-01,66.44023936600357
2006-09-01,65.39740605254406
2006-10-01,68.87822634017206
2006-11-01,68.62108169563099
2006-12-01,67.40426867545511
2007-01-01,68.06764078148088
2007-02-01,65.55357432322904
2007-03-01,65.80412708811005
2007-04-01,66.0989010989011
2007-05-01,66.68908693458887
2007-06-01,70.02393980848153
2007-07-01,66.34189548272808
2007-08-01,66.3141736312468
2007-09-01,67.96377054679638
2007-10-01,66.68995633187774
2007-11-01,67.81836130306021
2007-12-01,65.27851930948567
2008-01-01,66.08869623207735
2008-02-01,64.97326203208557
2008-03-01,65.73978716100241
2008-04-01,63.520715145263885
2008-05-01,66.16206589492431
2008-06-01,65.12714063310845
2008-07-01,64.52895419187554
2008-08-01,63.06848345425588
2008-09-01,61.14217929164548
2008-10-01,62.18175388967468
2008-11-01,62.394694389675564
2008-12-01,62.32566564028256
2009-01-01,61.92910702113156
2009-02-01,60.66895368782161
2009-03-01,59.759869019465164
2009-04-01,58.976468652295544
2009-05-01,60.194862710363154
2009-06-01,55.651878293387725
2009-07-01,56.52686542024592
2009-08-01,58.787149974231234
2009-09-01,54.97820401046207
2009-10-01,59.16138125440451
2009-11-01,56.10667572617633
2009-12-01,57.8032610643254
2010-01-01,59.67380876239206
2010-02-01,58.838174273858925
2010-03-01,57.505285412262154
2010-04-01,55.83146427427107
2010-05-01,55.945322793148875
2010-06-01,57.94608017027315
2010-07-01,57.79615254809315
2010-08-01,59.583538284964746
2010-09-01,59.047286686442156
2010-10-01,58.03373658204123
2010-11-01,59.7037037037037
2010-12-01,57.54916300991386
2011-01-01,60.18099547511312
2011-02-01,60.674731640824675
2011-03-01,59.55555555555555
2011-04-01,60.82797008175335
2011-05-01,60.26635198921105
2011-06-01,57.94458084882498
2011-07-01,61.13114754098361
2011-08-01,59.67057225335372
2011-09-01,61.12924281984334
2011-10-01,58.46026490066225
2011-11-01,59.91027078993751
2011-12-01,58.84596252694412
2012-01-01,58.69527599930784
2012-02-01,59.84575835475579
2012-03-01,59.74180397485986
2012-04-01,61.23789764868604
2012-05-01,61.75972927241963
2012-06-01,61.77520829790852
2012-07-01,61.81208053691275
2012-08-01,63.41103086014446
2012-09-01,61.62355620627948
2012-10-01,60.93386507145231
2012-11-01,62.96108291032149
2012-12-01,63.63173957273652
2013-01-01,60.06322444678609
2013-02-01,60.940900719906246
2013-03-01,63.87302653678199
2013-04-01,64.3622200584226
2013-05-01,62.13382157123834
2013-06-01,62.98869143780291
2013-07-01,61.76182707993475
2013-08-01,63.954651550516836
2013-09-01,64.75063398140321
2013-10-01,64.16083916083916
2013-11-01,63.43031123139377
2013-12-01,63.065791687699814
2014-01-01,65.34233668341709
2014-02-01,62.26540441787078
2014-03-01,64.11663270105032
2014-04-01,61.985018726591754
2014-05-01,66.62264773852756
2014-06-01,64.74400518470512
2014-07-01,66.69461680362234
2014-08-01,65.12896825396825
2014-09-01,64.18058541425499
2014-10-01,65.42905561546758
2014-11-01,66.1985957873621
2014-12-01,65.62901155327343
2015-01-01,69.67916137229987
2015-02-01,68.0804272698712
2015-03-01,67.43111960503265
2015-04-01,68.44803479881932
2015-05-01,69.71798428109108
2015-06-01,66.3458553244334
2015-07-01,70.88385449904276
2015-08-01,68.6046511627907
2015-09-01,66.9090294217112
2015-10-01,70.35136815920397
2015-11-01,68.51057065649341
2015-12-01,67.99756171898811
2016-01-01,69.41656210790464
2016-02-01,71.92699079308674
2016-03-01,70.05253940455341
2016-04-01,70.1358234295416
2016-05-01,68.85510996119017
2016-06-01,68.3924154987634
2016-07-01,69.52728426395939
2016-08-01,70.37933817594835
2016-09-01,67.66612641815234
2016-10-01,66.64485522656634
2016-11-01,68.80061115355232
2016-12-01,70.81518357187305
2017-01-01,68.58434674150297
2017-02-01,67.80472732890468
2017-03-01,70.09025832555244
2017-04-01,70.29514439860361
2017-05-01,70.0775945683802
2017-06-01,71.66078822266525
2017-07-01,68.95712982669504
2017-08-01,71.3536701620591
2017-09-01,70.7861866274798
2017-10-01,69.91192954363491
2017-11-01,71.60125588697016
2017-12-01,70.65217391304348
2018-01-01,71.46752205292702
2018-02-01,70.88607594936708
2018-03-01,69.49726071543667
2018-04-01,71.56831302116741
2018-05-01,72.40190444918733
2018-06-01,73.79827277171256
2018-07-01,73.15853288875417
2018-08-01,71.92709144726594
2018-09-01,73.60915217050619
2018-10-01,73.46237901966906
2018-11-01,72.69996838444514
2018-12-01,73.19442268525772
2019-01-01,71.62464091924673
2019-02-01,72.27707497685898
2019-03-01,70.77625570776256
2019-04-01,72.10816224336504
2019-05-01,75.12722646310432
2019-06-01,73.64207221350078
2019-07-01,73.7781954887218
2019-08-01,74.33039170150178
2019-09-01,73.10045074050225
2019-10-01,76.36275928605886
