date,ND_NM_CO,TX,OTH,GM,USA,MCRFPNM2
1992-03-01,0.369,1.814,4.307,0.858,7.348,0.195
1992-04-01,0.37,1.802,4.283,0.838,7.293,0.194
1992-05-01,0.367,1.773,4.186,0.843,7.169,0.193
1992-06-01,0.364,1.755,4.204,0.844,7.167,0.192
1992-07-01,0.359,1.758,4.168,0.846,7.131,0.19
1992-08-01,0.358,1.765,4.078,0.721,6.922,0.19
1992-09-01,0.36,1.764,4.167,0.739,7.03,0.189
1992-10-01,0.358,1.769,4.186,0.813,7.126,0.188
1992-11-01,0.353,1.753,4.099,0.819,7.024,0.188
1992-12-01,0.352,1.751,4.175,0.825,7.103,0.188
1993-01-01,0.354,1.747,4.041,0.819,6.961,0.189
1993-02-01,0.359,1.744,4.018,0.822,6.943,0.191
1993-03-01,0.361,1.736,4.067,0.81,6.974,0.191
1993-04-01,0.348,1.723,3.997,0.813,6.881,0.188
1993-05-01,0.358,1.704,3.952,0.833,6.847,0.18
1993-06-01,0.351,1.691,3.92,0.833,6.795,0.186
1993-07-01,0.347,1.668,3.85,0.823,6.688,0.184
1993-08-01,0.345,1.673,3.917,0.823,6.758,0.184
1993-09-01,0.347,1.667,3.867,0.831,6.712,0.184
1993-10-01,0.351,1.669,3.99,0.829,6.839,0.188
1993-11-01,0.357,1.673,4.047,0.835,6.912,0.192
1993-12-01,0.354,1.663,4.012,0.829,6.858,0.193
1994-01-01,0.34,1.669,3.954,0.854,6.817,0.187
1994-02-01,0.345,1.663,3.91,0.852,6.77,0.187
1994-03-01,0.346,1.66,3.888,0.852,6.746,0.188
1994-04-01,0.338,1.646,3.786,0.842,6.612,0.183
1994-05-01,0.34,1.634,3.875,0.839,6.688,0.18
1994-06-01,0.332,1.611,3.81,0.858,6.611,0.177
1994-07-01,0.329,1.596,3.748,0.828,6.501,0.177
1994-08-01,0.33,1.592,3.767,0.855,6.544,0.178
1994-09-01,0.33,1.589,3.811,0.879,6.609,0.178
1994-10-01,0.324,1.577,3.883,0.874,6.658,0.174
1994-11-01,0.326,1.592,3.822,0.888,6.628,0.176
1994-12-01,0.333,1.595,3.935,0.897,6.76,0.18
1995-01-01,0.333,1.582,3.85,0.917,6.682,0.172
1995-02-01,0.337,1.578,3.941,0.938,6.794,0.176
1995-03-01,0.339,1.562,3.786,0.913,6.6,0.176
1995-04-01,0.341,1.557,3.759,0.947,6.604,0.176
1995-05-01,0.339,1.539,3.763,0.988,6.629,0.18
1995-06-01,0.328,1.52,3.763,0.968,6.579,0.178
1995-07-01,0.329,1.506,3.632,0.982,6.449,0.178
1995-08-01,0.335,1.504,3.687,0.921,6.447,0.182
1995-09-01,0.328,1.504,3.62,0.964,6.416,0.174
1995-10-01,0.326,1.52,3.735,0.84,6.421,0.174
1995-11-01,0.335,1.524,3.75,0.976,6.585,0.177
1995-12-01,0.334,1.508,3.721,0.967,6.53,0.177
1996-01-01,0.33,1.507,3.658,1,6.495,0.177
1996-02-01,0.331,1.502,3.738,1.006,6.577,0.177
1996-03-01,0.334,1.521,3.721,0.995,6.571,0.179
1996-04-01,0.335,1.513,3.624,0.972,6.444,0.177
1996-05-01,0.325,1.497,3.575,0.997,6.394,0.171
1996-06-01,0.332,1.48,3.657,0.989,6.458,0.174
1996-07-01,0.337,1.466,3.532,1.003,6.338,0.177
1996-08-01,0.34,1.458,3.547,1.015,6.36,0.184
1996-09-01,0.331,1.468,3.647,1.036,6.482,0.171
1996-10-01,0.338,1.473,3.612,1.058,6.481,0.177
1996-11-01,0.33,1.46,3.607,1.079,6.476,0.176
1996-12-01,0.327,1.471,3.608,1.1,6.506,0.174
1997-01-01,0.351,1.456,3.549,1.046,6.402,0.192
1997-02-01,0.362,1.491,3.583,1.078,6.514,0.197
1997-03-01,0.36,1.479,3.54,1.073,6.452,0.195
1997-04-01,0.364,1.482,3.52,1.075,6.441,0.197
1997-05-01,0.364,1.472,3.536,1.102,6.474,0.196
1997-06-01,0.348,1.471,3.478,1.145,6.442,0.178
1997-07-01,0.358,1.461,3.465,1.125,6.409,0.191
1997-08-01,0.36,1.452,3.4,1.135,6.347,0.192
1997-09-01,0.36,1.466,3.49,1.17,6.486,0.19
1997-10-01,0.359,1.469,3.454,1.185,6.467,0.19
1997-11-01,0.363,1.482,3.419,1.195,6.459,0.19
1997-12-01,0.364,1.462,3.485,1.22,6.531,0.187
1998-01-01,0.388,1.481,3.427,1.245,6.541,0.221
1998-02-01,0.359,1.475,3.425,1.217,6.476,0.195
1998-03-01,0.377,1.456,3.329,1.246,6.408,0.213
1998-04-01,0.374,1.434,3.375,1.3,6.483,0.209
1998-05-01,0.364,1.41,3.292,1.281,6.347,0.201
1998-06-01,0.355,1.387,3.261,1.264,6.267,0.195
1998-07-01,0.339,1.346,3.261,1.248,6.194,0.184
1998-08-01,0.332,1.347,3.227,1.297,6.203,0.176
1998-09-01,0.341,1.34,3.17,0.938,5.789,0.186
1998-10-01,0.348,1.328,3.242,1.225,6.143,0.198
1998-11-01,0.353,1.324,3.24,1.223,6.14,0.2
1998-12-01,0.353,1.272,3.169,1.249,6.043,0.2
1999-01-01,0.32,1.264,3.118,1.261,5.963,0.175
1999-02-01,0.32,1.266,3.121,1.259,5.966,0.177
1999-03-01,0.324,1.244,3.067,1.248,5.883,0.179
1999-04-01,0.321,1.235,3.008,1.323,5.887,0.181
1999-05-01,0.319,1.231,2.997,1.328,5.875,0.179
1999-06-01,0.319,1.205,2.884,1.352,5.76,0.177
1999-07-01,0.315,1.206,2.888,1.389,5.798,0.176
1999-08-01,0.316,1.197,2.905,1.362,5.78,0.178
1999-09-01,0.315,1.215,2.878,1.396,5.804,0.178
1999-10-01,0.313,1.229,2.982,1.423,5.947,0.173
1999-11-01,0.31,1.239,2.965,1.446,5.96,0.172
1999-12-01,0.312,1.241,2.955,1.451,5.959,0.172
2000-01-01,0.331,1.234,2.895,1.324,5.784,0.189
2000-02-01,0.333,1.242,2.923,1.354,5.852,0.19
2000-03-01,0.33,1.234,2.926,1.428,5.918,0.187
2000-04-01,0.33,1.228,2.904,1.392,5.854,0.188
2000-05-01,0.329,1.213,2.872,1.433,5.847,0.188
2000-06-01,0.324,1.208,2.829,1.462,5.823,0.184
2000-07-01,0.321,1.197,2.791,1.43,5.739,0.182
2000-08-01,0.317,1.199,2.813,1.46,5.789,0.179
2000-09-01,0.319,1.196,2.781,1.462,5.758,0.18
2000-10-01,0.317,1.194,2.832,1.466,5.809,0.177
2000-11-01,0.316,1.195,2.854,1.468,5.833,0.179
2000-12-01,0.317,1.199,2.867,1.472,5.855,0.18
2001-01-01,0.324,1.194,2.797,1.484,5.799,0.187
2001-02-01,0.327,1.188,2.829,1.436,5.78,0.192
2001-03-01,0.321,1.181,2.878,1.5,5.88,0.187
2001-04-01,0.324,1.182,2.843,1.514,5.863,0.19
2001-05-01,0.323,1.168,2.791,1.547,5.829,0.189
2001-06-01,0.315,1.154,2.76,1.537,5.766,0.184
2001-07-01,0.313,1.153,2.736,1.547,5.749,0.182
2001-08-01,0.317,1.149,2.734,1.525,5.725,0.186
2001-09-01,0.315,1.138,2.693,1.563,5.709,0.185
2001-10-01,0.318,1.154,2.7,1.574,5.746,0.188
2001-11-01,0.314,1.142,2.835,1.59,5.881,0.185
2001-12-01,0.31,1.149,2.828,1.6,5.887,0.181
2002-01-01,0.328,1.144,2.819,1.582,5.873,0.187
2002-02-01,0.329,1.141,2.822,1.589,5.881,0.187
2002-03-01,0.325,1.126,2.84,1.595,5.886,0.184
2002-04-01,0.329,1.122,2.8,1.593,5.844,0.188
2002-05-01,0.327,1.116,2.793,1.669,5.905,0.187
2002-06-01,0.32,1.099,2.796,1.669,5.884,0.182
2002-07-01,0.318,1.093,2.699,1.641,5.751,0.181
2002-08-01,0.319,1.096,2.736,1.645,5.796,0.179
2002-09-01,0.331,1.097,2.622,1.361,5.411,0.189
2002-10-01,0.325,1.096,2.694,1.243,5.358,0.184
2002-11-01,0.329,1.108,2.669,1.518,5.624,0.188
2002-12-01,0.329,1.105,2.738,1.55,5.722,0.187
2003-01-01,0.324,1.108,2.741,1.582,5.755,0.184
2003-02-01,0.324,1.109,2.75,1.6,5.783,0.183
2003-03-01,0.323,1.115,2.763,1.602,5.803,0.184
2003-04-01,0.32,1.109,2.726,1.571,5.726,0.181
2003-05-01,0.318,1.098,2.717,1.53,5.663,0.181
2003-06-01,0.32,1.085,2.711,1.543,5.659,0.181
2003-07-01,0.32,1.083,2.633,1.462,5.498,0.182
2003-08-01,0.319,1.082,2.64,1.533,5.574,0.181
2003-09-01,0.324,1.095,2.67,1.52,5.609,0.182
2003-10-01,0.321,1.099,2.668,1.526,5.614,0.182
2003-11-01,0.323,1.095,2.648,1.481,5.547,0.184
2003-12-01,0.326,1.096,2.649,1.5,5.571,0.184
2004-01-01,0.324,1.09,2.646,1.525,5.585,0.186
2004-02-01,0.323,1.093,2.603,1.553,5.572,0.182
2004-03-01,0.326,1.089,2.674,1.528,5.617,0.181
2004-04-01,0.325,1.082,2.64,1.513,5.56,0.179
2004-05-01,0.326,1.072,2.63,1.528,5.556,0.179
2004-06-01,0.322,1.057,2.591,1.437,5.407,0.175
2004-07-01,0.318,1.057,2.477,1.632,5.484,0.173
2004-08-01,0.321,1.059,2.378,1.567,5.325,0.173
2004-09-01,0.32,1.067,2.517,1.177,5.081,0.172
2004-10-01,0.321,1.067,2.593,1.189,5.17,0.172
2004-11-01,0.325,1.069,2.614,1.415,5.423,0.173
2004-12-01,0.324,1.074,2.628,1.484,5.51,0.17
2005-01-01,0.324,1.088,2.542,1.492,5.446,0.173
2005-02-01,0.328,1.097,2.582,1.494,5.501,0.172
2005-03-01,0.329,1.098,2.612,1.562,5.601,0.171
2005-04-01,0.325,1.09,2.574,1.574,5.563,0.169
2005-05-01,0.328,1.079,2.566,1.623,5.596,0.169
2005-06-01,0.327,1.07,2.482,1.563,5.442,0.167
2005-07-01,0.323,1.061,2.421,1.448,5.253,0.163
2005-08-01,0.328,1.065,2.447,1.358,5.198,0.163
2005-09-01,0.326,1.038,2.384,0.466,4.214,0.161
2005-10-01,0.337,1.07,2.458,0.69,4.555,0.169
2005-11-01,0.335,1.08,2.491,0.951,4.857,0.164
2005-12-01,0.329,1.073,2.453,1.133,4.988,0.163
2006-01-01,0.328,1.085,2.435,1.2,5.048,0.167
2006-02-01,0.335,1.087,2.439,1.171,5.032,0.167
2006-03-01,0.337,1.087,2.395,1.208,5.027,0.164
2006-04-01,0.332,1.079,2.437,1.234,5.082,0.162
2006-05-01,0.342,1.07,2.448,1.291,5.151,0.164
2006-06-01,0.34,1.065,2.43,1.328,5.163,0.162
2006-07-01,0.337,1.062,2.322,1.373,5.094,0.16
2006-08-01,0.327,1.058,2.262,1.393,5.04,0.148
2006-09-01,0.344,1.071,2.298,1.318,5.031,0.164
2006-10-01,0.346,1.079,2.35,1.333,5.108,0.163
2006-11-01,0.352,1.084,2.3,1.328,5.064,0.169
2006-12-01,0.343,1.078,2.432,1.333,5.186,0.165
2007-01-01,0.337,1.058,2.376,1.337,5.108,0.162
2007-02-01,0.346,1.078,2.369,1.325,5.118,0.166
2007-03-01,0.351,1.08,2.412,1.276,5.119,0.163
2007-04-01,0.356,1.083,2.402,1.339,5.18,0.164
2007-05-01,0.355,1.072,2.431,1.353,5.211,0.161
2007-06-01,0.354,1.058,2.358,1.305,5.075,0.16
2007-07-01,0.353,1.059,2.359,1.267,5.038,0.158
2007-08-01,0.359,1.064,2.288,1.259,4.97,0.161
2007-09-01,0.358,1.069,2.291,1.184,4.902,0.16
2007-10-01,0.367,1.072,2.312,1.271,5.022,0.163
2007-11-01,0.372,1.084,2.395,1.183,5.034,0.165
2007-12-01,0.372,1.087,2.365,1.287,5.111,0.165
2008-01-01,0.373,1.094,2.344,1.304,5.115,0.163
2008-02-01,0.38,1.104,2.326,1.338,5.148,0.166
2008-03-01,0.389,1.114,2.374,1.312,5.189,0.166
2008-04-01,0.393,1.113,2.359,1.315,5.18,0.162
2008-05-01,0.398,1.11,2.337,1.298,5.143,0.162
2008-06-01,0.408,1.097,2.307,1.326,5.138,0.161
2008-07-01,0.416,1.111,2.278,1.372,5.177,0.163
2008-08-01,0.423,1.11,2.198,1.272,5.003,0.163
2008-09-01,0.434,1.055,2.243,0.242,3.974,0.157
2008-10-01,0.458,1.125,2.352,0.803,4.738,0.169
2008-11-01,0.472,1.141,2.375,1.09,5.078,0.171
2008-12-01,0.455,1.134,2.317,1.197,5.103,0.171
2009-01-01,0.444,1.133,2.286,1.281,5.144,0.171
2009-02-01,0.454,1.128,2.334,1.323,5.239,0.175
2009-03-01,0.454,1.118,2.292,1.355,5.219,0.173
2009-04-01,0.445,1.11,2.258,1.465,5.278,0.166
2009-05-01,0.455,1.089,2.28,1.553,5.377,0.167
2009-06-01,0.461,1.071,2.176,1.561,5.269,0.163
2009-07-01,0.469,1.063,2.131,1.735,5.398,0.16
2009-08-01,0.478,1.067,2.139,1.734,5.418,0.164
2009-09-01,0.486,1.081,2.24,1.752,5.559,0.165
2009-10-01,0.49,1.081,2.228,1.725,5.524,0.168
2009-11-01,0.505,1.102,2.225,1.563,5.395,0.173
2009-12-01,0.491,1.091,2.19,1.68,5.452,0.167
2010-01-01,0.491,1.099,2.159,1.655,5.404,0.17
2010-02-01,0.527,1.121,2.194,1.711,5.553,0.179
2010-03-01,0.544,1.137,2.234,1.6,5.515,0.18
2010-04-01,0.547,1.137,2.227,1.481,5.392,0.175
2010-05-01,0.565,1.146,2.154,1.536,5.401,0.178
2010-06-01,0.575,1.139,2.123,1.543,5.38,0.176
2010-07-01,0.582,1.152,2.13,1.434,5.298,0.179
2010-08-01,0.601,1.168,2.123,1.555,5.447,0.18
2010-09-01,0.616,1.191,2.222,1.587,5.616,0.178
2010-10-01,0.623,1.215,2.228,1.565,5.631,0.186
2010-11-01,0.643,1.244,2.207,1.482,5.576,0.19
2010-12-01,0.629,1.279,2.208,1.491,5.607,0.188
2011-01-01,0.627,1.281,2.028,1.561,5.497,0.191
2011-02-01,0.609,1.228,2.157,1.412,5.406,0.164
2011-03-01,0.658,1.337,2.234,1.389,5.618,0.194
2011-04-01,0.651,1.349,2.216,1.346,5.562,0.194
2011-05-01,0.661,1.393,2.198,1.373,5.625,0.193
2011-06-01,0.685,1.401,2.178,1.325,5.589,0.193
2011-07-01,0.727,1.437,2.065,1.211,5.44,0.197
2011-08-01,0.755,1.491,2.147,1.272,5.665,0.2
2011-09-01,0.777,1.538,2.209,1.09,5.614,0.201
2011-10-01,0.805,1.596,2.21,1.291,5.902,0.201
2011-11-01,0.839,1.661,2.261,1.278,6.039,0.212
2011-12-01,0.858,1.69,2.307,1.257,6.112,0.208
2012-01-01,0.884,1.727,2.259,1.307,6.177,0.217
2012-02-01,0.897,1.773,2.272,1.326,6.268,0.217
2012-03-01,0.925,1.801,2.226,1.375,6.327,0.219
2012-04-01,0.955,1.871,2.228,1.266,6.32,0.223
2012-05-01,0.997,1.914,2.264,1.195,6.37,0.224
2012-06-01,1.017,1.95,2.194,1.114,6.275,0.228
2012-07-01,1.041,1.999,2.139,1.252,6.431,0.237
2012-08-01,1.071,2.056,2.126,1.098,6.351,0.236
2012-09-01,1.111,2.091,2.218,1.178,6.598,0.245
2012-10-01,1.152,2.156,2.335,1.327,6.97,0.251
2012-11-01,1.146,2.221,2.342,1.373,7.082,0.253
2012-12-01,1.181,2.234,2.313,1.378,7.106,0.254
2013-01-01,1.146,2.275,2.33,1.332,7.083,0.254
2013-02-01,1.198,2.337,2.295,1.315,7.145,0.258
2013-03-01,1.205,2.39,2.366,1.253,7.214,0.259
2013-04-01,1.236,2.425,2.377,1.336,7.374,0.278
2013-05-01,1.255,2.497,2.373,1.201,7.326,0.281
2013-06-01,1.275,2.534,2.346,1.122,7.277,0.285
2013-07-01,1.335,2.584,2.365,1.238,7.522,0.287
2013-08-01,1.388,2.618,2.343,1.185,7.534,0.291
2013-09-01,1.419,2.672,2.428,1.319,7.838,0.299
2013-10-01,1.451,2.693,2.439,1.177,7.76,0.301
2013-11-01,1.475,2.696,2.445,1.303,7.919,0.286
2013-12-01,1.435,2.784,2.428,1.285,7.932,0.299
2014-01-01,1.45,2.845,2.473,1.304,8.072,0.307
2014-02-01,1.479,2.9,2.439,1.331,8.149,0.319
2014-03-01,1.524,2.964,2.481,1.322,8.291,0.323
2014-04-01,1.565,3.051,2.479,1.425,8.52,0.332
2014-05-01,1.617,3.071,2.535,1.413,8.636,0.334
2014-06-01,1.678,3.145,2.499,1.412,8.734,0.332
2014-07-01,1.723,3.221,2.465,1.428,8.837,0.346
2014-08-01,1.754,3.274,2.457,1.435,8.92,0.348
2014-09-01,1.794,3.286,2.568,1.422,9.07,0.339
2014-10-01,1.836,3.361,2.625,1.428,9.25,0.371
2014-11-01,1.851,3.451,2.616,1.389,9.307,0.377
2014-12-01,1.91,3.547,2.637,1.452,9.546,0.382
2015-01-01,1.867,3.442,2.616,1.452,9.377,0.368
2015-02-01,1.888,3.557,2.584,1.456,9.485,0.394
2015-03-01,1.93,3.619,2.651,1.38,9.58,0.419
2015-04-01,1.928,3.571,2.649,1.504,9.652,0.427
2015-05-01,1.961,3.511,2.59,1.404,9.466,0.427
2015-06-01,1.955,3.457,2.525,1.413,9.35,0.416
2015-07-01,1.948,3.443,2.478,1.567,9.436,0.406
2015-08-01,1.943,3.409,2.418,1.63,9.4,0.416
2015-09-01,1.91,3.41,2.49,1.661,9.471,0.416
2015-10-01,1.917,3.393,2.505,1.579,9.394,0.408
2015-11-01,1.927,3.389,2.488,1.524,9.328,0.414
2015-12-01,1.833,3.322,2.51,1.605,9.27,0.359
2016-01-01,1.823,3.347,2.446,1.593,9.209,0.379
2016-02-01,1.844,3.307,2.366,1.55,9.067,0.407
2016-03-01,1.827,3.264,2.406,1.612,9.109,0.406
2016-04-01,1.758,3.227,2.321,1.574,8.88,0.405
2016-05-01,1.743,3.171,2.332,1.593,8.839,0.393
2016-06-01,1.717,3.147,2.264,1.551,8.679,0.389
2016-07-01,1.735,3.146,2.22,1.568,8.669,0.392
2016-08-01,1.69,3.145,2.242,1.618,8.695,0.392
2016-09-01,1.686,3.129,2.223,1.509,8.547,0.401
2016-10-01,1.764,3.164,2.274,1.607,8.809,0.408
2016-11-01,1.755,3.172,2.298,1.683,8.908,0.416
2016-12-01,1.656,3.17,2.258,1.736,8.82,0.42
2017-01-01,1.689,3.199,2.236,1.751,8.875,0.419
2017-02-01,1.761,3.311,2.271,1.754,9.097,0.443
2017-03-01,1.765,3.321,2.308,1.774,9.168,0.442
2017-04-01,1.811,3.329,2.3,1.665,9.105,0.445
2017-05-01,1.822,3.409,2.272,1.686,9.189,0.462
2017-06-01,1.796,3.441,2.245,1.631,9.113,0.443
2017-07-01,1.833,3.467,2.203,1.757,9.26,0.447
2017-08-01,1.912,3.367,2.261,1.722,9.262,0.459
2017-09-01,1.992,3.551,2.277,1.693,9.513,0.499
2017-10-01,2.102,3.763,2.32,1.482,9.667,0.522
2017-11-01,2.132,3.89,2.366,1.698,10.086,0.528
2017-12-01,2.155,3.936,2.327,1.569,9.987,0.555
2018-01-01,2.136,3.896,2.33,1.638,10,0.541
2018-02-01,2.169,4.024,2.357,1.713,10.263,0.585
2018-03-01,2.192,4.186,2.384,1.705,10.467,0.615
2018-04-01,2.296,4.23,2.364,1.603,10.493,0.642
2018-05-01,2.318,4.239,2.339,1.536,10.432,0.645
2018-06-01,2.295,4.373,2.309,1.664,10.641,0.656
2018-07-01,2.36,4.417,2.259,1.867,10.903,0.666
2018-08-01,2.469,4.579,2.393,1.955,11.396,0.713
2018-09-01,2.565,4.675,2.406,1.798,11.444,0.734
2018-10-01,2.656,4.696,2.404,1.752,11.508,0.775
2018-11-01,2.683,4.815,2.443,1.951,11.892,0.795
2018-12-01,2.737,4.866,2.427,1.921,11.951,0.823
2019-01-01,2.706,4.809,2.441,1.917,11.873,0.81
2019-02-01,2.647,4.879,2.39,1.737,11.653,0.829
2019-03-01,2.72,4.869,2.398,1.925,11.912,0.862
2019-04-01,2.742,4.972,2.467,1.963,12.144,0.871
2019-05-01,2.782,5.005,2.45,1.914,12.151,0.895
2019-06-01,2.824,5.046,2.424,1.928,12.222,0.887
2019-07-01,2.843,5.113,2.42,1.531,11.907,0.892
2019-08-01,2.936,5.172,2.336,2.044,12.488,0.939
2019-09-01,2.949,5.25,2.482,1.915,12.596,0.99
2019-10-01,3.06,5.336,2.499,1.914,12.809,0.994
2019-11-01,3.127,5.399,2.471,2.001,12.998,1.051
2019-12-01,3.071,5.446,2.486,1.98,12.983,1.056
2020-01-01,3.026,5.454,2.397,1.988,12.865,1.073
2020-02-01,3.062,5.406,2.401,1.995,12.864,1.097
2020-03-01,3.064,5.452,2.313,1.976,12.805,1.125
2020-04-01,2.746,5.125,2.136,1.911,11.918,1.024
2020-05-01,2.167,4.227,1.725,1.604,9.723,0.848
2020-06-01,2.29,4.599,2.006,1.555,10.45,0.945
2020-07-01,2.491,4.72,2.146,1.657,11.014,0.99
2020-08-01,2.633,4.672,2.105,1.19,10.6,1.012
2020-09-01,2.687,4.635,2.102,1.539,10.963,1.037
2020-10-01,2.718,4.642,2.06,1.072,10.492,1.083
2020-11-01,2.724,4.658,2.121,1.722,11.225,1.1
2020-12-01,2.631,4.635,2.105,1.817,11.188,1.057
2021-01-01,2.621,4.638,2.087,1.81,11.156,1.093
2021-02-01,2.452,3.77,1.914,1.795,9.931,0.992
2021-03-01,2.649,4.786,2.062,1.879,11.376,1.166
2021-04-01,2.713,4.795,2.052,1.795,11.355,1.182
2021-05-01,2.777,4.792,2.04,1.816,11.425,1.235
2021-06-01,2.809,4.779,2.029,1.784,11.401,1.277
2021-07-01,2.782,4.833,1.957,1.848,11.42,1.302
2021-08-01,2.892,4.893,1.981,1.552,11.318,1.377
2021-09-01,2.9,4.988,2.013,1.06,10.961,1.363
2021-10-01,2.958,4.996,2.008,1.678,11.64,1.395
2021-11-01,3.045,5.022,2.032,1.772,11.871,1.44
2021-12-01,2.983,5.041,2.043,1.693,11.76,1.395
2022-01-01,2.899,4.89,1.978,1.684,11.451,1.383
2022-02-01,2.972,4.906,1.974,1.613,11.465,1.444
2022-03-01,3.09,5.057,2.056,1.685,11.888,1.519
2022-04-01,2.912,5.095,2.069,1.754,11.83,1.56
2022-05-01,3.067,5.039,2.046,1.606,11.758,1.578
2022-06-01,3.088,5.069,2.027,1.735,11.919,1.569
2022-07-01,3.122,5.11,2.049,1.728,12.009,1.628
2022-08-01,3.16,5.187,2.026,1.761,12.134,1.662
2022-09-01,3.281,5.283,2.04,1.825,12.429,1.731
2022-10-01,3.302,5.311,2.036,1.793,12.442,1.753
2022-11-01,3.293,5.323,2.08,1.797,12.493,1.754
2022-12-01,3.174,5.218,2.022,1.788,12.202,1.808
2023-01-01,3.336,5.328,2.062,1.914,12.64,1.854
2023-02-01,3.386,5.309,2.072,1.854,12.621,1.819
2023-03-01,3.421,5.469,2.1,1.877,12.867,1.872
2023-04-01,3.451,5.43,2.103,1.75,12.734,1.878
2023-05-01,3.415,5.462,2.134,1.721,12.732,1.831
2023-06-01,3.38,5.436,2.126,1.845,12.787,1.756
2023-07-01,3.391,5.524,2.072,1.925,12.912,1.761
2023-08-01,3.485,5.543,2.095,1.876,12.999,1.812
2023-09-01,3.569,5.524,2.111,1.974,13.178,1.822
2023-10-01,3.546,5.555,2.177,1.935,13.213,1.82
2023-11-01,3.673,5.639,2.153,1.851,13.316,1.912
2023-12-01,3.726,5.582,2.143,1.846,13.297,1.963
2024-01-01,3.411,5.327,2.033,1.746,12.517,1.866
2024-02-01,3.685,5.524,2.112,1.808,13.129,1.968
2024-03-01,3.707,5.583,2.102,1.798,13.19,2.012
2024-04-01,3.684,5.637,2.134,1.859,13.314,1.998
2024-05-01,3.644,5.688,2.125,1.799,13.256,1.993
2024-06-01,3.599,5.756,2.082,1.815,13.252,1.975
2024-07-01,3.612,5.7,2.072,1.828,13.212,2.005
2024-08-01,3.692,5.805,2.074,1.84,13.411,2.068
2024-09-01,3.717,5.798,2.049,1.607,13.171,2.049
2024-10-01,3.785,5.832,2.103,1.81,13.53,2.114
2024-11-01,3.855,5.768,2.108,1.665,13.396,2.119
2024-12-01,3.801,5.685,2.081,1.87,13.437,2.106
2025-01-01,3.702,5.579,2.058,1.801,13.14,2.059
2025-02-01,3.758,5.665,2.054,1.763,13.24,2.156
2025-03-01,3.906,5.663,2.093,1.791,13.453,2.265
2025-04-01,3.806,5.75,2.111,1.799,13.466,2.197
2025-05-01,3.781,5.711,2.11,1.845,13.447,2.197
2025-06-01,3.848,5.756,2.094,1.912,13.61,2.219
2025-07-01,3.933,5.84,2.02,1.914,13.707,2.287
2025-08-01,3.939,5.836,2.052,1.983,13.81,2.3
2025-09-01,3.946,5.812,2.084,1.986,13.828,2.319
2025-10-01,3.989,5.767,2.079,2.029,13.864,2.348
2025-11-01,3.961,5.831,2.045,1.952,13.789,2.324
2025-12-01,3.81,5.801,2.061,1.985,13.657,2.258
2026-01-01,3.688,5.563,1.994,2.06,13.305,2.118
2026-02-01,3.883,5.804,2.03,1.98,13.697,2.307
2026-03-01,3.892,5.778,2.05,1.976,13.696,2.307
