date,SS,Medicare,Medicaid
2014-05-01,18.3525,16.8426,
2014-06-01,18.3369,16.8729,
2014-07-01,18.3206,16.9114,20.8965
2014-08-01,18.3297,16.9454,
2014-09-01,18.3551,16.9788,
2014-10-01,18.3713,17.0136,
2014-11-01,18.3915,17.0405,
2014-12-01,18.3929,17.071,
2015-01-01,18.4092,17.0998,
2015-02-01,18.4377,17.1099,
2015-03-01,18.461,17.1354,
2015-04-01,18.4884,17.15,
2015-05-01,18.5025,17.171,
2015-06-01,18.495,17.2004,
2015-07-01,18.4665,17.235,22.1921
2015-08-01,18.4947,17.2662,
2015-09-01,18.5136,17.2991,
2015-10-01,18.5297,17.3326,
2015-11-01,18.5433,17.3569,
2015-12-01,18.5463,17.3847,
2016-01-01,18.5727,17.4156,
2016-02-01,18.5982,17.4306,
2016-03-01,18.6261,17.4571,
2016-04-01,18.6478,17.4765,
2016-05-01,18.6688,17.5018,
2016-06-01,18.6581,17.5297,
2016-07-01,18.6344,17.5653,22.6365
2016-08-01,18.6557,17.5957,
2016-09-01,18.6561,17.6265,
2016-10-01,18.6784,17.6581,
2016-11-01,18.6948,17.6803,
2016-12-01,18.698,17.7034,
2017-01-01,18.7227,17.7567,
2017-02-01,18.7553,17.7712,
2017-03-01,18.7802,17.7975,
2017-04-01,18.8058,17.8146,
2017-05-01,18.8237,17.8368,
2017-06-01,18.8163,17.8666,
2017-07-01,18.8012,17.9036,22.6342
2017-08-01,18.8271,17.937,
2017-09-01,18.8311,17.9715,
2017-10-01,18.8562,17.9604,
2017-11-01,18.8769,17.9842,
2017-12-01,18.8817,18.0098,
2018-01-01,18.8994,18.1091,
2018-02-01,18.9326,18.1176,
2018-03-01,18.961,18.1436,
2018-04-01,18.9896,18.1609,
2018-05-01,19.0106,18.1847,
2018-06-01,19.004,18.2148,
2018-07-01,18.9946,18.2534,22.3193
2018-08-01,19.0233,18.2882,
2018-09-01,19.0337,18.3233,
2018-10-01,19.0619,18.356,
2018-11-01,19.0835,18.3811,
2018-12-01,19.0822,18.4079,
2019-01-01,19.1177,18.459,
2019-02-01,19.1564,18.4774,
2019-03-01,19.1909,18.5067,
2019-04-01,19.2209,18.5272,
2019-05-01,19.2465,18.5538,
2019-06-01,19.2413,18.5839,
2019-07-01,19.2348,18.6226,21.9934
2019-08-01,19.2646,18.657,
2019-09-01,19.2785,18.6919,
2019-10-01,19.3075,18.7265,
2019-11-01,19.3254,18.7527,
2019-12-01,19.3347,18.7791,
2020-01-01,19.3749,18.8086,
2020-02-01,19.4126,18.8267,
2020-03-01,19.4496,18.8525,
2020-04-01,19.48,18.871,
2020-05-01,19.5015,18.8843,
2020-06-01,19.4963,18.909,
2020-07-01,19.4865,18.9451,22.9614
2020-08-01,19.5057,18.9739,
2020-09-01,19.5021,19.0036,
2020-10-01,19.5227,19.0355,
2020-11-01,19.5322,19.056,
2020-12-01,19.5267,19.0722,
2021-01-01,19.5271,19.0995,
2021-02-01,19.5332,19.0995,
2021-03-01,19.5483,19.1244,
2021-04-01,19.5695,19.1455,
2021-05-01,19.5863,19.1713,
2021-06-01,19.5706,19.2008,
2021-07-01,19.5625,19.236,25.4772
2021-08-01,19.5588,19.2658,
2021-09-01,19.5691,19.2885,
2021-10-01,19.5763,19.3057,
2021-11-01,19.5828,19.3168,
2021-12-01,19.5733,19.3299,
2022-01-01,19.5908,19.3725,26.1886
2022-02-01,19.6085,19.3654,26.3122
2022-03-01,19.6192,19.3818,26.4475
2022-04-01,19.6371,19.4003,26.5596
2022-05-01,19.6582,19.4257,26.6914
2022-06-01,19.6366,19.4511,26.8201
2022-07-01,19.631,19.4823,27.0011
2022-08-01,19.6258,19.5064,27.1505
2022-09-01,19.6464,19.5376,27.2681
2022-10-01,19.6593,19.562,27.3835
2022-11-01,19.6652,19.5748,27.5108
2022-12-01,19.6664,19.5874,27.6571
2023-01-01,19.6959,19.6238,27.82
2023-02-01,19.7166,19.6312,27.9271
2023-03-01,19.7501,19.6545,28.0645
2023-04-01,19.7849,19.6705,28.1353
2023-05-01,19.8036,19.6929,28.0335
2023-06-01,19.7797,19.7145,27.6765
2023-07-01,19.7767,19.74,27.3478
2023-08-01,19.7694,19.7639,26.9248
2023-09-01,,19.7903,26.4346
2023-10-01,,19.8155,26.0644
2023-11-01,,19.8283,25.6236
2023-12-01,,19.8415,25.3255
2024-01-01,,19.8864,25.0388
2024-02-01,,19.8906,24.8251
2024-03-01,,19.911,24.5897
2024-04-01,,19.9257,24.2595
2024-05-01,,19.944,23.9692
2024-06-01,,19.9637,23.6892
2024-07-01,,19.9923,23.5734
2024-08-01,,20.0231,23.5393
2024-09-01,,20.0562,23.4814
2024-10-01,,20.0865,23.4188
2024-11-01,,20.1063,23.3359
2024-12-01,,20.1276,23.2001
2025-01-01,,20.1717,23.2587
2025-02-01,,20.182,23.2238
2025-03-01,,20.2045,23.1674
2025-04-01,,20.2198,23.0873
2025-05-01,,20.24,22.9834
2025-06-01,,20.2563,22.8779
2025-07-01,,20.2776,22.8135
2025-08-01,,20.3033,22.729
2025-09-01,,20.3286,22.637
2025-10-01,,20.3493,22.4294
2025-11-01,,20.3618,
