date,bd_cps,3ma,wk,wk3ma,zwc
2006-11-01,4.545450210571289,3.963667154312134,4.487705230712891,4.273829936981201,11.75394422248619
2006-12-01,4.166662693023682,4.106489817301433,4.8778533935546875,4.510692755381267,11.769773920535767
2007-01-01,4.3636322021484375,4.35858170191447,5.000340938568115,4.7886331876118975,11.449328321131787
2007-02-01,4.076087474822998,4.202127456665039,4.0019989013671875,4.626731077829997,11.649259364106792
2007-03-01,4.545450210571289,4.328389962514241,5.200004577636719,4.734114805857341,11.196783081285455
2007-04-01,4.166662693023682,4.262733459472656,4.417920112609863,4.539974530537923,11.340577296411354
2007-05-01,3.9215683937072754,4.211227099100749,4.005331039428711,4.541085243225098,10.845279747283326
2007-06-01,4.499995708465576,4.196075598398845,4.65240478515625,4.358551979064941,11.377431399395002
2007-07-01,4.545450210571289,4.322338104248047,4.894542694091797,4.517426172892253,11.365951779034168
2007-08-01,4.258817672729492,4.434754530588786,4.347825050354004,4.631590843200684,11.775272401246568
2007-09-01,4.347825050354004,4.384030977884929,5.000340938568115,4.747569561004639,11.984012169229567
2007-10-01,4.347825050354004,4.318155924479167,4.31675910949707,4.5549750328063965,11.916907328899905
2007-11-01,4.166531562805176,4.287393887837728,4.545450210571289,4.620850086212158,11.67051786188855
2007-12-01,4.000556468963623,4.1716376940409345,4.761910438537598,4.541373252868652,11.584479743632585
2008-01-01,3.9514660835266113,4.039518038431804,4.511058330535889,4.606139659881592,11.830528659357661
2008-02-01,4.166662693023682,4.039561748504639,4.416918754577637,4.563295841217041,11.940709985264915
2008-03-01,4.166662693023682,4.094930489857991,4.591834545135498,4.506603876749675,11.34143791791862
2008-04-01,4.194319248199463,4.175881544748942,4.166966438293457,4.39190657933553,11.491945287593312
2008-05-01,4.166531562805176,4.1758378346761065,4.166507720947266,4.308436234792073,11.303442649989046
2008-06-01,4.238062858581543,4.1996378898620605,4.166531562805176,4.1666685740153,11.75284106870538
2008-07-01,4.088997840881348,4.1645307540893555,4.290139675140381,4.2077263196309405,11.747960225501183
2008-08-01,4.000914096832275,4.109324932098389,4.002225399017334,4.152965545654297,12.109683974183975
2008-09-01,4.166662693023682,4.085524876912435,4.404097557067871,4.232154210408528,12.17224234253832
2008-10-01,4.000461101531982,4.0560126304626465,4.000181198120117,4.135501384735107,12.004528988758077
2008-11-01,4.078912734985352,4.082012176513672,3.7056028842926025,4.036627213160197,12.013933838480824
2008-12-01,3.734433650970459,3.9379358291625977,3.9999961853027344,3.9019267559051514,11.792714987212525
2009-01-01,3.5293519496917725,3.780899445215861,3.0302584171295166,3.5786191622416177,11.982617132539396
2009-02-01,3.2321393489837646,3.4986416498819985,2.8571486473083496,3.2958010832468667,12.231438939261787
2009-03-01,3.3898353576660156,3.383775552113851,3.07348370552063,2.9869635899861655,12.605004104774977
2009-04-01,3.0666708946228027,3.229548533757528,2.564108371734619,2.8315802415211997,13.177827853267933
2009-05-01,3.350400924682617,3.2689690589904785,2.868252992630005,2.8352816899617515,13.717795904161312
2009-06-01,2.8571486473083496,3.09140682220459,1.8940329551696777,2.442131439844767,14.564199714282154
2009-07-01,2.6666641235351562,2.958071231842041,1.4493942260742188,2.0705600579579673,14.446375919922268
2009-08-01,1.9819915294647217,2.501934766769409,0.2142190933227539,1.1858820915222168,14.681095983090032
2009-09-01,2.2893309593200684,2.312662204106649,1.7241358757019043,1.1292497316996257,14.549162441140789
2009-10-01,2.1468043327331543,2.139375607172648,1.7206072807312012,1.2196540832519531,15.26265311612372
2009-11-01,2.170872688293457,2.202335993448893,1.9762873649597168,1.8070101737976074,15.587638146272305
2009-12-01,1.0849833488464355,1.8008867899576824,1.2138128280639648,1.6369024912516277,16.256408552793896
2010-01-01,1.8456637859344482,1.700506607691447,0.6297171115875244,1.273272434870402,16.056395614077406
2010-02-01,2.0942986011505127,1.674981911977132,2.1806716918945312,1.3414005438486736,16.035972159431257
2010-03-01,1.923072338104248,1.954344908396403,2.374422550201416,1.728270451227824,15.862373110350475
2010-04-01,1.8371820449829102,1.951517661412557,2.0031988620758057,2.1860977013905845,16.005784959704016
2010-05-01,1.5384554862976074,1.7662366231282551,1.508772373199463,1.9621312618255615,16.07254495378569
2010-06-01,2.1247267723083496,1.8334547678629558,1.913142204284668,1.8083711465199788,16.196539280746507
2010-07-01,1.903468370437622,1.855550209681193,2.4694621562957764,1.9637922445933025,16.19157526982568
2010-08-01,1.6949057579040527,1.9077003002166748,2.145516872406006,2.1760404109954834,16.602009686757615
2010-09-01,2.0408153533935547,1.8797298272450764,2.307593822479248,2.3075242837270102,16.37674473742676
2010-10-01,1.3513565063476562,1.695692539215088,1.7009615898132324,2.0513574282328286,16.986154808150513
2010-11-01,1.8671035766601562,1.753091812133789,1.9779741764068604,1.9955098628997803,16.351870572727062
2010-12-01,1.9774198532104492,1.7319599787394206,2.7777254581451416,2.1522204081217446,17.470638901172805
2011-01-01,1.9762873649597168,1.9402702649434407,2.6285648345947266,2.461421489715576,17.211230097651324
2011-02-01,2.027463912963867,1.993723710378011,2.222716808319092,2.5430023670196533,17.47211835525052
2011-03-01,1.8181800842285156,1.9406437873840332,2.066981792449951,2.3060878117879233,16.415250980201325
2011-04-01,1.7660856246948242,1.870576540629069,2.1065831184387207,2.132093906402588,16.44109362552288
2011-05-01,2.339261770248413,1.9745091597239177,2.7149498462677,2.2961715857187905,16.3961544693605
2011-06-01,1.9736886024475098,2.0263453324635825,2.3076891899108887,2.3764073848724365,16.20782855543553
2011-07-01,2.1672725677490234,2.160074313481649,2.940642833709717,2.6544272899627686,16.290428067562896
2011-08-01,2.692025899887085,2.2776623566945395,3.094005584716797,2.7807792027791343,16.047115160915325
2011-09-01,1.5002965927124023,2.1198650201161704,2.0203709602355957,2.6850064595540366,16.888355626861518
2011-10-01,2.4390220642089844,2.2104481856028237,2.444016933441162,2.5194644927978516,16.121862893617564
2011-11-01,2.045804262161255,1.9950409730275471,2.2321879863739014,2.2321919600168862,16.2244783705081
2011-12-01,1.6780495643615723,2.0542919635772705,2.1193087100982666,2.26517120997111,15.909304442151248
2012-01-01,2.038276195526123,1.9207100073496501,2.6006877422332764,2.317394812901815,16.231994767831385
2012-02-01,2.0408153533935547,1.9190470377604167,2.083265781402588,2.267754077911377,16.363681172833484
2012-03-01,1.9775867462158203,2.018892765045166,2.537059783935547,2.407004435857137,15.899650217484954
2012-04-01,2.541017532348633,2.1864732106526694,2.564108371734619,2.3948113123575845,15.973128765255574
2012-05-01,1.9924581050872803,2.170354127883911,2.0851433277130127,2.395437161127726,16.45009481289978
2012-06-01,2.3479819297790527,2.2938191890716553,2.564108371734619,2.4044533570607505,16.746015709157863
