date,FL144104005.Q,FL154104005.Q,FL214104005.Q,FL314104005.Q
2014-01-01,1.33,0.14,-0.08,1.41
2014-04-01,1.21,0.11,-0.1,1.39
2014-07-01,1.26,-0.01,-0.2,1.6
2014-10-01,1.64,-0.1,-0.2,1.38
2015-01-01,1.97,0.15,-0.09,1.27
2015-04-01,2.19,0.27,-0.04,1.31
2015-07-01,2.12,0.56,0.1,1.0
2015-10-01,1.86,0.41,0.06,1.56
2016-01-01,1.8,0.35,0.01,1.73
2016-04-01,1.43,0.31,0.02,1.72
2016-07-01,1.41,0.39,0.02,2.03
2016-10-01,1.02,0.43,-0.01,1.32
2017-01-01,0.85,0.34,-0.1,0.61
2017-04-01,1.15,0.52,-0.12,0.65
2017-07-01,1.12,0.46,-0.14,0.72
2017-10-01,1.57,0.6,-0.08,0.65
2018-01-01,1.3,0.54,-0.11,1.56
2018-04-01,1.58,0.38,-0.14,1.61
2018-07-01,1.51,0.41,-0.13,1.63
2018-10-01,1.37,0.34,-0.21,1.83
2019-01-01,1.67,0.42,-0.17,1.6
2019-04-01,1.09,0.54,-0.2,1.31
2019-07-01,1.16,0.6,-0.18,1.77
2019-10-01,0.9,0.68,-0.09,1.73
2020-01-01,2.01,0.63,-0.04,2.06
2020-04-01,3.24,0.56,0.1,7.86
2020-07-01,2.6,0.5,0.14,7.43
2020-10-01,2.48,0.6,0.12,7.77
2021-01-01,1.08,0.6,0.09,6.96
2021-04-01,-0.23,1.18,-0.04,1.65
2021-07-01,-0.06,1.13,-0.11,0.75
2021-10-01,0.08,0.95,-0.2,0.48
2022-01-01,0.03,0.93,-0.31,0.74
2022-04-01,-0.06,0.26,-0.33,0.1
2022-07-01,-0.07,0.26,-0.34,0.58
2022-10-01,-0.28,0.17,-0.35,0.04
2023-01-01,-0.28,0.03,-0.26,-0.14
2023-04-01,-0.34,0.02,-0.21,0.94
2023-07-01,-0.36,-0.07,-0.18,1.77
2023-10-01,-0.29,-0.0,-0.11,2.57
2024-01-01,-0.35,0.06,-0.09,2.79
2024-04-01,-0.13,0.06,-0.04,2.23
2024-07-01,0.14,0.1,0.01,2.06
2024-10-01,-0.04,-0.24,0.01,1.82
2025-01-01,-0.04,-0.32,0.03,1.42
2025-04-01,-0.06,-0.27,0.06,1.23
2025-07-01,-0.11,-0.26,0.07,1.76
2025-10-01,0.18,0.07,0.08,1.78
2026-01-01,0.4,0.05,0.09,2.01
