year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1995-01-01,Hispanic,100,100,87.605453,76.739891,69.66037,2.2502058,6.5128164,0.083496094,1.8205203,2.6476068,20.620327,0.76228017,32.83202,7.6952262,24.530325,82.17495,42.897633,79.02784,5.16607,4.2110891,8.0894194,3.5738497,46.906891,75.400169,33.906292,2.0668972,45.240067,1.2470241,56.106956,8.1965513,33.906292,0.78021586,30.623915,11.742129,16.13378
1995-01-01,Other,100,100,96.745132,91.995911,88.634064,18.332247,12.423728,2.0403595,12.981218,9.4214773,24.554974,3.4359975,39.958412,10.915395,38.961258,88.887283,51.812904,82.643867,10.103106,11.236776,10.549374,7.27843,61.177471,67.688576,37.911179,5.3166347,41.679131,3.1875689,44.778618,8.4008541,37.911179,4.8794861,32.422237,11.109584,12.394506
1998-01-01,"White, non-Hispanic",100,100,98.901787,96.511086,94.998016,17.994743,22.289042,3.7758157,22.273096,18.935204,32.234348,7.2666669,53.81778,10.244449,54.710514,93.868195,72.001938,87.376366,14.102191,9.1058025,14.561259,9.5597343,76.691185,74.789925,46.735527,5.2894468,44.222511,2.4684911,44.266491,8.8349752,45.484604,5.0188599,32.02618,11.247416,12.601813
1998-01-01,"Black, non-Hispanic",100,100,89.644287,81.531761,73.049614,7.0173759,8.1042633,0.21647069,7.2390838,7.0935779,28.762125,1.9449378,34.179241,10.377594,30.158224,72.523285,46.051701,60.926441,9.062191,4.5523458,5.4106579,2.8707943,51.210182,68.223526,29.559475,3.7841711,39.064835,1.5776583,42.000378,10.023231,28.384855,2.7854178,26.404251,11.152532,10.894529
1998-01-01,Hispanic,100,100,88.392334,77.244156,74.284935,3.0009859,6.1754909,0.52774888,6.6836939,5.9552555,10.974398,0.55456781,21.711426,5.101347,21.389378,78.389725,44.270119,71.071564,6.8551636,4.8289895,4.0431833,3.2384748,46.724972,72.261055,27.988493,3.1825109,44.768131,2.4388242,46.136875,6.7655101,27.432327,1.9580266,32.468204,9.0510292,14.482989
1998-01-01,Other,100,100,93.727867,89.026855,87.680962,10.762093,18.238979,0.71504712,17.739265,15.536596,16.083893,2.4458663,46.576294,8.6156025,42.638615,84.575699,54.940186,80.633644,13.603549,11.324875,13.075955,3.9094973,64.46386,79.164017,39.964111,5.6918278,46.593708,1.3876914,43.370827,7.4922581,39.964111,3.2636619,32.399132,15.658494,11.512039
2001-01-01,"White, non-Hispanic",100,100,99.002701,96.724297,95.345016,18.554417,19.488333,3.8234315,24.687107,20.992998,29.938913,8.2627754,57.695469,9.7245264,58.712444,94.732925,74.337608,89.156837,13.093358,9.5429659,16.081882,8.4858742,79.218727,75.832703,47.570934,5.3310456,45.463394,1.6596086,43.319202,7.430232,46.080116,5.707756,35.860252,10.997551,10.797909
2001-01-01,"Black, non-Hispanic",100,100,90.180946,85.329231,81.756004,6.5445862,10.148933,0.49861354,9.4367561,7.3898382,28.884949,1.7729092,40.135838,9.8802958,35.76321,76.810509,47.534557,70.058983,5.9551897,4.889019,3.2473619,1.9198067,50.703709,73.857643,36.355865,1.9877524,46.790356,0.63796109,52.344406,5.033896,35.36467,2.0495677,34.749992,14.853868,10.437142
2001-01-01,Hispanic,100,100,87.838577,77.041054,72.280663,4.7958937,3.0648558,0.22940515,6.6929746,3.9901695,11.39517,1.7595863,31.486746,9.6118069,28.917555,79.349915,43.977768,72.522186,5.9618073,2.0570543,5.3027515,1.3484784,44.658176,71.073692,31.884623,2.5604088,43.032124,1.2254947,43.28363,7.38272,31.884623,0.77962077,30.419096,11.568706,13.296886
2001-01-01,Other,100,100,92.522484,88.911064,85.84494,11.331726,11.304753,0.59400922,23.566849,14.030371,21.027758,1.7087402,42.562778,10.049166,47.139881,81.484367,52.898739,73.551208,8.0244513,4.2729998,14.38889,7.615293,60.313217,73.884605,40.521908,3.4282775,39.916874,2.8888392,41.486759,9.3294125,40.521908,3.6203597,27.36771,11.333182,15.373489
