date,Manufacturing,Mining,Electric and gas utilities,Durable manufacturing,Nondurable manufacturing,Consumer goods,Durable consumer goods,Automotive products,Nondurable consumer goods,Foods and tobacco,Chemical products,Consumer energy products,"Equipment, total",Transit equipment,Information processing and related equipment,Industrial equipment,Oil and gas well drilling and manufactured homes,Materials,Durable goods materials,Consumer parts,Equipment parts,Basic metals,Nondurable goods materials,Textile materials,Chemical materials,Energy materials,Nonindustrial supplies,Construction supplies,Business supplies,Motor vehicles and parts,Clothing,Paper products,Paper materials,Commercial energy products,Total index,"Food, beverage, and tobacco",Chemical
1989-10-01,61.2571,85.8173,71.3786,40.3889,91.2174,79.0297,58.9398,47.0692,87.7101,83.5772,74.9183,67.8378,49.6639,52.6637,12.6296,83.8733,114.175,52.673,33.1668,54.313,9.0774,103.133,99.2168,205.16,88.5101,74.6359,75.1114,84.0922,71.3581,46.083,655.044,152.874,126.626,61.0242,61.4105,80.2196,84.0552
1989-11-01,61.3927,86.4648,72.0509,40.4519,91.4821,79.3507,59.3448,47.8926,87.9725,83.9749,75.066,68.1841,49.8233,53.2882,12.7315,84.3509,117.012,52.8253,33.1413,54.1438,9.1293,100.934,99.1421,205.034,87.5001,75.5291,75.3967,84.0884,71.7334,47.0777,647.215,154.575,127.179,62.0963,61.6172,80.8575,84.0789
1989-12-01,61.4102,84.0685,77.2369,40.6708,90.9547,80.6194,59.965,48.9546,89.5599,84.5387,76.3753,73.2195,50.5803,56.0695,12.7774,84.2797,117.112,52.7551,32.9921,53.7752,9.1267,99.9964,98.1048,202.629,86.4221,76.461,75.359,82.9984,72.0356,47.6527,644.64,153.379,123.916,63.8237,61.9635,81.3216,83.4473
1990-01-01,61.3843,88.0757,71.4079,40.2333,92.0132,78.9313,56.6914,41.573,88.7908,84.2984,75.9959,69.1285,50.3155,49.8907,13.0757,85.1928,117.993,52.6621,32.9474,49.2774,9.2523,102.119,99.6961,203.834,88.4814,74.943,76.3399,84.8995,72.7088,38.9995,661.676,155.532,127.075,62.5439,61.644,81.1741,84.5227
1990-02-01,62.2216,87.3213,70.5114,40.9897,92.7713,79.907,60.1784,48.2439,88.3696,85.1328,76.7724,65.2199,50.9599,56.9052,13.1081,83.5939,119.546,53.1476,33.2805,53.7069,9.2571,100.058,100.55,202.902,90.0335,75.5806,76.3248,85.253,72.5752,46.6126,650.925,157.165,127.773,60.7761,62.2108,81.8817,85.8457
1990-03-01,62.5248,86.6118,71.4928,41.5224,92.3824,80.4198,61.2767,50.1377,88.5519,85.6153,75.7745,66.448,51.6025,61.2659,13.234,83.3654,123.41,53.2332,33.6874,55.507,9.2873,101.677,99.8463,200.95,89.1053,75.1858,76.6145,85.0479,73.0208,49.2159,644.693,156.354,127.07,62.1397,62.5068,82.3292,85.0483
1990-04-01,62.2699,86.9565,71.9802,41.241,92.346,80.0698,59.8855,48.9978,88.7698,85.448,76.2224,67.4643,51.254,61.0277,13.2181,82.5155,122.713,53.262,33.6376,54.4777,9.2793,104.383,100.076,199.287,90.1055,75.3133,76.3498,84.1944,72.9484,47.8931,648.887,154.535,126.684,62.7207,62.3597,82.1153,85.4874
1990-05-01,62.4634,86.8539,72.3786,41.578,92.0492,80.0147,60.3847,49.4605,88.4226,85.2647,74.9563,67.2296,51.7887,62.6455,13.4437,83.7371,126.43,53.4112,33.88,55.5018,9.3544,103.835,99.801,197.896,88.5031,75.4512,76.5625,83.7453,73.3711,49.3096,645.101,156.475,128.905,62.8947,62.5474,82.0088,83.9758
1990-06-01,62.6543,86.6043,73.1175,41.7096,92.3668,80.8674,61.2284,50.6546,89.2613,85.6253,76.4053,68.6355,51.7339,64.4855,13.5464,81.9819,119.914,53.4875,34.0386,56.4267,9.3415,105.111,99.3777,195.762,89.046,75.619,76.6015,84.1059,73.3066,50.683,648.214,156.43,125.602,62.8173,62.7541,82.3475,84.9531
1990-07-01,62.5136,87.1683,72.8753,41.5145,92.4083,80.1746,59.3939,48.3758,89.1877,85.5347,76.3908,68.5217,51.9505,64.3723,13.6089,83.262,118.746,53.4953,33.9537,56.0743,9.37,103.428,99.9642,196.183,88.3758,75.4966,76.5381,83.3793,73.4565,49.155,641.631,158.583,128.53,64.0948,62.6497,82.3533,84.4029
1990-08-01,62.741,86.8017,73.5786,41.6963,92.6881,80.4417,59.3306,48.0635,89.6268,85.7264,76.9902,68.7757,51.9929,64.9166,13.6101,83.2736,116.457,53.8132,34.1756,55.7871,9.4393,106.982,99.9575,195.542,88.6436,76.3241,76.5035,83.2969,73.4374,48.9353,647.29,160.144,128.22,63.2659,62.8761,82.6735,84.7197
1990-09-01,62.6393,87.2883,74.4486,41.5806,92.7843,80.9982,59.534,48.6357,90.362,86.297,77.2444,70.884,51.957,65.8222,13.5921,83.0248,116.906,53.6802,34.0407,55.575,9.431,106.363,99.6611,194.141,88.1903,76.3369,76.3685,82.9327,73.3773,49.6384,647.072,159.155,126.981,64.3799,62.896,83.0774,84.634
1990-10-01,62.2258,88.1525,73.3181,41.1411,92.5912,79.8927,57.5965,46.3165,89.736,86.1482,77.1287,68.8421,51.8733,64.9176,13.6796,82.5032,112.87,53.4551,33.658,53.6047,9.4429,103.738,99.6183,193.818,88.1417,76.5161,76.0951,82.1359,73.274,47.7494,637.652,160.291,128.668,63.9819,62.506,82.9349,84.6192
1990-11-01,61.4822,87.5472,71.7946,40.162,92.8109,78.9751,54.4532,40.7443,90.0488,87.8445,78.0046,66.9959,50.7051,59.4842,13.6177,81.8194,110.181,52.784,33.0094,49.2017,9.4111,104.61,99.5407,190.083,88.2428,75.4174,75.8306,82.1152,72.9348,41.1336,624.66,159.089,128.385,63.2299,61.7271,84.5959,84.9636
1990-12-01,60.9998,86.1438,72.281,39.7419,92.2905,78.3786,53.5198,39.2366,89.6598,87.2986,77.9523,66.3454,50.4435,58.9037,13.6179,81.6662,105.327,52.3932,32.5486,47.7001,9.4041,100.895,98.9599,185.406,87.8328,75.4476,75.323,81.5364,72.4557,39.6421,627.577,158.65,128.707,62.6639,61.2939,83.9755,84.7388
1991-01-01,60.6226,86.1373,73.5403,39.5048,91.7,78.7678,53.6145,40.3018,90.2068,86.8654,78.7007,68.9314,50.2184,61.1856,13.4532,79.7822,103.682,52.1261,32.1801,48.2553,9.3625,98.406,98.1587,187.982,87.171,75.9473,74.4645,78.5884,72.2719,40.9893,631.74,158.447,125.768,63.6687,61.0931,83.6099,84.2837
1991-02-01,60.1949,87.513,71.6667,39.0592,91.4612,78.0205,52.3627,38.7919,89.7665,86.5966,78.6054,67.5397,49.7954,58.3329,13.451,80.8804,101.091,51.8383,31.949,46.2706,9.374,98.2143,97.7054,185.88,86.4094,75.6397,73.9377,78.3384,71.6631,38.4992,630.917,158.525,124.985,62.655,60.6522,83.5833,83.6036
1991-03-01,59.7339,86.5919,72.6395,38.8544,90.6361,78.0655,52.6096,39.2098,89.7068,85.5726,79.7828,68.859,49.6807,59.6585,13.4033,80.4587,101.451,51.4164,31.5506,46.0047,9.3445,94.8487,96.5598,187.809,85.2353,75.7431,72.9665,77.3741,70.701,39.2306,629.155,156.837,122.394,62.0087,60.3069,82.5843,83.5164
1991-04-01,59.9935,85.7199,72.5629,39.1044,90.8132,78.0602,53.7664,40.9469,89.0644,84.7369,79.7973,67.7983,49.4583,60.8225,13.4777,79.1466,105.392,51.6857,31.9393,47.7224,9.3049,98.2364,97.1262,190.025,86.3026,75.3704,73.4732,78.0044,71.1621,41.2934,622.582,158.101,123.398,62.3972,60.4658,81.8704,84.3108
1991-05-01,60.4037,85.4561,75.7286,39.2469,91.842,79.4151,54.7001,42.5728,90.6157,86.6103,79.7664,70.3773,49.5344,62.9074,13.5217,77.7112,107.684,52.1701,31.9821,49.0866,9.3094,94.6833,98.0869,194.772,86.6983,76.8806,73.9504,78.1001,71.7543,43.3926,628.608,158.355,122.804,64.5455,61.0671,83.9179,84.5149
1991-06-01,60.9627,85.6272,76.0057,39.8211,92.2338,80.389,56.1078,44.4617,91.3183,87.0059,79.8591,72.1718,49.9228,64.3853,13.6648,77.6983,102.254,52.458,32.4954,50.7635,9.2862,99.1099,98.004,195.511,86.8343,76.6822,74.5792,79.4202,72.1568,45.2982,637.774,157.693,123.114,65.0784,61.5611,83.6932,84.6668
1991-07-01,61.2793,84.7455,75.4154,40.2038,92.293,80.1833,57.0829,45.5525,90.4579,86.1723,79.0584,70.5385,50.0273,68.4576,13.6106,76.2225,95.7517,52.8903,32.8841,53.3107,9.2765,101.017,99.3074,201.694,88.1459,76.5434,74.2452,79.2498,71.775,48.3308,642.324,156.926,125.006,64.0594,61.723,83.1254,85.0617
1991-08-01,61.3614,84.6128,74.8761,40.1063,92.7409,80.1866,56.2518,43.712,90.932,86.2209,80.4426,70.2684,49.8429,64.0007,13.7638,77.8859,88.2641,52.8555,32.9936,51.4834,9.397,101.112,99.2681,200.315,87.9795,76.0436,74.7892,80.0252,72.2393,44.9137,651.206,158.755,125.635,63.9609,61.736,83.0154,85.4806
