date,ASSETS,NW,LIAB,DPI
1997-01-01,3.7633874715065074,3.6659404322592515,4.343876185770124,3.250844702133704
1997-04-01,6.581892353869678,6.920479498400001,4.576343563745655,3.219309778816948
1997-07-01,8.615617918016017,9.223921704243288,5.043114337374899,3.596267056061464
1997-10-01,8.502555159781867,9.058982043809461,5.222239928660399,4.565431907223094
1998-01-01,12.497410889492166,13.614057221628606,5.888804256351676,5.758406565812346
1998-04-01,10.287455648717959,10.893207130207427,6.619025107694032,6.269826356607777
1998-07-01,5.998763486141545,5.943935275439394,6.333562803593096,6.091588558194649
1998-10-01,9.544211012636028,9.939710065951889,7.127631814424951,5.376270654197568
1999-01-01,5.695181633874502,5.428952076430615,7.385732391312616,4.3292522737839345
1999-04-01,6.23065969471468,6.102346532881664,7.03887535076313,3.0350062751156814
1999-07-01,7.3809475989093265,7.387032912045277,7.343922755392263,2.7852175459977424
1999-10-01,7.81489280886809,7.918036138954676,7.168117836884669,3.3470549365838487
2000-01-01,9.045193420732156,9.37243407881876,7.005085246413034,4.020448538307897
2000-04-01,6.2141069345270195,6.122322266343461,6.787179536524213,5.140098354101874
2000-07-01,7.84441453559479,8.021182732290399,6.7684872570293875,5.69612594480009
2000-10-01,1.264896988101305,0.48780363601668153,6.171870128071544,4.94928185989012
2001-01-01,-1.4035786819153628,-2.400393842662085,4.948380289584553,3.9877534239969314
2001-04-01,1.4583795138873201,0.8176154288490611,5.434186513820238,2.4964861763919766
2001-07-01,-1.2932886082295814,-2.615783323823284,6.850823546319318,3.3933641695975236
2001-10-01,3.0106998757046366,2.3406966671277063,7.014950540565512,1.0449683215289385
2002-01-01,5.128304749562673,4.526241084859994,8.696151419573873,2.5787394557816645
2002-04-01,1.2813955542831712,0.13287234673327042,8.095705404966914,3.6742901482121226
2002-07-01,0.6523426790250975,-0.4496232343755069,6.837195691849418,1.610427683837945
2002-10-01,-0.6780278658314987,-2.1535983791837965,7.755480029206607,3.982618060746357
2003-01-01,-1.8149893059819844,-3.472114425056627,7.62850963184476,1.5388508493558772
2003-04-01,3.6786226473061623,2.4504587312722093,10.428667674952274,1.9894318968195268
2003-07-01,7.35914644765947,6.768174078769151,10.449800690664413,3.6210605841882293
2003-10-01,8.90410662874983,8.66926754690236,10.122894400254179,3.251697941834686
2004-01-01,12.768572905484966,13.299360860523679,10.055727431085515,3.7697747797047487
2004-04-01,9.563804872363434,9.836213679716277,8.174810983746749,3.5472430845297387
2004-07-01,10.218414213152371,10.611039544236167,8.233511041307251,2.4951460798438685
2004-10-01,10.145370298906942,10.420836550217683,8.73460521974323,3.5054340783125637
2005-01-01,7.264873932889748,6.9778315213355535,8.775172769494377,1.8003166367064782
2005-04-01,8.288806163230511,8.227561427510889,8.605877116703041,1.7325969041543487
2005-07-01,7.969596492922326,7.898520529063235,8.336809464396078,1.43195857457461
2005-10-01,6.449306236535857,6.282616870413227,7.316216308966728,1.0065695021334031
2006-01-01,7.993759876290452,7.903345506114068,8.461622430825866,4.304799908181578
2006-04-01,5.621015700493448,5.159373664399114,8.00274123712368,3.6952523017290684
2006-07-01,5.180428730935849,4.643206704672598,7.944749998118339,3.4701610779718894
2006-10-01,5.839963127675718,5.307494391444867,8.582529546713324,3.912386864232187
2007-01-01,4.02497065655858,3.557992811470978,6.428978701000898,2.615008935221841
2007-04-01,4.439726885223383,4.148575398907228,5.90230337829829,2.6877075710539655
2007-07-01,3.8990658315683158,3.6292370561461507,5.245026848993883,2.6601812140375714
2007-10-01,-0.014136346441617764,-0.7055636650853847,3.4397568208771157,1.53294585520527
2008-01-01,-3.5845838574043665,-4.915431356704492,3.0818206477717824,0.9577556707109469
2008-04-01,-6.4445667742387025,-7.80535109166498,0.278025944254523,2.4538262127005606
2008-07-01,-10.441727080034568,-12.364147868567565,-0.9995228215139096,0.232736172995196
2008-10-01,-11.672823479314488,-13.704609368739574,-1.9301593853595977,1.1515727757025918
2009-01-01,-10.554886869503555,-12.409055168609607,-1.9876557879553114,0.7630979497377899
2009-04-01,-7.839800551323894,-9.317977009076728,-1.1259182228004594,-0.6261501956529303
2009-07-01,-3.188353481290984,-3.532296213667785,-1.6929595975395229,0.17086466575333414
2009-10-01,-0.7030113322937459,-0.39080409409048,-2.0203422549285754,-0.7048898618931654
2010-01-01,2.036767633828318,3.279932458379542,-3.096554011105712,0.2619767176709864
2010-04-01,1.044643388966815,2.0491655068042514,-3.1398769629516377,1.3806279661478404
2010-07-01,2.1155616866175952,3.340985451127576,-3.112649004123047,3.2796021750118642
2010-10-01,3.8770044503602774,5.446912200326737,-2.857250721983162,3.4590347792435416
2011-01-01,3.4097765516112544,4.80049170918726,-2.710692074635712,3.6639744821395315
2011-04-01,3.6969712358873252,5.311184978111716,-3.3875688569550255,1.7152617690010086
2011-07-01,-1.398610498630759,-0.9254774473640204,-3.5516677907749927,1.5192554331203256
2011-10-01,-1.491119873861968,-1.09497183959405,-3.3356952922260485,1.437543401569119
2012-01-01,-0.26730244089128163,0.37927064942635536,-3.332527165721133,2.323214308182875
2012-04-01,-0.02156178646255391,0.5237038602485367,-2.6301182859672423,3.5007961551267064
2012-07-01,4.799620079986555,6.232313526658562,-1.8975733025629937,2.368636187043549
2012-10-01,4.198123896722827,5.531498736607632,-2.1543575732979936,4.924866335815037
2013-01-01,5.34034004751569,6.797558098538015,-1.8331897619854098,-1.0279968671112139
2013-04-01,7.043307728035875,8.726167501169746,-1.268277830136566,-1.175096187081004
2013-07-01,7.483534340785325,9.17523843289214,-1.0797596481129546,-0.14161752623681467
2013-10-01,8.919855182791503,10.582867697249343,0.3745557510229647,-2.559553164012296
2014-01-01,7.321613072008759,8.611051453506867,0.4159465615864333,2.7083976340380067
2014-04-01,7.5732146042067905,8.855721320653398,0.5977527817206951,3.2992976223598536
2014-07-01,5.384158631074376,6.315602080934113,0.1804624354568185,4.058179111922344
2014-10-01,5.273533952169829,6.226664115844627,-0.12217100163084416,5.190746749176367
2015-01-01,6.192733119194571,7.146784401299167,0.666260033408772,5.270546415210209
2015-04-01,4.853744046133857,5.520305749548915,0.9307589632300939,4.18245325687947
2015-07-01,3.3414526695206836,3.664781387770999,1.4244898392366645,3.623828616033098
2015-10-01,3.043605169721153,3.3609182813436833,1.1330989876761732,2.8331370179514037
2016-01-01,1.845875802983299,2.0057123241165264,0.8603963670111181,2.2513273302404713
2016-04-01,2.365111275189835,2.6346028623569495,0.7069223404957414,1.8014935763153606
2016-07-01,5.1005182964384055,5.7146062140357,1.3792724042404725,1.7034982475442328
2016-10-01,3.688587030215129,4.074335768729775,1.3148752362758476,1.6141654749103784
2017-01-01,4.326656443741728,4.832866728295748,1.1701525124701906,1.8716165344335067
2017-04-01,4.961182703849731,5.492737874861731,1.62790398042858,3.0494800252214738
2017-07-01,4.82331934681921,5.380781832535364,1.3007521292019764,3.1693794984250845
2017-10-01,6.434081962563232,7.171622487613694,1.7720011739664532,3.127186643011215
