date,44X72,454
2017-08-01,3.38315,11.5504
2017-09-01,3.98086,12.0442
2017-10-01,4.42935,11.3534
2017-11-01,5.26136,12.3023
2017-12-01,5.32846,12.9379
2018-01-01,4.99075,13.9584
2018-02-01,4.46446,13.389
2018-03-01,4.24053,13.0283
2018-04-01,4.42468,13.1061
2018-05-01,4.98881,12.6275
2018-06-01,5.29901,11.8928
2018-07-01,5.88686,11.4664
2018-08-01,5.7701,11.4431
2018-09-01,5.04991,11.8095
2018-10-01,4.44989,12.5282
2018-11-01,3.69336,12.9385
2018-12-01,2.87767,9.00236
2019-01-01,2.19967,8.16696
2019-02-01,1.64421,7.79001
2019-03-01,2.50541,11.0549
2019-04-01,2.90864,10.6305
2019-05-01,3.18544,11.2068
2019-06-01,3.1266,12.9368
2019-07-01,3.05414,14.0644
2019-08-01,3.5016,14.2894
2019-09-01,3.63079,13.213
2019-10-01,3.53323,12.7328
2019-11-01,3.25124,10.5284
2019-12-01,3.86633,12.7113
2020-01-01,4.47634,11.2305
2020-02-01,4.97285,11.2391
2020-03-01,1.18857,9.22778
2020-04-01,-7.0858,14.6147
2020-05-01,-10.5417,21.6981
2020-06-01,-7.9239,25.0069
2020-07-01,-0.351627,25.459
2020-08-01,2.59825,24.7315
2020-09-01,3.90151,25.609
2020-10-01,4.77789,26.3688
2020-11-01,4.87436,26.4756
2020-12-01,3.71952,23.3591
2021-01-01,5.01403,25.3128
2021-02-01,6.02532,25.8148
2021-03-01,15.1151,30.5505
2021-04-01,29.8485,24.7985
2021-05-01,37.0579,17.954
2021-06-01,33.4411,11.9792
2021-07-01,20.7405,7.95527
2021-08-01,16.6215,8.03708
2021-09-01,15.0574,7.22017
2021-10-01,15.3657,9.3253
2021-11-01,16.4353,10.9627
2021-12-01,17.2319,11.2947
2022-01-01,16.4851,12.6264
2022-02-01,16.058,12.8852
