date,Manufacturing,Mining,Electric and gas utilities,Durable manufacturing,Nondurable manufacturing,Consumer goods,Durable consumer goods,Automotive products,Nondurable consumer goods,Foods and tobacco,Chemical products,Consumer energy products,"Equipment, total",Transit equipment,Information processing and related equipment,Industrial equipment,Oil and gas well drilling and manufactured homes,Materials,Durable goods materials,Consumer parts,Equipment parts,Basic metals,Nondurable goods materials,Textile materials,Chemical materials,Energy materials,Nonindustrial supplies,Construction supplies,Business supplies,Motor vehicles and parts,Clothing,Paper products,Paper materials,Commercial energy products,Total index,"Food, beverage, and tobacco",Chemical,ENS
1983-10-01,11.154893282795065,0.20246270961645774,4.293576326236015,15.320817447554337,6.501185069610171,5.50754359906207,20.165970259608244,28.988051679713678,0.7536641761097584,-1.3039620132555774,1.0613491012132936,0.17020324171199697,7.416455979955683,3.3210257854864755,22.184221776447764,1.8094387889063146,-9.841056598506526,10.291239440052324,20.423221752489205,42.645141621056595,13.505160229182845,25.855636589658303,10.667582435383238,16.771559583012795,15.802612323316367,1.9376107385726815,10.199172091315866,14.161903832087862,8.662135077229415,50.9344391619718,3.2813699683873043,5.210965894047703,9.543666052338295,2.5391144985233316,8.710903491149335,-1.1600461463829426,11.120027569909418,
1983-11-01,12.333121847117656,0.48208190154781505,3.5533474014121547,16.979284588476375,7.255897242202014,5.880352884641549,20.337378138578188,27.96661324868166,1.1915238196199551,-1.1135432525499422,2.6975746723166827,-0.2932443703085985,8.608926128590966,1.2408663934653008,22.558169891981873,5.998031015347949,-11.515241891024775,11.33044274870134,23.003996219033972,44.970278450185155,17.034585591155405,29.525978217739677,10.727860314440662,16.6876411259973,17.575120537832746,2.389063398663893,10.783448660195983,14.50764945278291,9.341788580180532,51.00507324342865,4.46756116217899,5.548204992502437,9.715242006165447,1.9419438833513158,9.551635894507537,-1.3250514227410526,12.924713980835811,
1983-12-01,12.964400848096801,0.5730771314331529,11.804026091157404,17.705331607964258,7.954193620297478,7.447750538504194,23.236358944018786,27.51260349422038,2.2727479659991667,0.21622202375757293,2.0812747364256756,1.6024735643763055,9.719012009970541,-2.7742860750476273,22.15761236225786,8.733185010905743,1.7205860086533908,12.777537231525194,23.3434825390342,43.820516878829686,18.486537690822313,26.709312600429836,10.72078872573794,13.578375048862235,14.886442334453044,5.219776910475082,11.569726925922996,15.600592425509285,10.014791203462693,46.53360142546548,6.589846904775554,5.395113950977137,12.874043899373788,2.9842815197934414,10.886183797139415,-0.09917865075362853,11.679554603513576,
1984-01-01,12.392627096897657,4.306814941545478,11.65001896108009,17.639725154069552,6.685769505257078,7.175054491524779,20.828967175046962,27.08568972537664,2.602389952569739,-1.1059638197806643,3.5531923572843516,8.91056961387935,11.991677164574144,2.6917568503219913,22.667359569140633,12.257757262702862,-0.41052342861254143,12.644963592830871,22.405230401709943,38.72032083852619,20.691953029320654,21.740008349682526,9.00125222837993,9.161694984461132,16.158536097358756,6.3943212014450745,11.051201546770262,12.344412935338944,10.540740507232794,46.222753706484724,3.7068614004522438,3.814660107546408,7.373412786355105,8.47280487474158,11.03037425193525,-0.9768208330623085,12.220289798110805,
1984-02-01,13.696942790487121,5.2290039892595175,12.175768272817633,19.153734667185105,7.651800121968999,8.32496061534167,21.641829501960565,23.39351169689565,3.8286579262824416,-0.674481687788886,4.962040790066258,9.522862298112056,13.888453057114258,-1.5764756827785997,25.095134761141004,16.860447140646386,-0.6545548611207375,13.60525216471351,23.594307472885866,32.78628223603985,24.338480498767588,23.992519682419267,8.544661320421621,7.83494662439117,12.452988778659213,7.661386429055961,12.350041766668252,15.41757875402574,11.154495587352953,35.00907435763101,8.280716648096087,4.687844868358804,9.041655345041955,8.09168387062622,12.222425631216694,-0.33604210328669337,10.558876930515847,
1984-03-01,13.155744508378909,5.794904880807605,10.866394930838608,18.146424509673942,7.536872503197101,8.334177674608533,20.20899003544747,24.456396767264323,4.2821234104426065,1.1640235845629343,4.45994013910429,8.258536526278814,13.908154657094496,0.27466774823379225,23.996371407924478,17.125550303761194,-0.33668928455871105,13.054951726298892,22.123480296254883,30.399869220175766,23.34541835501529,19.60485912318486,8.34229870448302,5.445890158698763,12.534595720507479,7.619457728937529,11.309612002321835,13.354008783179827,10.513392775340735,36.3447256273091,7.414574342308344,5.775281793922016,8.651079765476698,7.094785118346625,11.828004106467693,1.3637192495020045,10.711765371191362,
1984-04-01,12.317755536291264,6.788990825688068,8.23814840261079,17.616269240191418,6.351204826454948,6.494791898179009,17.33895651820343,18.137910921286824,2.7912271343214057,1.348096612478611,2.809936012755121,2.7189606961793844,15.1877886443901,1.2622600110782978,23.44723769381303,18.412675807895027,0.7002092739446963,12.369438673963673,20.668694313009684,26.69396908739521,23.777355569629144,19.202724991942578,6.963264086381082,3.2670838331766427,9.164543110907598,7.9406079164254795,10.197015952186428,12.56235612334451,9.277503808038666,28.9209794195489,4.724233600467276,6.2647976543267925,9.473206797819312,5.4423629711896515,11.083408371126957,1.6987847846408277,7.892546727656136,
1984-05-01,11.400987545139651,8.866504057413582,11.318116606479101,16.22719086615245,5.805373049652851,5.685046225586765,14.114117441121032,13.164332073337626,2.759380346986262,1.2598927682662575,1.9038333157654241,5.285916326635509,15.113029228213515,0.7821220189652145,24.33715220949264,16.41412706530041,2.5959263640396246,12.532449426967162,18.852211416632404,23.18711234201498,22.2788822657892,17.04367536461273,5.817798882667913,2.0026687902201745,8.615047628300543,10.493081937852056,10.635673008246215,10.773288635843858,10.582001985738776,23.111258739914952,3.1234508817920226,5.16524590673495,7.260046364007211,7.945068871668082,11.016530838380367,1.6408278030231704,7.4527024509012385,
1984-06-01,11.04646911981282,8.999462013473035,11.058617032946948,15.756483980359025,5.444075895039213,5.314347915624729,12.494693923753598,11.421817253009037,2.791474868275312,0.5569762562644964,3.8325328158845373,5.661247216414522,15.931088261023895,0.7847385160337561,25.576988556455316,17.34452554058141,4.605125680877831,11.961593511450385,18.07836083781611,21.02200312058502,22.59437737326955,13.200392300912744,5.018540777544733,0.5805817568072857,7.615498863467263,10.20583151279093,10.43829873050468,9.589938192854252,10.77886065189302,19.0787998976796,2.492946916795047,5.688894451919757,7.445141847864067,8.06568321532608,10.74527207214544,0.584828985149688,7.727641973930632,
1984-07-01,9.935900076623305,10.16841380881639,4.45684913104345,14.444934820269918,4.358102676603437,4.030228894583643,11.058123663206775,11.018202852257964,1.5447522699967076,0.6966657773997742,3.2214523373669257,-0.0031374673042816603,15.2909530870186,6.772030670472184,22.72591198734122,16.063426192131523,12.1391422884491,10.439721707605143,17.02604346676968,17.74124117088942,21.868098775346322,16.41052016772293,3.5293819233319645,0.4061077747556263,4.466666762714722,8.195183451292287,9.020404687685236,6.975026716750321,9.845302553563794,19.041552833798914,-0.04170513199319714,7.05653356680529,7.160333057101131,6.263679381783649,9.422400340189284,0.2739508367828325,5.3441362313440655,
