date,ALL,CORE
2018-05-01,2.75247411100088,2.2615884028451827
2018-06-01,2.8655207859807685,2.2676529712292615
2018-07-01,2.928031171212475,2.3384085489010387
2018-08-01,2.690946743632394,2.178870930702148
2018-09-01,2.359958611454882,2.2610800037961454
2018-10-01,2.51733787565398,2.15316288939551
2018-11-01,2.1545851139961103,2.2189832778554797
2018-12-01,1.9390995251102439,2.203789606101103
2019-01-01,1.5007073500096446,2.1402867827491345
2019-02-01,1.4855195911414043,2.084751731423884
2019-03-01,1.877207683641191,2.0470565264082863
2019-04-01,1.99474309581249,2.0850959307878947
2019-05-01,1.8061761889562877,2.0003345561490304
2019-06-01,1.6824855877950018,2.137734925530843
2019-07-01,1.8311449726024165,2.204325674093255
2019-08-01,1.742323494968323,2.3695580570786356
2019-09-01,1.7172690189922513,2.349520119409454
2019-10-01,1.7612361884190353,2.314348264238819
2019-11-01,2.0430456499196614,2.3172555185596133
2019-12-01,2.2920764843481045,2.248582615987016
2020-01-01,2.482676697683628,2.2681393581664544
2020-02-01,2.318104439116686,2.3656754747065856
2020-03-01,1.5183297585548594,2.096304488418288
2020-04-01,0.37616251475818263,1.4383103863119917
2020-05-01,0.23553202412538443,1.2364654327438274
