date,MJH
2015-08-01,4.84639
2015-09-01,4.8698
2015-10-01,4.9113
2015-11-01,4.93546
2015-12-01,5.0223
2016-01-01,5.00039
2016-02-01,4.97794
2016-03-01,4.89388
2016-04-01,4.89351
2016-05-01,4.92078
2016-06-01,4.87488
2016-07-01,4.84022
2016-08-01,4.84836
2016-09-01,4.98395
2016-10-01,5.11274
2016-11-01,5.19924
2016-12-01,5.14063
2017-01-01,5.06863
2017-02-01,5.0458
2017-03-01,5.12061
2017-04-01,5.11867
2017-05-01,5.05
2017-06-01,4.94472
2017-07-01,4.88859
2017-08-01,4.80771
2017-09-01,4.76005
2017-10-01,4.72535
2017-11-01,4.77667
2017-12-01,4.85469
2018-01-01,4.9919
2018-02-01,5.08283
2018-03-01,5.05285
2018-04-01,4.99097
2018-05-01,4.8714
2018-06-01,4.85493
2018-07-01,4.90145
2018-08-01,4.98614
2018-09-01,5.00508
2018-10-01,5.00372
2018-11-01,4.99092
2018-12-01,5.03694
2019-01-01,5.02568
2019-02-01,4.99337
2019-03-01,4.98589
2019-04-01,4.96888
2019-05-01,5.01821
2019-06-01,5.06193
2019-07-01,5.17852
2019-08-01,5.26073
2019-09-01,5.29583
2019-10-01,5.23715
2019-11-01,5.18918
2019-12-01,5.09775
2020-01-01,5.10971
2020-02-01,5.0838
2020-03-01,4.96552
2020-04-01,4.58339
2020-05-01,4.24162
2020-06-01,4.15023
2020-07-01,4.34059
2020-08-01,4.52992
2020-09-01,4.53718
2020-10-01,4.49457
2020-11-01,4.42325
2020-12-01,4.38179
2021-01-01,4.36567
2021-02-01,4.38161
2021-03-01,4.47862
2021-04-01,4.52484
2021-05-01,4.64808
2021-06-01,4.6901
2021-07-01,4.70944
2021-08-01,4.63582
2021-09-01,4.59836
2021-10-01,4.56883
2021-11-01,4.55413
2021-12-01,4.59914
2022-01-01,4.66768
2022-02-01,4.7231
2022-03-01,4.7024
2022-04-01,4.71616
2022-05-01,4.6939
2022-06-01,4.73991
2022-07-01,4.75243
2022-08-01,4.83399
2022-09-01,4.86416
2022-10-01,4.83442
2022-11-01,4.81574
2022-12-01,4.8685
2023-01-01,4.95534
2023-02-01,4.98625
2023-03-01,4.96237
2023-04-01,4.89242
2023-05-01,4.86013
2023-06-01,4.86711
2023-07-01,4.95872
2023-08-01,5.01347
2023-09-01,5.03493
2023-10-01,5.07723
2023-11-01,5.12798
2023-12-01,5.21695
2024-01-01,5.1967
2024-02-01,5.19275
2024-03-01,5.17045
2024-04-01,5.19137
2024-05-01,5.21831
2024-06-01,5.19477
2024-07-01,5.21634
2024-08-01,5.2414
2024-09-01,5.29775
2024-10-01,5.2607
2024-11-01,5.27162
2024-12-01,5.23709
2025-01-01,5.3043
2025-02-01,5.339
2025-03-01,5.41262
2025-04-01,5.43255
2025-05-01,5.37638
2025-06-01,5.36348
2025-07-01,5.26592
2025-08-01,5.30584
