date,ICC,ICE
2003-10-01,99.9,83.0
2003-11-01,102.5,88.1
2003-12-01,97.0,89.8
2004-01-01,109.5,100.1
2004-02-01,103.6,88.5
2004-03-01,106.8,88.8
2004-04-01,105.0,87.3
2004-05-01,103.6,81.6
2004-06-01,106.7,88.5
2004-07-01,105.2,91.2
2004-08-01,107.9,88.2
2004-09-01,103.7,88.0
2004-10-01,104.0,83.8
2004-11-01,104.7,85.2
2004-12-01,106.7,90.9
2005-01-01,110.9,85.7
2005-02-01,109.2,84.4
2005-03-01,108.0,82.8
2005-04-01,104.4,77.0
2005-05-01,104.9,75.3
2005-06-01,113.2,85.0
2005-07-01,113.5,85.5
2005-08-01,108.2,76.9
2005-09-01,98.1,63.3
2005-10-01,91.2,63.2
2005-11-01,100.2,69.6
2005-12-01,109.1,80.2
2006-01-01,110.3,78.9
2006-02-01,105.6,74.5
2006-03-01,109.1,76.0
2006-04-01,109.2,73.4
2006-05-01,96.1,68.2
2006-06-01,105.0,72.0
2006-07-01,103.5,72.5
2006-08-01,103.8,68.0
2006-09-01,96.6,78.2
2006-10-01,107.3,84.8
2006-11-01,106.0,83.2
2006-12-01,108.1,81.2
2007-01-01,111.3,87.6
2007-02-01,106.7,81.5
2007-03-01,103.5,78.7
2007-04-01,104.6,75.9
2007-05-01,105.1,77.6
2007-06-01,101.9,74.7
2007-07-01,104.5,81.5
2007-08-01,98.4,73.7
2007-09-01,97.9,74.1
2007-10-01,97.6,70.1
2007-11-01,91.5,66.2
2007-12-01,91.0,65.6
2008-01-01,94.4,68.1
2008-02-01,83.8,62.4
2008-03-01,84.2,60.1
2008-04-01,77.0,53.3
2008-05-01,73.3,51.1
2008-06-01,67.6,49.2
2008-07-01,73.1,53.5
2008-08-01,71.0,57.9
2008-09-01,75.0,67.2
2008-10-01,58.4,57.0
2008-11-01,57.5,53.9
2008-12-01,69.5,54.0
2009-01-01,66.5,57.8
2009-02-01,65.5,50.5
2009-03-01,63.3,53.5
2009-04-01,68.3,63.1
2009-05-01,67.7,69.4
2009-06-01,73.2,69.2
2009-07-01,70.5,63.2
2009-08-01,66.6,65.0
2009-09-01,73.4,73.5
2009-10-01,73.7,68.6
2009-11-01,68.8,66.5
2009-12-01,78.0,68.9
2010-01-01,81.1,70.1
2010-02-01,81.8,68.4
2010-03-01,82.4,67.9
2010-04-01,81.0,66.5
2010-05-01,81.0,68.8
2010-06-01,85.6,69.8
2010-07-01,76.5,62.3
2010-08-01,78.3,62.9
2010-09-01,79.6,60.9
2010-10-01,76.6,61.9
2010-11-01,82.1,64.8
2010-12-01,85.3,67.5
2011-01-01,81.8,69.3
2011-02-01,86.9,71.6
2011-03-01,82.5,57.9
2011-04-01,82.5,61.6
2011-05-01,81.9,69.5
2011-06-01,82.0,64.7
2011-07-01,75.7,55.9
2011-08-01,68.5,47.6
2011-09-01,75.2,49.4
2011-10-01,74.9,51.7
2011-11-01,77.4,54.9
2011-12-01,79.6,63.6
2012-01-01,84.2,69.1
2012-02-01,83.0,70.3
2012-03-01,86.0,69.8
2012-04-01,82.9,72.3
2012-05-01,87.2,74.3
2012-06-01,81.5,67.8
2012-07-01,82.7,65.6
2012-08-01,88.7,65.1
2012-09-01,85.7,73.5
2012-10-01,88.1,79.0
2012-11-01,90.6,77.7
2012-12-01,87.0,63.8
2013-01-01,85.0,66.6
2013-02-01,89.0,70.2
2013-03-01,90.7,70.8
2013-04-01,89.9,67.8
2013-05-01,98.0,75.8
2013-06-01,93.8,77.8
2013-07-01,98.6,76.5
2013-08-01,95.2,73.7
2013-09-01,92.6,67.8
2013-10-01,89.9,62.5
2013-11-01,88.0,66.8
2013-12-01,98.6,72.1
2014-01-01,96.8,71.2
2014-02-01,95.4,72.7
2014-03-01,95.7,70.0
2014-04-01,98.7,74.7
2014-05-01,94.5,73.7
2014-06-01,96.6,73.5
2014-07-01,97.4,71.8
2014-08-01,99.8,71.3
2014-09-01,98.9,75.4
2014-10-01,98.3,79.6
2014-11-01,102.7,79.9
2014-12-01,104.8,86.4
2015-01-01,109.3,91.0
2015-02-01,106.9,88.0
2015-03-01,105.0,85.3
2015-04-01,107.0,88.8
2015-05-01,100.8,84.2
2015-06-01,108.9,87.8
2015-07-01,107.2,84.1
2015-08-01,105.1,83.4
2015-09-01,101.2,78.2
2015-10-01,102.3,82.1
2015-11-01,104.3,82.9
2015-12-01,108.1,82.7
2016-01-01,106.4,82.7
2016-02-01,106.8,81.9
2016-03-01,105.6,81.5
2016-04-01,106.7,77.6
2016-05-01,109.9,84.9
2016-06-01,110.8,82.4
2016-07-01,109.0,77.8
2016-08-01,107.0,78.7
2016-09-01,104.2,82.7
2016-10-01,103.2,76.8
2016-11-01,107.3,85.2
2016-12-01,111.9,89.5
2017-01-01,111.3,90.3
2017-02-01,111.5,86.5
2017-03-01,113.2,86.5
2017-04-01,112.7,87.0
2017-05-01,111.7,87.7
2017-06-01,112.4,83.8
2017-07-01,113.4,80.5
2017-08-01,110.9,87.7
2017-09-01,111.7,84.4
2017-10-01,116.5,90.5
2017-11-01,113.5,88.9
2017-12-01,113.8,84.3
2018-01-01,110.5,86.3
2018-02-01,114.9,90.0
2018-03-01,121.2,88.8
2018-04-01,114.9,88.4
2018-05-01,111.8,89.1
2018-06-01,116.5,86.3
2018-07-01,114.4,87.3
2018-08-01,110.3,87.1
2018-09-01,115.2,90.5
2018-10-01,113.1,89.3
2018-11-01,112.3,88.1
2018-12-01,116.1,87.0
2019-01-01,108.8,79.9
2019-02-01,108.5,84.4
2019-03-01,113.3,88.8
2019-04-01,112.3,87.4
2019-05-01,110.0,93.5
2019-06-01,111.9,89.3
2019-07-01,110.7,90.5
2019-08-01,105.3,79.9
2019-09-01,108.5,83.4
2019-10-01,113.2,84.2
2019-11-01,111.6,87.3
2019-12-01,115.5,88.9
2020-01-01,114.4,90.5
2020-02-01,114.8,92.1
2020-03-01,103.7,79.7
2020-04-01,74.3,70.1
2020-05-01,82.3,65.9
2020-06-01,87.1,72.3
2020-07-01,82.8,65.9
2020-08-01,82.9,68.5
2020-09-01,87.8,75.6
2020-10-01,85.9,79.2
2020-11-01,87.0,70.5
2020-12-01,90.0,74.6
2021-01-01,86.7,74.0
2021-02-01,86.2,70.7
2021-03-01,93.0,79.7
2021-04-01,97.2,82.7
2021-05-01,89.4,78.8
2021-06-01,88.6,83.5
2021-07-01,84.5,79.0
2021-08-01,78.5,65.1
2021-09-01,80.1,68.1
2021-10-01,77.7,67.9
2021-11-01,73.6,63.5
2021-12-01,74.2,68.3
2022-01-01,72.0,64.1
2022-02-01,68.2,59.4
2022-03-01,67.2,54.3
2022-04-01,69.4,62.5
2022-05-01,63.3,55.2
2022-06-01,53.8,47.5
2022-07-01,58.1,47.3
2022-08-01,58.6,58.0
2022-09-01,59.7,58.0
2022-10-01,65.6,56.2
2022-11-01,58.7,55.5
2022-12-01,59.6,60.0
2023-01-01,68.5,62.6
2023-02-01,70.7,64.5
2023-03-01,66.3,59.2
2023-04-01,68.5,60.6
2023-05-01,65.1,55.1
2023-06-01,68.9,61.1
2023-07-01,76.5,68.3
2023-08-01,75.5,65.4
2023-09-01,71.1,65.8
2023-10-01,70.6,59.3
2023-11-01,68.3,56.8
2023-12-01,73.3,67.4
