date,Durable manufacturing,Mining,Nondurable manufacturing,Electric and gas utilities
2009-04-01,-8.96077,-0.951453,-3.67371,-0.463775
2009-07-01,-6.81791,-0.520972,-2.32349,-0.313768
2009-10-01,-3.09724,-0.761262,-0.884714,-0.149782
2010-01-01,1.85648,-0.0455286,0.463669,0.31515
2010-04-01,5.4941,0.796506,1.08349,0.33189
2010-07-01,4.77054,0.981266,0.897849,0.683493
2010-10-01,3.96907,1.36492,0.5102,0.274268
2011-01-01,3.35547,0.854376,0.304943,0.0267038
2011-04-01,1.78987,1.15489,-0.12169,0.0650749
2011-07-01,1.72886,0.969354,-0.0377871,0.0217849
2011-10-01,2.08744,1.43327,0.0684993,-0.229298
2012-01-01,2.35233,1.90263,0.183883,-0.602951
2012-04-01,2.69438,1.34571,0.0441694,-0.0680296
2012-07-01,1.84058,1.34535,-0.0799089,-0.186419
2012-10-01,1.36172,1.16302,-0.0680857,0.0130538
2013-01-01,0.8632,0.950632,0.0142091,0.474042
2013-04-01,0.552317,1.31021,0.117557,0.0725207
2013-07-01,0.737698,1.66849,-0.0402064,-0.0900702
2013-10-01,0.938615,1.15519,-0.13894,0.41996
2014-01-01,0.600932,1.73815,-0.481048,0.556101
2014-04-01,1.13319,2.46519,-0.258447,0.0554993
2014-07-01,1.38033,2.37422,-0.0927152,-0.0247486
2014-10-01,1.04848,2.42849,0.0669331,-0.069526
2015-01-01,0.572022,1.06107,0.206432,-0.0555347
2015-04-01,-0.254526,-0.391679,0.00484983,-0.0153709
2015-07-01,-0.67144,-0.679566,0.102585,0.223958
2015-10-01,-1.35035,-1.21201,0.119643,-0.435269
2016-01-01,-1.16364,-1.31442,0.429174,-0.656915
2016-04-01,-1.20743,-1.20892,0.276241,0.0290819
2016-07-01,-0.882108,-1.24189,0.157582,0.270784
2016-10-01,-0.0461018,-0.731013,0.28121,0.249836
2017-01-01,0.579819,0.143698,0.228833,-0.153078
2017-04-01,1.09809,1.06773,0.799109,-0.119606
2017-07-01,0.718846,1.27375,0.66131,-0.349299
2017-10-01,0.982534,1.64439,0.956176,0.334746
2018-01-01,0.979233,1.50419,0.763246,0.691506
2018-04-01,0.911509,1.74365,0.648215,0.479432
2018-07-01,1.58778,2.37952,0.984743,0.379621
2018-10-01,1.5592,2.14829,0.299912,0.28815
2019-01-01,0.93493,1.7639,0.25148,0.109
2019-04-01,0.506586,1.41209,-0.380582,-0.297728
2019-07-01,0.106111,0.655667,-0.548219,-0.00328878
2019-10-01,-0.469434,0.346929,-0.335763,-0.187359
