date,RUT,MA
2018-09-11,1718.400024,1578.7647864624505
2018-09-12,1715.699951,1579.9539959288536
2018-09-13,1714.319946,1581.1036401383399
2018-09-14,1721.719971,1582.2689759328064
2018-09-17,1703.550049,1583.3698851383397
2018-09-18,1710.969971,1584.473679644269
2018-09-19,1702.930054,1585.5086602687747
2018-09-20,1720.180054,1586.6145101897234
2018-09-21,1712.319946,1587.669450513834
2018-09-24,1705.319946,1588.701624
2018-09-25,1708.810059,1589.721505541502
2018-09-26,1691.609985,1590.6687388379446
2018-09-27,1690.530029,1591.5923358498023
2018-09-28,1696.569946,1592.4293314505928
2018-10-01,1672.98999,1593.1573944980237
2018-10-02,1656.040039,1593.8102800869567
2018-10-03,1671.290039,1594.449885098814
2018-10-04,1646.910034,1594.9832450316205
2018-10-05,1632.109985,1595.474746909091
2018-10-08,1629.52002,1595.9388973201583
2018-10-09,1621.869995,1596.380201762846
2018-10-10,1575.410034,1596.6641937588934
2018-10-11,1545.380005,1596.8119012490117
2018-10-12,1546.680054,1596.9690554387353
2018-10-15,1553.089966,1597.1585018102767
2018-10-16,1596.839966,1597.5307545059288
2018-10-17,1589.599976,1597.8743115098814
2018-10-18,1560.75,1598.1243115098814
2018-10-19,1542.040039,1598.2701614071145
2018-10-22,1539.5,1598.4182244940712
2018-10-23,1526.589966,1598.486761909091
2018-10-24,1468.699951,1598.3729672885374
2018-10-25,1500.400024,1598.3728881581028
2018-10-26,1483.819946,1598.3347062055336
2018-10-29,1477.310059,1598.2550623241107
2018-10-30,1506.640015,1598.2484222806324
2018-10-31,1511.410034,1598.3294895138342
2018-11-01,1544.97998,1598.497275881423
2018-11-02,1547.97998,1598.715457505929
2018-11-05,1547.51001,1598.9168802766796
2018-11-06,1556.099976,1599.1587377549406
2018-11-07,1582.160034,1599.491544367589
2018-11-08,1578.209961,1599.8833230039525
2018-11-09,1549.48999,1600.1511491304348
2018-11-12,1518.790039,1600.3241531581027
2018-11-13,1514.800049,1600.480398332016
2018-11-14,1502.51001,1600.5888570830039
2018-11-15,1524.119995,1600.7977898300394
2018-11-16,1527.530029,1601.0485410671936
2018-11-19,1496.540039,1601.0867230197628
2018-11-20,1469.01001,1600.9926126007906
2018-11-21,1488.280029,1600.9328497747035
2018-11-23,1488.680054,1600.8134428142291
2018-11-26,1505.959961,1600.7707548735177
2018-11-27,1492.859985,1600.6668021106718
2018-11-28,1530.380005,1600.7342722529645
2018-11-29,1525.390015,1600.6906357351777
2018-11-30,1533.27002,1600.6549439209487
2018-12-03,1548.959961,1600.6739950909089
2018-12-04,1480.75,1600.451583944664
2018-12-06,1477.410034,1600.234192640316
2018-12-07,1448.089966,1599.962769541502
2018-12-10,1443.099976,1599.7027694268775
2018-12-11,1440.130005,1599.3852201541501
2018-12-12,1455.319946,1599.1227694624506
2018-12-13,1432.699951,1598.7783425256916
