date,TOTALEXP_1,INCAFTTX_1,INCBEFTX_1,PENSIONS_1,CHGASLI_1,900000_1,SFEMPINC_1,INDIVRNT_1,980010_1,ADJEXP_1,DI_SAVE_RT_1,MI_SAVE_RT_1,DI_SAVE_1,MI_SAVE_1,TOTALEXP_2,INCAFTTX_2,INCBEFTX_2,PENSIONS_2,CHGASLI_2,900000_2,SFEMPINC_2,INDIVRNT_2,980010_2,ADJEXP_2,DI_SAVE_RT_2,MI_SAVE_RT_2,DI_SAVE_2,MI_SAVE_2,TOTALEXP_3,INCAFTTX_3,INCBEFTX_3,PENSIONS_3,CHGASLI_3,900000_3,SFEMPINC_3,INDIVRNT_3,980010_3,ADJEXP_3,DI_SAVE_RT_3,MI_SAVE_RT_3,DI_SAVE_3,MI_SAVE_3,TOTALEXP_4,INCAFTTX_4,INCBEFTX_4,PENSIONS_4,CHGASLI_4,900000_4,SFEMPINC_4,INDIVRNT_4,980010_4,ADJEXP_4,DI_SAVE_RT_4,MI_SAVE_RT_4,DI_SAVE_4,MI_SAVE_4,TOTALEXP_5,INCAFTTX_5,INCBEFTX_5,PENSIONS_5,CHGASLI_5,900000_5,SFEMPINC_5,INDIVRNT_5,980010_5,ADJEXP_5,DI_SAVE_RT_5,MI_SAVE_RT_5,DI_SAVE_5,MI_SAVE_5,TOTALEXP_6,INCAFTTX_6,INCBEFTX_6,PENSIONS_6,CHGASLI_6,900000_6,SFEMPINC_6,INDIVRNT_6,980010_6,ADJEXP_6,DI_SAVE_RT_6,MI_SAVE_RT_6,DI_SAVE_6,MI_SAVE_6
1998-01-01,35535,38358,41622,2982,-1919.0,32889,2239,871,2.5,32553,29.097744360902254,17.273182957393484,5805,3446,16630,7049,7170,269,596.0,2478,-161.0,90,1.7,16361,-46.67669172932331,-69.94486215538848,-9312,-13954.0,23709,17406,17962,854,660.0,9158,558,303,2.3,22855,-27.31328320802005,-64.34085213032581,-5449,-12836,31400,29265,30981,2370,-546.0,22847,1077,651,2.5,29030,1.1779448621553885,-22.330827067669173,235,-4455,43811,46294,50205,4913,-3447.0,42376,2529,771,2.9,38898,37.07268170426065,33.9749373433584,7396,6778,70648,91606,101602,10122,-9037.0,87417,7178,2536,3.1,60526,155.78947368421052,183.48370927318297,31080,36605
1999-01-01,36995,40652,43951,3042,142.0,34456,2603,1104,2.5,33953,32.55102040816327,20.456754130223516,6699,4210,16750,7101,7264,262,422.0,2431,-142.0,83,1.8,16488,-45.61224489795918,-68.59086491739554,-9387,-14116.0,24840,17576,18033,917,-290.0,9427,616,323,2.2,23923,-30.84062196307094,-65.87463556851311,-6347,-13557,33029,30186,31876,2475,-675.0,23507,1426,565,2.5,30554,-1.7881438289601554,-24.56754130223518,-368,-5056,45998,48607,52327,5197,-2842.0,44725,1953,795,2.8,40801,37.93002915451895,32.4198250728863,7806,6672,75015,99656,110105,10852,2014.0,92062,9149,3752,3.1,64163,172.46355685131195,198.25072886297377,35493,40800
2000-01-01,38045,41532,44649,2966,457.0,35579,2344,927,2.5,35079,29.986059479553905,17.523234200743495,6453,3771,17940,7457,7683,269,7330.0,2524,-67.0,96,1.8,17671,-47.46282527881041,-70.25092936802973,-10214,-15118.0,26550,18637,19071,1005,-2636.0,10161,471,325,2.3,25545,-32.100371747211895,-67.78810408921933,-6908,-14588,34716,31349,32910,2527,-1130.0,24942,1121,572,2.5,32189,-3.903345724907063,-25.808550185873607,-840,-5554,46794,49695,53295,4973,-2384.0,45767,1804,880,2.8,41821,36.589219330855016,30.808550185873607,7874,6630,75102,100369,110118,10677,1365.0,94351,8375,2758,3.2,64425,167.02602230483274,190.79460966542752,35944,41059
2001-01-01,39518,44587,47507,3326,-2059.0,38334,2231,951,2.5,36192,38.28089375284998,24.277245782033745,8395,5324,18883,7911,7946,291,-137.0,2885,-189.0,104,1.7,18592,-48.70497036023711,-72.0109439124487,-10681,-15792.0,26492,19999,20319,1169,-1524.0,11495,576,372,2.2,25323,-24.277245782033745,-58.732330141358865,-5324,-12880,35660,34112,35536,2765,-2106.0,27346,1220,666,2.5,32895,5.549475604195166,-16.703146374829,1217,-3663,48722,53724,56891,5097,-9708.0,48742,1717,823,2.9,43625,46.05107159142727,34.915640674874595,10099,7657,77125,107027,116666,11014,-5804.0,101043,7820,2785,3.1,66111,186.57546739626082,207.64705882352942,40916,45537
2002-01-01,40677,46934,49430,3493,-5612.0,39864,2237,924,2.5,37184,44.07775768535262,26.405967450271252,9750,5841,19061,8323,8316,353,1.0,2949,-77.0,101,1.7,18708,-46.94846292947559,-71.13471971066907,-10385,-15735.0,27140,20859,21162,1242,-3504.0,11986,518,387,2.2,25898,-22.780289330922244,-58.801989150090414,-5039,-13007,36881,35817,36989,2873,-1995.0,28047,1115,726,2.5,34008,8.178119349005424,-18.625678119349008,1809,-4120,50432,56497,59177,5298,-8304.0,50557,1853,835,2.8,45134,51.36980108499096,36.668173598553345,11363,8111,79199,113044,121367,11064,-19324.0,105653,7767,2570,3.2,68135,203.02441229656418,216.34267631103071,44909,47855
2003-01-01,40817,48596,51128,3658,-14376.0,41200,2138,1097,2.5,37159,50.44993383325982,32.095280105866784,11437,7276,18492,8260,8201,308,-1158.0,2997,-320.0,88,1.8,18184,-43.77591530657256,-68.014997794442,-9924,-15419.0,26729,20543,21478,1147,-4527.0,12620,417,415,2.3,25582,-22.227613586237318,-53.50683722981915,-5039,-12130,36213,36363,37542,2818,-9966.0,28886,843,697,2.5,33395,13.09219232465814,-13.09660344067049,2968,-2969,50468,58593,61132,5555,-18946.0,52022,1873,937,2.8,44913,60.34406704896339,43.75385972651081,13680,9919,81731,119091,127146,11637,-41800.0,109349,7869,3345,3.1,70094,216.13145125716807,222.6246140273489,48997,50469
2004-01-01,43395,52287,54453,4433,-7567.0,43192,3008,1261,2.5,38962,57.4105988797932,36.61783713916415,13325,8499,17837,9220,9168,318,-378.0,3459,-325.0,135,1.7,17519,-35.75613959500215,-61.39595002154243,-8299,-14250.0,27410,23751,24102,1386,-2155.0,14647,747,499,2.2,26024,-9.79319258940112,-43.649289099526065,-2273,-10131,36980,40802,41614,3069,-4000.0,31877,1278,832,2.6,33911,29.68978888410168,0.32744506678155966,6891,76,50974,62847,65100,5669,-11294.0,55014,2804,1018,2.9,45305,75.57949159844894,58.29814735028005,17542,13531,83710,124698,132158,11710,-19987.0,110857,10525,3817,3.2,72000,227.04868591124514,229.20723825937097,52698,53199
2005-01-01,46409,56304,58712,4823,-9495.0,46291,3772,1379,2.5,41586,60.49321824907522,40.50965885737772,14718,9856,19120,9688,9676,369,-1316.0,3699,-399.0,172,1.7,18751,-37.25030826140567,-62.79901356350185,-9063,-15279.0,28921,25200,25546,1463,-3582.0,15560,659,514,2.2,27458,-9.28072338676531,-44.081381011097406,-2258,-10725,39098,41557,42622,3295,-7775.0,32930,1395,705,2.5,35803,23.649815043156597,-3.177147554459515,5754,-773,54354,65275,67813,6069,-15378.0,57077,3186,918,2.9,48285,69.8314837648993,53.004521167283194,16990,12896,90469,139644,147737,12904,-19399.0,122045,14003,4580,3.2,77565,255.154130702836,259.1985203452528,62079,63063
2006-01-01,48398,58101,60533,4948,-7053.0,48119,3607,1486,2.5,43450,56.78682170542636,37.83720930232558,14651,9762,20410,9969,9974,420,-2760.0,4067,-626.0,164,1.7,19990,-38.84108527131783,-63.507751937984494,-10021,-16385.0,30224,26346,26657,1564,-416.0,16579,720,466,2.2,28660,-8.968992248062015,-42.22868217054263,-2314,-10895,41431,43799,44933,3485,-3970.0,34964,1517,872,2.5,37946,22.686046511627907,-2.298449612403101,5853,-593,55697,68497,70975,6207,-11158.0,60343,2976,1061,2.8,49490,73.67054263565892,57.713178294573645,19007,14890,94150,141738,149963,13048,-16946.0,124503,13433,4863,3.1,81102,235.02325581395348,239.1356589147287,60636,61697
2007-01-01,49638,60858,63091,5027,-2520.0,50322,3445,1746,2.5,44611,61.010138941043934,40.93879083740143,16247,10902,20471,10534,10531,459,-946.0,4538,-753.0,156,1.7,20012,-35.5914382275629,-60.34923019151333,-9478,-16071.0,31150,27419,27674,1746,-1462.0,17273,787,570,2.2,29404,-7.45399924896733,-40.4581299286519,-1985,-10774,42447,45179,46213,3431,-6368.0,36083,1338,1016,2.5,39016,23.143071723619975,-2.174239579421705,6163,-579,57285,70050,72460,6150,-5622.0,61019,2841,1307,2.9,51135,71.02891475779197,52.69245212166729,18915,14032,96752,150927,158388,13330,1790.0,132535,12992,5672,3.2,83422,253.4923019151333,254.5137063462261,67505,67777
2008-01-01,50486,61774,63563,5288,-4072.0,51007,3219,1509,2.5,45198,62.527348170501696,39.74726518294983,16576,10537,22304,10608,10263,449,-2034.0,4351,-1013.0,192,1.7,21855,-42.42549981139192,-69.12485854394568,-11247,-18325.0,31751,27843,27442,1632,-1718.0,17115,550,528,2.2,30119,-8.58543945680875,-44.98679743493022,-2276,-11926,42659,46936,47196,3512,564.0,36230,1625,889,2.6,39147,29.38136552244436,-1.5201810637495285,7789,-403,58632,72628,74090,6475,-6218.0,62311,2928,1401,2.8,52157,77.21991701244814,54.632214258770276,20471,14483,97003,150692,158652,14358,-10946.0,134882,11991,4530,3.2,82645,256.68427008675974,259.3662768766503,68047,68758
2009-01-01,49067,60753,62857,5162,-5416.0,50339,2673,1460,2.5,43905,64.4776119402985,40.440107156525066,16848,10567,21611,9956,9846,429,-1969.0,4207,-1361.0,216,1.7,21182,-42.96211251435132,-69.34557979334099,-11226,-18120.0,31382,27275,27227,1554,-1761.0,16287,561,474,2.3,29828,-9.770378874856487,-47.86069651741294,-2553,-12506,41150,45199,46012,3295,-5896.0,33964,1483,893,2.5,37855,28.105625717566017,-5.797933409873708,7344,-1515,56879,71241,73417,6308,-5130.0,61519,2834,1029,2.9,50571,79.1044776119403,56.681974741676235,20670,14811,94244,149951,157631,14209,-12306.0,135583,9840,4680,3.1,80035,267.5698430922311,268.1515499425947,69916,70068
2010-01-01,48109,60712,62481,5054,-4458.0,49568,2820,1182,2.5,43055,67.4446142093201,40.16424751718869,17657,10515,20953,10034,9906,357,557.0,3856,-957.0,131,1.7,20596,-40.34377387318564,-67.0970206264324,-10562,-17566.0,30285,26966,26777,1412,-345.0,15419,634,409,2.3,28873,-7.284186401833461,-47.406417112299465,-1907,-12411,41212,45189,45552,3258,-1894.0,33159,1334,885,2.6,37954,27.635599694423224,-9.83957219251337,7235,-2576,55212,71220,72794,6159,-7194.0,59928,3001,945,2.9,49053,84.67150496562262,56.611917494270436,22167,14821,92870,150144,157369,14086,-13412.0,135474,10087,3539,3.2,78784,272.57448433919024,268.58670741023684,71360,70316
2011-01-01,49705,61673,63685,5106,-1826.0,49805,3269,1281,2.5,44599,64.2121098157202,36.690485144791275,17074,9756,22001,10074,9805,341,543.0,3525,-929.0,100,1.7,21660,-43.572771718691236,-71.32004512974802,-11586,-18964.0,32092,27230,27117,1474,-2236.0,15739,672,326,2.2,30618,-12.741632192553592,-52.203836028582174,-3388,-13881,42403,45563,46190,3288,-6098.0,33625,1453,745,2.6,39115,24.24971793907484,-12.380594208349004,6448,-3292,57460,72169,74019,6078,-3577.0,61027,2391,1105,2.8,51382,78.17600601729974,49.42083490033847,20787,13141,94551,153326,161292,14351,2251.0,135103,12763,4132,3.2,80200,275.01316284317414,270.0188040616773,73126,71798
2012-01-01,51442,63370,65596,5238,-5092.0,51730,2917,1358,2.5,46204,63.60133382734347,36.31344942571323,17166,9801,22154,10171,9988,392,76.0,3858,-1200.0,148,1.7,21762,-42.94553538347537,-70.2334197851056,-11591,-18956.0,32632,27743,27585,1473,-1515.0,16025,544,361,2.2,31159,-12.65653945905891,-52.71952575027788,-3416,-14229,43004,46777,47265,3391,-4230.0,34785,1470,655,2.5,39613,26.543164134864767,-10.014820303816228,7164,-2703,59980,73970,75952,6287,-7800.0,62255,2771,1120,2.8,53693,75.12782512041497,46.139310855872544,20277,12453,99368,158024,167010,14631,-11986.0,141565,10982,4497,3.1,84737,271.5339014449796,267.9029270100037,73287,72307
2013-01-01,51100,56352,63784,5209,11404.0,50168,3273,1411,2.5,45891,37.792630057803464,32.3735549132948,10461,8961,22393,10092,9658,368,551.0,3225,-461.0,116,1.7,22025,-43.11054913294798,-69.16546242774567,-11933,-19145.0,32559,26764,26275,1463,5257.0,14328,575,393,2.2,31096,-15.65028901734104,-57.08092485549133,-4332,-15800,42495,43592,45826,3266,2412.0,34003,1452,763,2.5,39229,15.76228323699422,-10.877890173410405,4363,-3011,58842,67344,74546,6248,8805.0,61747,3000,1188,2.8,52594,53.28757225433526,48.19725433526011,14750,13341,99237,134044,162720,14712,40017.0,137638,11810,4598,3.2,84525,178.89812138728323,251.15968208092485,49519,69521
2014-01-01,53495,58364,66877,5399,7431.0,51889,4284,1594,2.5,48096,35.70236439499305,33.62656467315716,10268,9671,23713,10750,10308,414,1902.0,3340,63.0,101,1.7,23299,-43.633518776077885,-68.82823365785814,-12549,-19795.0,33546,27597,27028,1423,4810.0,14442,794,383,2.2,32123,-15.737134909596662,-57.38525730180807,-4526,-16504,45395,44686,47056,3348,4108.0,34260,1802,902,2.5,42047,9.175938803894297,-17.67385257301808,2639,-5083,60417,69084,76988,6402,10358.0,62920,3557,1250,2.8,54015,52.39568845618915,47.677329624478446,15069,13712,104363,139658,172952,15403,15986.0,144444,15200,5330,3.2,88960,176.27955493741308,264.3045897079277,50698,76014
2015-01-01,55978,60448,69627,6016,6937.0,54405,4363,1737,2.5,49962,34.675925925925924,34.86441798941799,10486,10543,24470,11416,10916,507,-266.0,3385,-48.0,163,1.7,23963,-41.491402116402114,-67.6686507936508,-12547,-20463.0,35063,28727,28343,1609,3700.0,15165,844,419,2.2,33454,-15.631613756613758,-56.30291005291005,-4727,-17026,45912,46807,49606,3787,4890.0,36592,1961,907,2.5,42125,15.48280423280423,-8.812830687830688,4682,-2665,63671,72375,80813,7261,4774.0,67228,3518,1536,2.9,56410,52.79431216931217,52.48677248677248,15965,15872,110508,142446,177851,16853,21524.0,149105,15489,5642,3.1,93655,161.34589947089947,253.24404761904762,48791,76581
2016-01-01,57311,64175,74664,6509,8721.0,57319,6270,1751,2.5,50802,43.0,46.745980707395496,13373,14538,25138,11832,11389,556,-32.0,3472,143.0,125,1.6,24582,-40.9967845659164,-67.01607717041801,-12750,-20842.0,36770,29423,28976,1586,1994.0,15208,803,382,2.2,35184,-18.52411575562701,-60.42122186495177,-5761,-18791,47664,47681,50563,3989,4317.0,37690,1843,835,2.5,43675,12.881028938906752,-10.633440514469452,4006,-3307,64910,75065,84173,7942,8203.0,70938,3592,1354,2.9,56968,58.18971061093248,60.82315112540193,18097,18916,112221,157215,198674,18517,29195.0,159681,25036,6074,3.1,93704,204.21543408360128,312.1768488745981,63511,97087
2017-01-01,60060,63606,73573,6353,14049.0,57590,4506,1910,2.5,53707,30.973091364205256,32.22465581977472,9899,10299,26019,11933,11394,495,2106.0,3491,172.0,80,1.6,25524,-42.52503128911139,-68.15081351689612,-13591,-21781.0,39300,30315,29821,2165,4102.0,16143,817,419,2.2,37135,-21.339173967459324,-61.81476846057572,-6820,-19756,50470,49339,52431,4025,6786.0,38585,1983,915,2.5,46445,9.055068836045056,-15.525657071339175,2894,-4962,67604,77103,86363,7756,15008.0,72202,4107,1365,2.9,59848,53.98936170212766,55.77596996245306,17255,17826,116988,149504,188103,17350,42314.0,157727,15483,6784,3.1,99638,156.02628285356695,251.42678347934918,49866,80356
2018-01-01,61224,67241,78635,6831,12679.0,61557,5232,1941,2.5,54393,38.113319489765644,42.530406407594185,12848,14337,26399,11695,11285,545,-103.0,3436,180.0,127,1.7,25854,-42.00237318303174,-65.5918125185405,-14159,-22111.0,39968,31199,31237,1757,2593.0,16603,924,580,2.1,38211,-20.800949273212694,-59.63808958765945,-7012,-20104,51729,51211,54900,4620,11228.0,40249,2203,1074,2.5,47109,12.168495995253634,-10.628893503411451,4102,-3583,69131,79944,90478,8120,14718.0,75685,4109,1494,2.9,61011,56.16434292494809,60.151290418273504,18933,20277,118781,161954,204975,19084,34918.0,171558,18700,6417,3.2,99697,184.68407000889943,287.68318006526255,62257,96978
2019-01-01,63036,71487,82852,6645,10971.0,64708,5947,1962,2.5,56391,41.95664257921067,45.09727626459144,15096,16226,28672,12236,12029,471,4142.0,3423,235.0,152,1.6,28201,-44.37187326292384,-67.79043913285159,-15965,-24391.0,40472,32945,32768,1727,3243.0,17992,905,615,2.2,38745,-16.12006670372429,-53.45469705391884,-5800,-19233,53045,53123,56773,4268,6122.0,42341,2061,983,2.5,48777,12.07893274041134,-9.427459699833241,4346,-3392,71173,83864,93390,8101,7888.0,78351,4537,1495,2.8,63072,57.78765981100611,59.23012784880489,20792,21311,121571,174777,218670,18604,33360.0,180897,21929,6543,3.2,102967,199.58310172317954,295.7254030016676,71810,106402
2020-01-01,61332,74949,84352,6760,3584.0,65449,5808,1963,2.5,54572,56.82375906302287,52.00223089793642,20377,18648,28732,15140,13219,433,2787.0,4001,-45.0,169,1.7,28299,-36.69548243167875,-67.41215839375349,-13159,-24174.0,39899,36397,34550,1823,-1882.0,18766,1117,658,2.1,38076,-4.682097044060234,-48.89849414389292,-1679,-17535,51554,58001,59422,4265,-7292.0,43202,2485,955,2.5,47289,29.871723368655882,-1.804238706079197,10712,-647,71905,89766,97221,8484,1621.0,80976,4744,1580,2.9,63421,73.46625766871165,66.58951477969883,26345,23879,114839,176094,218191,18873,22806.0,181041,20826,6477,3.2,95966,223.44673731176798,313.3798103736754,80128,112378
2021-01-01,66928,78743,87432,7400,16089.0,67409,6085,2279,2.4,59528,51.21268656716418,43.296908315565034,19215,16245,30869,15909,13165,388,5340.0,3509,186.0,191,1.7,30481,-38.83795309168443,-70.88219616204691,-14572,-26595.0,43918,37504,34767,1871,9394.0,18718,1134,614,2.1,42047,-12.10820895522388,-57.518656716417915,-4543,-21581,55914,60957,61214,4666,6674.0,44915,2601,1112,2.5,51248,25.87686567164179,-6.982942430703624,9709,-2620,75284,93674,100527,8951,9783.0,81803,5515,2098,2.8,66333,72.87046908315565,61.521855010660985,27341,23083,128213,184804,226386,21013,49040.0,187134,20881,7344,3.2,107200,206.83368869936035,288.27025586353943,77604,108159
2022-01-01,72967,83195,94003,8223,,73220,6442,2294,2.4,64744,45.580533596837945,42.519762845849804,18451,17212,32612,16337,14191,449,,4149,,226,1.6,32163,-39.09584980237154,,-15826,,47657,39300,37441,2060,,20708,1366,606,2.1,45597,-15.555830039525691,-56.61314229249012,-6297,-22917,61950,63676,65659,5032,,48475,2742,1162,2.4,56918,16.694664031620555,-11.212944664031621,6758,-4539,81957,99891,108730,10248,,88710,6109,2131,2.9,71709,69.6195652173913,62.35424901185771,28182,25241,140654,196794,244025,23325,,204079,21844,7346,3.2,117329,196.3068181818182,286.4130434782609,79465,115940
