date,AVERAGE,MEDIAN
1995-09-01,306.5645013054831,256.1271540469974
1995-10-01,306.7454990240729,265.5057072218608
1995-11-01,315.78805468750005,269.21570312500006
1995-12-01,325.62893550488604,272.53726123778506
1996-01-01,303.59540673575134,257.85083160621764
1996-02-01,318.9835584247902,271.63291413815364
1996-03-01,314.24287475915224,265.5846628131021
1996-04-01,328.2925143953934,270.3585412667946
1996-05-01,314.74980076628356,263.0945977011495
1996-06-01,320.7127887683472,269.66841097638803
1996-07-01,323.75275414012737,277.2277146496815
1996-08-01,306.44125365543545,262.88322949777495
1996-09-01,320.19864638783264,265.8758174904943
1996-10-01,321.09401389766265,274.1883562855338
1996-11-01,327.33790668348047,273.09877679697354
1996-12-01,326.9572812105927,275.7631551071879
1997-01-01,326.11947454431174,275.0862350722816
1997-02-01,323.5848345864662,270.442030075188
1997-03-01,325.7942325,279.1983000000001
1997-04-01,338.19951310861427,282.6179775280899
1997-05-01,321.82014490943163,265.82683322923174
1997-06-01,337.80023955084215,273.02694946974424
1997-07-01,330.04497196261684,274.3792672897196
1997-08-01,320.4191865671642,270.30089552238803
1997-09-01,332.35663771712166,273.9367667493797
1997-10-01,322.94210643564355,264.29327970297027
1997-11-01,327.8144544891641,270.99826625387
1997-12-01,328.9694283942963,273.01842777433353
1998-01-01,333.58854950495055,276.43396039603965
1998-02-01,338.5634193946881,290.83641754169236
1998-03-01,332.1684710234279,284.15756596794085
1998-04-01,328.21182276923076,274.90294153846156
1998-05-01,340.2144103194103,284.037316953317
1998-06-01,325.7236343558282,274.0596809815951
1998-07-01,332.53745588235296,277.2378455882353
1998-08-01,344.506817625459,286.13461689106487
1998-09-01,337.0747995110024,285.96931540342297
1998-10-01,336.43671219512197,284.35159756097556
1998-11-01,328.70676585365857,277.9099756097561
1998-12-01,337.56277486272114,280.8419158023185
1999-01-01,336.0061132075472,281.2604479610469
1999-02-01,351.19398419452887,293.57908814589666
1999-03-01,346.28821090909094,287.75032
1999-04-01,349.05462815884476,290.3945631768953
1999-05-01,341.2453935018051,280.4060072202166
1999-06-01,352.142,289.30490252707585
1999-07-01,342.3946466706659,286.44544211157773
1999-08-01,348.8003087971275,279.6182692998205
1999-09-01,350.19447766527696,293.38674925550924
1999-10-01,359.26020927467306,289.095003567182
1999-11-01,379.3126203208556,308.47172905525844
1999-12-01,362.4542816399287,295.5589590017825
2000-01-01,358.1620308056872,292.3589218009479
2000-02-01,354.09735689045937,288.6817809187279
2000-03-01,361.25114719626174,291.0813294392524
2000-04-01,365.26913485113835,286.50632574430824
2000-05-01,351.995335276968,289.8681586005831
2000-06-01,346.13095823665896,280.3012969837587
2000-07-01,353.1900416666666,295.19840277777774
2000-08-01,349.69656944444444,291.00623611111115
2000-09-01,361.95992400690847,298.01309153713305
2000-10-01,373.1317448275862,305.8257862068965
2000-11-01,365.28917403790933,302.8762159678346
2000-12-01,360.98891724137934,281.019724137931
2001-01-01,360.27255282695603,295.2855899486008
2001-02-01,362.27187713310576,290.33258020477814
2001-03-01,360.07904199772986,284.8769965947787
2001-04-01,350.6348106274731,298.9353713962691
2001-05-01,359.0778300506472,297.75943050084413
2001-06-01,358.9813550561798,304.20999101123596
2001-07-01,355.9114073239437,297.58478873239443
2001-08-01,352.85053521126764,295.3741588732395
