date,elec,gdp,pop,elecgdp,elecpop
2018-08-01,0.45296291240277675,,,,
2018-09-01,0.9460757854147905,19.83094957682434,5.672777178288202,-15.759596212915206,-4.472960320611852
2018-10-01,1.0979973898088247,,,,
2018-11-01,1.445083821887727,,,,
2018-12-01,1.2447219035938817,20.000683189611344,5.827573951321474,-15.629878753591298,-4.33048956582488
2019-01-01,0.9122443470277908,,,,
2019-02-01,1.1092991207634517,,,,
2019-03-01,1.2331267624727138,20.652408255199916,5.938907729989906,-16.095229074625838,-4.4419761052388544
2019-04-01,1.1339273087795032,,,,
2019-05-01,0.9273669433664145,,,,
2019-06-01,0.46945308463544055,21.653422874512017,6.05998321429182,-17.413377518960793,-5.271102219920998
2019-07-01,0.4391032671602346,,,,
2019-08-01,0.27922420391657266,,,,
