date,PX_MD,PX5_MD
2003-01-01,2.766666666666667,2.733333333333333
2003-04-01,2.1666666666666665,2.733333333333333
2003-07-01,2.3333333333333335,2.7000000000000006
2003-10-01,2.6333333333333333,2.766666666666667
2004-01-01,2.733333333333333,2.8666666666666667
2004-04-01,3.266666666666667,2.8000000000000003
2004-07-01,2.8666666666666667,2.766666666666667
2004-10-01,2.966666666666667,2.766666666666667
2005-01-01,3.0,2.8000000000000003
2005-04-01,3.233333333333333,2.9
2005-07-01,3.466666666666667,2.9333333333333336
2005-10-01,3.6666666666666665,3.1
2006-01-01,3.0,2.9
2006-04-01,3.533333333333333,3.0666666666666664
2006-07-01,3.3666666666666667,3.033333333333333
2006-10-01,3.0,3.033333333333333
2007-01-01,3.0,2.9333333333333336
2007-04-01,3.3333333333333335,3.033333333333333
2007-07-01,3.233333333333333,2.966666666666667
2007-10-01,3.3000000000000003,2.9333333333333336
2008-01-01,3.766666666666667,2.966666666666667
2008-04-01,5.033333333333333,3.3333333333333335
2008-07-01,4.733333333333333,3.1333333333333333
2008-10-01,2.8333333333333335,2.8000000000000003
2009-01-01,2.033333333333333,2.8666666666666667
2009-04-01,2.9,2.9
2009-07-01,2.6333333333333333,2.8666666666666667
2009-10-01,2.6999999999999997,2.8666666666666667
2010-01-01,2.733333333333333,2.766666666666667
2010-04-01,2.966666666666667,2.8000000000000003
2010-07-01,2.5333333333333337,2.8000000000000003
2010-10-01,2.9,2.7999999999999994
2011-01-01,3.7999999999999994,3.0
2011-04-01,4.166666666666667,2.9333333333333336
2011-07-01,3.4,2.8666666666666667
2011-10-01,3.1666666666666665,2.7000000000000006
2012-01-01,3.5,2.8666666666666667
2012-04-01,3.1,2.8000000000000003
2012-07-01,3.3000000000000003,2.8333333333333335
2012-10-01,3.1333333333333333,2.8000000000000003
2013-01-01,3.266666666666667,2.9
2013-04-01,3.0666666666666664,2.9
2013-07-01,3.1333333333333333,2.9
2013-10-01,2.966666666666667,2.8000000000000003
2014-01-01,3.1666666666666665,2.9
2014-04-01,3.1999999999999997,2.8666666666666667
2014-07-01,3.1666666666666665,2.8000000000000003
2014-10-01,2.8333333333333335,2.733333333333333
2015-01-01,2.766666666666667,2.766666666666667
2015-04-01,2.6999999999999997,2.6666666666666665
2015-07-01,2.7999999999999994,2.733333333333333
2015-10-01,2.6666666666666665,2.566666666666667
2016-01-01,2.566666666666667,2.6333333333333333
2016-04-01,2.6,2.533333333333333
2016-07-01,2.533333333333333,2.566666666666667
2016-10-01,2.3333333333333335,2.433333333333333
2017-01-01,2.6,2.5
2017-04-01,2.566666666666667,2.433333333333333
2017-07-01,2.6333333333333333,2.533333333333333
2017-10-01,2.533333333333333,2.433333333333333
2018-01-01,2.733333333333333,2.5
2018-04-01,2.8333333333333335,2.533333333333333
2018-07-01,2.8666666666666667,2.5
2018-10-01,2.8000000000000003,2.5
2019-01-01,2.6,2.466666666666667
2019-04-01,2.6999999999999997,2.4
2019-07-01,2.6999999999999997,2.5
2019-10-01,2.433333333333333,2.3333333333333335
2020-01-01,2.3666666666666667,2.3666666666666667
2020-04-01,2.766666666666667,2.566666666666667
2020-07-01,2.9,2.6666666666666665
2020-10-01,2.6333333333333333,2.466666666666667
2021-01-01,3.1333333333333333,2.733333333333333
2021-04-01,4.066666666666666,2.8333333333333335
2021-07-01,4.633333333333333,2.9
2021-10-01,4.833333333333333,2.9333333333333336
2022-01-01,5.066666666666667,3.033333333333333
2022-04-01,5.333333333333333,3.033333333333333
2022-07-01,4.8999999999999995,2.8333333333333335
2022-10-01,4.766666666666667,2.966666666666667
2023-01-01,3.9000000000000004,2.9
2023-04-01,4.066666666666666,3.033333333333333
2023-07-01,3.3666666666666667,2.9333333333333336
2023-10-01,3.9333333333333336,3.033333333333333
2024-01-01,2.9333333333333336,2.8666666666666667
2024-04-01,3.1666666666666665,3.0
2024-07-01,2.8000000000000003,3.033333333333333
2024-10-01,2.6999999999999997,3.0666666666666664
2025-01-01,4.2,3.6
2025-04-01,6.033333333333334,4.2
2025-07-01,4.666666666666667,3.533333333333333
2025-10-01,4.3999999999999995,3.5
