idx,date,Close,High,Low,Open,Volume,TenYr,ThreeMo,OPEN,HIGH,LOW,CLOSE,CH,Height,Height_Inc,Height_Dec,idxplus,idxminus,TYAVG,label
30,2026-04-28,7138.8,7152.52,7115.17,7133.74,4900650000.0,4.36,3.68,18.3,19.43,17.78,17.83,Inc,37.3501,37.3501,0.0,30.25,29.75,4.4037,
31,2026-04-29,7135.95,7145.63,7107.86,7131.61,5123100000.0,4.42,3.68,17.83,19.0,17.81,18.81,Inc,37.77,37.77,0.0,31.25,30.75,4.4037,Apr 29
32,2026-04-30,7209.01,7219.83,7126.15,7161.75,5723790000.0,4.4,3.68,18.68,18.73,16.87,16.89,Inc,93.6802,93.6802,0.0,32.25,31.75,4.4037,
33,2026-05-01,7230.12,7272.52,7229.32,7234.54,4847390000.0,4.39,3.68,17.01,17.39,16.44,16.99,Dec,43.2002,0.0,43.2002,33.25,32.75,4.4037,
34,2026-05-04,7200.75,7244.54,7174.12,7228.38,5215480000.0,4.45,3.7,17.38,19.08,17.15,18.29,Dec,70.4199,0.0,70.4199,34.25,33.75,4.4037,
35,2026-05-05,7259.22,7273.26,7233.62,7233.62,5279760000.0,4.43,3.69,17.95,18.02,17.2,17.38,Inc,39.6396,39.6396,0.0,35.25,34.75,4.4037,
36,2026-05-06,7365.12,7369.22,7294.14,7294.14,6579640000.0,4.36,3.69,17.15,17.46,16.18,17.39,Inc,75.0801,75.0801,0.0,36.25,35.75,4.4037,
37,2026-05-07,7337.11,7385.02,7321.25,7376.78,6237040000.0,4.41,3.69,17.53,17.6,16.85,17.08,Dec,63.77,0.0,63.77,37.25,36.75,4.4037,
38,2026-05-08,7398.93,7401.5,7362.97,7362.97,5302740000.0,4.38,3.69,17.37,17.53,16.82,17.19,Inc,38.5298,38.5298,0.0,38.25,37.75,4.4037,
39,2026-05-11,7412.84,7428.97,7384.2,7385.31,5821910000.0,4.42,3.7,18.21,18.47,17.9,18.38,Inc,44.77,44.77,0.0,39.25,38.75,4.4037,
40,2026-05-12,7400.96,7409.57,7338.54,7390.63,5624790000.0,4.46,3.7,18.77,19.1,17.92,17.99,Inc,71.0298,71.0298,0.0,40.25,39.75,4.4037,
41,2026-05-13,7444.25,7460.04,7375.13,7409.12,5716600000.0,4.46,3.69,17.98,18.4,17.76,17.87,Inc,84.9102,84.9102,0.0,41.25,40.75,4.4037,May 13
42,2026-05-14,7501.24,7517.12,7454.4,7454.4,5267050000.0,4.47,3.69,17.86,18.08,17.2,17.26,Inc,62.7202,62.7202,0.0,42.25,41.75,4.4037,
43,2026-05-15,7408.5,7454.85,7397.5,7445.11,5582070000.0,4.59,3.69,18.07,19.27,17.8,18.43,Dec,57.3501,0.0,57.3501,43.25,42.75,4.4037,
44,2026-05-18,7403.05,7434.06,7353.17,7415.07,5489500000.0,4.61,3.68,19.25,19.44,17.7,17.82,Dec,80.8901,0.0,80.8901,44.25,43.75,4.4037,
45,2026-05-19,7353.61,7395.32,7333.68,7375.75,5441140000.0,4.67,3.67,18.01,18.36,17.66,18.06,Dec,61.6396,0.0,61.6396,45.25,44.75,4.4037,
46,2026-05-20,7432.97,7435.69,7357.46,7369.19,5384150000.0,4.57,3.65,18.17,18.18,17.13,17.44,Inc,78.23,78.23,0.0,46.25,45.75,4.4037,
47,2026-05-21,7445.72,7465.96,7389.48,7410.78,5440620000.0,4.57,3.68,17.58,17.87,16.6,16.76,Inc,76.48,76.48,0.0,47.25,46.75,4.4037,
48,2026-05-22,7473.47,7506.32,7463.29,7468.82,4952440000.0,4.56,3.68,16.83,17.39,16.46,16.7,Inc,43.0298,43.0298,0.0,48.25,47.75,4.4037,
49,2026-05-26,7519.12,7539.09,7501.1,7511.79,5496060000.0,4.5,3.68,16.92,17.23,16.56,17.01,Inc,37.9897,37.9897,0.0,49.25,48.75,4.4037,
50,2026-05-27,7520.36,7530.72,7499.72,7526.01,5524250000.0,4.48,3.68,17.01,17.18,16.29,16.29,Dec,31.0,0.0,31.0,50.25,49.75,4.4037,
51,2026-05-28,7563.63,7568.72,7508.04,7519.82,5494860000.0,4.45,3.69,16.76,16.85,15.61,15.74,Inc,60.6802,60.6802,0.0,51.25,50.75,4.4037,May 28
52,2026-05-29,7580.06,7599.38,7563.55,7579.33,7858290000.0,4.45,3.69,15.81,15.88,15.22,15.32,Inc,35.8301,35.8301,0.0,52.25,51.75,4.4037,
53,2026-06-01,7599.96,7617.66,7562.61,7582.29,6583960000.0,4.47,3.78,15.88,16.34,15.71,16.05,Inc,55.0503,55.0503,0.0,53.25,52.75,4.4037,
54,2026-06-02,7609.78,7620.9,7582.99,7595.4,5904410000.0,4.46,3.77,16.28,16.29,15.71,15.77,Inc,37.9097,37.9097,0.0,54.25,53.75,4.4037,
55,2026-06-03,7553.68,7605.35,7551.22,7605.31,5753860000.0,4.49,3.78,15.97,16.63,15.94,16.06,Dec,54.1299,0.0,54.1299,55.25,54.75,4.4037,
56,2026-06-04,7584.31,7598.19,7516.54,7516.54,5398910000.0,4.47,3.78,16.33,16.8,15.18,15.4,Inc,81.6499,81.6499,0.0,56.25,55.75,4.4037,
57,2026-06-05,7383.74,7541.81,7368.63,7537.36,5591290000.0,4.55,3.78,15.87,21.57,15.56,21.51,Dec,173.1802,0.0,173.1802,57.25,56.75,4.4037,
58,2026-06-08,7405.73,7466.81,7395.13,7440.57,4898180000.0,4.56,3.8,20.29,20.35,17.94,18.92,Dec,71.6802,0.0,71.6802,58.25,57.75,4.4037,
59,2026-06-09,7386.65,7483.15,7237.85,7438.66,6006390000.0,4.53,3.79,18.19,23.34,17.52,19.87,Dec,245.2998,0.0,245.2998,59.25,58.75,4.4037,
60,2026-06-10,7266.99,7396.56,7265.93,7350.54,5247300000.0,4.55,3.79,20.1,22.66,20.06,22.22,Dec,130.6299,0.0,130.6299,60.25,59.75,4.4037,
61,2026-06-11,7394.3,7412.68,7257.33,7287.67,5658920000.0,4.45,3.78,21.25,22.59,19.36,19.44,Inc,155.3501,155.3501,0.0,61.25,60.75,4.4037,Jun 11
62,2026-06-12,7431.46,7456.4,7363.01,7410.85,4950530000.0,4.48,3.78,19.51,19.85,17.59,17.68,Inc,93.3901,93.3901,0.0,62.25,61.75,4.4037,
