date,PrRes,PrNR,Pub,Total,PrMan
2004-12-01,4.520430480392528,1.9695121357390397,1.7918668907548,8.281809506886367,0.22446331642454578
2005-01-01,4.566027864310962,1.984241116095373,1.7472026783344616,8.297471658740797,0.2187473576686662
2005-02-01,4.6379983325007395,1.98463624381683,1.7861852305091515,8.408811924905468,0.22081990582365213
2005-03-01,4.633561118627718,1.973489118987387,1.7873963189984152,8.394462221649926,0.2244016465206466
2005-04-01,4.667536100105811,1.9826780026891173,1.7826245823021878,8.432838685097115,0.21794862593840617
2005-05-01,4.690492465697335,1.9846217029996271,1.8195745336793967,8.494696471861333,0.21017233805402058
2005-06-01,4.774235265567698,1.9502569750367107,1.8333150708337358,8.557807311438143,0.21317599106561377
2005-07-01,4.838032793411011,1.9536803598362715,1.8194081176970713,8.611128965628717,0.21228864689847537
2005-08-01,4.848839291225195,1.9710216859136185,1.8199272902376404,8.63980357039926,0.22207746696204902
2005-09-01,4.9257523715551255,2.0025121280789664,1.8099785416052572,8.738258258879759,0.22102100932217433
2005-10-01,4.988123047689988,2.010510713998626,1.7934112150098986,8.79206769852718,0.22187108300920225
2005-11-01,5.016525072849296,2.0309064475554175,1.789404903866573,8.836836424271286,0.223090368311467
2005-12-01,5.032360657342083,2.0443622748495893,1.8144273383986016,8.89116528086781,0.22269247753937121
2006-01-01,5.0364210826353535,2.0672777048292708,1.8084496434666562,8.912155884797809,0.2213649281864683
2006-02-01,5.023591324173193,2.0750163538677895,1.8270875723338458,8.925695250374828,0.2139550833506817
2006-03-01,4.914355004279676,2.0984016659852522,1.8493348118560267,8.862084128725597,0.22685960015177406
2006-04-01,4.7645443378430965,2.107243588942146,1.8699350142450586,8.741722941030302,0.23341130477861943
2006-05-01,4.625710674702345,2.137840775003012,1.8525686074892023,8.616120057194559,0.23243317619166523
2006-06-01,4.471999118183224,2.1764325741720754,1.8740133366062153,8.522445028961515,0.24001295968189448
2006-07-01,4.339269250702249,2.1852846105264763,1.870871079310756,8.395424940539481,0.23267978885679486
2006-08-01,4.225643349126858,2.2164492044594613,1.8428102511700546,8.284902804756374,0.2594194795367019
2006-09-01,4.137492584815721,2.214057949322677,1.8368965150292123,8.18844704916761,0.24665851681318235
2006-10-01,4.031437482336019,2.186937289707672,1.844686885111552,8.063061657155243,0.23205875662423223
2006-11-01,3.925959875190313,2.2324373026606303,1.8637780627990337,8.022175240649977,0.23176544414034195
2006-12-01,3.8819663864109706,2.2804275917478893,1.9247896657730013,8.087190766662204,0.23291328218263252
2007-01-01,3.813031639301227,2.2715503058285855,1.986756235185669,8.071331087240075,0.23678104321690263
2007-02-01,3.7553346574411415,2.347531820757488,1.9428755648990597,8.04574204309769,0.24347045275417298
2007-03-01,3.713266455401867,2.3942202857962678,1.9584400320463693,8.065926773244504,0.23884942026221662
2007-04-01,3.6676952724538414,2.417586245345453,1.9733089498602308,8.05859747154229,0.25091410008604503
2007-05-01,3.5853083050217673,2.496858714989825,2.018146754001615,8.100320747543893,0.24570538018352703
2007-06-01,3.5129365323708055,2.5655665618346015,2.000266350379063,8.07876944458447,0.2605595496540014
2007-07-01,3.430913021431493,2.563846143682753,1.9980570592595084,7.992809306875687,0.2831124434007426
2007-08-01,3.314751953558067,2.651062767382621,2.022252721528601,7.988067442469289,0.27783395829242313
2007-09-01,3.1976466544453053,2.7157980123340124,2.041586180610881,7.955030847390199,0.32976252525298994
2007-10-01,3.0642247393284245,2.796749386428373,2.0250053303479127,7.885979456104711,0.33703673528894684
2007-11-01,2.9450087242116485,2.7421957782512085,2.038173957936714,7.7253852794751525,0.30127357828922713
2007-12-01,2.8303388270708822,2.7316304155919737,2.0162611659430767,7.578230408605932,0.32576833879961603
2008-01-01,2.7333608025655955,2.8204992612262814,2.0000451325558117,7.5539051963476895,0.32755088321828835
2008-02-01,2.625515504462527,2.7950128142739956,2.034912693113196,7.455434213465723,0.32651278660457295
2008-03-01,2.655084425715964,2.763648385500381,2.084372270346699,7.503098281866201,0.3302408765407603
2008-04-01,2.6106954128385254,2.787427936412968,2.0631464143646063,7.461262988361218,0.3381529711175175
2008-05-01,2.578276580777597,2.797042347147505,2.0612116583261963,7.4365305862512985,0.3552167359693091
2008-06-01,2.5191882979484115,2.744875603242659,2.0689101711382465,7.332974072329317,0.36519636712725484
2008-07-01,2.452630887183828,2.7658501208626824,2.0878750338810534,7.306356041927565,0.3529992930155389
2008-08-01,2.368352876460143,2.7122294550659585,2.106972823724251,7.187548438386171,0.36526307415783005
2008-09-01,2.2846904010128464,2.7560509266427897,2.071004904423445,7.111746232079081,0.38025373382466837
2008-10-01,2.224716017740493,2.785576800108147,2.123567995798425,7.133860813647066,0.39663374086419945
2008-11-01,2.1253794336796137,2.758192221100392,2.155008531371244,7.03858018615125,0.39658244644950313
2008-12-01,2.0125465072412365,2.691541447688762,2.1354910790227604,6.839572188486624,0.39967938574810913
2009-01-01,1.9511163572013128,2.6233706903425,2.1276357861147033,6.702122833658517,0.4389891521403834
2009-02-01,1.8491229804785199,2.639088237677776,2.217853028937442,6.7060573457845525,0.45881283725403993
2009-03-01,1.7645813130738466,2.658648780235636,2.25544460076023,6.678674694069713,0.4454607203347372
