date,1-month,6-month,12-month
1998-04-01,1.91,1.63,1.63
1998-05-01,2.42,1.78,1.71
1998-06-01,1.19,1.78,1.64
1998-07-01,1.99,1.88,1.69
1998-08-01,2.13,2.01,1.75
1998-09-01,1.81,1.91,1.7
1998-10-01,1.88,1.9,1.77
1998-11-01,1.74,1.79,1.78
1998-12-01,1.49,1.84,1.81
1999-01-01,1.77,1.8,1.84
1999-02-01,0.83,1.59,1.8
1999-03-01,1.52,1.54,1.72
1999-04-01,2.53,1.64,1.77
1999-05-01,1.85,1.66,1.73
1999-06-01,1.53,1.67,1.76
1999-07-01,2.43,1.78,1.79
1999-08-01,1.63,1.91,1.75
1999-09-01,2.37,2.06,1.8
1999-10-01,2,1.97,1.81
1999-11-01,2.18,2.02,1.84
1999-12-01,1.9,2.08,1.88
2000-01-01,3.2,2.21,2
2000-02-01,2.36,2.33,2.12
2000-03-01,2.86,2.42,2.24
2000-04-01,1.82,2.38,2.18
2000-05-01,2.35,2.41,2.22
2000-06-01,2.17,2.46,2.27
2000-07-01,2.76,2.38,2.3
2000-08-01,1.93,2.31,2.32
2000-09-01,3.13,2.36,2.39
2000-10-01,2.41,2.45,2.42
2000-11-01,2.58,2.49,2.45
2000-12-01,2.42,2.54,2.5
2001-01-01,3.48,2.66,2.52
2001-02-01,2.55,2.76,2.54
2001-03-01,2.38,2.64,2.5
2001-04-01,2.91,2.72,2.59
2001-05-01,2.37,2.68,2.59
2001-06-01,3.2,2.81,2.67
2001-07-01,2.25,2.61,2.63
2001-08-01,2.17,2.55,2.65
2001-09-01,1.72,2.43,2.53
2001-10-01,2.01,2.28,2.5
2001-11-01,2.16,2.25,2.47
2001-12-01,1.25,1.93,2.37
2002-01-01,1.89,1.87,2.24
2002-02-01,2.44,1.91,2.23
2002-03-01,2.28,2,2.22
2002-04-01,2.32,2.06,2.17
2002-05-01,1.65,1.97,2.11
2002-06-01,1.99,2.09,2.01
2002-07-01,2.44,2.19,2.03
2002-08-01,1.91,2.1,2
2002-09-01,2.51,2.14,2.07
2002-10-01,2.17,2.11,2.08
2002-11-01,1.91,2.16,2.06
2002-12-01,1.67,2.1,2.1
2003-01-01,1.65,1.97,2.08
2003-02-01,1.6,1.92,2.01
2003-03-01,2.07,1.84,1.99
2003-04-01,0.56,1.58,1.84
2003-05-01,1.42,1.49,1.82
2003-06-01,1,1.38,1.74
2003-07-01,2.78,1.57,1.77
2003-08-01,2.24,1.67,1.8
2003-09-01,1.94,1.65,1.75
2003-10-01,1.99,1.89,1.73
2003-11-01,1.98,1.99,1.74
2003-12-01,1.65,2.1,1.74
2004-01-01,2.51,2.05,1.81
2004-02-01,2.46,2.09,1.88
2004-03-01,2.09,2.11,1.88
2004-04-01,3.34,2.34,2.11
2004-05-01,2.52,2.43,2.21
2004-06-01,2.42,2.56,2.33
2004-07-01,1.97,2.47,2.26
2004-08-01,1.52,2.31,2.2
2004-09-01,1.86,2.27,2.19
2004-10-01,2.24,2.09,2.21
2004-11-01,2.42,2.07,2.25
2004-12-01,1.94,1.99,2.27
2005-01-01,3.61,2.26,2.37
2005-02-01,2.68,2.46,2.38
2005-03-01,2.22,2.52,2.39
2005-04-01,2.06,2.49,2.29
2005-05-01,2.07,2.43,2.25
2005-06-01,1.61,2.37,2.18
2005-07-01,2.81,2.24,2.25
2005-08-01,1.92,2.11,2.29
2005-09-01,3.18,2.27,2.39
2005-10-01,2.88,2.41,2.45
2005-11-01,2.6,2.5,2.46
2005-12-01,1.63,2.5,2.44
2006-01-01,3,2.53,2.39
2006-02-01,2.08,2.56,2.34
2006-03-01,2.76,2.49,2.38
2006-04-01,3.18,2.54,2.47
2006-05-01,3.68,2.72,2.61
2006-06-01,3.68,3.06,2.78
2006-07-01,2.95,3.05,2.79
2006-08-01,2.75,3.17,2.86
2006-09-01,2.13,3.06,2.78
2006-10-01,2.05,2.87,2.71
2006-11-01,0.94,2.41,2.57
2006-12-01,2.91,2.28,2.67
2007-01-01,3.48,2.37,2.71
2007-02-01,3.37,2.48,2.82
2007-03-01,2.11,2.47,2.77
2007-04-01,1.96,2.46,2.66
2007-05-01,1.86,2.61,2.51
2007-06-01,2.49,2.54,2.41
2007-07-01,2.15,2.32,2.35
2007-08-01,2.17,2.12,2.3
2007-09-01,3.11,2.29,2.38
2007-10-01,3.08,2.47,2.47
2007-11-01,3.27,2.71,2.66
2007-12-01,2.56,2.72,2.63
2008-01-01,2.66,2.81,2.56
2008-02-01,1.89,2.76,2.44
2008-03-01,2.58,2.67,2.48
2008-04-01,2.27,2.54,2.51
2008-05-01,2.4,2.39,2.55
2008-06-01,3.05,2.47,2.6
2008-07-01,3.25,2.57,2.69
2008-08-01,1.54,2.51,2.64
2008-09-01,2.28,2.46,2.57
2008-10-01,1.51,2.34,2.44
2008-11-01,2.17,2.3,2.35
2008-12-01,0.93,1.94,2.21
2009-01-01,2.83,1.88,2.22
2009-02-01,1.83,1.92,2.22
2009-03-01,1.59,1.81,2.14
2009-04-01,1.6,1.82,2.08
2009-05-01,1.37,1.69,1.99
2009-06-01,1.42,1.77,1.86
2009-07-01,0.34,1.36,1.62
2009-08-01,1.4,1.28,1.6
2009-09-01,0.77,1.15,1.48
2009-10-01,1.83,1.18,1.5
2009-11-01,0.73,1.08,1.38
2009-12-01,0.66,0.95,1.36
2010-01-01,0.89,1.04,1.2
2010-02-01,0.44,0.89,1.08
2010-03-01,0.58,0.85,1
2010-04-01,0.74,0.67,0.93
2010-05-01,0.72,0.67,0.88
2010-06-01,0.65,0.67,0.81
2010-07-01,0.82,0.66,0.85
2010-08-01,1.33,0.81,0.85
2010-09-01,1.19,0.91,0.88
2010-10-01,0.82,0.92,0.8
2010-11-01,1.38,1.03,0.85
2010-12-01,1.18,1.12,0.89
2011-01-01,2.17,1.34,1
2011-02-01,2.36,1.51,1.16
2011-03-01,2.15,1.67,1.29
2011-04-01,2.28,1.92,1.42
2011-05-01,2.44,2.09,1.56
2011-06-01,1.33,2.12,1.62
2011-07-01,1.78,2.06,1.7
2011-08-01,2.43,2.07,1.79
2011-09-01,1.75,2,1.84
2011-10-01,1.87,1.93,1.93
2011-11-01,2.15,1.88,1.99
2011-12-01,1.96,1.99,2.06
2012-01-01,2.59,2.12,2.09
2012-02-01,1.53,1.97,2.02
2012-03-01,2.13,2.04,2.02
2012-04-01,1.91,2.04,1.99
2012-05-01,1.59,1.95,1.92
2012-06-01,1.12,1.81,1.9
2012-07-01,1.15,1.57,1.84
2012-08-01,1.74,1.6,1.79
2012-09-01,1.81,1.55,1.79
2012-10-01,1.67,1.51,1.78
2012-11-01,1.19,1.44,1.7
2012-12-01,1.04,1.43,1.62
2013-01-01,1.98,1.57,1.57
2013-02-01,2.04,1.62,1.61
2013-03-01,1.47,1.56,1.56
2013-04-01,0.3,1.34,1.42
2013-05-01,1.32,1.36,1.4
2013-06-01,2.32,1.57,1.5
2013-07-01,1.75,1.53,1.55
2013-08-01,1.57,1.45,1.54
2013-09-01,1.64,1.48,1.52
2013-10-01,1.69,1.71,1.52
2013-11-01,2.02,1.83,1.59
2013-12-01,1.72,1.73,1.65
2014-01-01,1.76,1.73,1.63
2014-02-01,1.35,1.7,1.57
2014-03-01,1.66,1.7,1.59
2014-04-01,1.9,1.73,1.72
2014-05-01,1.91,1.72,1.77
2014-06-01,1.68,1.71,1.72
2014-07-01,1.89,1.73,1.73
2014-08-01,1.03,1.68,1.69
2014-09-01,1.79,1.7,1.7
2014-10-01,1.45,1.63,1.68
2014-11-01,1.57,1.57,1.64
2014-12-01,1.22,1.49,1.6
2015-01-01,0.41,1.24,1.49
2015-02-01,2.14,1.43,1.55
2015-03-01,1.64,1.4,1.55
2015-04-01,2.15,1.52,1.57
2015-05-01,1.63,1.53,1.55
2015-06-01,1.9,1.64,1.57
2015-07-01,1.66,1.85,1.55
2015-08-01,1.27,1.71,1.57
2015-09-01,1.68,1.71,1.56
2015-10-01,1.03,1.53,1.52
2015-11-01,1.23,1.46,1.49
2015-12-01,1.03,1.32,1.48
2016-01-01,1.84,1.35,1.6
2016-02-01,2.02,1.47,1.59
2016-03-01,1.96,1.52,1.62
2016-04-01,2.44,1.75,1.64
2016-05-01,2.13,1.9,1.68
2016-06-01,1.65,2,1.66
2016-07-01,1.77,1.99,1.67
2016-08-01,1.75,1.95,1.71
2016-09-01,2.02,1.96,1.74
2016-10-01,2.04,1.89,1.82
2016-11-01,1.54,1.79,1.85
2016-12-01,1.76,1.81,1.91
2017-01-01,2.3,1.9,1.95
2017-02-01,1.54,1.87,1.91
2017-03-01,1.14,1.72,1.84
2017-04-01,1.71,1.66,1.78
2017-05-01,1,1.57,1.68
2017-06-01,1.64,1.55,1.68
2017-07-01,1.21,1.37,1.64
2017-08-01,1.85,1.42,1.64
2017-09-01,1.86,1.54,1.63
2017-10-01,2.04,1.6,1.63
2017-11-01,1.8,1.73,1.65
2017-12-01,1.89,1.78,1.66
2018-01-01,3.04,2.08,1.72
2018-02-01,1.84,2.08,1.75
2018-03-01,1.68,2.05,1.79
2018-04-01,1.29,1.92,1.76
2018-05-01,2.19,1.98,1.86
2018-06-01,2.1,2.02,1.9
2018-07-01,1.64,1.79,1.93
2018-08-01,1.78,1.78,1.93
2018-09-01,2.05,1.84,1.94
2018-10-01,2.28,2,1.96
2018-11-01,2.54,2.06,2.02
2018-12-01,1.79,2.01,2.02
2019-01-01,1.88,2.05,1.92
2019-02-01,2.28,2.14,1.96
2019-03-01,2.23,2.17,2
2019-04-01,2.69,2.24,2.12
2019-05-01,1.02,1.98,2.02
2019-06-01,1.8,1.98,2
2019-07-01,2.14,2.03,2.04
2019-08-01,1.79,1.94,2.04
2019-09-01,1.69,1.85,2.01
2019-10-01,2.34,1.8,2.02
2019-11-01,1.5,1.88,1.93
2019-12-01,1.83,1.88,1.93
2020-01-01,2.5,1.94,1.98
2020-02-01,2.2,2.01,1.98
2020-03-01,1.04,1.9,1.88
2020-04-01,1.07,1.69,1.74
2020-05-01,2,1.77,1.82
2020-06-01,1.49,1.71,1.8
2020-07-01,2.74,1.75,1.85
2020-08-01,2.03,1.72,1.87
2020-09-01,1.63,1.82,1.86
2020-10-01,1.44,1.89,1.79
2020-11-01,0.72,1.67,1.72
2020-12-01,1.68,1.71,1.71
2021-01-01,2.33,1.64,1.7
2021-02-01,2.34,1.69,1.71
2021-03-01,2.22,1.79,1.81
2021-04-01,2.67,1.99,1.94
2021-05-01,2.86,2.35,2.01
2021-06-01,2.27,2.45,2.08
2021-07-01,3.38,2.62,2.13
2021-08-01,3.18,2.76,2.22
2021-09-01,4.42,3.13,2.46
2021-10-01,4.96,3.51,2.75
2021-11-01,4.52,3.78,3.06
2021-12-01,4.82,4.21,3.33
2022-01-01,6.94,4.8,3.71
2022-02-01,4.73,5.06,3.91
2022-03-01,3.22,4.86,3.99
2022-04-01,3.19,4.56,4.03
2022-05-01,5.38,4.7,4.24
2022-06-01,6.92,5.05,4.63
2022-07-01,4.39,4.63,4.72
2022-08-01,6.03,4.85,4.95
2022-09-01,4.68,5.09,4.98
2022-10-01,5.07,5.41,4.98
2022-11-01,3.82,5.15,4.92
2022-12-01,4.05,4.67,4.86
2023-01-01,5.96,4.93,4.78
2023-02-01,4.38,4.66,4.75
2023-03-01,4,4.54,4.82
2023-04-01,3.99,4.36,4.88
2023-05-01,3.16,4.25,4.7
2023-06-01,2.49,3.99,4.33
2023-07-01,2.48,3.41,4.17
2023-08-01,2.64,3.12,3.89
2023-09-01,4.11,3.14,3.84
2023-10-01,2.72,2.93,3.64
