date,NetDomInv,NetBusInv,NetHHInv,NetGovInv,GrossInv_NIPA,GrossInv,CFC,CFCBus,CFCHH,CFCGov,GrossBusInv,GrossHHInv,GrossGovInv,GDP
2010-10-01,3.09168,1.5292,0.364434,1.19804,16.1016,18.85,15.7583,10.1267,2.60096,3.03069,11.6559,2.9654,4.22873,100
2011-01-01,2.65825,1.20215,0.350964,1.10513,15.4297,18.5345,15.8762,10.2126,2.60406,3.05963,11.4147,2.95503,4.16476,100
2011-04-01,3.02133,1.59149,0.393038,1.0368,15.7846,18.8567,15.8353,10.2025,2.57978,3.05305,11.794,2.97282,4.08984,100
2011-07-01,3.00604,1.56786,0.447996,0.990198,16.1146,18.9035,15.8974,10.2541,2.57463,3.06863,11.822,3.02263,4.05883,100
2011-10-01,3.98155,2.52655,0.495813,0.959194,16.9764,19.8193,15.8377,10.2287,2.55533,3.05369,12.7553,3.05114,4.01288,100
2012-01-01,4.08444,2.5912,0.632922,0.860319,16.9728,19.8807,15.7963,10.2284,2.52717,3.04066,12.8196,3.1601,3.90098,100
2012-04-01,4.31951,2.83488,0.654638,0.829981,17.3888,20.1391,15.8196,10.2553,2.52495,3.03929,13.0902,3.17959,3.86928,100
2012-07-01,4.12634,2.68383,0.68524,0.757264,17.5594,19.9978,15.8715,10.2963,2.53677,3.03836,12.9802,3.22201,3.79562,100
2012-10-01,3.89229,2.40202,0.800211,0.690068,17.4415,19.7866,15.8943,10.3147,2.55014,3.02944,12.7167,3.35035,3.7195,100
2013-01-01,4.2797,2.69134,0.987519,0.60084,17.8068,20.0965,15.8168,10.2561,2.56186,2.99885,12.9474,3.54938,3.5997,100
2013-04-01,4.2766,2.66309,1.0363,0.577206,17.9515,20.2035,15.9269,10.3229,2.59727,3.00664,12.986,3.63357,3.58384,100
2013-07-01,4.73072,3.09402,1.05912,0.577586,18.5465,20.6255,15.8948,10.2952,2.61184,2.98774,13.3892,3.67096,3.56532,100
2013-10-01,4.67816,3.13694,1.00158,0.53964,18.8691,20.5813,15.9032,10.2966,2.63263,2.97393,13.4335,3.63421,3.51357,100
2014-01-01,4.30118,2.8894,0.966121,0.445657,18.2745,20.4354,16.1343,10.4464,2.69311,2.99473,13.3358,3.65923,3.44039,100
2014-04-01,4.92759,3.38312,1.03698,0.507492,18.9501,20.9209,15.9933,10.377,2.66503,2.95136,13.7601,3.702,3.45886,100
2014-07-01,5.13568,3.5512,1.07636,0.508121,19.0762,21.0759,15.9402,10.3521,2.66809,2.92,13.9033,3.74445,3.42812,100
2014-10-01,5.16516,3.46345,1.16596,0.535756,18.769,21.1554,15.9903,10.4067,2.67272,2.91087,13.8701,3.83867,3.44664,100
2015-01-01,5.56184,3.84569,1.21501,0.501148,19.2484,21.5676,16.0058,10.433,2.67711,2.89569,14.2787,3.89212,3.39683,100
2015-04-01,5.53033,3.64175,1.29707,0.591506,19.2476,21.4652,15.9349,10.396,2.66919,2.86965,14.0378,3.96626,3.46116,100
2015-07-01,5.45872,3.47481,1.37838,0.605539,18.9501,21.4183,15.9596,10.4123,2.68759,2.85969,13.8871,4.06597,3.46523,100
2015-10-01,5.20639,3.20934,1.41474,0.582306,18.9685,21.2131,16.0067,10.4379,2.71324,2.85562,13.6472,4.12798,3.43793,100
2016-01-01,5.02933,2.85057,1.51911,0.659643,18.7036,21.0147,15.9853,10.4169,2.72574,2.84272,13.2675,4.24485,3.50236,100
2016-04-01,4.7997,2.66802,1.51558,0.616101,18.6825,20.8053,16.0056,10.4222,2.74365,2.83973,13.0902,4.25924,3.45583,100
2016-07-01,4.70139,2.60109,1.50233,0.597968,18.6086,20.6877,15.9864,10.3977,2.76258,2.82606,12.9988,4.2649,3.42403,100
2016-10-01,5.0361,2.87231,1.54536,0.618428,19.0155,21.0442,16.0081,10.4124,2.77627,2.81934,13.2848,4.32163,3.43777,100
2017-01-01,4.85933,2.62179,1.61084,0.626704,19.0203,20.8832,16.0238,10.4315,2.77929,2.81307,13.0533,4.39013,3.43977,100
2017-04-01,5.03489,2.82716,1.55063,0.657098,18.9286,21.1316,16.0967,10.4803,2.80248,2.81393,13.3074,4.35311,3.47102,100
