date,Other_19-21,School_19-21,Total_19-21,Other_22-24,School_22-24,Total_22-24
1999-05-01,12.3037,16.815,29.1187,12.2434,7.1339,19.3773
1999-06-01,12.2723,16.7583,29.0306,12.2376,7.18027,19.4179
1999-07-01,12.3146,16.7286,29.0432,12.1477,7.18512,19.3328
1999-08-01,12.4008,16.7699,29.1706,12.1269,7.16102,19.2879
1999-09-01,12.4084,16.8683,29.2766,12.091,7.11714,19.2081
1999-10-01,12.3893,16.9368,29.3261,12.0851,7.12294,19.208
1999-11-01,12.3721,16.8704,29.2425,12.1454,7.06178,19.2071
1999-12-01,12.381,16.7957,29.1767,12.0824,7.02407,19.1065
2000-01-01,12.2522,16.7323,28.9845,12.0357,7.0283,19.064
2000-02-01,12.1595,16.7163,28.8758,11.9851,7.04151,19.0266
2000-03-01,12.1714,16.6732,28.8445,11.9436,7.09688,19.0405
2000-04-01,12.0726,16.5943,28.667,11.8918,7.04743,18.9392
2000-05-01,12.091,16.5608,28.6518,11.8748,7.08995,18.9647
2000-06-01,12.064,16.5732,28.6372,11.9226,7.05783,18.9804
2000-07-01,12.0608,16.6528,28.7136,12.1173,7.01201,19.1293
2000-08-01,11.977,16.7191,28.6961,12.1823,6.99559,19.1779
2000-09-01,11.9232,16.6453,28.5685,12.2799,6.98738,19.2672
2000-10-01,11.8383,16.5591,28.3974,12.264,6.97589,19.2399
2000-11-01,11.8103,16.5,28.3102,12.2936,6.95156,19.2452
2000-12-01,11.7212,16.507,28.2282,12.3599,6.9752,19.335
2001-01-01,11.7155,16.4639,28.1794,12.3898,6.95578,19.3456
2001-02-01,11.7156,16.5262,28.2418,12.4607,6.90502,19.3657
2001-03-01,11.6727,16.6293,28.302,12.5545,6.80404,19.3585
2001-04-01,11.7573,16.6991,28.4564,12.6368,6.79128,19.4281
2001-05-01,11.9161,16.8158,28.7318,12.6395,6.7675,19.407
2001-06-01,12.0268,16.9892,29.016,12.6385,6.77824,19.4167
2001-07-01,12.0941,17.0683,29.1624,12.556,6.84198,19.398
2001-08-01,12.1897,17.2927,29.4824,12.4486,6.89538,19.344
2001-09-01,12.26,17.462,29.722,12.3411,6.89275,19.2338
2001-10-01,12.3426,17.6067,29.9494,12.3253,6.99356,19.3189
2001-11-01,12.3745,17.6654,30.0399,12.2735,7.11623,19.3897
2001-12-01,12.4773,17.7704,30.2477,12.2558,7.20675,19.4625
2002-01-01,12.5351,17.9294,30.4645,12.2831,7.32693,19.61
2002-02-01,12.5846,18.0024,30.587,12.3286,7.33104,19.6597
2002-03-01,12.6307,18.0802,30.7109,12.2493,7.46425,19.7136
2002-04-01,12.6286,18.1564,30.785,12.2275,7.58882,19.8163
2002-05-01,12.4343,18.1316,30.5659,12.2731,7.63806,19.9112
2002-06-01,12.4024,18.1603,30.5627,12.2727,7.64827,19.921
2002-07-01,12.3969,18.2722,30.669,12.2226,7.65705,19.8796
2002-08-01,12.3421,18.3547,30.6968,12.2084,7.575,19.7834
2002-09-01,12.3588,18.3924,30.7512,12.2985,7.56494,19.8634
2002-10-01,12.3868,18.4858,30.8726,12.35,7.57989,19.9298
2002-11-01,12.4357,18.6548,31.0905,12.3824,7.54512,19.9275
2002-12-01,12.4807,18.7895,31.2702,12.4014,7.53245,19.9338
2003-01-01,12.5286,18.9135,31.442,12.4297,7.47247,19.9022
2003-02-01,12.4691,19.1632,31.6323,12.3974,7.57613,19.9735
2003-03-01,12.4292,19.3155,31.7447,12.5076,7.72381,20.2314
2003-04-01,12.3832,19.4286,31.8118,12.511,7.7991,20.3101
2003-05-01,12.4174,19.4865,31.9039,12.4832,7.93116,20.4143
2003-06-01,12.3988,19.5461,31.9449,12.4766,8.02234,20.4989
2003-07-01,12.3839,19.556,31.9399,12.594,8.08727,20.6812
2003-08-01,12.3366,19.5677,31.9043,12.7436,8.25951,21.0031
2003-09-01,12.2682,19.5704,31.8386,12.7637,8.3718,21.1355
2003-10-01,12.202,19.6537,31.8557,12.7759,8.46774,21.2437
2003-11-01,12.1636,19.732,31.8956,12.8738,8.46617,21.34
2003-12-01,12.1408,19.788,31.9289,12.9494,8.54252,21.4919
2004-01-01,12.1267,19.7791,31.9057,13.0127,8.56302,21.5757
2004-02-01,12.1253,19.8022,31.9276,13.0747,8.62454,21.6992
2004-03-01,12.148,19.8294,31.9774,13.1251,8.57697,21.7021
2004-04-01,12.119,19.867,31.986,13.1444,8.58396,21.7284
2004-05-01,12.0493,20.0159,32.0653,13.1509,8.63342,21.7843
2004-06-01,12.0414,20.0663,32.1077,13.18,8.69627,21.8762
2004-07-01,12.0085,20.1904,32.199,13.1061,8.74867,21.8548
2004-08-01,12.1334,20.1178,32.2512,13.1198,8.74817,21.868
2004-09-01,12.1573,20.2869,32.4442,13.1431,8.79783,21.9409
2004-10-01,12.2211,20.1853,32.4063,13.1821,8.70953,21.8916
2004-11-01,12.2377,20.1543,32.392,13.1108,8.75765,21.8685
2004-12-01,12.2188,20.1448,32.3636,13.0752,8.74884,21.824
2005-01-01,12.3278,20.1114,32.4392,13.0734,8.75594,21.8293
2005-02-01,12.515,20.0601,32.5751,13.0865,8.70863,21.7951
2005-03-01,12.5961,20.0755,32.6716,13.1425,8.67286,21.8154
2005-04-01,12.7642,20.0738,32.838,13.2645,8.58246,21.847
2005-05-01,12.9147,20.0661,32.9808,13.3334,8.47986,21.8133
2005-06-01,12.9753,20.0655,33.0407,13.4083,8.3872,21.7955
2005-07-01,13.0641,19.989,33.0532,13.5074,8.3283,21.8357
2005-08-01,13.041,20.102,33.1431,13.5191,8.24308,21.7622
2005-09-01,13.0729,20.0247,33.0975,13.4931,8.21121,21.7043
2005-10-01,13.0197,20.0933,33.113,13.4562,8.22456,21.6808
2005-11-01,13.0222,20.0655,33.0877,13.4388,8.25481,21.6936
2005-12-01,13.0324,20.0486,33.081,13.437,8.29844,21.7354
2006-01-01,12.9452,20.1842,33.1295,13.4212,8.40298,21.8242
2006-02-01,12.8122,20.1491,32.9613,13.46,8.47545,21.9354
2006-03-01,12.7871,20.1024,32.8896,13.4554,8.54938,22.0048
2006-04-01,12.655,20.1799,32.8349,13.388,8.63765,22.0257
2006-05-01,12.6029,20.2117,32.8146,13.3142,8.6906,22.0048
2006-06-01,12.5526,20.3515,32.904,13.2423,8.7865,22.0288
2006-07-01,12.5027,20.3902,32.8929,13.1908,8.8218,22.0126
2006-08-01,12.4562,20.3303,32.7865,13.1282,8.84798,21.9762
2006-09-01,12.4279,20.3321,32.76,13.0877,8.92146,22.0092
2006-10-01,12.4613,20.4158,32.8771,13.0186,9.01144,22.0301
2006-11-01,12.4517,20.5026,32.9542,12.9989,9.01004,22.0089
2006-12-01,12.3671,20.6221,32.9892,12.9499,8.99307,21.9429
2007-01-01,12.2831,20.6507,32.9338,12.937,8.9034,21.8404
2007-02-01,12.3239,20.7226,33.0465,12.8793,8.84274,21.722
2007-03-01,12.3136,20.8138,33.1275,12.7603,8.81088,21.5712
2007-04-01,12.3535,20.8476,33.2011,12.6941,8.83915,21.5333
2007-05-01,12.442,20.9338,33.3758,12.6456,8.88502,21.5307
2007-06-01,12.5019,20.8501,33.352,12.6292,8.86403,21.4933
2007-07-01,12.4002,20.9854,33.3856,12.5906,8.92033,21.511
2007-08-01,12.2963,21.3368,33.6331,12.5666,9.03967,21.6063
2007-09-01,12.2252,21.438,33.6631,12.5423,9.02769,21.57
2007-10-01,12.2356,21.5627,33.7983,12.5924,8.98179,21.5742
2007-11-01,12.2132,21.6949,33.9081,12.6043,8.97377,21.578
2007-12-01,12.3338,21.6788,34.0126,12.657,9.01817,21.6752
2008-01-01,12.4204,21.6463,34.0667,12.6456,9.1175,21.7631
2008-02-01,12.4467,21.7807,34.2274,12.6222,9.25625,21.8785
2008-03-01,12.4291,21.9118,34.3409,12.6184,9.34496,21.9633
2008-04-01,12.3605,21.9685,34.329,12.6308,9.36225,21.9931
2008-05-01,12.1279,21.9898,34.1177,12.657,9.28509,21.942
2008-06-01,12.003,22.1418,34.1448,12.5675,9.37818,21.9456
2008-07-01,12.0649,22.0938,34.1587,12.5083,9.39483,21.9032
2008-08-01,12.09,21.9238,34.0138,12.4594,9.4247,21.8841
2008-09-01,12.1386,21.8932,34.0319,12.4738,9.49074,21.9646
2008-10-01,12.1524,21.8097,33.9621,12.5055,9.5463,22.0518
2008-11-01,12.2116,21.7116,33.9231,12.6312,9.61555,22.2468
2008-12-01,12.1913,21.6636,33.8549,12.6694,9.59898,22.2684
2009-01-01,12.2065,21.7117,33.9182,12.743,9.61394,22.357
2009-02-01,12.1821,21.6669,33.8489,12.7879,9.5369,22.3248
2009-03-01,12.3034,21.6217,33.9251,12.8176,9.44836,22.266
2009-04-01,12.3514,21.6485,34,12.848,9.38283,22.2308
2009-05-01,12.4711,21.6804,34.1515,12.9247,9.47496,22.3997
2009-06-01,12.6496,21.6256,34.2752,12.9589,9.47726,22.4362
2009-07-01,12.6943,21.8137,34.508,12.9747,9.48641,22.4611
2009-08-01,12.8346,22.0803,34.9149,12.9975,9.46441,22.4619
2009-09-01,12.975,22.3516,35.3267,13.0309,9.46249,22.4934
2009-10-01,12.9978,22.6422,35.64,13.1677,9.53188,22.6996
2009-11-01,13.075,22.8659,35.9409,13.1209,9.71314,22.834
2009-12-01,13.1373,23.1495,36.2869,13.1917,9.93592,23.1276
2010-01-01,13.1175,23.4923,36.6098,13.2023,10.0282,23.2305
2010-02-01,13.1521,23.7805,36.9326,13.1317,10.1932,23.3249
2010-03-01,13.1456,23.8844,37.03,13.2272,10.3689,23.5961
2010-04-01,13.3029,23.9678,37.2706,13.1942,10.5167,23.7109
2010-05-01,13.4561,24.0417,37.4978,13.2068,10.555,23.7618
2010-06-01,13.4712,24.2931,37.7643,13.2657,10.5799,23.8456
2010-07-01,13.5407,24.5114,38.0521,13.2887,10.6046,23.8933
2010-08-01,13.5503,24.5019,38.0523,13.3247,10.6529,23.9777
2010-09-01,13.5895,24.4242,38.0137,13.3478,10.7233,24.0712
2010-10-01,13.6472,24.3434,37.9906,13.2841,10.7578,24.0419
2010-11-01,13.626,24.3547,37.9807,13.2611,10.6951,23.9562
2010-12-01,13.6774,24.4788,38.1562,13.2525,10.6026,23.8552
2011-01-01,13.7523,24.3467,38.099,13.2477,10.5905,23.8382
2011-02-01,13.7904,24.1972,37.9876,13.3552,10.5671,23.9223
2011-03-01,13.7101,24.234,37.9441,13.2567,10.6274,23.8842
2011-04-01,13.5758,24.3055,37.8813,13.3082,10.7281,24.0363
2011-05-01,13.39,24.536,37.926,13.3029,10.8468,24.1497
2011-06-01,13.2536,24.7092,37.9628,13.3458,10.9375,24.2834
2011-07-01,13.1975,24.7817,37.9793,13.4037,11.0925,24.4963
2011-08-01,13.128,24.9844,38.1125,13.4183,11.1672,24.5856
2011-09-01,13.0558,25.1451,38.2009,13.3976,11.1225,24.5201
2011-10-01,13.034,25.1702,38.2042,13.3037,11.1402,24.4438
2011-11-01,13.001,25.2754,38.2764,13.271,11.1769,24.4478
2011-12-01,12.9086,25.2214,38.1299,13.26,11.2158,24.4758
2012-01-01,12.8167,25.3512,38.1679,13.2694,11.3074,24.5768
2012-02-01,12.8166,25.372,38.1886,13.2001,11.3429,24.5431
2012-03-01,12.7908,25.5023,38.2932,13.2072,11.3968,24.6041
2012-04-01,12.8622,25.4885,38.3506,13.2748,11.4237,24.6986
2012-05-01,12.8805,25.4411,38.3216,13.2253,11.4645,24.6898
2012-06-01,12.9724,25.3399,38.3124,13.1857,11.4333,24.619
2012-07-01,13.0179,25.243,38.261,13.1779,11.4047,24.5826
2012-08-01,13.0951,25.3238,38.4189,13.1468,11.4724,24.6192
2012-09-01,13.1207,25.3923,38.513,13.1314,11.5422,24.6736
2012-10-01,13.1034,25.4554,38.5588,13.1478,11.6112,24.759
2012-11-01,13.1463,25.4485,38.5949,13.1803,11.6065,24.7868
2012-12-01,13.1715,25.4904,38.6619,13.1833,11.5641,24.7474
2013-01-01,13.3146,25.3524,38.667,13.1915,11.458,24.6495
2013-02-01,13.3415,25.4471,38.7885,13.3334,11.3604,24.6938
2013-03-01,13.4102,25.5236,38.9338,13.377,11.3258,24.7029
2013-04-01,13.3799,25.6502,39.0301,13.3597,11.2581,24.6178
2013-05-01,13.4813,25.6017,39.0829,13.4319,11.2539,24.6858
2013-06-01,13.4475,25.5626,39.0101,13.4549,11.2641,24.719
2013-07-01,13.3953,25.5652,38.9605,13.555,11.2155,24.7705
2013-08-01,13.3571,25.3667,38.7238,13.6609,11.1622,24.823
2013-09-01,13.299,25.2629,38.5619,13.7135,11.1635,24.877
2013-10-01,13.3494,25.3117,38.6612,13.747,11.1423,24.8893
2013-11-01,13.3471,25.378,38.7251,13.778,11.1796,24.9576
2013-12-01,13.3482,25.449,38.7972,13.7622,11.2568,25.019
2014-01-01,13.2762,25.6726,38.9488,13.736,11.3544,25.0904
2014-02-01,13.2266,25.7684,38.9949,13.6311,11.495,25.1261
2014-03-01,13.1924,25.7452,38.9376,13.5064,11.4144,24.9208
2014-04-01,13.2783,25.7586,39.0369,13.4403,11.4107,24.8511
2014-05-01,13.2298,25.8091,39.0388,13.3613,11.3631,24.7245
2014-06-01,13.2916,25.8499,39.1415,13.368,11.3695,24.7375
2014-07-01,13.2882,25.8737,39.1619,13.2977,11.3987,24.6964
2014-08-01,13.3231,25.9855,39.3086,13.2523,11.4914,24.7438
2014-09-01,13.3976,25.9807,39.3783,13.2181,11.5475,24.7656
2014-10-01,13.3418,25.9241,39.2659,13.2252,11.468,24.6932
2014-11-01,13.2182,25.9715,39.1898,13.228,11.395,24.623
2014-12-01,13.1363,26.1166,39.2529,13.1911,11.3856,24.5767
2015-01-01,13.0713,26.1655,39.2368,13.1326,11.431,24.5636
2015-02-01,12.9685,26.2532,39.2216,13.111,11.3608,24.4718
2015-03-01,12.9412,26.3457,39.2869,13.2835,11.4213,24.7048
2015-04-01,12.7809,26.4931,39.274,13.3477,11.5207,24.8684
2015-05-01,12.7444,26.4891,39.2334,13.3836,11.5134,24.897
2015-06-01,12.622,26.5424,39.1644,13.4361,11.4872,24.9232
2015-07-01,12.5823,26.684,39.2663,13.3783,11.5039,24.8822
2015-08-01,12.53,26.7158,39.2458,13.2679,11.4375,24.7054
2015-09-01,12.3559,26.9986,39.3545,13.2197,11.4702,24.6898
2015-10-01,12.2729,27.1289,39.4017,13.1527,11.5788,24.7316
2015-11-01,12.2424,27.2106,39.453,13.0797,11.6614,24.7411
2015-12-01,12.2498,27.003,39.2528,13.0608,11.6617,24.7225
2016-01-01,12.2406,26.9855,39.2262,13.1633,11.5903,24.7537
2016-02-01,12.287,26.9353,39.2223,13.1739,11.5806,24.7545
2016-03-01,12.2502,26.8215,39.0717,13.1149,11.5631,24.678
2016-04-01,12.2257,26.6649,38.8906,13.0668,11.5933,24.6601
2016-05-01,12.1758,26.7028,38.8786,13.0895,11.6154,24.7049
2016-06-01,12.2203,26.7268,38.9471,13.0108,11.7032,24.714
2016-07-01,12.2873,26.6725,38.9598,13.0649,11.6784,24.7433
2016-08-01,12.2793,26.6629,38.9422,13.1796,11.5955,24.7751
2016-09-01,12.3959,26.6182,39.0141,13.1976,11.5282,24.7258
2016-10-01,12.358,26.7755,39.1335,13.2747,11.4978,24.7724
2016-11-01,12.3443,26.7978,39.1421,13.3184,11.4573,24.7757
2016-12-01,12.2633,26.9199,39.1833,13.2765,11.5348,24.8113
2017-01-01,12.2048,26.9562,39.161,13.1128,11.6252,24.738
2017-02-01,12.1102,26.9103,39.0205,13.0452,11.6879,24.7331
2017-03-01,12.0355,26.9737,39.0092,12.9946,11.734,24.7286
2017-04-01,11.9777,27.0624,39.0401,12.9295,11.6428,24.5723
2017-05-01,11.9756,27.2263,39.2019,12.8127,11.6757,24.4884
2017-06-01,12.0112,27.3002,39.3114,12.7441,11.6621,24.4061
2017-07-01,11.9779,27.291,39.2689,12.5747,11.7182,24.293
2017-08-01,12.0114,27.2007,39.2121,12.4326,11.8366,24.2692
2017-09-01,11.9517,27.1707,39.1224,12.3053,11.8058,24.1111
2017-10-01,12.0604,27.0188,39.0792,12.1091,11.8184,23.9275
2017-11-01,12.1237,27.0097,39.1333,12.031,11.8781,23.9092
2017-12-01,12.1611,27.0948,39.2559,11.9829,11.9387,23.9216
2018-01-01,12.1822,27.0262,39.2084,11.9504,11.8987,23.8491
2018-02-01,12.2266,27.0696,39.2963,11.9339,11.8719,23.8057
2018-03-01,12.2747,27.0534,39.3281,11.8735,11.7759,23.6494
2018-04-01,12.2817,27.0844,39.3661,11.8972,11.7436,23.6408
2018-05-01,12.2398,27.0236,39.2633,11.9461,11.7064,23.6526
2018-06-01,12.172,26.9638,39.1358,12.008,11.6204,23.6284
2018-07-01,12.0881,26.9872,39.0753,12.1716,11.4994,23.6709
2018-08-01,12.0571,27.2275,39.2846,12.274,11.5004,23.7743
2018-09-01,12.0357,27.2543,39.29,12.3455,11.5822,23.9277
2018-10-01,12.0369,27.3013,39.3382,12.486,11.5661,24.052
2018-11-01,12.0026,27.3633,39.3659,12.5358,11.5076,24.0434
2018-12-01,11.985,27.325,39.31,12.5001,11.4968,23.9969
2019-01-01,11.9548,27.3339,39.2887,12.5153,11.4875,24.0027
2019-02-01,11.9666,27.2847,39.2513,12.4809,11.5131,23.9941
2019-03-01,11.9099,27.205,39.1149,12.5079,11.6021,24.11
2019-04-01,11.7939,27.2951,39.0889,12.4347,11.6005,24.0352
2019-05-01,11.6907,27.2391,38.9298,12.3013,11.6126,23.9139
2019-06-01,11.6031,27.2124,38.8155,12.2347,11.6354,23.8701
2019-07-01,11.5072,27.172,38.6792,12.0245,11.7191,23.7437
2019-08-01,11.4829,27.1824,38.6653,11.8336,11.6413,23.475
2019-09-01,11.4876,27.1739,38.6616,11.6669,11.5846,23.2515
2019-10-01,11.3394,27.1823,38.5217,11.49,11.5745,23.0645
2019-11-01,11.3638,27.1096,38.4734,11.3813,11.584,22.9653
2019-12-01,11.3616,27.0736,38.4352,11.4129,11.5218,22.9347
2020-01-01,11.3789,26.9379,38.3168,11.4165,11.5111,22.9276
2020-02-01,11.3673,26.9039,38.2712,11.3535,11.4984,22.8519
2020-03-01,11.5081,27.1489,38.657,11.3215,11.5295,22.851
2020-04-01,12.0875,27.3372,39.4247,11.7345,11.6055,23.34
2020-05-01,12.4436,27.6712,40.1148,12.0985,11.6376,23.7361
2020-06-01,12.7583,27.8569,40.6152,12.3089,11.741,24.0499
2020-07-01,12.8944,28.2063,41.1007,12.5984,11.8097,24.4081
2020-08-01,13.007,28.2482,41.2552,12.7353,12.0371,24.7723
2020-09-01,13.0872,28.23,41.3171,12.9905,12.1275,25.118
2020-10-01,13.1686,28.284,41.4526,13.1486,12.0722,25.2207
2020-11-01,13.2898,28.2162,41.506,13.2319,12.0349,25.2668
2020-12-01,13.4715,27.9932,41.4647,13.4091,11.948,25.357
2021-01-01,13.6103,28.0175,41.6277,13.6219,11.8969,25.5187
2021-02-01,13.6763,28.1206,41.7969,13.8049,11.8872,25.6921
2021-03-01,13.6141,27.9866,41.6008,13.9005,11.8467,25.7472
2021-04-01,13.3112,27.6264,40.9377,13.6019,11.7487,25.3507
2021-05-01,13.1573,27.2429,40.4002,13.5128,11.6645,25.1773
2021-06-01,12.8808,27.0849,39.9657,13.452,11.5979,25.0499
2021-07-01,12.9763,26.7613,39.7376,13.3509,11.4504,24.8013
2021-08-01,12.8675,26.7797,39.6472,13.3773,11.2054,24.5827
2021-09-01,12.9034,26.7902,39.6936,13.2903,11.0781,24.3683
2021-10-01,12.9303,26.7414,39.6716,13.2449,11.0515,24.2964
2021-11-01,12.7111,26.7574,39.4685,13.2972,11.0012,24.2984
2021-12-01,12.6133,26.7748,39.3881,13.2726,10.9459,24.2185
2022-01-01,12.5926,26.833,39.4256,13.2255,10.9114,24.1369
2022-02-01,12.6223,26.7211,39.3434,13.1829,10.8768,24.0597
2022-03-01,12.6622,26.6379,39.3001,13.179,10.8054,23.9844
2022-04-01,12.6902,26.7333,39.4235,13.1254,10.8971,24.0225
2022-05-01,12.7087,26.8762,39.5849,12.9697,10.9317,23.9015
2022-06-01,12.697,26.9087,39.6057,12.9085,10.9334,23.8419
2022-07-01,12.6389,26.9204,39.5593,12.7551,11.0921,23.8473
2022-08-01,12.665,26.6846,39.3496,12.7223,11.2419,23.9642
2022-09-01,12.4976,26.5861,39.0837,12.6848,11.3718,24.0567
2022-10-01,12.4559,26.5497,39.0056,12.6877,11.4256,24.1133
2022-11-01,12.5995,26.6201,39.2196,12.5831,11.506,24.0891
2022-12-01,12.5514,26.9519,39.5033,12.4604,11.5023,23.9627
2023-01-01,12.4935,26.916,39.4096,12.3428,11.604,23.9468
2023-02-01,12.414,27.0312,39.4452,12.2609,11.5559,23.8169
2023-03-01,12.3548,27.1064,39.4612,12.1043,11.5683,23.6727
2023-04-01,12.1564,27.1685,39.3249,12.1159,11.5083,23.6242
2023-05-01,12.1188,27.0378,39.1566,12.1836,11.4528,23.6364
2023-06-01,12.2681,26.8366,39.1047,12.1854,11.4372,23.6226
2023-07-01,12.3377,26.7305,39.0683,12.3144,11.4051,23.7195
2023-08-01,12.2982,26.7066,39.0048,12.3784,11.3022,23.6806
2023-09-01,12.3649,26.7026,39.0675,12.3937,11.2155,23.6092
2023-10-01,12.4499,26.6252,39.0751,12.4478,11.2269,23.6747
2023-11-01,12.3508,26.5621,38.9128,12.4468,11.1934,23.6403
2023-12-01,12.3954,26.467,38.8624,12.5137,11.1988,23.7125
2024-01-01,12.4536,26.5837,39.0372,12.4726,11.0699,23.5425
2024-02-01,12.5248,26.5622,39.0871,12.5363,11.0615,23.5978
2024-03-01,12.644,26.4285,39.0725,12.6645,10.9788,23.6433
2024-04-01,12.7187,26.2232,38.942,12.7148,10.8607,23.5755
2024-05-01,12.7989,26.1197,38.9185,12.7515,10.9189,23.6704
2024-06-01,12.8134,26.1004,38.9139,12.6979,10.9784,23.6763
2024-07-01,12.7599,26.062,38.8219,12.7746,10.9303,23.705
2024-08-01,12.8188,26.1208,38.9396,12.8202,10.9538,23.774
2024-09-01,12.8962,26.0523,38.9485,12.901,10.9824,23.8834
2024-10-01,12.9131,26.0039,38.917,12.9096,10.9029,23.8125
2024-11-01,12.9069,26.0519,38.9589,12.8939,10.9808,23.8747
2024-12-01,12.8503,25.8531,38.7034,12.8351,11.0428,23.8779
2025-01-01,12.7205,25.7076,38.4281,12.8697,11.0809,23.9505
2025-02-01,12.6248,25.6074,38.2322,12.8909,11.1295,24.0204
2025-03-01,12.535,25.6073,38.1423,12.8389,11.1783,24.0172
2025-04-01,12.4279,25.6415,38.0694,12.758,11.3169,24.0749
2025-05-01,12.3896,25.7444,38.1341,12.6636,11.2912,23.9548
2025-06-01,12.3002,25.922,38.2223,12.7309,11.2427,23.9736
2025-07-01,12.3166,26.0613,38.3779,12.6882,11.2206,23.9088
2025-08-01,12.4285,26.0682,38.4967,12.6823,11.1751,23.8575
2025-09-01,12.441,26.2206,38.6616,12.6019,11.0864,23.6883
2025-11-01,12.4078,26.3026,38.7104,12.5766,11.1502,23.7268
2025-12-01,12.5847,26.1512,38.7359,12.7404,11.0627,23.803
2026-01-01,12.5533,26.2665,38.8198,12.855,11.0859,23.9409
2026-02-01,12.5473,26.3011,38.8483,12.8695,11.1372,24.0068
