date,TOT_POP
2006-01-01,296.98757
2006-02-01,297.219147
2006-03-01,297.423035
2006-04-01,297.649663
2006-05-01,297.869406
2006-06-01,298.118142
2006-07-01,298.379912
2006-08-01,298.630579
2006-09-01,298.90836
2006-10-01,299.159981
2006-11-01,299.395746
2006-12-01,299.658194
2007-01-01,299.890446
2007-02-01,300.095558
2007-03-01,300.288381
2007-04-01,300.511531
2007-05-01,300.728176
2007-06-01,300.968228
2007-07-01,301.231207
2007-08-01,301.500377
2007-09-01,301.772224
2007-10-01,302.026271
2007-11-01,302.28711
2007-12-01,302.533358
2008-01-01,302.754346
2008-02-01,302.96626
2008-03-01,303.185074
2008-04-01,303.381938
2008-05-01,303.616954
2008-06-01,303.847001
2008-07-01,304.093966
2008-08-01,304.357665
2008-09-01,304.61421
2008-10-01,304.858602
2008-11-01,305.093832
2008-12-01,305.298802
2009-01-01,305.519874
2009-02-01,305.714782
2009-03-01,305.920351
2009-04-01,306.11252
2009-05-01,306.321829
2009-06-01,306.541114
2009-07-01,306.771529
2009-08-01,307.00704
2009-09-01,307.26793
2009-10-01,307.518237
2009-11-01,307.757459
2009-12-01,307.954399
2010-01-01,308.169976
2010-02-01,308.375613
2010-03-01,308.565817
2010-04-01,308.745538
2010-05-01,308.943167
2010-06-01,309.122946
2010-07-01,309.321666
2010-08-01,309.535947
2010-09-01,309.7635
2010-10-01,309.989569
2010-11-01,310.174426
2010-12-01,310.348632
2011-01-01,310.538923
2011-02-01,310.693489
2011-03-01,310.832137
2011-04-01,311.009155
2011-05-01,311.183465
2011-06-01,311.351195
2011-07-01,311.556874
2011-08-01,311.764497
2011-09-01,311.997529
2011-10-01,312.207836
2011-11-01,312.397256
2011-12-01,312.588416
2012-01-01,312.786761
2012-02-01,312.932963
2012-03-01,313.112458
2012-04-01,313.283352
2012-05-01,313.446781
2012-06-01,313.634392
2012-07-01,313.83099
2012-08-01,314.048849
2012-09-01,314.282839
2012-10-01,314.498196
2012-11-01,314.695119
2012-12-01,314.872482
2013-01-01,315.035869
2013-02-01,315.160296
2013-03-01,315.301845
2013-04-01,315.464179
2013-05-01,315.607825
2013-06-01,315.80691
2013-07-01,315.993715
2013-08-01,316.202222
2013-09-01,316.433402
2013-10-01,316.656651
2013-11-01,316.876274
2013-12-01,317.055638
2014-01-01,317.243472
2014-02-01,317.408987
2014-03-01,317.564034
2014-04-01,317.73042
2014-05-01,317.914973
2014-06-01,318.10576
2014-07-01,318.301008
2014-08-01,318.539492
2014-09-01,318.774334
2014-10-01,319.005484
2014-11-01,319.221927
2014-12-01,319.412095
2015-01-01,319.594955
2015-02-01,319.734181
2015-03-01,319.890583
2015-04-01,320.063719
2015-05-01,320.244536
2015-06-01,320.4305
2015-07-01,320.635163
2015-08-01,320.857156
2015-09-01,321.08005
2015-10-01,321.311006
2015-11-01,321.502565
2015-12-01,321.710374
2016-01-01,321.864095
2016-02-01,322.035525
2016-03-01,322.196377
2016-04-01,322.368465
2016-05-01,322.548296
2016-06-01,322.734136
2016-07-01,322.941311
2016-08-01,323.143492
2016-09-01,323.346446
2016-10-01,323.561216
2016-11-01,323.743389
2016-12-01,323.907436
2017-01-01,324.076093
2017-02-01,324.208204
2017-03-01,324.342783
2017-04-01,324.480012
2017-05-01,324.636728
2017-06-01,324.801865
2017-07-01,324.985539
2017-08-01,325.158822
2017-09-01,325.339848
2017-10-01,325.507794
2017-11-01,325.663325
2017-12-01,325.802062
2018-01-01,325.927236
2018-02-01,326.03174
2018-03-01,326.140981
2018-04-01,326.260373
2018-05-01,326.392347
2018-06-01,326.533251
2018-07-01,326.687501
2018-08-01,326.850358
2018-09-01,327.011652
2018-10-01,327.170529
2018-11-01,327.310325
2018-12-01,327.43112
2019-01-01,327.540066
2019-02-01,327.635482
2019-03-01,327.733545
2019-04-01,327.842998
2019-05-01,327.96477
2019-06-01,328.095474
2019-07-01,328.239523
2019-08-01,328.409545
2019-09-01,328.578004
2019-10-01,328.744045
2019-11-01,328.891009
2019-12-01,329.018969
2020-01-01,329.135084
2020-02-01,329.237661
2020-03-01,329.342883
2020-04-01,331.449281
2020-05-01,331.42243
2020-06-01,331.44704
2020-07-01,331.50108
2020-08-01,331.563067
2020-09-01,331.62576
2020-10-01,331.700608
2020-11-01,331.751104
2020-12-01,331.753003
2021-01-01,331.696751
2021-02-01,331.70387
2021-03-01,331.712214
2021-04-01,331.708842
2021-05-01,331.729123
2021-06-01,331.798261
2021-07-01,331.893745
2021-08-01,331.997142
2021-09-01,332.100018
2021-10-01,332.211826
2021-11-01,332.319775
2021-12-01,332.382832
2022-01-01,332.40365
2022-02-01,332.471147
2022-03-01,332.535856
2022-04-01,332.595523
2022-05-01,332.637844
2022-06-01,332.725203
2022-07-01,332.838183
2022-08-01,332.941581
2022-09-01,333.044456
2022-10-01,333.156263
2022-11-01,333.264212
2022-12-01,333.32727
