date,RUT
2004-11-01,614.5695248571428
2004-12-01,642.6800064545455
2005-01-01,616.8640043500001
2005-02-01,631.4315796842106
2005-03-01,625.9577330454547
2005-04-01,598.1604817142857
2005-05-01,600.733814047619
2005-06-01,632.7690900454546
2005-07-01,666.30099795
2005-08-01,661.938259
2005-09-01,665.9642827619047
2005-10-01,638.1042856666668
2005-11-01,666.2266642857143
2005-12-01,683.4266734761904
2006-01-01,710.1054991999998
2006-02-01,726.6468409473682
2006-03-01,741.8169556521738
2006-04-01,761.6168373157897
2006-05-01,743.5499906363638
2006-06-01,699.1077298181818
2006-07-01,697.9955017
2006-08-01,700.1613053913044
2006-09-01,723.8759979500002
2006-10-01,754.7690956818183
2006-11-01,776.064761142857
2006-12-01,789.6914917
2007-01-01,786.7435027999999
