date,EPOP,AAH,EPOP_sa,AAH_trend,AAH_sa,POP,EMP_sa,TOT_HRS,GDP,LPROD,LPROD_BLS,HRS_BLS,LPROD_idx,LPROD_BLS_idx,TOT_HRS_idx,GDP_idx,POP_idx,EPOP_sa_idx,AAH_trend_idx
1998-07-01,49.58686666666667,36.26593333333333,49.282900000000005,37.83293333333334,36.80173333333334,276.5636666666667,0.13629866666666668,268.14233333333334,16803627.653576996,62666.821179213264,68.109,92.041,96.50278872365264,95.6318449873631,96.93830332331527,93.54816604839247,98.31475519395958,99.11669056616675,99.47867365040635
1998-10-01,49.47273333333333,38.17733333333333,49.393166666666666,37.8573,37.90123333333333,277.40000000000003,0.13701633333333332,269.7283333333333,17074031.05357493,63300.843639865794,68.625,93.182,97.47914167111469,96.35636057287279,97.51167100890056,95.05353992863745,98.61206072189907,99.33845647441814,99.54274385241591
1999-01-01,48.8807,37.85923333333333,49.31706666666667,37.864866666666664,37.8387,278.10333333333335,0.13715233333333335,270.0493333333333,17234430.263559446,63819.56234006421,69.578,93.044,98.27793440050974,97.69446784611064,97.62771831474728,95.94650496208178,98.86208649469792,99.18540581887464,99.5626397974996
1999-04-01,49.327333333333335,38.210566666666665,49.26363333333333,37.8635,37.9717,278.8636666666667,0.13737833333333335,270.48466666666667,17378293.445827942,64248.719382101546,69.832,93.554,98.93880805865429,98.0511092389778,97.7850991885124,96.74741159608699,99.13237501969991,99.0779418675666,99.55904625675763
1999-07-01,49.69456666666667,37.12663333333333,49.41923333333333,37.89626666666667,37.662866666666666,279.751,0.13825066666666666,272.43800000000005,17608709.324200474,64633.82246309425,70.471,94.157,99.53184151020893,98.94832912103342,98.49126451796386,98.03016930142043,99.44781037855797,99.39088118428893,99.64520358723014
1999-10-01,49.6449,38.2528,49.566399999999994,37.97299999999999,37.986466666666665,280.59233333333333,0.13907966666666668,274.6266666666667,17897609.62245213,65170.69095906731,71.512,94.549,100.35858373303704,100.40999719180006,99.28250710383043,99.63851802405608,99.74689334090125,99.68685956546483,99.84696775279242
2000-01-01,49.3259,38.116899999999994,49.722100000000005,38.0312,38.082366666666665,281.3043333333333,0.13987033333333332,276.61133333333333,17962540.970481962,64937.83444814973,71.22,94.991,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-04-01,49.7767,38.20693333333333,49.72816666666666,38.021166666666666,37.97036666666667,282.002,0.14023433333333332,277.25766666666664,18289690.54010678,65966.40143443024,72.659,95.245,101.58392560365064,102.02049985959,100.23366119006934,101.82128781313529,100.24801134714126,100.01220114731007,99.9736181521137
2000-07-01,49.897933333333334,37.427033333333334,49.63740000000001,37.946400000000004,37.970166666666664,282.76866666666666,0.140359,276.9583333333333,18308333.69471084,66105.01108365582,72.59,95.238,101.79737535971888,101.92361696152767,100.1254467761022,101.92507688526429,100.52055128905468,99.82965321255539,99.77702517932646
2000-10-01,49.81503333333333,38.134299999999996,49.734399999999994,37.850699999999996,37.877100000000006,283.51866666666666,0.14100633333333334,277.534,18417641.54918018,66361.74864766184,73.353,94.876,102.19273434602911,102.99494524010109,100.33356068804122,102.53360913384186,100.78716644962218,100.02473749097483,99.52538968005217
2001-01-01,49.3365,37.7925,49.7203,37.776666666666664,37.73,284.16866666666664,0.14128966666666667,277.54733333333337,18357268.739786524,66141.03806841304,72.937,94.851,101.8528545500297,102.41083965178322,100.3383809291979,102.19750518567068,101.01823292211401,99.99637987936953,99.33072494863866
2001-04-01,49.40426666666667,37.6047,49.360099999999996,37.707433333333334,37.38536666666667,284.83733333333333,0.14059566666666667,275.67866666666663,18471910.420979224,67005.22258152932,74.195,93.923,103.18364194147915,104.17719741645604,99.66282413109127,102.83573160019128,101.25593514971331,99.27195351765108,99.1486814334897
2001-07-01,49.3217,37.00353333333334,49.06446666666667,37.6324,37.5512,285.5833333333333,0.14012,274.1983333333333,18397904.707708556,67097.06978905253,74.613,92.799,103.3250806086348,104.76411120471778,99.12765685667253,102.4237313526078,101.52112836275778,98.67738222373283,98.95138728202107
2001-10-01,48.864599999999996,37.74333333333333,48.775933333333334,37.55826666666667,37.48493333333334,286.3113333333333,0.139651,272.7423333333333,18448457.63276585,67640.60938871188,75.555,91.734,104.16209589298855,106.08677337826455,98.6012865223647,102.7051666191459,101.77992281194864,98.09709029452362,98.75645960860207
2002-01-01,48.16759999999999,37.6462,48.56983333333333,37.522,37.564166666666665,286.935,0.13936433333333334,271.9193333333333,18602752.90515575,68412.76299523542,77.135,90.989,105.35116173278041,108.30525133389499,98.30375713696957,103.56415017076847,102.00162812991387,97.68258648233547,98.66109930793664
