date,W790RC,W276RC,W987RC,A008RC,NFI
1999-10-01,5.235011644750711,9.654380647441473,14.889392292192182,14.091163494279742,4.4367828468382715
2000-01-01,4.778448776011707,9.815891117325535,14.594329895515767,14.499340593684638,4.683449476359101
2000-04-01,5.641450000585496,9.77100272060517,15.412452721190665,14.624999512086593,4.853996791481422
2000-07-01,5.316449194212343,9.830294437043797,15.14674363125614,14.727977309918963,4.897682872875167
2000-10-01,5.2023315251888125,9.781832517164085,14.984164042352898,14.614108970093556,4.83227645292947
2001-01-01,3.9626155335063764,9.964402886622082,13.927018420128457,14.376454540496766,4.412051653874685
2001-04-01,3.6299933956033583,10.023096518539484,13.653089914142843,13.903056892159638,3.8799603736201527
2001-07-01,3.170516756903648,10.116927501552176,13.287444258455825,13.706145110124343,3.589217608572167
2001-10-01,2.156097318456559,10.147981349781647,12.304078668238205,13.215708695633822,3.067727345852174
2002-01-01,2.4978253813696853,10.086465433300877,12.584281541243566,12.741939073584643,2.6554736402837666
2002-04-01,2.4519584916959514,10.044831393180779,12.49678988487673,12.466332826940352,2.421501433759573
2002-07-01,2.302650026766108,10.043936475103878,12.346595605988325,12.28039956154566,2.2364630864417827
2002-10-01,2.1518007657778155,10.041167360503833,12.192968126281649,12.034742695634462,1.993575335130629
2003-01-01,2.075311641739593,9.972625159419584,12.047927851915796,11.92662085787626,1.9539956984566762
2003-04-01,2.0088279029195864,9.902122964445653,11.91095086736524,12.082297114604863,2.1801741501592096
2003-07-01,2.194529816665455,9.760044140625102,11.954573957290556,12.035625814138886,2.2755816735137833
2003-10-01,2.5604231108555946,9.667468383655981,12.22789998907599,11.993127217824586,2.3256588341686038
2004-01-01,2.414679245020337,9.67391392774254,12.088601559599335,11.75691895137371,2.08300502363117
2004-04-01,2.852672974861748,9.65031662747264,12.502989602334388,11.93328718386271,2.2829705563900715
2004-07-01,2.9651109070257244,9.633640184678042,12.598751091703766,12.112619376339005,2.478979191660964
2004-10-01,3.1423347601469884,9.63865549035883,12.78099025050582,12.226924518093169,2.588269027734339
2005-01-01,3.4467936255207254,9.647571143937716,13.09436476945844,12.28378529313121,2.6362141491934934
2005-04-01,2.9597243786416665,9.702432688759957,12.662157067401624,12.41105543628183,2.7086227475218716
2005-07-01,2.922471752635429,9.708953496564845,12.631425249200277,12.502280743856526,2.7933272472916784
2005-10-01,3.42158525942713,9.787886766068727,13.20946452035709,12.523592403718824,2.735705637650099
2006-01-01,3.5752208224625637,9.76311036858159,13.338338544439509,12.760405789769369,2.997295421187779
2006-04-01,3.572804852086288,9.821743298250675,13.394548150336963,12.901514561028584,3.0797712627779092
2006-07-01,3.652589279972269,9.902324323217538,13.554920812897416,13.09244690843412,3.1901225852165807
2006-10-01,3.39222881628769,9.95960699623065,13.351835812518342,13.173838781272348,3.2142317850416964
2007-01-01,3.3114065616833166,10.001511714095964,13.312911241279066,13.30951357767576,3.3080018635797965
2007-04-01,3.583516605446351,9.995388166794218,13.578904772240568,13.454429713703894,3.4590415469096762
2007-07-01,3.614671593204037,9.985219151974679,13.599897611369094,13.508385026019774,3.523165874045093
2007-10-01,3.479666882726524,9.996950062989898,13.47661694571642,13.571968251841074,3.5750181888511756
2008-01-01,3.0854168397756156,10.156421586100004,13.24183842587562,13.69254273167485,3.5361211455748456
2008-04-01,2.896903415452793,10.19109021498549,13.087993630438282,13.61549650433572,3.42440628935023
2008-07-01,2.6111888456398984,10.330922231755302,12.942111077395198,13.470750618883859,3.1398283871285586
2008-10-01,1.5989777801630425,10.621323299887296,12.220301080050339,13.134656899737463,2.5133335998501662
2009-01-01,-0.08115224406293135,10.712130864178196,10.630978620115265,12.205759016710045,1.4936281525318482
2009-04-01,-0.8478826159309255,10.644314577689984,9.796431961759058,11.716419923850774,1.072105346160789
2009-07-01,-1.0187293383668024,10.529845838591525,9.511116500224723,11.461350435279352,0.9315045966878268
2009-10-01,0.03014077708602025,10.420805108206482,10.450945885292501,11.325472069000538,0.9046669607940566
2010-01-01,0.36334177717245647,10.347492392451112,10.710834169623567,11.242849540702426,0.8953571482513153
2010-04-01,0.965294639394833,10.230375536550165,11.195670175944997,11.453430539913604,1.2230550033634413
2010-07-01,1.6810106986676776,10.155686930150404,11.836697628818081,11.639215261526106,1.4835283313757028
2010-10-01,1.5294323363622429,10.126443950937299,11.655876287299542,11.769511827025244,1.6430678760879458
2011-01-01,1.2076192962694585,10.207085405125408,11.41471121544006,11.758620231425787,1.5515348263003792
2011-04-01,1.6004463432028275,10.193549299423077,11.793995642625903,11.968534861081785,1.7749855616587076
2011-07-01,1.565765559765693,10.256235412774583,11.822000972540277,12.485914046944082,2.2296786341694976
2011-10-01,2.5119384744620197,10.24333196757762,12.75527044203964,12.68111438848998,2.437782420912361
2012-01-01,2.6021257062744603,10.217486979756577,12.819612686031038,12.903035094540833,2.6855481147842553
2012-04-01,2.831611765932648,10.258577551978666,13.090189317911314,13.118738481149963,2.860160929171297
2012-07-01,2.678378189581324,10.301773211744939,12.980151401326262,13.027021594971428,2.725248383226488
2012-10-01,2.3892130185002958,10.327546502256403,12.716759520756698,13.085088255537963,2.7575417532815614
2013-01-01,2.744323939130618,10.280190389709574,13.024514328840192,13.054804694194797,2.774614304485223
2013-04-01,2.7442055178609293,10.347260234721281,13.09146575258221,13.056303130545247,2.7090428958239654
2013-07-01,3.1354199510048684,10.33124578530463,13.4666657363095,13.131772635530767,2.8005268502261362
2013-10-01,3.1298280044129747,10.334233461587894,13.464055629350275,13.272660183081722,2.9384267214938276
2014-01-01,2.8926555741824345,10.479955385705589,13.372610959888023,13.50232768583296,3.0223723001273717
2014-04-01,3.3649315343678468,10.412843876460592,13.7777696843381,13.649719633896309,3.236875757435719
2014-07-01,3.506633827093572,10.392613474426044,13.899247301519615,13.750384865165731,3.357771390739689
2014-10-01,3.428251666149466,10.450126424587202,13.878378090736668,13.790631473168524,3.3405050485813224
2015-01-01,3.7425155691502385,10.523436042702302,14.265951611852543,13.696955892354481,3.1735198496521773
2015-04-01,3.569283598993872,10.435130124938254,14.004408227526143,13.58998471284604,3.154854587907786
2015-07-01,3.411489400752501,10.42154459287615,13.833033993628652,13.54216647657503,3.1206218836988775
2015-10-01,3.069139075824406,10.43330655513758,13.502445630961986,13.366039934695895,2.9327333795583144
2016-01-01,2.709854588032351,10.425623324790372,13.135477912822724,13.218353062901642,2.7927297381112695
2016-04-01,2.5421971664256793,10.443402096658232,12.98559926308391,13.185646362699169,2.742244266040936
2016-07-01,2.4429815537399113,10.429987357432912,12.872968911172824,13.217189523835343,2.78720216640243
2016-10-01,2.703484244893819,10.442865449310238,13.146349694204057,13.212592697369221,2.769727248058985
2017-01-01,2.429466716286664,10.463441095280317,12.892907811566982,13.257380826619993,2.7939397313396763
2017-04-01,2.6092301973435634,10.509525599878081,13.118750617083908,13.33486078328034,2.8253351834022586
2017-07-01,2.7986499877108026,10.48248595125953,13.281135938970333,13.291543928052782,2.8090579767932513
2017-10-01,2.87104386835723,10.40500131944357,13.276050214252505,13.36909486170975,2.9640935422661756
2018-01-01,2.9800769874762634,10.385336280157174,13.36541326763344,13.505444621876148,3.120108341718974
2018-04-01,2.9501035090185015,10.368825468558022,13.318928977576522,13.551452387097202,3.1826269185391816
2018-07-01,3.285594170484875,10.392469226739255,13.67806339722413,13.56333588208173,3.170866655342477
2018-10-01,3.2237971467682174,10.453950136289608,13.677742479815214,13.626544716819788,3.172594580530181
2019-01-01,3.3208450829566436,10.515885696935982,13.836735538832112,13.643846203448945,3.127960506512965
2019-04-01,3.287458970401526,10.532398527898623,13.819857498300149,13.749630507969746,3.2172319800711233
2019-07-01,3.2081885806409756,10.518836779338727,13.727025359979702,13.72460104313431,3.2057642637955817
2019-10-01,2.747523187950982,10.518759975107955,13.266283163058937,13.532705270468814,3.013945295360862
2020-01-01,2.3074670889150877,10.730135418129196,13.037602507044282,13.39192921618837,2.661793798059173
2020-04-01,-0.13419748938863602,11.871981135760326,11.737783646371689,13.531055652796791,1.659074517036466
2020-07-01,1.9751078856766655,10.992898372787963,12.968006258464628,13.022606793572342,2.029708420784379
2020-10-01,2.2692359896512766,10.933532110501751,13.202768100153026,13.21518015493967,2.2816480444379206
2021-01-01,1.7311848918944959,10.736045102033042,12.467229993927537,13.151518003392512,2.4154729013594696
2021-04-01,1.6454509740861842,10.601201877872345,12.24665285195853,13.048503544983467,2.447301667111122
2021-07-01,1.9407551967226062,10.634867658411187,12.575622855133794,12.935280984373101,2.300413325961915
2021-10-01,2.981421793419155,10.5818973916964,13.563323292039989,12.780087626161125,2.1981902344647266
2022-01-01,3.1649224267273715,10.720131541506065,13.885053968233438,13.035333186744962,2.315201645238896
2022-04-01,2.6504609624755173,10.837553125978772,13.488014088454289,13.039020652177186,2.201467526198413
2022-07-01,2.379744223484263,10.951113594919223,13.330857818403485,13.230511607844225,2.2793980129250024
2022-10-01,2.7076984337587984,10.965528645046643,13.673227078805441,13.266087922897826,2.3005592778511827
2023-01-01,2.030247223364963,11.06608371409421,13.096330937459172,13.319367138219873,2.2532834241256636
2023-04-01,2.062644678706224,11.11607115370371,13.178715832409935,13.42031796058041,2.3042468068767015
