date,FinDeriv,StatDisc,FAB,TOT
2002-10-01,0.0,-0.38631522696923626,4.544275592502346,4.15796036553311
2003-01-01,0.0,-0.7299718841620676,5.137017838258355,4.407045954096287
2003-04-01,0.0,-0.3053187876422088,4.810494621739723,4.505175834097514
2003-07-01,0.0,0.12077807361825603,4.4349587595184055,4.5557368331366614
2003-10-01,0.0,-0.08298339975233247,4.591821739187312,4.50883833943498
2004-01-01,0.0,0.37810374801850505,4.095359336943419,4.473463084961924
2004-04-01,0.0,-0.25818936390921515,4.86811694886779,4.609927584958575
2004-07-01,0.0,0.15659097330932092,4.6021688040777855,4.758759777387106
2004-10-01,0.0,0.7824165852040207,4.32832870900106,5.11074529420508
2005-01-01,0.0,1.0567790210072838,4.248334375841506,5.30511339684879
2005-04-01,0.0,1.842337983770519,3.5951355510817593,5.437473534852278
2005-07-01,0.0,1.0368843646505779,4.427572477436424,5.464456842087002
2005-10-01,0.0,0.25684836407488204,5.359119389045679,5.615967753120562
2006-01-01,0.0,0.027295803564337796,5.647422340791637,5.6747181443559755
2006-04-01,0.0,-0.6419346920446865,6.3266790873312715,5.684744395286585
2006-07-01,0.0,-0.4938072937439637,6.343583807227415,5.849776513483452
2006-10-01,-0.2116163184601227,-0.010555886366809215,5.668674801774415,5.446502596947482
2007-01-01,-0.30158309316963394,-0.6654637202334245,6.170529932114962,5.203483118711904
2007-04-01,-0.19285406096146376,-0.43606889614987615,5.883496566676957,5.254573609565617
2007-07-01,-0.12759441578229563,0.36842604326784795,4.784993144452217,5.025824771937771
2007-10-01,-0.04228321764005279,0.7459365773481831,4.258359022438104,4.962012382146234
2008-01-01,0.11246018607506403,0.9193530115653323,4.118583177087633,5.15039637472803
2008-04-01,0.12032395915940997,0.8009982173057295,4.104952736503983,5.026274912969122
2008-07-01,0.19273106871139464,0.13667361142852616,4.80654438596848,5.135949066108401
2008-10-01,0.22553758818330077,-0.3447240072156694,5.339463950677591,5.220277531645223
2009-01-01,0.12358895678100765,0.43717990997235723,3.926601672341872,4.487370539095237
2009-04-01,0.05506480805961324,0.7780137951981317,2.8969554494481558,3.730034052705901
2009-07-01,-0.052682276732552734,1.2286140893115467,1.7659082550469996,2.9418400676259933
2009-10-01,-0.3058852051374736,0.9980514970465315,1.3279619592815575,2.0201282511906156
2010-01-01,-0.36453381670536394,0.6034090569673661,1.6833697819739375,1.9222450222359397
2010-04-01,-0.3754357503938701,0.6535296307597639,1.7404648925417716,2.0185587729076655
2010-07-01,-0.22258538642369813,-0.5063135645131411,3.18904766040324,2.460148709466401
2010-10-01,-0.09194308542731489,-0.04886517633430965,2.8237683718790807,2.682960110117456
2011-01-01,-0.005706303589421295,-0.803787578549614,3.7530280539081535,2.943534171769118
2011-04-01,-0.004512282954851138,-1.3901945263179547,4.370377440899217,2.975670631626411
2011-07-01,-0.07015736069772895,-0.9783558343245877,3.8156516610991753,2.767138466076858
2011-10-01,-0.22096585040512193,-0.3891488509819965,3.099101915148886,2.4889872137617677
2012-01-01,-0.15380714855050998,-0.7906614696881364,3.4955140463297125,2.551045428091066
2012-04-01,-0.10691590676449192,-0.21481286322748075,2.8697739821917883,2.548045212199816
2012-07-01,-0.08465924897392942,0.6902768092728104,1.9188714877992885,2.5244890480981694
2012-10-01,0.04301969515211153,-0.22143815620412335,2.8055004309886504,2.6270819699366386
2013-01-01,-0.025395317230990345,0.973050174243267,1.3701985381004929,2.3178533951127696
2013-04-01,-0.030575672363885715,0.7727513152898542,1.4310324870411186,2.173208129967087
2013-07-01,-0.02167811045405293,-0.10785835643260379,2.2125509754913173,2.0830145086046605
2013-10-01,0.012969037619197536,-0.4528306996614859,2.485706918193622,2.045845256151334
2014-01-01,0.0715982198378573,-0.8273312832424993,2.921499011827909,2.165765948423267
2014-04-01,0.06387327322694546,-1.0657628432436834,3.10057956090761,2.098689990890872
2014-07-01,-0.11113536449711206,-0.4603784869573049,2.3090613674727827,1.737547516018366
2014-10-01,-0.3043544504031359,0.439746949173619,1.3653463316704515,1.5007388304409346
2015-01-01,-0.5593633117429555,0.344387757937871,1.2401071893001012,1.0251316354950168
2015-04-01,-0.5194818186310245,0.08098954215322914,1.5870047813785284,1.148512504900733
2015-07-01,-0.37956602297705355,0.09666269003701325,1.8162655077631675,1.5333621748231274
2015-10-01,-0.1474737262478522,0.16360937567419387,1.9603123028217366,1.9764479522480782
2016-01-01,0.12995170880744122,0.4727736950474527,1.938013946688321,2.5407393505432148
2016-04-01,0.12277815517050453,1.2231016789137665,1.1620752780373678,2.507955112121639
2016-07-01,0.1361671104818263,0.371016229217086,1.9481600955800866,2.455343435278999
2016-10-01,0.04126414530630759,0.21295820691235326,1.9519886107373978,2.2062109629560585
2017-01-01,-0.0447248445466972,0.12575076270900534,1.8357135926239312,1.9167395107862393
2017-04-01,0.0006941384565862499,-0.413447513238619,2.426775386016094,2.014022011234061
2017-07-01,0.07819794154922406,-0.15538882325107956,2.0491980940906753,1.9720072123888197
2017-10-01,0.1206247879465688,-0.09055655386471305,1.9966724889732217,2.0267407230550774
2018-01-01,0.29146407087380577,0.06477144733696821,2.0421338388962686,2.398369357107043
2018-04-01,0.16471263075777923,0.4396098386351631,1.469409405292973,2.0737318746859152
2018-07-01,0.017460006096500467,1.2961009176751046,0.7003966399059364,2.0139575636775415
2018-10-01,-0.09800536224398658,0.678405183198315,1.356767137213127,1.9371669581674553
2019-01-01,-0.33753254222309576,0.622750062639541,1.2481175419982358,1.533335062414681
2019-04-01,-0.3048309249598354,-0.2740211187729781,2.245900424812415,1.6670483810796013
2019-07-01,-0.27736599739576356,-0.9328789798214634,2.862022143115597,1.6517771658983702
2019-10-01,-0.19196986418650386,-0.5074463299803027,2.3803203570243276,1.6809041628575212
2020-01-01,-0.21089670588287732,-0.8882102134493997,2.689331132946594,1.5902242136143174
2020-04-01,-0.24180705026717533,0.04895417674153606,2.0834323187499995,1.8905794452243603
2020-07-01,-0.059337824333451236,0.14887820803889895,2.2417863737211894,2.3313267574266368
2020-10-01,-0.023529459463767905,-0.3049154409186653,3.0584335028541734,2.7299886024717406
2021-01-01,0.07982934365875903,-0.044891401528647006,3.1617313910418865,3.1966693331719984
2021-04-01,0.09630782124858778,-0.4692728325598537,3.7267213070510814,3.3537562957398155
2021-07-01,-0.05530686926177962,-0.4097209306670539,3.685208161892654,3.2201803619638203
2021-10-01,-0.1602850468400892,0.185308537421125,3.0793965827349576,3.1044200733159935
2022-01-01,-0.12412855369014668,0.2531074578989575,3.428769369066405,3.557748273275215
2022-04-01,-0.27447993296704326,0.7968995831669207,2.859998361881327,3.3824180120812044
2022-07-01,-0.3749269989384597,0.7482523770366291,2.7156142210091367,3.0889395991073063
2022-10-01,-0.3087383300140271,0.6557734044757532,2.7702778392464116,3.1173129137081377
2023-01-01,-0.3336892353474251,0.19861458299644769,2.91840028490254,2.7833256325515627
