date,Welfare,WandS,TaxSI
2011-01-01,8.454854242401101,4.36099684818781,8.547475599272882
2011-04-01,8.355316751175081,4.333588223434567,8.529631356688402
2011-07-01,8.266659028306366,4.298631826945478,8.59382153818092
2011-10-01,8.255270954141672,4.246815772600701,8.526916984598222
2012-01-01,8.131490775510882,4.243593946079806,8.527281748556453
2012-04-01,8.187267317383048,4.2165954936056975,8.577197134900302
2012-07-01,8.161394821565592,4.200164572286619,8.62489245452765
2012-10-01,8.17184737594615,4.186647154594091,8.852362104210307
2013-01-01,8.19909127346434,4.1811386699234285,9.498615077223398
2013-04-01,8.224093108515605,4.172959333139018,9.632435285918543
2013-07-01,8.236263668244401,4.141635573376416,9.560131762064795
2013-10-01,8.21292354224126,4.148181362498605,9.619427299427024
2014-01-01,8.261800977502315,4.148741577619241,9.7942875267434
