date,Real Rate 1-month,Real Rate 1-year,Real Rate 10-year
1987-05-01,0.0075,0.0211,0.0436
1987-06-01,0.0225,0.0285,0.0433
1987-07-01,0.0072,0.0227,0.0428
1987-08-01,0.015,0.0257,0.0448
1987-09-01,0.0124,0.0238,0.046
1987-10-01,0.0304,0.0365,0.0496
1987-11-01,0.001,0.0343,0.0453
1987-12-01,-0.0058,0.0241,0.0458
1988-01-01,0.0041,0.0247,0.0461
1988-02-01,0.0196,0.0286,0.041
1988-03-01,0.0196,0.027,0.0404
1988-04-01,0.0216,0.0281,0.0442
1988-05-01,0.0242,0.0291,0.045
1988-06-01,0.0267,0.0313,0.0465
1988-07-01,0.0171,0.0252,0.0444
1988-08-01,0.0272,0.0324,0.0454
1988-09-01,0.0294,0.0336,0.0471
1988-10-01,0.0267,0.0312,0.0446
1988-11-01,0.0245,0.0304,0.0436
1988-12-01,0.0281,0.0327,0.0462
1989-01-01,0.0222,0.0325,0.0486
1989-02-01,0.0284,0.0341,0.0473
1989-03-01,0.0291,0.0347,0.0497
1989-04-01,0.0371,0.0406,0.0487
1989-05-01,0.0452,0.0451,0.0463
1989-06-01,0.0445,0.0445,0.0441
1989-07-01,0.039,0.039,0.04
1989-08-01,0.0403,0.0373,0.0374
1989-09-01,0.043,0.0397,0.0428
1989-10-01,0.0422,0.0394,0.043
1989-11-01,0.0386,0.0386,0.0403
1989-12-01,0.0429,0.0392,0.0403
1990-01-01,0.0409,0.0382,0.0413
1990-02-01,0.031,0.0337,0.0437
1990-03-01,0.0524,0.0443,0.0455
1990-04-01,0.0521,0.0453,0.0455
1990-05-01,0.0439,0.0431,0.0481
1990-06-01,0.0336,0.0372,0.0438
1990-07-01,0.0471,0.0429,0.0434
1990-08-01,0.0395,0.039,0.0417
1990-09-01,0.02,0.0285,0.044
1990-10-01,0.0161,0.0258,0.042
1990-11-01,0.0035,0.0206,0.0406
1990-12-01,0.0078,0.0209,0.0389
1991-01-01,0.0138,0.0269,0.0392
1991-02-01,0.0247,0.0301,0.0391
1991-03-01,0.0223,0.0283,0.0418
1991-04-01,0.0346,0.0342,0.0411
1991-05-01,0.0243,0.0315,0.0405
1991-06-01,0.0229,0.0296,0.0419
1991-07-01,0.0238,0.0286,0.0422
1991-08-01,0.0214,0.027,0.0414
1991-09-01,0.023,0.0263,0.0388
1991-10-01,0.016,0.0216,0.0364
1991-11-01,0.0141,0.0207,0.0357
1991-12-01,0.008,0.0164,0.0341
1992-01-01,0.0068,0.015,0.032
1992-02-01,0.0043,0.0145,0.0363
1992-03-01,0.0042,0.0137,0.0366
1992-04-01,0.0111,0.0175,0.0379
1992-05-01,0.0012,0.0149,0.0375
1992-06-01,0.0005,0.0125,0.0357
1992-07-01,0.0021,0.0125,0.0335
1992-08-01,0.0006,0.0107,0.0312
1992-09-01,0.0014,0.0098,0.0296
1992-10-01,-0.0019,0.0074,0.0273
1992-11-01,-0.0007,0.0091,0.0332
1992-12-01,0.0027,0.011,0.0351
1993-01-01,0.0002,0.009,0.0327
1993-02-01,-0.0007,0.008,0.03
1993-03-01,-0.0015,0.0055,0.0267
1993-04-01,-0.0009,0.0071,0.0277
1993-05-01,-0.0027,0.006,0.0266
1993-06-01,0.0089,0.0126,0.0276
1993-07-01,0.0013,0.0084,0.0259
1993-08-01,0.0034,0.0091,0.027
1993-09-01,0.0025,0.0077,0.0245
1993-10-01,-0.0017,0.0053,0.024
1993-11-01,0.0019,0.0073,0.0256
1993-12-01,0.0046,0.0095,0.0272
1994-01-01,0.0041,0.0089,0.0277
1994-02-01,-0.0021,0.0078,0.0262
1994-03-01,-0.0089,0.0034,0.0297
1994-04-01,0.0057,0.013,0.0366
1994-05-01,0.0102,0.0155,0.0362
1994-06-01,0.0033,0.0125,0.0359
1994-07-01,0.0042,0.0148,0.0379
1994-08-01,0.0156,0.02,0.0358
1994-09-01,0.0167,0.0203,0.0364
1994-10-01,0.0157,0.0203,0.0396
1994-11-01,0.0124,0.0204,0.041
1994-12-01,0.0126,0.0201,0.0412
1995-01-01,0.0166,0.0233,0.0424
1995-02-01,0.0162,0.0226,0.0405
1995-03-01,0.0175,0.0216,0.0372
1995-04-01,0.0221,0.0236,0.0365
1995-05-01,0.0318,0.0371,0.0342
1995-06-01,0.0294,0.0311,0.029
1995-07-01,0.021,0.0244,0.0294
1995-08-01,0.0243,0.0252,0.0315
1995-09-01,0.0207,0.022,0.0302
1995-10-01,0.0282,0.0253,0.0301
1995-11-01,0.0232,0.0233,0.0288
1995-12-01,0.0395,0.0305,0.0272
1996-01-01,0.0271,0.0242,0.0265
1996-02-01,0.0226,0.0214,0.026
1996-03-01,0.0349,0.026,0.029
1996-04-01,0.0301,0.0259,0.0311
1996-05-01,0.0192,0.0231,0.0331
1996-06-01,0.0215,0.0238,0.0349
1996-07-01,0.0292,0.0268,0.0337
1996-08-01,0.0245,0.0245,0.0333
1996-09-01,0.0292,0.0267,0.0352
1996-10-01,0.0238,0.0236,0.0332
1996-11-01,0.0199,0.0215,0.0314
1996-12-01,0.0281,0.0245,0.0295
1997-01-01,0.0192,0.0215,0.0325
1997-02-01,0.0165,0.0195,0.0321
1997-03-01,0.0242,0.0243,0.0331
1997-04-01,0.0271,0.0258,0.0355
1997-05-01,0.0289,0.026,0.0344
1997-06-01,0.0172,0.0277,0.0328
1997-07-01,0.0273,0.0293,0.032
1997-08-01,0.0259,0.0265,0.0309
1997-09-01,0.0319,0.0285,0.0315
1997-10-01,0.0213,0.0233,0.0302
1997-11-01,0.0208,0.0217,0.0297
1997-12-01,0.0329,0.0284,0.0292
1998-01-01,0.0314,0.0266,0.0284
1998-02-01,0.0307,0.0253,0.0278
1998-03-01,0.0324,0.027,0.0285
1998-04-01,0.0339,0.0271,0.0285
1998-05-01,0.0296,0.026,0.0289
1998-06-01,0.0375,0.0287,0.0287
1998-07-01,0.0265,0.0227,0.0277
1998-08-01,0.0289,0.0235,0.0278
1998-09-01,0.0294,0.0224,0.025
1998-10-01,0.0199,0.0212,0.0194
1998-11-01,0.0213,0.0202,0.0222
1998-12-01,0.0311,0.0236,0.0223
1999-01-01,0.0239,0.0198,0.0231
1999-02-01,0.0239,0.0191,0.0237
1999-03-01,0.0277,0.0243,0.0271
1999-04-01,0.032,0.025,0.0268
1999-05-01,0.0246,0.0216,0.027
1999-06-01,0.0494,0.0345,0.0312
1999-07-01,0.0283,0.0255,0.0301
1999-08-01,0.0306,0.0263,0.031
1999-09-01,0.0329,0.0272,0.0317
1999-10-01,0.0239,0.0226,0.0314
1999-11-01,0.0229,0.0217,0.0315
1999-12-01,0.0164,0.0184,0.0319
2000-01-01,0.0291,0.0265,0.0341
2000-02-01,0.0285,0.0264,0.0351
2000-03-01,0.0297,0.0266,0.0344
2000-04-01,0.0326,0.029,0.032
2000-05-01,0.0308,0.0279,0.0336
2000-06-01,0.0007,0.0198,0.0313
2000-07-01,0.0346,0.0335,0.0306
2000-08-01,0.0363,0.0324,0.0305
2000-09-01,0.0347,0.03,0.0289
2000-10-01,0.0374,0.0305,0.0288
2000-11-01,0.0327,0.0276,0.0283
2000-12-01,0.0268,0.0232,0.0264
2001-01-01,0.0449,0.0313,0.0225
2001-02-01,0.0222,0.0283,0.0227
2001-03-01,0.0467,0.0362,0.0227
2001-04-01,0.026,0.024,0.0222
2001-05-01,0.0159,0.0186,0.0243
2001-06-01,0.0092,0.0145,0.0253
2001-07-01,0.017,0.0169,0.0253
2001-08-01,0.018,0.0159,0.0233
2001-09-01,-0.0034,0.0025,0.0218
2001-10-01,0.0122,0.0103,0.0199
2001-11-01,0.0141,0.0106,0.0181
2001-12-01,-0.0097,-0.002,0.0204
2002-01-01,0.0061,0.0079,0.0252
2002-02-01,0.0075,0.0086,0.024
2002-03-01,0.0125,0.0108,0.0242
2002-04-01,-0.0006,0.0053,0.027
2002-05-01,-0.0068,0.0011,0.0235
2002-06-01,0.0007,0.0044,0.0232
2002-07-01,-0.0025,0.0026,0.0214
2002-08-01,-0.0011,0.0018,0.0174
2002-09-01,-0.0026,-0.0002,0.0145
2002-10-01,-0.0048,-0.002,0.0127
2002-11-01,-0.0071,-0.0028,0.014
2002-12-01,-0.0042,-0.0006,0.0169
2003-01-01,-0.005,-0.0019,0.0149
2003-02-01,-0.0061,-0.0019,0.0147
2003-03-01,-0.0035,-0.0017,0.0122
2003-04-01,-0.002,-0.0011,0.0131
2003-05-01,0.0016,0.0008,0.0137
2003-06-01,-0.0182,-0.0122,0.0091
2003-07-01,-0.0001,-0.0009,0.0113
2003-08-01,-0.0006,0.001,0.0175
2003-09-01,-0.0026,0.0006,0.019
2003-10-01,-0.0035,-0.002,0.0138
2003-11-01,-0.0044,-0.0016,0.0171
2003-12-01,-0.0139,-0.006,0.0171
2004-01-01,-0.0047,-0.0014,0.017
2004-02-01,-0.0095,-0.004,0.0157
2004-03-01,-0.0011,-0.0006,0.0147
2004-04-01,-0.0076,-0.0041,0.0136
2004-05-01,-0.0128,-0.0051,0.0188
2004-06-01,-0.0219,-0.0099,0.0195
2004-07-01,-0.0113,-0.0045,0.0193
2004-08-01,-0.012,-0.0049,0.0186
2004-09-01,-0.025,-0.0133,0.0148
2004-10-01,-0.0049,-0.0021,0.0169
2004-11-01,-0.0032,-0.0004,0.0161
2004-12-01,0.0175,0.0118,0.0191
2005-01-01,0.0016,0.0034,0.0178
2005-02-01,0.0053,0.0053,0.0181
2005-03-01,0.005,0.0058,0.0198
2005-04-01,0.0027,0.0048,0.0202
2005-05-01,-0.0008,0.0067,0.0179
2005-06-01,0.0058,0.0083,0.0167
2005-07-01,0.0118,0.0109,0.0182
2005-08-01,0.015,0.0127,0.0201
2005-09-01,0.032,0.0198,0.0174
2005-10-01,0.0119,0.0118,0.0197
2005-11-01,0.0125,0.0127,0.0208
2005-12-01,0.0063,0.0087,0.0202
2006-01-01,0.0307,0.0202,0.0206
2006-02-01,0.0297,0.0212,0.022
2006-03-01,0.0546,0.0325,0.0238
2006-04-01,0.0293,0.0209,0.0236
2006-05-01,0.0202,0.023,0.0241
2006-06-01,0.0258,0.0238,0.0245
2006-07-01,0.0233,0.0216,0.025
2006-08-01,0.0256,0.0215,0.023
2006-09-01,0.0367,0.0277,0.0221
2006-10-01,0.0405,0.0283,0.0221
2006-11-01,0.0608,0.0335,0.022
2006-12-01,0.0572,0.0345,0.0212
2007-01-01,0.0278,0.0229,0.0215
2007-02-01,0.032,0.0248,0.0229
2007-03-01,0.0267,0.0208,0.0202
2007-04-01,0.0269,0.0206,0.0208
2007-05-01,0.0137,0.0145,0.0203
2007-06-01,0.0076,0.0109,0.0225
2007-07-01,0.0245,0.0191,0.0237
2007-08-01,0.0266,0.0213,0.0213
2007-09-01,0.0214,0.0181,0.0195
2007-10-01,0.0174,0.0171,0.0199
2007-11-01,0.0282,0.0219,0.0183
2007-12-01,0.0185,0.0149,0.0139
2008-01-01,0.0112,0.0112,0.014
2008-02-01,-0.0054,0.003,0.0111
2008-03-01,0.0067,0.0063,0.0103
2008-04-01,-0.0033,0.0007,0.0106
2008-05-01,-0.013,-0.0038,0.014
2008-06-01,-0.0121,-0.0036,0.0149
2008-07-01,-0.0207,-0.0082,0.0145
2008-08-01,-0.0299,-0.0147,0.0136
2008-09-01,-0.0203,-0.0102,0.0124
2008-10-01,0.0183,0.0119,0.0149
2008-11-01,0.0495,0.0278,0.0163
2008-12-01,0.0518,0.0255,0.0098
2009-01-01,0.0407,0.0203,0.0094
2009-02-01,0.0436,0.0208,0.0104
2009-03-01,0.069,0.0325,0.0125
2009-04-01,0.0077,0.0007,0.0071
2009-05-01,0.0041,0.0007,0.0102
2009-06-01,0.0112,0.0049,0.0132
2009-07-01,-0.0007,-0.001,0.0127
2009-08-01,-0.0173,-0.0097,0.0116
2009-09-01,-0.0327,-0.0189,0.0095
2009-10-01,-0.0113,-0.0081,0.01
2009-11-01,-0.0165,-0.0101,0.0106
2009-12-01,-0.0188,-0.0122,0.0085
2010-01-01,-0.0132,-0.0081,0.013
2010-02-01,-0.0164,-0.0107,0.0112
2010-03-01,-0.0251,-0.0162,0.01
2010-04-01,-0.0068,-0.0044,0.0131
2010-05-01,-0.0067,-0.005,0.0123
2010-06-01,-0.0025,-0.0038,0.0102
2010-07-01,0.0082,-0.0007,0.0085
2010-08-01,-0.0059,-0.0069,0.0066
2010-09-01,0.0059,-0.0014,0.0058
2010-10-01,-0.0105,-0.01,0.0041
2010-11-01,-0.0134,-0.0117,0.0034
2010-12-01,-0.0106,-0.0094,0.0063
2011-01-01,-0.015,-0.0111,0.0086
2011-02-01,-0.0195,-0.0137,0.0083
2011-03-01,-0.0231,-0.0153,0.0087
2011-04-01,-0.0226,-0.0147,0.0098
2011-05-01,-0.032,-0.0212,0.0071
2011-06-01,-0.0292,-0.0204,0.0049
2011-07-01,-0.0391,-0.0257,0.0057
2011-08-01,-0.0124,-0.013,0.0039
2011-09-01,-0.0007,-0.0075,0.0021
2011-10-01,-0.0162,-0.016,0.001
2011-11-01,-0.0176,-0.0164,0.0014
2011-12-01,-0.0232,-0.0195,0.0014
2012-01-01,-0.0166,-0.0159,0.0015
2012-02-01,-0.0175,-0.0166,0.0002
2012-03-01,-0.0115,-0.0133,0.0017
2012-04-01,-0.0213,-0.0187,0.0019
2012-05-01,-0.0159,-0.0125,-0.0009
2012-06-01,0.0064,-0.0036,-0.0005
2012-07-01,-0.01,-0.0121,-0.0005
2012-08-01,-0.0094,-0.0117,-0.0006
2012-09-01,-0.0264,-0.0212,-0.0017
2012-10-01,-0.0182,-0.0168,-0.0009
2012-11-01,-0.0176,-0.0152,-0.0001
2012-12-01,-0.0327,-0.0249,-0.0017
2013-01-01,-0.0076,-0.0112,0.0008
2013-02-01,-0.0055,-0.0095,0.0017
2013-03-01,0.0034,0.0049,0.0005
2013-04-01,-0.0108,-0.0077,-0.0002
2013-05-01,-0.0047,-0.0051,-0.0002
2013-06-01,-0.007,-0.0068,0.0023
2013-07-01,0.0047,-0.0017,0.0055
2013-08-01,-0.0206,-0.0157,0.0048
2013-09-01,-0.0328,-0.0136,0.0054
2013-10-01,-0.0105,-0.0108,0.0049
2013-11-01,-0.0092,-0.0102,0.0049
2013-12-01,-0.0249,-0.0191,0.0042
2014-01-01,-0.0155,-0.0135,0.0068
2014-02-01,-0.0156,-0.014,0.0051
2014-03-01,-0.0043,-0.0087,0.0058
2014-04-01,-0.0158,-0.0132,0.007
2014-05-01,-0.0195,-0.0152,0.0063
2014-06-01,-0.0125,-0.0119,0.0062
2014-07-01,-0.0233,-0.0178,0.0059
2014-08-01,-0.017,-0.0132,0.0065
2014-09-01,-0.0278,-0.0197,0.0058
2014-10-01,-0.0115,-0.0111,0.007
2014-11-01,-0.0004,-0.0035,0.0071
2014-12-01,-0.0287,-0.025,0.0038
2015-01-01,0.0217,0.0112,0.0071
2015-02-01,0.0328,0.0154,0.0054
2015-03-01,0.0205,0.0092,0.0075
2015-04-01,-0.0087,-0.0083,0.0041
2015-05-01,-0.0124,-0.0099,0.0053
2015-06-01,-0.0157,-0.0118,0.0055
2015-07-01,-0.0169,-0.0126,0.0067
2015-08-01,-0.0157,-0.013,0.0055
2015-09-01,-0.0218,-0.0175,0.0051
2015-10-01,-0.0045,-0.0085,0.0053
2015-11-01,-0.0039,-0.0074,0.0067
2015-12-01,-0.007,-0.0073,0.0065
2016-01-01,-0.0078,-0.0087,0.0073
2016-02-01,0.0034,-0.0021,0.0054
2016-03-01,0.0137,0.002,0.0055
2016-04-01,-0.0118,-0.0119,0.0035
2016-05-01,-0.013,-0.0117,0.0041
2016-06-01,-0.0001,-0.0055,0.0052
2016-07-01,-0.016,-0.015,0.0017
2016-08-01,-0.0151,-0.0142,0.0023
2016-09-01,-0.029,-0.022,0.0022
2016-10-01,-0.0195,-0.0165,0.0029
2016-11-01,-0.0244,-0.0188,0.0035
2016-12-01,-0.0328,-0.0225,0.007
2017-01-01,-0.0213,-0.0137,0.0073
2017-02-01,-0.0168,-0.0118,0.0077
2017-03-01,0.0022,-0.0016,0.0092
2017-04-01,-0.0042,-0.0056,0.0077
2017-05-01,-0.0006,-0.0041,0.0078
2017-06-01,0.0182,0.0068,0.0074
2017-07-01,-0.0039,-0.0044,0.0073
2017-08-01,-0.0019,-0.0037,0.0067
2017-09-01,-0.0134,-0.0102,0.0057
2017-10-01,-0.0101,-0.0084,0.0073
2017-11-01,-0.0128,-0.0098,0.0075
2017-12-01,-0.0365,-0.0282,0.0057
2018-01-01,-0.0053,-0.0078,0.0087
2018-02-01,-0.01,-0.0083,0.0109
2018-03-01,0.0065,0.0134,0.0103
2018-04-01,0.0028,0.0078,0.0101
2018-05-01,0.0002,0.0044,0.0122
2018-06-01,0.012,0.0076,0.0125
2018-07-01,-0.0032,-0.0013,0.0116
2018-08-01,-0.0026,-0.0011,0.0126
2018-09-01,-0.0108,-0.0068,0.0113
2018-10-01,-0.0023,-0.0018,0.013
2018-11-01,0.0015,0.0012,0.0131
2018-12-01,0.0085,0.0048,0.0125
2019-01-01,0.0126,0.006,0.0104
2019-02-01,0.0126,0.0057,0.0107
2019-03-01,0.0227,0.057,0.0052
2019-04-01,0.0015,0.0312,0.0042
2019-05-01,-0.0029,0.0187,0.0054
2019-06-01,0.0121,0.0185,0.0042
2019-07-01,0.0058,0.0105,0.0044
2019-08-01,0.0051,0.0065,0.0042
2019-09-01,0.0044,0.0028,0.0024
2019-10-01,0.0003,-0.0004,0.0037
2019-11-01,-0.0012,-0.0022,0.0043
2019-12-01,-0.0011,-0.0029,0.0051
2020-01-01,-0.0053,-0.006,0.0051
2020-02-01,-0.0022,-0.0054,0.0032
2020-03-01,0.0285,0.0335,-0.0013
2020-04-01,0.0436,0.0324,-0.0011
2020-05-01,0.0466,0.0288,-0.0003
2020-06-01,0.0248,0.0142,-0.0015
2020-07-01,-0.0094,-0.0074,-0.0035
2020-08-01,-0.0165,-0.0124,-0.0041
2020-09-01,-0.0158,-0.0132,-0.0034
2020-10-01,-0.0116,-0.012,-0.0029
2020-11-01,-0.0133,-0.0135,-0.0021
2020-12-01,-0.0214,-0.0184,-0.0023
2021-01-01,-0.0163,-0.0161,-0.0024
2021-02-01,-0.0238,-0.0203,-0.0023
2021-03-01,-0.0147,-0.015,0.0001
2021-04-01,-0.0173,-0.0153,0.0012
2021-05-01,-0.0218,-0.017,0.0004
2021-06-01,-0.0257,-0.0192,-0.0001
2021-07-01,-0.0275,-0.0202,0.0004
2021-08-01,-0.0437,-0.0321,-0.0026
2021-09-01,-0.0516,-0.0347,-0.0019
2021-10-01,-0.0215,-0.0184,0.0009
2021-11-01,-0.0383,-0.026,0.0016
2021-12-01,-0.0445,-0.0293,0.0009
2022-01-01,-0.0327,-0.0223,0.0032
2022-02-01,-0.0413,-0.0265,0.0044
2022-03-01,-0.0482,-0.03,0.0035
2022-04-01,-0.056,-0.0329,0.0095
2022-05-01,-0.0586,-0.0326,0.012
2022-06-01,-0.071,-0.0397,0.0103
2022-07-01,-0.0355,-0.014,0.0106
2022-08-01,-0.0306,-0.0147,0.0086
2022-09-01,-0.0506,-0.0259,0.012
2022-10-01,-0.0037,0.0003,0.018
2022-11-01,-0.0045,0.0025,0.0193
2022-12-01,0.0084,0.0083,0.0158
2023-01-01,0.0182,0.0136,0.0178
2023-02-01,0.0198,0.0143,0.0142
2023-03-01,0.0415,0.026,0.0206
2023-04-01,0.0185,0.0125,0.0144
2023-05-01,0.0161,0.0115,0.0154
2023-06-01,0.06,0.0801,0.0106
2023-07-01,0.0285,0.051,0.0143
2023-08-01,0.031,0.0431,0.016
2023-09-01,0.0249,0.0332,0.017
2023-10-01,0.0301,0.0318,0.0208
2023-11-01,0.0291,0.0278,0.0209
2023-12-01,0.0154,0.0163,0.0168
2024-01-01,0.0351,0.0251,0.0168
2024-02-01,0.0346,0.024,0.0162
2024-03-01,0.0483,0.0304,0.0193
2024-04-01,0.0295,0.0208,0.0194
2024-05-01,0.0243,0.0195,0.021
2024-06-01,0.0315,0.0232,0.02
2024-07-01,0.0359,0.0251,0.0205
2024-08-01,0.0383,0.0254,0.0166
2024-09-01,0.0382,0.0245,0.0158
2024-10-01,0.0315,0.0221,0.0148
2024-11-01,0.0276,0.0205,0.0196
2024-12-01,0.0209,0.0159,0.0182
2025-01-01,0.0207,0.0164,0.0206
2025-02-01,0.0159,0.0134,0.0203
2025-03-01,0.0335,0.0226,0.0186
2025-04-01,0.0098,0.0087,0.0167
2025-05-01,0.0158,0.012,0.0167
2025-06-01,0.0255,0.0172,0.0187
2025-07-01,0.0105,0.0084,0.0166
2025-08-01,0.0142,0.0152,0.0157
2025-09-01,0.0102,0.0115,0.0157
2025-10-01,0.0091,0.0097,0.0155
2025-11-01,0.0114,0.01,0.0161
2025-12-01,-0.0064,-0.0014,0.0146
2026-01-01,0.0114,0.0086,0.0167
2026-02-01,0.0124,0.0097,0.0175
