date,A054RC,B056RC,A127RC
2010-07-01,2.394857412996412,5.676201518355728,7.3938456161919754
2010-10-01,2.475460140946447,5.985142242379281,7.080430232528497
2011-01-01,2.4097569798359357,6.321930300525527,5.385642591155804
2011-04-01,2.3753183435446816,6.3403111966701395,6.2117116100116725
2011-07-01,2.116379928747387,6.500872290611868,6.394070966334882
2011-10-01,2.4190427057464206,6.690074326814882,6.8729556820970235
2012-01-01,2.5324356294680483,6.96416631450848,6.539169833451476
2012-04-01,2.632848825943154,7.106113640724709,6.069812293953598
2012-07-01,2.708951226447724,7.188991916326996,5.841369560707377
2012-10-01,2.6576728724219407,8.582482648179992,4.059389707262503
2013-01-01,2.796631089160433,6.751420252353545,5.829609102267782
2013-04-01,2.7424467040599443,8.659319004575787,3.956808099909449
2013-07-01,2.7888826684849755,7.327708871639969,5.260550223865728
2013-10-01,2.781660000734863,8.157635338374856,4.5436826819893135
2014-01-01,3.0292360004979044,7.896420495160172,3.8362154313122843
2014-04-01,3.1254855954007925,8.024038041245506,4.545595008829808
2014-07-01,2.8676684591066093,7.968525459994156,4.955601758025941
2014-10-01,2.868191479596002,8.10742935789702,4.651962311046698
2015-01-01,2.9553064793703507,8.195960881243087,3.975725411689505
2015-04-01,2.962996856126627,7.975414463964083,3.951808722801089
2015-07-01,2.748396678916044,8.138767403765387,3.647730885024234
2015-10-01,2.5297155291612534,8.591020032203451,2.5380419501376563
2016-01-01,2.622179732260103,8.226841583988127,3.413434089916609
2016-04-01,2.651744180513124,8.245444091553171,3.121198277681577
2016-07-01,2.6743483184848174,8.311103431893715,3.128782648210475
2016-10-01,2.4981736825186647,8.242065376141996,3.4430465494647273
2017-01-01,2.0296638713631365,8.389807243927516,3.581133305082027
2017-04-01,2.052035918456481,8.509585039248597,3.461280156012215
2017-07-01,2.139034641084777,8.382405736045063,3.7078314399647234
2017-10-01,2.0650903618972523,8.265902753711199,3.900962714341971
2018-01-01,1.6424219355726581,8.240586621195645,4.442658959922011
2018-04-01,1.7939944373612218,8.334320842155131,4.2284779030397575
2018-07-01,1.7942590606921507,8.469473506922728,4.231369534704094
2018-10-01,1.8518416495534575,8.633736054733381,4.340081122028144
2019-01-01,1.8327631582920918,8.4282243517221,3.896819610890587
2019-04-01,1.8590982417185047,8.52739450479288,4.218884370956921
2019-07-01,1.7769141355250557,8.454452860757396,4.2864579174532205
2019-10-01,1.903774825574526,8.4200416923174,4.168207417742572
2020-01-01,1.4838125826625062,8.57083800080322,3.061114619921294
2020-04-01,1.6872857518480773,9.765097895933945,2.139637354676485
2020-07-01,1.927148659409445,8.783277311744099,4.91927654368272
2020-10-01,1.9014877337091847,8.418976599020354,4.303605728277206
2021-01-01,2.0122299943324475,7.959922833235381,4.964591114558385
2021-04-01,2.160141699818128,8.050778506852545,5.874261723361733
2021-07-01,2.1729795205682385,7.948180271769669,5.988695627241538
