date,12-month
2009-11-01,1.38
2009-12-01,1.36
2010-01-01,1.2
2010-02-01,1.08
2010-03-01,1.0
2010-04-01,0.93
2010-05-01,0.88
2010-06-01,0.81
2010-07-01,0.85
2010-08-01,0.85
2010-09-01,0.88
2010-10-01,0.8
2010-11-01,0.85
2010-12-01,0.89
2011-01-01,1.0
2011-02-01,1.16
2011-03-01,1.29
2011-04-01,1.42
2011-05-01,1.56
2011-06-01,1.62
2011-07-01,1.7
2011-08-01,1.79
2011-09-01,1.84
2011-10-01,1.93
2011-11-01,1.99
2011-12-01,2.06
2012-01-01,2.09
2012-02-01,2.02
2012-03-01,2.02
2012-04-01,1.99
2012-05-01,1.92
2012-06-01,1.9
2012-07-01,1.84
2012-08-01,1.79
2012-09-01,1.79
2012-10-01,1.78
2012-11-01,1.7
2012-12-01,1.62
2013-01-01,1.58
2013-02-01,1.62
2013-03-01,1.57
2013-04-01,1.43
2013-05-01,1.41
2013-06-01,1.51
2013-07-01,1.56
2013-08-01,1.55
2013-09-01,1.54
2013-10-01,1.55
2013-11-01,1.62
2013-12-01,1.68
2014-01-01,1.64
2014-02-01,1.59
2014-03-01,1.62
2014-04-01,1.77
2014-05-01,1.82
2014-06-01,1.78
2014-07-01,1.8
2014-08-01,1.74
2014-09-01,1.75
2014-10-01,1.73
2014-11-01,1.7
2014-12-01,1.67
2015-01-01,1.57
2015-02-01,1.62
2015-03-01,1.62
2015-04-01,1.62
2015-05-01,1.6
2015-06-01,1.62
2015-07-01,1.59
2015-08-01,1.62
2015-09-01,1.61
2015-10-01,1.56
2015-11-01,1.52
2015-12-01,1.51
2016-01-01,1.63
2016-02-01,1.63
2016-03-01,1.64
2016-04-01,1.68
2016-05-01,1.7
2016-06-01,1.68
2016-07-01,1.71
2016-08-01,1.75
2016-09-01,1.79
2016-10-01,1.88
2016-11-01,1.92
2016-12-01,1.97
2017-01-01,2.02
2017-02-01,1.99
2017-03-01,1.93
2017-04-01,1.88
2017-05-01,1.8
2017-06-01,1.79
2017-07-01,1.73
2017-08-01,1.74
2017-09-01,1.74
2017-10-01,1.73
2017-11-01,1.76
2017-12-01,1.77
2018-01-01,1.8
2018-02-01,1.83
2018-03-01,1.88
2018-04-01,1.84
2018-05-01,1.95
2018-06-01,1.98
2018-07-01,2.02
2018-08-01,2.0
2018-09-01,2.02
2018-10-01,2.0
2018-11-01,2.05
2018-12-01,2.04
2019-01-01,1.92
2019-02-01,1.95
2019-03-01,1.98
2019-04-01,2.13
2019-05-01,2.03
2019-06-01,2.0
2019-07-01,2.05
2019-08-01,2.07
2019-09-01,2.0
2019-10-01,2.01
2019-11-01,1.92
2019-12-01,1.91
2020-01-01,2.01
2020-02-01,2.01
2020-03-01,1.92
2020-04-01,1.74
2020-05-01,1.84
2020-06-01,1.83
2020-07-01,1.86
2020-08-01,1.86
2020-09-01,1.89
2020-10-01,1.8
2020-11-01,1.76
2020-12-01,1.76
2021-01-01,1.73
2021-02-01,1.74
2021-03-01,1.82
2021-04-01,1.94
2021-05-01,2.04
2021-06-01,2.1
2021-07-01,2.16
2021-08-01,2.26
2021-09-01,2.49
2021-10-01,2.76
2021-11-01,3.03
2021-12-01,3.26
2022-01-01,3.63
2022-02-01,3.78
2022-03-01,3.86
2022-04-01,3.91
2022-05-01,4.1
2022-06-01,4.48
2022-07-01,4.51
2022-08-01,4.74
2022-09-01,4.74
