date,Mortgage,HE Revolving,Auto Loan,Credit Card,Other,Total,Student Loan,Mortgage Total,Consumer Credit
2007-04-01,83.6626,5.94844,7.75508,7.64937,3.91886,113.874,4.93942,89.6111,24.2627
2007-07-01,85.1414,6.01952,7.80343,7.79389,3.93988,115.74,5.04171,91.1609,24.5789
2007-10-01,85.8409,6.10252,7.68711,7.91347,3.98126,116.689,5.16404,91.9434,24.7459
2008-01-01,86.0258,6.17664,7.52749,7.79766,3.86902,116.793,5.39594,92.2024,24.5901
2008-04-01,83.8288,6.13822,7.32247,7.68408,3.62327,113.897,5.3002,89.967,23.93
2008-07-01,84.7649,6.31131,7.37839,7.82529,3.75304,115.605,5.57164,91.0762,24.5284
2008-10-01,84.8298,6.46052,7.24861,7.9359,3.77184,116.105,5.85845,91.2903,24.8148
2009-01-01,84.3458,6.59254,7.07267,7.78363,3.77455,115.689,6.1198,90.9383,24.7507
2009-04-01,82.7957,6.51366,6.78773,7.52771,3.55191,113.347,6.17016,89.3093,24.0375
2009-07-01,82.1435,6.50242,6.78713,7.45757,3.50377,112.773,6.37843,88.6459,24.1269
2009-10-01,80.4765,6.42865,6.56971,7.23496,3.44457,110.719,6.56425,86.9051,23.8135
2010-01-01,79.6075,6.26389,6.3504,6.87036,3.27027,109.191,6.82891,85.8714,23.3199
2010-04-01,77.0259,6.04135,6.21482,6.58831,3.08971,105.702,6.74143,83.0673,22.6343
2010-07-01,75.637,5.91636,6.23792,6.4233,3.0109,104.063,6.83712,81.5534,22.5092
2010-10-01,73.5065,5.80782,6.18352,6.34529,2.96566,101.869,7.06018,79.3144,22.5546
2011-01-01,72.9534,5.46894,6.0248,5.94624,2.80662,100.366,7.16555,78.4223,21.9432
2011-04-01,72.149,5.29087,6.04066,5.88223,2.79836,99.3743,7.21321,77.4399,21.9344
2011-07-01,70.4799,5.35772,6.12694,5.81573,2.73967,97.8196,7.29965,75.8376,21.982
2011-10-01,68.9721,5.23131,6.12391,5.87281,2.75288,96.2407,7.28762,74.2035,22.0372
2012-01-01,66.8214,4.99345,6.01124,5.54029,2.59956,93.3415,7.37555,71.8149,21.5266
2012-04-01,65.892,4.76376,6.06591,5.43506,2.52342,92.0724,7.39232,70.6557,21.4167
2012-07-01,65.2585,4.65784,6.24297,5.47885,2.52808,91.9374,7.77119,69.9163,22.0211
2012-10-01,63.1771,4.42783,6.15806,5.34013,2.49311,89.1936,7.5973,67.605,21.5886
2013-01-01,64.7297,4.50464,6.47949,5.38598,2.5053,91.6514,8.04632,69.2343,22.4171
2013-04-01,63.4733,4.37133,6.58938,5.4075,2.39614,90.2842,8.04649,67.8447,22.4395
2013-07-01,63.4434,4.29812,6.78862,5.39876,2.4423,90.622,8.25078,67.7416,22.8805
2013-10-01,64.3386,4.22849,6.89827,5.45947,2.5339,92.0916,8.63283,68.5671,23.5245
2014-01-01,64.2185,4.13704,6.88196,5.1831,2.46964,91.6284,8.73812,68.3556,23.2728
2014-04-01,62.6051,4.02881,6.99822,5.17327,2.49771,89.9484,8.64531,66.6339,23.3145
2014-07-01,62.1203,3.91165,7.1357,5.19516,2.49826,89.4636,8.60257,66.032,23.4317
2014-10-01,61.6223,3.84668,7.20309,5.27975,2.52674,89.2052,8.72668,65.469,23.7363
2015-01-01,61.0664,3.81151,7.2344,5.11191,2.4588,88.5691,8.88606,64.8779,23.6912
2015-04-01,60.1727,3.69963,7.45857,5.2121,2.51337,87.8791,8.82276,63.8723,24.0068
2015-07-01,60.7431,3.61811,7.68481,5.25067,2.58121,88.7246,8.84672,64.3612,24.3634
2015-10-01,60.3668,3.5639,7.78643,5.36415,2.56864,88.6658,9.01587,63.9307,24.7351
2016-01-01,60.7226,3.51899,7.77081,5.16603,2.5685,88.8963,9.14938,64.2416,24.6547
2016-04-01,60.4111,3.4533,7.9686,5.26665,2.57191,88.7672,9.09562,63.8644,24.9028
2016-07-01,59.779,3.37913,8.12565,5.3479,2.62741,88.4157,9.15657,63.1582,25.2575
2016-10-01,60.0426,3.34908,8.19214,5.51571,2.66935,89.0443,9.27545,63.3917,25.6526
2017-01-01,60.1057,3.17702,8.13067,5.32291,2.55695,88.6571,9.36386,63.2827,25.3744
2017-04-01,59.7781,3.10893,8.18501,5.39248,2.59994,88.3087,9.24425,62.887,25.4217
2017-07-01,59.5081,3.04926,8.25613,5.49955,2.62726,88.1766,9.23625,62.5574,25.6192
2017-10-01,59.7239,2.98552,8.21019,5.60794,2.61569,88.4091,9.26588,62.7094,25.6997
2018-01-01,59.0693,2.88111,8.12129,5.38556,2.5441,87.2989,9.29752,61.9505,25.3485
2018-04-01,58.629,2.8145,8.06564,5.40098,2.54087,86.6046,9.15365,61.4435,25.1611
2018-07-01,58.7288,2.71155,8.12822,5.4231,2.56376,86.8209,9.26553,61.4403,25.3806
2018-10-01,57.8531,2.6124,8.07814,5.51647,2.58069,85.8793,9.2385,60.4655,25.4138
2019-01-01,57.7847,2.53793,8.00135,5.30089,2.52543,85.4394,9.28906,60.3227,25.1167
2019-04-01,58.5134,2.48212,8.06846,5.39971,2.563,86.2212,9.19444,60.9956,25.2256
2019-07-01,58.1739,2.44112,8.10625,5.43088,2.61989,86.0064,9.23434,60.615,25.3914
2019-10-01,58.4037,2.38333,8.13386,5.66498,2.63999,86.4414,9.21552,60.787,25.6544
2020-01-01,58.8089,2.3371,8.14957,5.40681,2.58534,86.5816,9.2939,61.146,25.4356
2020-04-01,54.0525,2.07341,7.42558,4.51727,2.31116,78.8781,8.49823,56.1259,22.7522
2020-07-01,56.0248,2.05669,7.72678,4.58493,2.36917,81.5459,8.78353,58.0815,23.4644
2020-10-01,57.9506,2.01382,7.92832,4.72584,2.41773,84.0091,8.97274,59.9644,24.0446
2021-01-01,51.6246,1.70219,7.02216,3.91249,2.09852,74.4085,8.04856,53.3268,21.0817
2021-04-01,56.5986,1.74533,7.66971,4.26577,2.28194,81.0712,8.50985,58.344,22.7273
2021-07-01,57.7274,1.71473,7.80554,4.34903,2.28811,82.4531,8.56824,59.4422,23.0109
2021-10-01,58.8046,1.71088,7.8442,4.60538,2.35649,83.8006,8.47906,60.5155,23.2851
2022-01-01,60.8457,1.72523,7.99484,4.57703,2.42185,86.218,8.65337,62.5709,23.6471
2022-04-01,61.1686,1.7136,8.06843,4.76478,2.52474,86.7759,8.53577,62.8822,23.8937
2022-07-01,60.9956,1.68314,7.96617,4.83511,2.56653,86.2741,8.22753,62.6787,23.5953
2022-10-01,61.0776,1.72122,7.95038,5.05095,2.59719,86.568,8.17066,62.7988,23.7692
2023-01-01,59.3786,1.67132,7.70088,4.86112,2.52423,84.0441,7.90795,61.05,22.9942
2023-04-01,58.1763,1.64641,7.66064,4.99249,2.55193,82.6255,7.59769,59.8227,22.8027
2023-07-01,58.101,1.67028,7.63354,5.164,2.53175,82.7533,7.65268,59.7713,22.982
2023-10-01,57.8797,1.70068,7.59163,5.33351,2.61715,82.686,7.56329,59.5804,23.1056
2024-01-01,57.6676,1.74273,7.49003,5.16793,2.51676,81.9778,7.39269,59.4104,22.5674
2024-04-01,57.313,1.73967,7.44396,5.22817,2.49048,81.4715,7.25626,59.0527,22.4189
2024-07-01,57.2388,1.75889,7.47185,5.29938,2.48153,81.5496,7.29915,58.9976,22.5519
2024-10-01,56.653,1.77982,7.43837,5.44282,2.48994,81.0625,7.25859,58.4328,22.6297
2025-01-01,56.7461,1.78162,7.27718,5.23851,2.40209,80.6739,7.22843,58.5277,22.1462
2025-04-01,56.7658,1.80369,7.26304,5.30575,2.36981,80.6965,7.18843,58.5695,22.127
2025-07-01,56.9701,1.83915,7.21278,5.37363,2.397,80.9967,7.20407,58.8092,22.1875
