date,RXI_N.B.EU,RXI_N.B.UK,RXI_N.B.CA,RXI_N.B.JA
1995-11-01,,0.6400679188239148,1.3533714285714287,1.0194
1995-12-01,,0.6491528558338809,1.3693,1.0184950000000002
1996-01-01,,0.6542243554995587,1.366866666666667,1.0575142857142859
1996-02-01,,0.6510766136674798,1.37522,1.0578800000000002
1996-03-01,,0.6548589819766433,1.3656000000000001,1.0594000000000003
1996-04-01,,0.6596312843203145,1.359186363636364,1.0719954545454544
1996-05-01,,0.6599961398823079,1.36925,1.0634227272727272
1996-06-01,,0.6486899683256926,1.3658000000000001,1.0896
1996-07-01,,0.6439173411321663,1.369731818181818,1.091909090909091
1996-08-01,,0.6452193707839923,1.3722409090909091,1.0786590909090907
1996-09-01,,0.6413233284529349,1.3693849999999999,1.0993099999999998
1996-10-01,,0.6305018410113742,1.3508363636363638,1.1241227272727272
1996-11-01,,0.6016280003890245,1.3380578947368424,1.122957894736842
1996-12-01,,0.6010704925866308,1.3621571428571428,1.139809523809524
1997-01-01,,0.6031463010207568,1.3494380952380953,1.1791238095238095
1997-02-01,,0.6151728671938055,1.355584210526316,1.2296210526315792
1997-03-01,,0.6213414687214888,1.3724761904761908,1.2277380952380954
1997-04-01,,0.613767744104348,1.3941590909090913,1.2563772727272726
1997-05-01,,0.6126979803178472,1.3804,1.1919238095238096
1997-06-01,,0.6079926216914613,1.3842714285714284,1.1428571428571428
1997-07-01,,0.5991203966228271,1.3775318181818181,1.153759090909091
1997-08-01,,0.6236862169576506,1.3905333333333332,1.1792952380952384
1997-09-01,,0.6245372739565932,1.3871619047619046,1.2089000000000003
1997-10-01,,0.6124679958751662,1.3869045454545454,1.2106045454545458
1997-11-01,,0.5921121110251943,1.4128222222222224,1.2538166666666666
1997-12-01,,0.6025618075148406,1.4270909090909087,1.2973409090909092
1998-01-01,,0.6116734306513301,1.440945,1.2954750000000002
1998-02-01,,0.6094706094241428,1.43341052631579,1.2585157894736845
1998-03-01,,0.6017649951590006,1.4165772727272725,1.2908227272727273
1998-04-01,,0.5979976543093231,1.4297727272727274,1.3175363636363635
1998-05-01,,0.6104542730059361,1.4452200000000002,1.34896
1998-06-01,,0.6059897441739993,1.4655090909090909,1.4033045454545452
1998-07-01,,0.6084040282952646,1.4868956521739134,1.4078739130434783
1998-08-01,,0.6119681817267761,1.5346380952380951,1.4468
1998-09-01,,0.5944757451094131,1.5217619047619046,1.3448047619047618
1998-10-01,,0.5902081588427992,1.5451761904761905,1.2104857142857146
1998-11-01,,0.6020286953709534,1.5403947368421054,1.2028947368421052
1998-12-01,,0.598541763263629,1.5432727272727271,1.1707090909090911
1999-01-01,0.8628146829845887,0.6061629150608271,1.5194421052631577,1.1329
1999-02-01,0.8927540596087263,0.6144271189581599,1.4977421052631577,1.166684210526316
1999-03-01,0.9186669419382126,0.6168053407679942,1.5175695652173915,1.1947304347826087
1999-04-01,0.934604875467783,0.6215707529937098,1.4881,1.197722727272727
1999-05-01,0.9408162081995248,0.6190762435305388,1.4611100000000001,1.219995
1999-06-01,0.9636877277638277,0.626982710149769,1.4694863636363638,1.2072454545454545
1999-07-01,0.9646292946184493,0.6349678307855935,1.4890476190476192,1.1933047619047616
1999-08-01,0.9430471729737387,0.622761342170191,1.4931954545454544,1.132268181818182
1999-09-01,0.952685602314002,0.6155576646497393,1.4770523809523812,1.068752380952381
1999-10-01,0.9341914304510617,0.6034573428386457,1.4776100000000003,1.05965
1999-11-01,0.968391015330951,0.6171391177478521,1.46743,1.0464849999999999
1999-12-01,0.9891400901348509,0.6198975190900075,1.472208695652174,1.0258434782608692
2000-01-01,0.9873516156581958,0.6096280888898913,1.4486,1.0529600000000001
2000-02-01,1.0170268053393516,0.625028362560658,1.45121,1.093885
2000-03-01,1.037013418885746,0.6329645195154987,1.4607739130434785,1.0630739130434785
2000-04-01,1.0586274237403468,0.6319921895679403,1.4688749999999997,1.05627
2000-05-01,1.1040220485510188,0.6629277630512616,1.4957363636363639,1.0832045454545456
2000-06-01,1.0521988340664334,0.6626015374604083,1.4770454545454543,1.0612545454545452
2000-07-01,1.0655139165558953,0.6633284043764851,1.477785,1.082115
2000-08-01,1.1056629607069386,0.6717103922223194,1.482813043478261,1.080804347826087
2000-09-01,1.150403210264543,0.6977848268113382,1.4864300000000001,1.068375
2000-10-01,1.1733881853621142,0.6893789383794379,1.5124761904761905,1.0844285714285715
2000-11-01,1.1694604681427403,0.7014262124368293,1.542638095238095,1.090095238095238
2000-12-01,1.11375776581657,0.6836750891894515,1.521875,1.12209
2001-01-01,1.0667043318141993,0.6768968840118345,1.5032,1.1667190476190477
2001-02-01,1.0864953706997469,0.6885034516699468,1.5215631578947368,1.162336842105263
2001-03-01,1.1014280470206457,0.6924061724339226,1.5587409090909092,1.2150500000000002
2001-04-01,1.120488609455376,0.6969870750271233,1.5577666666666665,1.237709523809524
2001-05-01,1.142745945681873,0.701037863435382,1.5410500000000005,1.217681818181818
2001-06-01,1.1724595169117418,0.7133259582723888,1.5245380952380951,1.2235095238095237
2001-07-01,1.1610317479272954,0.7068682540886689,1.5307904761904765,1.2449809523809523
2001-08-01,1.1097177783053673,0.6958634887387773,1.5398565217391307,1.2136695652173912
2001-09-01,1.097364779405221,0.6831661991238357,1.5679388888888885,1.1861166666666667
2001-10-01,1.1050794126220438,0.6896999164886312,1.5716772727272728,1.2145363636363637
2001-11-01,1.1259016085665947,0.6966974113055009,1.592245,1.2240550000000001
2001-12-01,1.1222039148304537,0.693887401151094,1.5787550000000001,1.2759449999999997
2002-01-01,1.132534482380649,0.6982667783259245,1.5997142857142854,1.326833333333333
2002-02-01,1.1485355733062297,0.7028862354061552,1.5963999999999998,1.3364263157894734
2002-03-01,1.1407574960471243,0.7027330227021127,1.5877428571428573,1.310609523809524
2002-04-01,1.128763019428334,0.693066121772898,1.5814863636363634,1.307718181818182
2002-05-01,1.0906909896121826,0.6850263105339078,1.5501545454545458,1.26375
2002-06-01,1.0461823100677459,0.6741547106814307,1.5318399999999996,1.2329050000000001
2002-07-01,1.0066457705534315,0.6425432536884287,1.54555,1.178990909090909
2002-08-01,1.0224774714581975,0.6507346465988078,1.5694181818181818,1.1899272727272725
2002-09-01,1.019804287380072,0.6425526480336666,1.576135,1.21078
2002-10-01,1.0192399747908563,0.6420880595983681,1.578009090909091,1.2390772727272725
2002-11-01,0.9987637412033067,0.6365390171921611,1.571452631578947,1.216078947368421
2002-12-01,0.9811944765828545,0.6304541626865032,1.5592190476190473,1.2189285714285718
2003-01-01,0.9416049114039252,0.6182840763652565,1.541447619047619,1.1881333333333335
2003-02-01,0.9272643678135061,0.6220566421858554,1.5121473684210525,1.193378947368421
2003-03-01,0.9263690002158511,0.6319906450783069,1.4760809523809524,1.1868714285714284
2003-04-01,0.9207556279813662,0.635423072030809,1.4582045454545451,1.1989499999999997
2003-05-01,0.8656319218957752,0.6164499351694951,1.3839571428571429,1.1736809523809524
2003-06-01,0.8566888711420766,0.6021436937203529,1.3525095238095237,1.1832904761904761
2003-07-01,0.8799837656035776,0.6166153700082238,1.3820909090909088,1.1869590909090908
2003-08-01,0.8966925967304291,0.6274570466802976,1.3962714285714288,1.1866238095238093
2003-09-01,0.8878941087343397,0.6192627458271626,1.3633714285714287,1.1480000000000001
2003-10-01,0.8537304914381049,0.5955760334479113,1.3220954545454549,1.0949545454545455
2003-11-01,0.8541784511698616,0.5918485840324323,1.3130444444444447,1.0917777777777777
2003-12-01,0.8132700208083457,0.5709761570161659,1.3127545454545455,1.0773772727272728
2004-01-01,0.7913283575423523,0.5478456744803738,1.2957549999999998,1.0626849999999999
2004-02-01,0.7911986137288187,0.535622618640523,1.329894736842105,1.0670789473684212
2004-03-01,0.8156522360313729,0.5476749885997024,1.3285782608695653,1.0851565217391304
2004-04-01,0.8341613721779698,0.5547297094215536,1.3419727272727273,1.0765636363636364
2004-05-01,0.8334329830318815,0.5600024983328997,1.3788600000000002,1.12196
2004-06-01,0.8233507122336367,0.5470870097130459,1.3578409090909092,1.0943363636363637
2004-07-01,0.8153558608968643,0.5424076598305019,1.3225047619047618,1.0948714285714285
2004-08-01,0.8203313899420788,0.5494229726409833,1.3126772727272729,1.1023363636363637
2004-09-01,0.8181043561864612,0.5575328265558103,1.2880952380952384,1.1009142857142855
2004-10-01,0.7996949482193478,0.5532663787430804,1.2469350000000001,1.087835
2004-11-01,0.7695124033023235,0.5374959847778545,1.19677,1.0469899999999999
2004-12-01,0.7459740911021551,0.5185162692256586,1.2188826086956521,1.038104347826087
2005-01-01,0.7621134248070189,0.5320059247521374,1.224835,1.03341
2005-02-01,0.7685644190501657,0.5299678711427752,1.2400526315789477,1.049442105263158
2005-03-01,0.7585834120823101,0.5251935639580906,1.2160260869565216,1.0525434782608694
2005-04-01,0.7726413757219113,0.5274312989839535,1.2359000000000002,1.071938095238095
2005-05-01,0.7877133465005941,0.5389677283768618,1.2555285714285713,1.065952380952381
2005-06-01,0.8227268665552686,0.5501504731700545,1.2401681818181818,1.0874727272727271
2005-07-01,0.8305605201548211,0.5712086358826249,1.222855,1.1195350000000002
2005-08-01,0.8133607529016986,0.5573096892797497,1.2042826086956522,1.1060652173913044
