date,Gross domestic product,Fiscal surplus,Receipts,Interest payments,Expenditures,Debt securities,Liabilities,pi
1998-07-01,9121097.0,-11586.0,2960993.0,479051.0,2972579.0,5451268.0,7778964.0,75.363
1998-10-01,9293992.0,-3589.0,3016953.0,473092.0,3020542.0,5528722.0,7690923.0,75.565
1999-01-01,9411680.0,12734.0,3054247.0,466636.0,3041513.0,5544853.0,7732733.0,75.769
1999-04-01,9526212.0,24048.0,3088566.0,466379.0,3064518.0,5459419.0,7605810.0,76.112
1999-07-01,9686626.0,32066.0,3149830.0,464611.0,3117764.0,5457331.0,7741293.0,76.404
1999-10-01,9900168.0,51999.0,3222631.0,464864.0,3170632.0,5537521.0,7657508.0,76.806
2000-01-01,10002179.0,148584.0,3323215.0,464312.0,3174631.0,5502228.0,7641944.0,77.318
2000-04-01,10247721.0,120229.0,3360439.0,463249.0,3240210.0,5329948.0,7564183.0,77.783
2000-07-01,10318164.0,112923.0,3388849.0,463789.0,3275926.0,5284138.0,7545355.0,78.27
2000-10-01,10435742.0,94447.0,3415885.0,467898.0,3321438.0,5279050.0,7724604.0,78.694
2001-01-01,10470233.0,48608.0,3462324.0,466375.0,3413716.0,5338258.0,8012957.0,79.233
2001-04-01,10599000.0,-11908.0,3466523.0,461148.0,3478431.0,5226643.0,7870163.0,79.761
2001-07-01,10598021.0,-259212.0,3250319.0,458153.0,3509531.0,5314553.0,8223984.0,80.003
2001-10-01,10660464.0,-193313.0,3366713.0,453594.0,3560026.0,5439620.0,8263690.0,80.261
2002-01-01,10783500.0,-391417.0,3232394.0,444603.0,3623811.0,5500127.0,8364243.0,80.475
2002-04-01,10887459.0,-447204.0,3236542.0,447704.0,3683746.0,5580097.0,8660823.0,80.794
2002-07-01,10984040.0,-461669.0,3269282.0,454181.0,3730951.0,5703916.0,8947491.0,81.155
2002-10-01,11061434.0,-502418.0,3292954.0,462407.0,3795372.0,5865630.0,9170713.0,81.627
2003-01-01,11174128.0,-543238.0,3313074.0,467769.0,3856312.0,5933489.0,9339360.0,82.068
2003-04-01,11312766.0,-583371.0,3358911.0,475079.0,3942282.0,6105508.0,9499770.0,82.349
2003-07-01,11566669.0,-636604.0,3336257.0,479413.0,3972861.0,6231424.0,9664214.0,82.822
2003-10-01,11772234.0,-551525.0,3459982.0,480080.0,4011507.0,6406794.0,9777265.0,83.302
2004-01-01,11923447.0,-586784.0,3491584.0,477283.0,4078368.0,7309668.0,10786840.0,83.899
2004-04-01,12112814.0,-560321.0,3561508.0,474534.0,4121829.0,7421673.0,10939914.0,84.58
2004-07-01,12305308.0,-516717.0,3646333.0,480529.0,4163050.0,7554085.0,11290042.0,85.116
2004-10-01,12527213.0,-506128.0,3729659.0,490283.0,4235787.0,7732140.0,11280686.0,85.772
2005-01-01,12767286.0,-408564.0,3921568.0,502884.0,4330132.0,7939601.0,11614182.0,86.43
2005-04-01,12922655.0,-413356.0,3974510.0,519147.0,4387866.0,7940455.0,11727340.0,87.062
2005-07-01,13142644.0,-407678.0,4042851.0,527418.0,4450529.0,8053375.0,11922275.0,87.884
2005-10-01,13324203.0,-356655.0,4149912.0,536619.0,4506567.0,8231027.0,12107394.0,88.584
2006-01-01,13599161.0,-311246.0,4271867.0,543205.0,4583113.0,8378592.0,12167557.0,89.204
2006-04-01,13753425.0,-296442.0,4337743.0,555342.0,4634185.0,8346921.0,12277811.0,89.993
2006-07-01,13870187.0,-306666.0,4392073.0,566442.0,4698739.0,8424343.0,12372752.0,90.652
2006-10-01,14039560.0,-313465.0,4414812.0,578486.0,4728277.0,8566001.0,12495629.0,90.997
2007-01-01,14215651.0,-321028.0,4550694.0,588312.0,4871722.0,8762983.0,12811768.0,91.908
2007-04-01,14402082.0,-334753.0,4585765.0,600404.0,4920518.0,8691802.0,12655577.0,92.491
2007-07-01,14564118.0,-418422.0,4563895.0,606278.0,4982317.0,8830018.0,12897903.0,92.882
2007-10-01,14715058.0,-481672.0,4578626.0,605074.0,5060298.0,9010745.0,13187410.0,93.332
2008-01-01,14706539.0,-572763.0,4556813.0,593305.0,5129576.0,9220129.0,13661631.0,93.735
2008-04-01,14865702.0,-942972.0,4576976.0,583281.0,5519948.0,9184782.0,13743389.0,94.075
2008-07-01,14898999.0,-866971.0,4493140.0,588561.0,5360111.0,9725770.0,14642445.0,94.804
2008-10-01,14608206.0,-1000538.0,4362389.0,604068.0,5362927.0,10353730.0,15701828.0,94.975
2009-01-01,14430900.0,-1431374.0,4095824.0,610854.0,5527198.0,10825968.0,16403650.0,95.001
2009-04-01,14381235.0,-1635880.0,4139515.0,618114.0,5775395.0,11201604.0,16756423.0,94.87
2009-07-01,14448882.0,-1663244.0,4152259.0,625860.0,5815503.0,11616545.0,17039265.0,94.928
2009-10-01,14651249.0,-1607582.0,4242771.0,631386.0,5850353.0,12001450.0,17360289.0,95.277
2010-01-01,14764609.0,-1678118.0,4329159.0,632348.0,6007277.0,12489077.0,17982097.0,95.518
2010-04-01,14980192.0,-1658837.0,4381179.0,644787.0,6040016.0,12834435.0,18630310.0,95.963
2010-07-01,15141606.0,-1599280.0,4495206.0,654109.0,6094486.0,13248731.0,19057888.0,96.312
2010-10-01,15309472.0,-1567106.0,4552022.0,662591.0,6119128.0,13734421.0,19537340.0,96.864
2011-01-01,15351444.0,-1523531.0,4604154.0,673281.0,6127685.0,13961430.0,19773538.0,97.339
2011-04-01,15557535.0,-1531228.0,4633368.0,688555.0,6164596.0,13934377.0,20003860.0,98.042
2011-07-01,15647682.0,-1506047.0,4573521.0,698915.0,6079568.0,14424714.0,20652831.0,98.561
2011-10-01,15842266.0,-1476081.0,4599909.0,704079.0,6075990.0,14835040.0,21004156.0,98.687
2012-01-01,16068824.0,-1389964.0,4695907.0,705184.0,6085871.0,15219249.0,21251540.0,99.277
2012-04-01,16207131.0,-1374608.0,4728922.0,705331.0,6103530.0,15439157.0,21601705.0,99.69
2012-07-01,16319539.0,-1374260.0,4741946.0,704178.0,6116206.0,15682721.0,21822715.0,100.304
2012-10-01,16420385.0,-1283144.0,4857465.0,700294.0,6140609.0,16024401.0,22160761.0,100.73
2013-01-01,16629050.0,-1035590.0,5109032.0,688126.0,6144622.0,16379516.0,22638435.0,101.124
2013-04-01,16699550.0,-775584.0,5406437.0,684260.0,6182021.0,16256993.0,22881944.0,101.428
2013-07-01,16911068.0,-976191.0,5221162.0,684312.0,6197353.0,16283499.0,23177723.0,101.973
2013-10-01,17133112.0,-800983.0,5401205.0,689466.0,6202188.0,16831388.0,23595690.0,102.55
2014-01-01,17144281.0,-812449.0,5454653.0,694631.0,6267102.0,17073545.0,23956371.0,102.965
2014-04-01,17462703.0,-806759.0,5547205.0,701793.0,6353964.0,17026953.0,23875898.0,103.552
2014-07-01,17743227.0,-864077.0,5585865.0,703929.0,6449942.0,17227749.0,24145182.0,104.029
2014-10-01,17852542.0,-857748.0,5610054.0,705068.0,6467802.0,17537265.0,24468377.0,104.104
2015-01-01,17991347.0,-808183.0,5711335.0,693256.0,6519518.0,17578280.0,24670626.0,104.092
2015-04-01,18193706.0,-778619.0,5801715.0,692809.0,6580334.0,17505108.0,24820293.0,104.683
2015-07-01,18306962.0,-817800.0,5803684.0,697804.0,6621484.0,17518609.0,25217512.0,104.939
2015-10-01,18332080.0,-699391.0,5969642.0,708211.0,6669033.0,18275925.0,25623918.0,104.932
2016-01-01,18425306.0,-885686.0,5832822.0,723600.0,6718508.0,18529119.0,25995467.0,104.873
2016-04-01,18611617.0,-915654.0,5850697.0,734412.0,6766351.0,18558467.0,26081876.0,105.576
2016-07-01,18775459.0,-925312.0,5919205.0,742134.0,6844517.0,18809743.0,26339503.0,105.894
2016-10-01,18968039.0,-922469.0,5968662.0,748142.0,6891131.0,19149181.0,26704393.0,106.47
2017-01-01,19153912.0,-927280.0,5993571.0,751520.0,6920851.0,19026199.0,26717082.0,107.007
2017-04-01,19322919.0,-979577.0,5948156.0,763198.0,6927733.0,18947926.0,26750803.0,107.361
2017-07-01,19558693.0,-965744.0,6055956.0,772857.0,7021700.0,19364789.0,26893347.0,107.942
2017-10-01,19882965.0,-932433.0,6173404.0,782621.0,7105837.0,19595311.0,27171497.0,108.658
2018-01-01,20143716.0,-1077072.0,6130814.0,792678.0,7207886.0,20191802.0,27735607.0,109.312
2018-04-01,20492491.0,-1149742.0,6153688.0,816073.0,7303430.0,20234333.0,27846860.0,110.156
2018-07-01,20659103.0,-1101058.0,6285799.0,838750.0,7386857.0,20552237.0,28197616.0,110.647
2018-10-01,20813326.0,-1167499.0,6308238.0,863898.0,7475737.0,20965257.0,28967858.0,111.191
2019-01-01,21001590.0,-1183578.0,6402202.0,882150.0,7585780.0,21012126.0,29183513.0,111.502
2019-04-01,21289270.0,-1157557.0,6517310.0,896644.0,7674867.0,20902830.0,29173049.0,112.142
2019-07-01,21505013.0,-1231410.0,6519166.0,894730.0,7750576.0,21656136.0,29618119.0,112.524
2019-10-01,21694457.0,-1213415.0,6588225.0,885343.0,7801640.0,22137825.0,29949988.0,112.947
2020-01-01,21481370.0,-1292522.0,6607485.0,866462.0,7900007.0,22644353.0,31078999.0,113.397
2020-04-01,19477445.0,-5072007.0,7031843.0,832680.0,12103850.0,25518085.0,33863140.0,112.969
2020-07-01,21138576.0,-3582606.0,6669712.0,814220.0,10252318.0,26082393.0,34565020.0,113.984
2020-10-01,21477596.0,-2188277.0,6815286.0,803624.0,9003563.0,26809336.0,34882860.0,114.611
2021-01-01,22038229.0,-4100648.0,7083308.0,795904.0,11183956.0,27175993.0,35152532.0,115.826
2021-04-01,22740959.0,-2483983.0,8209177.0,797117.0,10693160.0,27552754.0,35262884.0,117.546
2021-07-01,23202346.0,-2029969.0,7836498.0,803202.0,9866467.0,27508959.0,35526952.0,119.259
2021-10-01,24008473.0,-1361680.0,7945604.0,830072.0,9307283.0,28553265.0,36072603.0,121.329
