date,Monthly,MA3
2004-01-01,2.44497917757274,2.3747387924113696
2004-02-01,2.35394224732252,2.43031736372757
2004-03-01,2.50952138276158,2.43614760255228
2004-04-01,3.01042546473745,2.62462969827385
2004-05-01,2.5361271210539,2.685357989517643
2004-06-01,2.26764668048854,2.6047330887599633
2004-07-01,2.66641034948082,2.4900613836744196
2004-08-01,2.46896754059959,2.4676748568563163
2004-09-01,2.54830528159249,2.561227723890967
2004-10-01,2.63810619033049,2.55179300417419
2004-11-01,2.46147833167086,2.549296601197947
2004-12-01,2.63551913945919,2.5783678871535134
2005-01-01,2.58159065471626,2.5595293752821036
2005-02-01,2.64284194539281,2.61998391318942
2005-03-01,2.56265396250375,2.5956955208709402
2005-04-01,2.84872995822654,2.684741955374367
2005-05-01,2.47863483412934,2.630006251619877
