date,Mortgage,HE Revolving,Auto Loan,Credit Card,Other,Total,Student Loan,Mortgage Total,Consumer Credit
2019-01-01,9.24,0.41,1.28,0.85,0.4,13.67,1.49,9.65,4.02
2019-04-01,9.41,0.4,1.3,0.87,0.41,13.86,1.48,9.8,4.06
2019-07-01,9.44,0.4,1.32,0.88,0.42,13.95,1.5,9.83,4.12
2019-10-01,9.56,0.39,1.33,0.93,0.43,14.15,1.51,9.95,4.2
2020-01-01,9.71,0.39,1.35,0.89,0.43,14.3,1.54,10.1,4.2
2020-04-01,9.78,0.38,1.34,0.82,0.42,14.27,1.54,10.15,4.11
2020-07-01,9.86,0.36,1.36,0.81,0.42,14.35,1.55,10.22,4.13
2020-10-01,10.04,0.35,1.37,0.82,0.42,14.56,1.56,10.39,4.17
2021-01-01,10.16,0.34,1.38,0.77,0.41,14.64,1.58,10.5,4.15
2021-04-01,10.44,0.32,1.42,0.79,0.42,14.96,1.57,10.76,4.19
2021-07-01,10.67,0.32,1.44,0.8,0.42,15.24,1.58,10.99,4.25
2021-10-01,10.93,0.32,1.46,0.86,0.44,15.58,1.58,11.25,4.33
2022-01-01,11.18,0.32,1.47,0.84,0.44,15.84,1.59,11.5,4.34
2022-04-01,11.39,0.32,1.5,0.89,0.47,16.15,1.59,11.71,4.45
2022-07-01,11.67,0.32,1.52,0.92,0.49,16.51,1.57,11.99,4.51
2022-10-01,11.92,0.34,1.55,0.99,0.51,16.9,1.6,12.26,4.64
2023-01-01,12.04,0.34,1.56,0.99,0.51,17.05,1.6,12.38,4.66
2023-04-01,12.01,0.34,1.58,1.03,0.53,17.06,1.57,12.35,4.71
2023-07-01,12.14,0.35,1.6,1.08,0.53,17.29,1.6,12.49,4.8
2023-10-01,12.25,0.36,1.61,1.13,0.55,17.5,1.6,12.61,4.89
2024-01-01,12.44,0.38,1.62,1.12,0.54,17.69,1.6,12.82,4.87
2024-04-01,12.52,0.38,1.63,1.14,0.54,17.8,1.58,12.9,4.9
2024-07-01,12.59,0.39,1.64,1.17,0.55,17.94,1.61,12.98,4.96
2024-10-01,12.6,0.4,1.66,1.21,0.55,18.04,1.62,13.0,5.03
2025-01-01,12.8,0.4,1.64,1.18,0.54,18.2,1.63,13.21,5.0
2025-04-01,12.94,0.41,1.66,1.21,0.54,18.39,1.64,13.35,5.04
2025-07-01,13.07,0.42,1.66,1.23,0.55,18.58,1.65,13.49,5.09
2025-10-01,13.17,0.43,1.67,1.28,0.56,18.78,1.66,13.6,5.17
