date,A261RC,A4002C,A4102C,A038RC,W271RC,indirect,W056RC,A107RC,A262RC,NDI
1995-10-01,54.666114937655706,30.323154896896796,24.744870760112917,5.578284136783874,12.467343099626122,3.751614157384101,4.003908322038227,0.25229416465412674,8.124002783748692,46.54211215390702
1996-01-01,55.13847549756994,30.447892230758317,24.877117155424504,5.570775075333814,12.771401988649199,3.7715367034833402,4.021851418993404,0.25031471551006335,8.147637523957565,46.99083797361238
1996-04-01,55.78433558213571,30.748550303977588,25.16431582210232,5.584234481875268,13.064184209863301,3.7966747792775672,4.044773667664492,0.24809888838692426,8.174926289017252,47.60940929311846
1996-07-01,56.114292691445605,30.992297337085308,25.399535117797477,5.592762219287835,13.098550976324292,3.8020053798182047,4.046816069442862,0.24481068962465688,8.2214389982178,47.892853693227806
1996-10-01,56.626807211495425,31.168186521094963,25.57974935065742,5.588437170437548,13.357072973067673,3.851045799215097,4.091116706717895,0.2400709075027982,8.250501918117685,48.37630529337774
1997-01-01,57.09861872953789,31.432239306555825,25.851947625960946,5.580291680594879,13.531031326190368,3.838554558726555,4.073617645191487,0.23506308646493274,8.296800376264024,48.801818353273866
1997-04-01,57.672352293491514,31.741326233234734,26.131641476431305,5.609684756803432,13.627516682959397,3.9248555177490863,4.153827936610157,0.22897241886107045,8.378647054412061,49.29370523907946
1997-07-01,58.40771131369438,32.03242346173838,26.38746381390954,5.644959647828838,14.010547839381742,3.9380964288849727,4.163868342379458,0.2257719134944858,8.426643583689291,49.981067730005094
1997-10-01,59.01559708786293,32.533447841358225,26.81926068434872,5.714187157009507,14.035878479982037,3.958613689498314,4.18530942292847,0.22669573343015603,8.487657077024354,50.52794001083858
1998-01-01,59.44176524531056,33.05703634686302,27.26217640050562,5.794859946357396,13.843339285158544,3.9780529458128755,4.2040076737104455,0.2259547278975701,8.563329984402245,50.87843526090832
1998-04-01,60.151143881562135,33.46332730361836,27.593345723593156,5.869981580025195,14.050868380037361,3.9928776679394833,4.225636451918996,0.2327587839795134,8.64407052996694,51.507073351595196
1998-07-01,60.795531493542335,33.79077699829904,27.86724200539226,5.923534992906774,14.298814046334554,4.001477111334837,4.244268094592938,0.24279098325810056,8.70446993802474,52.0910615555176
1998-10-01,61.19231160151374,34.1503579268826,28.174087286902456,5.976270639980145,14.251075614713384,4.00560338576241,4.267246093213893,0.26164270745148216,8.785274674155346,52.4070369273584
1999-01-01,61.890264590420216,34.5463455192978,28.52873463058923,6.0176108887085755,14.466357950228248,4.013004141721095,4.289943255112071,0.27693911339097665,8.864550454822387,53.02571413559783
1999-04-01,62.01868231394648,34.6883066562064,28.630363054374858,6.057943601831542,14.332387948123271,4.03205849890849,4.323922697619431,0.29186419871094116,8.965929210708321,53.05275310323816
1999-07-01,62.42857835468398,34.96494388890749,28.84625013811489,6.118687312115941,14.308072355730314,4.072810679161138,4.371880771574363,0.29907009241322585,9.082757869561702,53.34582048512228
1999-10-01,63.1513094444162,35.512658164421765,29.30865160666598,6.20400655775579,14.315184093294498,4.1101620850697085,4.409652993943962,0.29949090887425367,9.21330510163022,53.93800434278597
2000-01-01,64.24449920196972,36.41310207870502,30.101966834436574,6.311135244268451,14.342084304681478,4.133756168310573,4.418837783650608,0.28508161534003573,9.355562976001346,54.88893622596838
2000-04-01,64.51251377252748,36.367644419120765,30.017028328137492,6.350616090983273,14.549385581044902,4.150449897208857,4.435607038291986,0.2851571410831287,9.44503387515297,55.067479897374525
2000-07-01,64.92712196361494,36.755505500788594,30.334719965347354,6.420785535441238,14.552407270330512,4.137494417357728,4.4223819681832905,0.2848875508255634,9.481720992810923,55.445400970804016
2000-10-01,64.77050626286623,36.70826095070032,30.25808485026851,6.450176100431815,14.462215438218838,4.133135664244028,4.4230432780760935,0.28990761383206537,9.466894209703044,55.303612053163185
2001-01-01,65.28840795510985,37.0348704291459,30.489371016764494,6.545493298903155,14.587523277889922,4.089599045187452,4.427258675627775,0.3376596304403232,9.576421316364819,55.711986638745024
