name,Total,Age2554FT,FT,Age2554PT,PT
2017-05-01,38.6615413533517,42.5645236673411,42.4755140373808,30.5694530468442,27.5534991348594
2017-06-01,38.6952103303739,42.6261153676854,42.4958308137187,30.6371659047732,27.7337176279529
2017-07-01,38.6669318316584,42.5843536010859,42.4483014456134,30.8413376193528,27.7566981353125
2017-08-01,38.648781714498,42.5779181893482,42.417508167645,31.063622252381,27.9570566035554
2017-09-01,38.667841293227,42.6205226440287,42.4822711169816,32.2975754164686,28.9807371253485
2017-10-01,38.7147080630464,42.5495689358356,42.4237235170184,30.942026756892,27.9488897315462
2017-11-01,38.674537057938,42.5528564275556,42.4061894695975,30.8476925717761,27.6613867268085
2017-12-01,38.6998070442812,42.536001123109,42.4338073579753,30.7745171681941,27.7982135979199
2018-01-01,38.6767938364759,42.5221345839099,42.4008643785579,31.516332301588,28.4881587931967
2018-02-01,38.7189658151493,42.5704495847203,42.4628472691941,30.8828337349619,27.7203028231935
2018-03-01,38.6521276689121,42.5446367142913,42.4505596484947,30.7539454242192,27.7645934744991
2018-04-01,38.7271890094171,42.5136707648947,42.4335170152635,30.5630986086199,27.5706910131154
2018-05-01,38.72140148098,42.5531000438767,42.4540502430524,30.5911709763854,27.4985977302253
2018-06-01,38.7213424309556,42.5398750031289,42.4357438264428,30.9745368742626,27.8749266042665
2018-07-01,38.7643060440158,42.5132069408891,42.427518488904,30.969716499003,27.8960206047903
2018-08-01,38.7860859309341,42.5560592455807,42.4652855699238,30.6771041963916,27.6428642031244
2018-09-01,38.7725999056683,42.5715967442563,42.4472958607575,31.2348677376591,28.1398378592456
2018-10-01,38.7453296462934,42.5385636311412,42.435221725883,31.1212130747032,27.9616928331454
2018-11-01,38.7767208228822,42.4710533798271,42.3269469296902,30.0983452960357,26.9779422242941
2018-12-01,38.7543863267467,42.5324718209645,42.4364130289129,30.9301432257515,27.8280309471466
2019-01-01,38.826955885942,42.5313188929563,42.4326901907856,31.0142445988635,27.9564605218013
2019-02-01,38.7835642678283,42.5231076682752,42.4254694263032,31.4965754982269,28.2418935979961
2019-03-01,38.7762898065956,42.5700133356918,42.441318043242,30.9733949785375,27.6581015261101
2019-04-01,38.7559719921391,42.4679698504964,42.3756408702229,30.7800027518338,27.623298694487
2019-05-01,38.8124610670819,42.5794785648554,42.4849826853369,30.9600197778876,27.8852631986147
2019-06-01,38.766484847658,42.5977382585514,42.4728457007656,30.7402672258639,27.7717184491189
2019-07-01,38.7620780456686,42.616847939376,42.4686667070885,30.8904798630344,27.854085402814
2019-08-01,38.7506751436758,42.582483843272,42.4413169029428,30.6029279526704,27.5588066901428
2019-09-01,38.7690368459417,42.5315187478569,42.3994382856599,30.6195087263032,27.5379537524106
2019-10-01,38.8293667291324,42.4988337767083,42.3990980527607,30.543511860313,27.3069739913801
2019-11-01,38.7836900865901,42.4778736648172,42.3268716056008,29.8732266318673,26.5925840382385
2019-12-01,38.7920081424624,42.566462818565,42.4269386559953,31.0914125372313,27.9663298089537
2020-01-01,38.7024452691707,42.516301634407,42.4044710245736,30.7931659552607,27.5232673172864
2020-02-01,38.7061863106215,42.5126388566288,42.4108471381933,30.795133365076,27.5939146811421
2020-03-01,38.6168259468927,42.3323013269786,42.2460589822569,31.4440339111375,28.2756249562787
