date,Real Rate 1-month,Real Rate 1-year,Real Rate 10-year
2002-12-01,-0.42,-0.06,1.69
2003-01-01,-0.5,-0.19,1.49
2003-02-01,-0.61,-0.19,1.47
2003-03-01,-0.35,-0.17,1.22
2003-04-01,-0.2,-0.11,1.31
2003-05-01,0.16,0.08,1.37
2003-06-01,-1.82,-1.22,0.91
2003-07-01,-0.01,-0.09,1.13
2003-08-01,-0.06,0.1,1.75
2003-09-01,-0.26,0.06,1.9
2003-10-01,-0.35,-0.2,1.38
2003-11-01,-0.44,-0.16,1.71
2003-12-01,-1.39,-0.6,1.71
2004-01-01,-0.47,-0.14,1.7
2004-02-01,-0.95,-0.4,1.57
2004-03-01,-0.11,-0.06,1.47
2004-04-01,-0.76,-0.41,1.36
2004-05-01,-1.28,-0.51,1.88
2004-06-01,-2.19,-0.99,1.95
2004-07-01,-1.13,-0.45,1.93
2004-08-01,-1.2,-0.49,1.86
2004-09-01,-2.5,-1.33,1.48
2004-10-01,-0.49,-0.21,1.69
2004-11-01,-0.32,-0.04,1.61
2004-12-01,1.75,1.18,1.91
2005-01-01,0.16,0.34,1.78
2005-02-01,0.53,0.53,1.81
2005-03-01,0.5,0.58,1.98
2005-04-01,0.27,0.48,2.02
2005-05-01,-0.08,0.67,1.79
2005-06-01,0.58,0.83,1.67
2005-07-01,1.18,1.09,1.82
2005-08-01,1.5,1.27,2.01
2005-09-01,3.2,1.98,1.74
2005-10-01,1.19,1.18,1.97
2005-11-01,1.25,1.27,2.08
2005-12-01,0.63,0.87,2.02
2006-01-01,3.07,2.02,2.06
2006-02-01,2.97,2.12,2.2
2006-03-01,5.46,3.25,2.38
2006-04-01,2.93,2.09,2.36
2006-05-01,2.02,2.3,2.41
2006-06-01,2.58,2.38,2.45
2006-07-01,2.33,2.16,2.5
2006-08-01,2.56,2.15,2.3
2006-09-01,3.67,2.77,2.21
2006-10-01,4.05,2.83,2.21
2006-11-01,6.08,3.35,2.2
2006-12-01,5.72,3.45,2.12
2007-01-01,2.78,2.29,2.15
2007-02-01,3.2,2.48,2.29
2007-03-01,2.67,2.08,2.02
2007-04-01,2.69,2.06,2.08
2007-05-01,1.37,1.45,2.03
2007-06-01,0.76,1.09,2.25
2007-07-01,2.45,1.91,2.37
2007-08-01,2.66,2.13,2.13
2007-09-01,2.14,1.81,1.95
2007-10-01,1.74,1.71,1.99
2007-11-01,2.82,2.19,1.83
2007-12-01,1.85,1.49,1.39
2008-01-01,1.12,1.12,1.4
2008-02-01,-0.54,0.3,1.11
2008-03-01,0.67,0.63,1.03
2008-04-01,-0.33,0.07,1.06
2008-05-01,-1.3,-0.38,1.4
2008-06-01,-1.21,-0.36,1.49
2008-07-01,-2.07,-0.82,1.45
2008-08-01,-2.99,-1.47,1.36
2008-09-01,-2.03,-1.02,1.24
2008-10-01,1.83,1.19,1.49
2008-11-01,4.95,2.78,1.63
2008-12-01,5.18,2.55,0.98
2009-01-01,4.07,2.03,0.94
2009-02-01,4.36,2.08,1.04
2009-03-01,6.9,3.25,1.25
2009-04-01,0.77,0.07,0.71
2009-05-01,0.41,0.07,1.02
2009-06-01,1.12,0.49,1.32
2009-07-01,-0.07,-0.1,1.27
2009-08-01,-1.73,-0.97,1.16
2009-09-01,-3.27,-1.89,0.95
2009-10-01,-1.13,-0.81,1
2009-11-01,-1.65,-1.01,1.06
2009-12-01,-1.88,-1.22,0.85
2010-01-01,-1.32,-0.81,1.3
2010-02-01,-1.64,-1.07,1.12
2010-03-01,-2.51,-1.62,1
2010-04-01,-0.68,-0.44,1.31
2010-05-01,-0.67,-0.5,1.23
2010-06-01,-0.25,-0.38,1.02
2010-07-01,0.82,-0.07,0.85
2010-08-01,-0.59,-0.69,0.66
2010-09-01,0.59,-0.14,0.58
2010-10-01,-1.05,-1,0.41
2010-11-01,-1.34,-1.17,0.34
2010-12-01,-1.06,-0.94,0.63
2011-01-01,-1.5,-1.11,0.86
2011-02-01,-1.95,-1.37,0.83
2011-03-01,-2.31,-1.53,0.87
2011-04-01,-2.26,-1.47,0.98
2011-05-01,-3.2,-2.12,0.71
2011-06-01,-2.92,-2.04,0.49
2011-07-01,-3.91,-2.57,0.57
2011-08-01,-1.24,-1.3,0.39
2011-09-01,-0.07,-0.75,0.21
2011-10-01,-1.62,-1.6,0.1
2011-11-01,-1.76,-1.64,0.14
2011-12-01,-2.32,-1.95,0.14
2012-01-01,-1.66,-1.59,0.15
2012-02-01,-1.75,-1.66,0.02
2012-03-01,-1.15,-1.33,0.17
2012-04-01,-2.13,-1.87,0.19
2012-05-01,-1.59,-1.25,-0.09
2012-06-01,0.64,-0.36,-0.05
2012-07-01,-1,-1.21,-0.05
2012-08-01,-0.94,-1.17,-0.06
2012-09-01,-2.64,-2.12,-0.17
2012-10-01,-1.82,-1.68,-0.09
2012-11-01,-1.76,-1.52,-0.01
2012-12-01,-3.27,-2.49,-0.17
2013-01-01,-0.76,-1.12,0.08
2013-02-01,-0.55,-0.95,0.17
2013-03-01,0.34,0.49,0.05
2013-04-01,-1.08,-0.77,-0.02
2013-05-01,-0.47,-0.51,-0.02
2013-06-01,-0.7,-0.68,0.23
2013-07-01,0.47,-0.17,0.55
2013-08-01,-2.06,-1.57,0.48
2013-09-01,-3.28,-1.36,0.54
2013-10-01,-1.05,-1.08,0.49
2013-11-01,-0.92,-1.02,0.49
2013-12-01,-2.49,-1.91,0.42
2014-01-01,-1.55,-1.35,0.68
2014-02-01,-1.56,-1.4,0.51
2014-03-01,-0.43,-0.87,0.58
2014-04-01,-1.58,-1.32,0.7
2014-05-01,-1.95,-1.52,0.63
2014-06-01,-1.25,-1.19,0.62
2014-07-01,-2.33,-1.78,0.59
2014-08-01,-1.7,-1.32,0.65
2014-09-01,-2.78,-1.97,0.58
2014-10-01,-1.15,-1.11,0.7
2014-11-01,-0.04,-0.35,0.71
2014-12-01,-2.87,-2.5,0.38
2015-01-01,2.17,1.12,0.71
2015-02-01,3.28,1.54,0.54
2015-03-01,2.05,0.92,0.75
2015-04-01,-0.87,-0.83,0.41
2015-05-01,-1.24,-0.99,0.53
2015-06-01,-1.57,-1.18,0.55
2015-07-01,-1.69,-1.26,0.67
2015-08-01,-1.57,-1.3,0.55
2015-09-01,-2.18,-1.75,0.51
2015-10-01,-0.45,-0.85,0.53
2015-11-01,-0.39,-0.74,0.67
2015-12-01,-0.7,-0.73,0.65
2016-01-01,-0.78,-0.87,0.73
2016-02-01,0.34,-0.21,0.54
2016-03-01,1.37,0.2,0.55
2016-04-01,-1.18,-1.19,0.35
2016-05-01,-1.3,-1.17,0.41
2016-06-01,-0.01,-0.55,0.52
2016-07-01,-1.6,-1.5,0.17
2016-08-01,-1.51,-1.42,0.23
2016-09-01,-2.9,-2.2,0.22
2016-10-01,-1.95,-1.65,0.29
2016-11-01,-2.44,-1.88,0.35
2016-12-01,-3.28,-2.25,0.7
2017-01-01,-2.13,-1.37,0.73
2017-02-01,-1.68,-1.18,0.77
2017-03-01,0.22,-0.16,0.92
2017-04-01,-0.42,-0.56,0.77
2017-05-01,-0.06,-0.41,0.78
2017-06-01,1.82,0.68,0.74
2017-07-01,-0.39,-0.44,0.73
2017-08-01,-0.19,-0.37,0.67
2017-09-01,-1.34,-1.02,0.57
2017-10-01,-1.01,-0.84,0.73
2017-11-01,-1.28,-0.98,0.75
2017-12-01,-3.65,-2.82,0.57
2018-01-01,-0.53,-0.78,0.87
2018-02-01,-1,-0.83,1.09
2018-03-01,0.65,1.34,1.03
2018-04-01,0.28,0.78,1.01
2018-05-01,0.02,0.44,1.22
2018-06-01,1.2,0.76,1.25
2018-07-01,-0.32,-0.13,1.16
2018-08-01,-0.26,-0.11,1.26
2018-09-01,-1.08,-0.68,1.13
2018-10-01,-0.23,-0.18,1.3
2018-11-01,0.15,0.12,1.31
2018-12-01,0.85,0.48,1.25
2019-01-01,1.26,0.6,1.04
2019-02-01,1.26,0.57,1.07
2019-03-01,2.27,5.7,0.52
2019-04-01,0.15,3.12,0.42
2019-05-01,-0.29,1.87,0.54
2019-06-01,1.21,1.85,0.42
2019-07-01,0.58,1.05,0.44
2019-08-01,0.51,0.65,0.42
2019-09-01,0.44,0.28,0.24
2019-10-01,0.03,-0.04,0.37
2019-11-01,-0.12,-0.22,0.43
2019-12-01,-0.11,-0.29,0.51
2020-01-01,-0.53,-0.6,0.51
2020-02-01,-0.22,-0.54,0.32
2020-03-01,2.85,3.35,-0.13
2020-04-01,4.36,3.24,-0.11
2020-05-01,4.66,2.88,-0.03
2020-06-01,2.48,1.42,-0.15
2020-07-01,-0.94,-0.74,-0.35
2020-08-01,-1.65,-1.24,-0.41
2020-09-01,-1.58,-1.32,-0.34
2020-10-01,-1.16,-1.2,-0.29
2020-11-01,-1.33,-1.35,-0.21
2020-12-01,-2.14,-1.84,-0.23
2021-01-01,-1.63,-1.61,-0.24
2021-02-01,-2.38,-2.03,-0.23
2021-03-01,-1.47,-1.5,0.01
2021-04-01,-1.73,-1.53,0.12
2021-05-01,-2.18,-1.7,0.04
2021-06-01,-2.57,-1.92,-0.01
2021-07-01,-2.75,-2.02,0.04
2021-08-01,-4.37,-3.21,-0.26
2021-09-01,-5.16,-3.47,-0.19
2021-10-01,-2.15,-1.84,0.09
2021-11-01,-3.83,-2.6,0.16
2021-12-01,-4.45,-2.93,0.09
2022-01-01,-3.27,-2.23,0.32
2022-02-01,-4.13,-2.65,0.44
2022-03-01,-4.82,-3,0.35
2022-04-01,-5.6,-3.29,0.95
2022-05-01,-5.86,-3.26,1.2
2022-06-01,-7.1,-3.97,1.03
2022-07-01,-3.55,-1.4,1.06
2022-08-01,-3.06,-1.47,0.86
2022-09-01,-5.06,-2.59,1.2
2022-10-01,-0.37,0.03,1.8
2022-11-01,-0.45,0.25,1.93
2022-12-01,0.84,0.83,1.58
2023-01-01,1.82,1.36,1.78
2023-02-01,1.98,1.43,1.42
2023-03-01,4.15,2.6,2.06
2023-04-01,1.85,1.25,1.44
2023-05-01,1.61,1.15,1.54
2023-06-01,6,8.01,1.06
2023-07-01,2.85,5.1,1.43
2023-08-01,3.1,4.31,1.6
2023-09-01,2.49,3.32,1.7
2023-10-01,3.01,3.18,2.08
2023-11-01,2.91,2.78,2.09
2023-12-01,1.54,1.63,1.68
2024-01-01,3.51,2.51,1.68
2024-02-01,3.46,2.4,1.62
2024-03-01,4.83,3.04,1.93
2024-04-01,2.95,2.08,1.94
2024-05-01,2.43,1.95,2.1
2024-06-01,3.15,2.32,2
2024-07-01,3.59,2.51,2.05
2024-08-01,3.83,2.54,1.66
2024-09-01,3.82,2.45,1.58
2024-10-01,3.15,2.21,1.48
2024-11-01,2.76,2.05,1.96
2024-12-01,2.09,1.59,1.82
2025-01-01,2.07,1.64,2.06
2025-02-01,1.59,1.34,2.03
2025-03-01,3.35,2.26,1.86
2025-04-01,0.98,0.87,1.67
2025-05-01,1.58,1.2,1.67
2025-06-01,2.55,1.72,1.87
2025-07-01,1.05,0.84,1.66
2025-08-01,1.42,1.52,1.57
2025-09-01,1.02,1.15,1.57
2025-10-01,0.91,0.97,1.55
2025-11-01,1.14,1,1.61
2025-12-01,-0.64,-0.14,1.46
2026-01-01,1.14,0.86,1.67
2026-02-01,1.24,0.97,1.75
