date,Mortgages,Consumer Credit,Total,Other
2001-04-01,65.54218336918244,23.101329863093227,99.47952872095404,10.836015488678365
2001-07-01,65.98862799784044,22.977931142611776,100.52916271268997,11.562603572237743
2001-10-01,68.54894718474083,24.353865184395058,103.85338610829939,10.950573739163495
2002-01-01,68.56847328546117,23.643385211931932,102.9627477058203,10.7508892084272
2002-04-01,69.70209740543308,23.702917396807965,103.73468124720269,10.32966644496164
2002-07-01,71.62888327073279,23.9630756989918,105.7892029080711,10.197243938346535
2002-10-01,73.24527164424461,24.2527463665961,107.65118253828689,10.153164527446178
2003-01-01,74.83248610125759,23.98759957584732,109.18392093288506,10.363835255780149
2003-04-01,76.90210640535692,24.05673397708939,112.33827175770152,11.379431375255217
2003-07-01,77.92312960921008,23.926595098595453,112.66848258682195,10.81875787901641
2003-10-01,79.71529079891383,24.242786154535178,114.79450317685297,10.836426223403974
2004-01-01,80.7472339485303,23.877500465540603,115.63755144437175,11.012817030300868
2004-04-01,82.41191198470861,23.6762934301373,117.23184726883402,11.1436418539881
2004-07-01,84.137806977436,23.949790817197453,118.93627361555302,10.848675820919569
2004-10-01,85.13225200055375,24.048879869718387,120.32254318654842,11.14141131627628
2005-01-01,88.18405164265712,24.037963205021065,123.3786284397859,11.156613592107691
2005-04-01,89.90623558618772,23.951420135020843,125.02178266006914,11.164126938860592
2005-07-01,91.72777013026563,24.082898397595166,126.9904117004082,11.17974317254743
2005-10-01,92.97477864616236,24.132380623462772,128.05555442895385,10.948395159328705
2006-01-01,93.70161995229701,23.70631844982237,128.53099492231658,11.123056520197212
2006-04-01,95.60944524252662,23.531293990775005,130.52026389858116,11.379524665279547
2006-07-01,97.11832331882843,23.930029125587346,132.58411936032866,11.535766915912893
2006-10-01,97.56582361388622,24.113226107209176,133.75689311148693,12.077843390391529
2007-01-01,97.92341397257977,23.55940301977431,133.3741281342297,11.891311141875624
2007-04-01,98.51825576261137,23.606409328176383,134.47462724091227,12.349962150124519
2007-07-01,99.51815360297797,24.176536304604348,135.7719461578537,12.077256250271388
2007-10-01,99.34724321504059,24.39950461883561,136.03284588437646,12.28609805050025
2008-01-01,99.04090505141487,24.09226066745912,135.82294261337447,12.689776894500485
2008-04-01,96.09522852599221,23.57166251250454,131.56135358190903,11.894462543412276
2008-07-01,96.75544948116182,24.010347702417736,133.88046106034435,13.11466387676479
2008-10-01,96.57881804749586,24.13990171244453,132.26891367068464,11.55019391074426
2009-01-01,97.44217926477728,23.75145444311066,132.58188411070995,11.388250402822004
2009-04-01,96.26325468667612,23.264166223767525,131.16198206698863,11.634561156544978
2009-07-01,96.2513851200939,23.478781189747963,131.83010563800312,12.099939328161248
2009-10-01,94.89264063921308,23.220505451147787,130.50304368361466,12.389897593253794
2010-01-01,92.64305419492028,22.400639531273963,128.07311911934883,13.02942539315458
2010-04-01,90.39540533790587,21.872414818632457,125.18973366950803,12.921913512969706
2010-07-01,88.96329515073505,21.91308707178048,123.52939786416792,12.653015641652397
2010-10-01,86.58023211724674,22.93385601188937,122.1773226454684,12.663234516332286
2011-01-01,84.70076305705575,22.369885639319662,119.77503715534807,12.70438845897267
2011-04-01,83.55661961757984,22.41771930281142,118.49616873453492,12.521829814143667
2011-07-01,82.35043304731467,22.626839421138765,117.3381707979606,12.360898329507176
2011-10-01,81.43719671175181,22.937951996183756,116.57728447637705,12.202135768441474
2012-01-01,78.88719812916679,22.284914012366034,113.2474406828288,12.075328541295985
2012-04-01,77.45695882209496,22.398670239792533,111.73950204307432,11.883872981186824
2012-07-01,77.32171432544335,22.964098960665044,112.2594862708194,11.973672984711
2012-10-01,74.33108375102198,22.7029203002526,108.37585041303828,11.341846361763693
2013-01-01,76.70538981389574,23.556075507550094,112.17643242040634,11.91496709896053
2013-04-01,75.77835234369944,23.737608433101638,111.43959449185463,11.923633715053557
2013-07-01,75.23353853282364,24.10884770048003,111.01032266728787,11.66793643398419
2013-10-01,74.54275166934376,24.411443520750336,111.58509358080208,12.63089839070799
2014-01-01,72.93644027431394,24.04328353446381,109.64889036953315,12.669166560755404
2014-04-01,71.49449318358162,24.122987155043923,108.22684224293944,12.609361904313886
2014-07-01,70.52983007824967,24.381689732421606,106.66534495030292,11.75382513963166
2014-10-01,69.68688085176164,24.568574148352305,105.85018970540561,11.594734705291655
2015-01-01,68.79526674231737,24.32919461420897,104.74888317115023,11.624421814623886
2015-04-01,68.53988423961778,24.66091266981745,104.90437481026748,11.703577900832263
2015-07-01,68.28043994316418,25.077746628758746,104.92143799654761,11.563251424624692
2015-10-01,68.38523385346234,24.494763795194558,104.47373281768994,11.593735169033044
2016-01-01,67.7653787257688,24.383787298419726,103.72176171901211,11.57259569482359
2016-04-01,67.82336588325914,24.730901716380686,104.2135370732068,11.659269473566958
2016-07-01,67.76488712027682,25.118025141178116,104.56412540658746,11.681213145132526
2016-10-01,67.43875067534252,25.3899182271751,104.24311995465551,11.414451052137904
2017-01-01,66.71985194274961,24.955172181030285,103.03484643748239,11.359822313702482
2017-04-01,66.36063564071249,25.004175557548958,102.83426662136695,11.469455423105515
2017-07-01,66.29106335280679,25.219016543895698,102.87918444676987,11.369104550067396
2017-10-01,66.09574662482979,25.5012253829176,103.13019015320032,11.533218145452937
2018-01-01,65.21281222193882,24.995887360934237,101.71141405552802,11.502714472654981
2018-04-01,64.85376813448242,24.902791570746988,101.1627123426983,11.40615263746888
2018-07-01,64.54794650608156,25.037770766858245,100.82332699143353,11.237609718493722
2018-10-01,63.994307474753725,25.129101207256593,100.17436541218349,11.050956730173167
2019-01-01,63.20974922044382,24.679924605059778,98.88414524628747,10.994471420783878
2019-04-01,63.35471086049577,24.884951139200968,99.54697140917206,11.307309409475323
2019-07-01,63.22338414228312,25.0560568391774,99.7060809314521,11.426639949991602
2019-10-01,63.009814115697495,25.214281555631043,99.8708668987173,11.64677122738878
2020-01-01,62.661565945597005,24.71221310305814,99.27556613803584,11.901787089380685
2020-04-01,57.57808389572337,22.290812749510735,90.65540959924158,10.786512954007463
2020-07-01,60.36067640547999,23.29738870313925,95.12808139108851,11.470016282469267
2020-10-01,62.297667875164635,24.000884364724172,98.51878084989055,12.220228610001751
2021-01-01,56.08387226191528,21.275781790429928,88.61041203434173,11.250757981996532
2021-04-01,61.33558823217236,23.30289245432473,96.89798036244338,12.25949967594629
2021-07-01,62.53046358382588,23.686175010217326,98.70880494503393,12.492166350990724
2021-10-01,63.764088602669176,24.138114380857637,100.6704107161117,12.768207732584882
2022-01-01,65.17341685306911,24.554456774800713,102.79800358603565,13.070129958165847
2022-04-01,65.83788454411808,24.923660106053383,103.57181251884538,12.810267868673908
2022-07-01,65.7679458089857,24.988396142741724,103.42384119570843,12.667499243981009
2022-10-01,65.56918595721719,25.154897856612504,102.99801031457466,12.273926500744958
2023-01-01,63.833337735163525,24.358332975578406,100.02766524784973,11.835994537107783
