date,Ten-year,Five-year
2018-01-01,0.54,0.445238
2018-02-01,0.757368,0.634211
2018-03-01,0.751905,0.608095
2018-04-01,0.741429,0.652381
2018-05-01,0.835909,0.715
2018-06-01,0.794762,0.708095
2018-07-01,0.774762,0.735238
2018-08-01,0.79,0.785217
2018-09-01,0.881053,0.885263
2018-10-01,1.04091,1.01318
2018-11-01,1.113,1.1025
2018-12-01,1.01632,1.08
2019-01-01,0.92,0.908095
2019-02-01,0.799474,0.730526
2019-03-01,0.658095,0.556667
2019-04-01,0.595714,0.494762
2019-05-01,0.568636,0.479545
2019-06-01,0.374,0.276
2019-07-01,0.306364,0.248636
2019-08-01,0.04,0.106364
2019-09-01,0.1125,0.1715
2019-10-01,0.145909,0.122727
2019-11-01,0.171579,0.0910526
2019-12-01,0.144762,0.0609524
2020-01-01,0.0366667,-0.09
2020-02-01,-0.111579,-0.257368
2020-03-01,-0.116818,-0.0827273
2020-04-01,-0.445714,-0.370476
2020-05-01,-0.4415,-0.4255
2020-06-01,-0.544545,-0.669545
2020-07-01,-0.832727,-1.03455
2020-08-01,-1.01143,-1.28381
2020-09-01,-0.976667,-1.26286
2020-10-01,-0.916667,-1.22524
2020-11-01,-0.842105,-1.23737
2020-12-01,-0.982273,-1.47955
2021-01-01,-1.00053,-1.65789
2021-02-01,-0.922105,-1.76895
2021-03-01,-0.664348,-1.67391
2021-04-01,-0.714545,-1.66773
2021-05-01,-0.847,-1.83
2021-06-01,-0.823636,-1.62591
2021-07-01,-1.00905,-1.73238
2021-08-01,-1.06545,-1.72136
2021-09-01,-0.969524,-1.63286
2021-10-01,-0.9525,-1.639
2021-11-01,-1.0565,-1.78
2021-12-01,-0.993182,-1.51955
2022-01-01,-0.6855,-1.2585
2022-02-01,-0.523684,-1.05895
2022-03-01,-0.718696,-1.30174
2022-04-01,-0.1365,-0.538
2022-05-01,0.209524,-0.152857
2022-06-01,0.525714,0.296667
2022-07-01,0.534,0.38
2022-08-01,0.389565,0.343478
2022-09-01,1.13667,1.24619
2022-10-01,1.59,1.7075
2022-11-09,1.7,1.74
