date,SLGAssets,SLGWealth,SLGLiab,SLGHousing,FedAssets,FedWealth,FedLiab,FedLiabROW,FedLiabDomCurr,FedLiabPrivDom,FedHousing,GGAssets,GGWealth,GGLiab
1996-07-01,55.427325747275255,29.874223504711605,25.553102242563654,1.4915498029369576,28.349715080094366,-39.75516909248682,68.10488417258118,12.322650640577868,68.01815872478666,55.78223353200331,0.7783276893743372,83.77704082736963,-9.880945587775205,93.65798641514483
1996-10-01,55.33557770548361,30.424693372249667,24.910884333233934,1.485622301150964,27.837394039132562,-39.989752742539714,67.82714678167227,12.953301005560567,67.74185386011307,54.87384577611171,0.7719221271388759,83.17297174461616,-9.565059370290047,92.73803111490622
1997-01-01,55.50643904358126,30.596957545181525,24.909481498399728,1.4851383920537198,27.832488605592363,-39.91892526954658,67.75141387513894,13.403781454573934,67.67015977581282,54.34763242056499,0.7672802477203711,83.33892764917363,-9.321967724365049,92.66089537353866
1997-04-01,55.57177192864039,32.12358511883975,23.448186809800646,1.4783728976707469,27.23572793196245,-38.664264144409586,65.89999207637204,13.407799784594706,65.82015712260787,52.49219229177733,0.7590366042265219,82.80749986060285,-6.540679025569841,89.34817888617268
1997-07-01,55.45740689842099,33.01584252616035,22.441564372260636,1.467523923783275,27.636025808215177,-37.4316432414699,65.06766904968508,13.682029518553016,64.99045403559556,51.38563953113206,0.753588062459547,83.09343270663616,-4.4158007153095475,87.50923342194571
1997-10-01,55.83962960136356,33.21235326817864,22.627276333184916,1.4706863762072766,27.143808393130342,-37.73315185753168,64.87696025066202,13.478137516174883,64.80154306907431,51.39882273448715,0.753156518772102,82.9834379944939,-4.520798589353047,87.50423658384693
1998-01-01,56.27180121085256,34.70311780999901,21.56868340085355,1.46980537936137,27.179534606743598,-37.43714529328437,64.61667990002798,13.367897970784348,64.54286255650496,51.24878192924363,0.7488089974826538,83.45133581759616,-2.7340274832853626,86.18536330088152
1998-04-01,56.51545274819144,34.6701043145372,21.84534843365424,1.4679087893584835,27.135347574093622,-36.03135400641649,63.16670158051012,13.222182817951861,63.09396781318972,49.94451876255825,0.7464464526624583,83.65080032228505,-1.3612496918792927,85.01205001416436
1998-07-01,56.51536213242772,32.88238245903974,23.632979673387972,1.4686172068995649,26.58455446751635,-35.41387620370664,61.99843067122299,12.586194401835657,61.92476628633595,49.412236269387336,0.7440771652795711,83.09991659994407,-2.531493744666897,85.63141034461096
1998-10-01,56.80571457407264,35.07784761142979,21.727866962642853,1.464785149888783,25.909267611728914,-35.43970507395585,61.348972685684764,12.819831652516125,61.274741927337786,48.529141033168635,0.7390366528222375,82.71498218580156,-0.3618574625260558,83.07683964832762
