date,ICS_ALL
2006-09-01,85.4
2006-10-01,93.6
2006-11-01,92.1
2006-12-01,91.7
2007-01-01,96.9
2007-02-01,91.3
2007-03-01,88.4
2007-04-01,87.1
2007-05-01,88.3
2007-06-01,85.3
2007-07-01,90.4
2007-08-01,83.4
2007-09-01,83.4
2007-10-01,80.9
2007-11-01,76.1
2007-12-01,75.5
2008-01-01,78.4
2008-02-01,70.8
2008-03-01,69.5
2008-04-01,62.6
2008-05-01,59.8
2008-06-01,56.4
2008-07-01,61.2
2008-08-01,63.0
2008-09-01,70.3
2008-10-01,57.6
2008-11-01,55.3
2008-12-01,60.1
2009-01-01,61.2
2009-02-01,56.3
2009-03-01,57.3
2009-04-01,65.1
2009-05-01,68.7
2009-06-01,70.8
2009-07-01,66.0
2009-08-01,65.7
2009-09-01,73.5
2009-10-01,70.6
2009-11-01,67.4
2009-12-01,72.5
2010-01-01,74.4
2010-02-01,73.6
2010-03-01,73.6
2010-04-01,72.2
2010-05-01,73.6
2010-06-01,76.0
2010-07-01,67.8
2010-08-01,68.9
2010-09-01,68.2
2010-10-01,67.7
2010-11-01,71.6
2010-12-01,74.5
2011-01-01,74.2
2011-02-01,77.5
2011-03-01,67.5
2011-04-01,69.8
2011-05-01,74.3
2011-06-01,71.5
2011-07-01,63.7
2011-08-01,55.8
2011-09-01,59.5
2011-10-01,60.8
2011-11-01,63.7
2011-12-01,69.9
2012-01-01,75.0
2012-02-01,75.3
2012-03-01,76.2
2012-04-01,76.4
2012-05-01,79.3
2012-06-01,73.2
2012-07-01,72.3
2012-08-01,74.3
2012-09-01,78.3
2012-10-01,82.6
2012-11-01,82.7
2012-12-01,72.9
2013-01-01,73.8
2013-02-01,77.6
2013-03-01,78.6
2013-04-01,76.4
2013-05-01,84.5
2013-06-01,84.1
2013-07-01,85.1
2013-08-01,82.1
2013-09-01,77.5
2013-10-01,73.2
2013-11-01,75.1
2013-12-01,82.5
2014-01-01,81.2
2014-02-01,81.6
2014-03-01,80.0
2014-04-01,84.1
2014-05-01,81.9
2014-06-01,82.5
2014-07-01,81.8
2014-08-01,82.5
2014-09-01,84.6
2014-10-01,86.9
2014-11-01,88.8
2014-12-01,93.6
2015-01-01,98.1
2015-02-01,95.4
2015-03-01,93.0
2015-04-01,95.9
2015-05-01,90.7
2015-06-01,96.1
2015-07-01,93.1
2015-08-01,91.9
2015-09-01,87.2
2015-10-01,90.0
2015-11-01,91.3
2015-12-01,92.6
2016-01-01,92.0
2016-02-01,91.7
2016-03-01,91.0
2016-04-01,89.0
2016-05-01,94.7
2016-06-01,93.5
2016-07-01,90.0
2016-08-01,89.8
2016-09-01,91.2
2016-10-01,87.2
2016-11-01,93.8
2016-12-01,98.2
2017-01-01,98.5
2017-02-01,96.3
2017-03-01,96.9
2017-04-01,97.0
2017-05-01,97.1
2017-06-01,95.0
2017-07-01,93.4
2017-08-01,96.8
2017-09-01,95.1
2017-10-01,100.7
2017-11-01,98.5
2017-12-01,95.9
2018-01-01,95.7
2018-02-01,99.7
2018-03-01,101.4
2018-04-01,98.8
2018-05-01,98.0
2018-06-01,98.2
2018-07-01,97.9
2018-08-01,96.2
2018-09-01,100.1
2018-10-01,98.6
2018-11-01,97.5
2018-12-01,98.3
2019-01-01,91.2
2019-02-01,93.8
2019-03-01,98.4
2019-04-01,97.2
2019-05-01,100.0
2019-06-01,98.2
2019-07-01,98.4
2019-08-01,89.8
2019-09-01,93.2
2019-10-01,95.5
2019-11-01,96.8
2019-12-01,99.3
2020-01-01,99.8
2020-02-01,101.0
2020-03-01,89.1
