date,Noncorporate Assets,Noncorporate Debt,Noncorporate Liabilities,Noncorporate Net Worth,Noncorporate GVA,Corporate Assets,Corporate Debt,Corporate Liabilities,Corporate Net Worth,Corporate GVA
2007-10-01,539.0902244490229,148.54724667540737,209.86693825310607,329.22328619591684,100.0,457.76215261207403,91.2659821348732,184.78148967895987,272.98066293311416,100.0
2008-01-01,533.5039470202249,154.36358291122946,218.2884488807618,315.2154981394631,100.0,441.10986204465456,92.96519190445889,188.710262787952,252.3995992567026,100.0
2008-04-01,526.6059205889263,155.77758634192185,219.7807580859895,306.8251233456026,100.0,441.1141920294658,94.61995240948873,191.07101382907513,250.04317820039068,100.0
2008-07-01,510.1929722163198,155.61450744073292,219.75920067596567,290.4337715403541,100.0,418.04783198063194,93.5547439989004,189.82381672607787,228.22401525455405,100.0
2008-10-01,505.9458596451097,161.03763483463837,227.3302341486227,278.61566453231757,100.0,409.4630617955125,95.25117748038174,199.7600349160129,209.70302687949962,100.0
2009-01-01,508.7597903121009,166.80082287525016,236.22716811354346,272.5326221985574,100.0,418.8480137106748,99.52786852516806,209.6590206710593,209.18899303961553,100.0
2009-04-01,506.7357607175496,172.53086458910863,245.28950525733075,261.44625546021894,100.0,408.1343602515567,99.61225196078131,208.28795350766498,199.8464067438917,100.0
2009-07-01,501.9249649175557,171.63497973085012,245.0886486399377,256.83631627761804,100.0,413.6184696806969,97.62169228983181,204.72708164273726,208.89138803795956,100.0
2009-10-01,476.43063266683214,164.74490894659445,236.19070863525516,240.23996505124381,100.0,401.8084947745741,92.853614086851,198.82856209440484,202.97993268016933,100.0
2010-01-01,466.0646288098113,159.8424672262176,229.0150252148981,237.04960359491324,100.0,402.1869302379657,91.31454385929642,197.06174478962745,205.12519950677387,100.0
2010-04-01,467.9390544602553,155.85415689937852,223.29573731187864,244.64331714837667,100.0,399.3267215009929,88.87892934779602,197.0112757001333,202.31544580085958,100.0
2010-07-01,466.22673318028296,153.28105071567347,219.4007253589875,246.82600782129546,100.0,398.8641229016696,87.54218014449098,193.40749073955942,205.45663216211017,100.0
2010-10-01,458.3475235868063,149.43215871893779,213.7105398193568,244.63698376744952,100.0,381.88697045846425,86.75653243475668,192.73960093430077,189.1473560195849,100.0
2011-01-01,451.1720815052876,145.84238624942006,209.19158654146622,241.9804582007104,100.0,387.9511603013447,86.38322383426093,192.36162705178663,195.5895332495581,100.0
2011-04-01,443.982666723382,142.3476056618288,204.85878952563112,239.12387719775091,100.0,380.0063723210212,85.5742858289173,189.32284679651687,190.68352552450435,100.0
2011-07-01,443.46329401794674,140.54862753721912,202.9523191429639,240.5109748749828,100.0,365.38092838127733,85.91067690160502,191.47302990359515,173.9078855547802,100.0
2011-10-01,443.22775214925684,138.5399292042777,200.36351790932508,242.86419890919893,100.0,372.6757856440385,86.90243165587859,192.87350632821892,179.8022793158196,100.0
2012-01-01,431.38788962058356,135.4322071984256,195.8886465107466,235.49920890784136,100.0,368.88688884989216,84.95291975877383,188.33258487885647,180.5543039710357,100.0
2012-04-01,441.1307266331382,137.57653832412674,198.9196347596669,242.21109187347128,100.0,365.0793515724545,84.83141120600479,189.05372781216872,176.0256360926824,100.0
2012-07-01,461.279307997974,142.05697489899117,205.37358779842396,255.9057201995501,100.0,374.77915171381636,86.89750277600001,191.9602954629576,182.81885625085877,100.0
2012-10-01,447.66968312101164,137.58407086191164,198.78627998496592,248.8834031360457,100.0,369.8839125093877,86.93394734339735,190.54780603957687,179.33611859864428,100.0
2013-01-01,452.081465837367,137.9425399108569,199.84411198028798,252.23735385707906,100.0,371.98821326683225,86.44507713746864,190.18507888434357,181.8031343824887,100.0
