date,RXI$US_N.B.AL,RXI$US_N.B.EU,RXI$US_N.B.UK,RXI_N.B.CA,RXI_N.B.CH,RXI_N.B.JA,RXI_N.B.MX,JRXWTFB_N.B,JRXWTFN_N.B,JRXWTFO_N.B
1989-06-06,0.7528,,1.571,1.2018,3.7314,142.95,,,,
1989-06-07,0.7574,,1.5815,1.1973,3.7314,142.5,,,,
1989-06-08,0.7518,,1.573,1.1976,3.7314,143.4,,,,
1989-06-09,0.745,,1.554,1.2,3.7314,146.15,,,,
1989-06-12,0.7395,,1.5251,1.2027,3.7314,148.8,,,,
1989-06-13,0.7423,,1.5155,1.201,3.7314,149.2,,,,
1989-06-14,0.7422,,1.5145,1.1992,3.7314,149.05,,,,
1989-06-15,0.748,,1.5195,1.1993,3.7314,149.62,,,,
1989-06-16,0.7527,,1.534,1.1975,3.7314,145.55,,,,
1989-06-19,0.754,,1.548,1.199,3.7314,144.45,,,,
1989-06-20,0.7573,,1.5495,1.1994,3.7314,144.07,,,,
1989-06-21,0.769,,1.547,1.197,3.7314,143.85,,,,
1989-06-22,0.776,,1.553,1.1923,3.7314,141.07,,,,
1989-06-23,0.772,,1.567,1.1913,3.7318,138.5,,,,
1989-06-26,0.772,,1.5448,1.194,3.7314,140.82,,,,
1989-06-27,0.7651,,1.566,1.1942,3.7314,141.1,,,,
1989-06-28,0.7573,,1.5555,1.1967,3.7314,142.8,,,,
1989-06-29,0.7558,,1.552,1.1953,3.7314,143.4,,,,
1989-06-30,0.7557,,1.549,1.1985,3.7314,144.0,,,,
1989-07-03,0.7655,,1.5774,1.1948,3.7314,141.25,,,,
1989-07-04,,,,,,,,,,
1989-07-05,0.7696,,1.619,1.1915,3.7314,138.9,,,,
1989-07-06,0.765,,1.6215,1.1919,3.7314,139.4,,,,
1989-07-07,0.7663,,1.6235,1.191,3.7314,139.8,,,,
1989-07-10,0.7643,,1.6405,1.1886,3.7314,139.0,,,,
1989-07-11,0.7584,,1.6265,1.1903,3.7314,140.3,,,,
1989-07-12,0.7611,,1.625,1.1901,3.7314,139.85,,,,
1989-07-13,0.7552,,1.6235,1.193,3.7314,139.45,,,,
1989-07-14,0.7557,,1.6125,1.1918,3.7314,140.5,,,,
1989-07-17,0.757,,1.6138,1.191,3.7314,141.55,,,,
1989-07-18,0.756,,1.625,1.1911,3.7314,141.3,,,,
1989-07-19,0.747,,1.619,1.1892,3.7314,141.95,,,,
1989-07-20,0.7503,,1.6265,1.1876,3.7314,141.45,,,,
1989-07-21,0.7493,,1.62,1.188,3.7314,141.92,,,,
1989-07-24,0.7465,,1.6173,1.1888,3.7314,143.18,,,,
1989-07-25,0.7487,,1.6258,1.188,3.7314,142.55,,,,
1989-07-26,0.7546,,1.6495,1.187,3.7314,140.65,,,,
1989-07-27,0.7567,,1.6598,1.1832,3.7314,138.95,,,,
1989-07-28,0.748,,1.6445,1.185,3.7314,139.58,,,,
1989-07-31,0.7563,,1.666,1.1809,3.7314,136.95,,,,
1989-08-01,0.7611,,1.6545,1.1747,3.7314,136.82,,,,
1989-08-02,0.7694,,1.6628,1.1757,3.7314,136.15,,,,
1989-08-03,0.7661,,1.6415,1.1718,3.7314,136.95,,,,
1989-08-04,0.7649,,1.6145,1.177,3.7314,139.45,,,,
1989-08-07,0.7648,,1.6073,1.174,3.7314,139.5,,,,
1989-08-08,0.7696,,1.6255,1.1722,3.7314,138.8,,,,
1989-08-09,0.768,,1.6177,1.1713,3.7314,139.25,,,,
1989-08-10,0.7641,,1.6275,1.1724,3.7314,139.08,,,,
1989-08-11,0.759,,1.585,1.176,3.7314,141.94,,,,
1989-08-14,0.7604,,1.5835,1.178,3.7314,141.7,,,,
1989-08-15,0.7546,,1.5725,1.1826,3.7314,142.19,,,,
1989-08-16,0.7573,,1.5785,1.179,3.7314,142.15,,,,
1989-08-17,0.7555,,1.559,1.1825,3.7314,143.8,,,,
1989-08-18,0.7756,,1.5685,1.184,3.7314,145.85,,,,
1989-08-21,0.7613,,1.578,1.1745,3.7314,142.42,,,,
1989-08-22,0.7657,,1.5845,1.1729,3.7314,142.58,,,,
1989-08-23,0.7655,,1.5705,1.1762,3.7314,143.23,,,,
1989-08-24,0.76,,1.5697,1.1768,3.7314,143.34,,,,
1989-08-25,0.758,,1.572,1.1735,3.7314,143.3,,,,
1989-08-28,0.7604,,1.5665,1.1723,3.7314,144.2,,,,
1989-08-29,0.7669,,1.5835,1.1727,3.7314,143.13,,,,
1989-08-30,0.7665,,1.5822,1.1765,3.7314,143.73,,,,
1989-08-31,0.7647,,1.573,1.1763,3.7314,144.6,,,,
1989-09-01,0.7593,,1.557,1.182,3.7314,145.85,,,,
1989-09-04,,,,,,,,,,
1989-09-05,0.7579,,1.5375,1.1814,3.7314,147.05,,,,
1989-09-06,0.7619,,1.553,1.18,3.7314,146.25,,,,
1989-09-07,0.7615,,1.546,1.1843,3.7314,146.9,,,,
1989-09-08,0.7665,,1.548,1.1878,3.7314,146.3,,,,
1989-09-11,0.7637,,1.546,1.1874,3.7314,146.82,,,,
1989-09-12,0.7643,,1.547,1.1893,3.7314,147.15,,,,
1989-09-13,0.7763,,1.553,1.1859,3.7314,146.95,,,,
1989-09-14,0.7752,,1.5595,1.185,3.7314,146.55,,,,
1989-09-15,0.7725,,1.538,1.1882,3.7314,148.75,,,,
1989-09-18,0.7756,,1.5685,1.184,3.7314,145.85,,,,
1989-09-19,0.7752,,1.5735,1.1836,3.7314,145.65,,,,
1989-09-20,0.775,,1.5815,1.1828,3.7314,145.05,,,,
1989-09-21,0.7723,,1.5805,1.1845,3.7314,145.35,,,,
1989-09-22,0.7833,,1.5755,1.1808,3.7314,145.6,,,,
1989-09-25,0.7905,,1.608,1.1775,3.7314,142.7,,,,
1989-09-26,0.79,,1.6215,1.1745,3.7314,141.88,,,,
1989-09-27,0.7825,,1.613,1.1777,3.7314,140.6,,,,
1989-09-28,0.7758,,1.6077,1.1805,3.7314,140.55,,,,
1989-09-29,0.7748,,1.6145,1.1789,3.7314,139.6,,,,
1989-10-02,0.7773,,1.6178,1.1776,3.7314,139.48,,,,
1989-10-03,0.7778,,1.6055,1.1764,3.7314,141.13,,,,
1989-10-04,0.7768,,1.604,1.1749,3.7314,141.05,,,,
1989-10-05,0.7775,,1.61,1.1753,3.7314,142.4,,,,
1989-10-06,0.7823,,1.6025,1.1765,3.7314,142.8,,,,
1989-10-09,,,,,,,,,,
1989-10-10,0.7764,,1.5575,1.1734,3.7314,143.95,,,,
1989-10-11,0.7755,,1.5445,1.1758,3.7314,144.8,,,,
1989-10-12,0.7682,,1.5515,1.1755,3.7314,144.2,,,,
1989-10-13,0.7683,,1.564,1.1745,3.7314,143.2,,,,
1989-10-16,0.7618,,1.5745,1.1767,3.7314,141.8,,,,
1989-10-17,0.7678,,1.5815,1.1759,3.7314,141.5,,,,
1989-10-18,0.7707,,1.5878,1.1739,3.7314,141.7,,,,
1989-10-19,0.7755,,1.594,1.1743,3.7314,141.95,,,,
1989-10-20,0.7717,,1.59,1.1735,3.7314,142.3,,,,
1989-10-23,0.7704,,1.5935,1.1725,3.7314,142.35,,,,
1989-10-24,0.7651,,1.606,1.1723,3.7314,141.55,,,,
1989-10-25,0.7739,,1.6088,1.1747,3.7314,141.65,,,,
1989-10-26,0.7782,,1.612,1.1752,3.7314,141.65,,,,
1989-10-27,0.7775,,1.575,1.1754,3.7314,142.0,,,,
1989-10-30,0.7831,,1.5783,1.1747,3.7314,142.15,,,,
1989-10-31,0.7826,,1.5775,1.1741,3.7314,142.73,,,,
1989-11-01,0.7812,,1.5818,1.1743,3.7314,143.11,,,,
1989-11-02,0.7798,,1.564,1.1727,3.7314,143.7,,,,
1989-11-03,0.7797,,1.5705,1.1725,3.7314,143.18,,,,
1989-11-06,0.7814,,1.5785,1.1714,3.7314,143.7,,,,
1989-11-07,0.7846,,1.5812,1.171,3.7314,143.44,,,,
1989-11-08,0.7853,,1.5865,1.1698,3.7314,143.14,,,,
1989-11-09,0.7891,,1.5862,1.1678,3.7314,142.86,,,,
1989-11-10,0.7859,,1.5763,1.1697,3.7314,143.3,,,,
1989-11-13,0.7893,,1.58,1.1678,3.7314,143.88,,,,
1989-11-14,0.7871,,1.5815,1.1705,3.7314,143.68,,,,
1989-11-15,0.7834,,1.5816,1.173,3.7314,143.75,,,,
1989-11-16,0.7808,,1.577,1.1698,3.7314,143.8,,,,
1989-11-17,0.7825,,1.5675,1.1697,3.7314,144.4,,,,
1989-11-20,0.7813,,1.559,1.1715,3.7314,144.5,,,,
1989-11-21,0.7773,,1.567,1.1703,3.7314,143.75,,,,
1989-11-22,0.7761,,1.565,1.1705,3.7314,143.85,,,,
1989-11-23,,,,,,,,,,
1989-11-24,0.7832,,1.562,1.1675,3.7314,143.5,,,,
1989-11-27,0.7846,,1.56,1.1675,3.7314,143.4,,,,
1989-11-28,0.7863,,1.562,1.1678,3.7314,143.72,,,,
1989-11-29,0.7806,,1.5665,1.166,3.7314,142.65,,,,
1989-11-30,0.7825,,1.5695,1.1633,3.7314,142.91,,,,
1989-12-01,0.78,,1.566,1.1663,3.7314,143.1,,,,
1989-12-04,0.7809,,1.5635,1.1646,3.7314,143.58,,,,
1989-12-05,0.7815,,1.5706,1.1631,3.7314,143.8,,,,
1989-12-06,0.7831,,1.5765,1.1607,3.7314,143.85,,,,
1989-12-07,0.7816,,1.575,1.1627,3.7314,144.32,,,,
1989-12-08,0.7825,,1.5742,1.1617,3.7314,144.28,,,,
1989-12-11,0.7836,,1.5892,1.1635,3.7314,144.5,,,,
1989-12-12,0.7863,,1.603,1.163,3.7314,143.9,,,,
1989-12-13,0.7852,,1.5945,1.1595,3.7314,144.17,,,,
1989-12-14,0.785,,1.5975,1.163,3.7314,144.1,,,,
1989-12-15,0.7837,,1.6045,1.1605,3.7314,144.15,,,,
1989-12-18,0.7835,,1.6018,1.1611,4.7339,144.1,,,,
1989-12-19,0.7853,,1.6,1.1612,4.7339,143.85,,,,
1989-12-20,0.787,,1.603,1.162,4.7339,144.02,,,,
1989-12-21,0.7864,,1.6125,1.1607,4.7339,143.7,,,,
1989-12-22,0.7885,,1.621,1.1595,4.7339,142.88,,,,
1989-12-25,,,,,,,,,,
1989-12-26,0.7915,,1.6255,1.1598,4.7339,142.15,,,,
1989-12-27,0.7987,,1.6245,1.1589,4.7339,142.1,,,,
1989-12-28,0.7936,,1.6133,1.157,4.7339,143.35,,,,
1989-12-29,0.7893,,1.6145,1.158,4.7339,143.8,,,,
1990-01-01,,,,,,,,,,
1990-01-02,0.7855,,1.611,1.1605,4.7339,146.25,,,,
1990-01-03,0.7818,,1.61,1.1613,4.7339,145.7,,,,
1990-01-04,0.7867,,1.6293,1.1614,4.7339,143.37,,,,
1990-01-05,0.786,,1.637,1.16,4.7339,143.82,,,,
1990-01-08,0.7849,,1.653,1.1601,4.7339,144.1,,,,
1990-01-09,0.7866,,1.6537,1.1614,4.7339,145.2,,,,
1990-01-10,0.7886,,1.662,1.1589,4.7339,145.25,,,,
1990-01-11,0.791,,1.6568,1.157,4.7339,145.4,,,,
1990-01-12,0.7939,,1.6695,1.1571,4.7339,145.4,,,,
1990-01-15,,,,,,,,,,
1990-01-16,0.7894,,1.657,1.165,4.7339,145.48,,,,
1990-01-17,0.7917,,1.6495,1.164,4.7339,145.49,,,,
1990-01-18,0.7941,,1.6445,1.1713,4.7339,146.12,,,,
1990-01-19,0.7935,,1.6465,1.179,4.7339,145.65,,,,
1990-01-22,0.7954,,1.639,1.183,4.7339,146.43,,,,
1990-01-23,0.7751,,1.649,1.178,4.7339,146.09,,,,
1990-01-24,0.7622,,1.655,1.1855,4.7339,145.32,,,,
1990-01-25,0.7583,,1.6572,1.1905,4.7339,144.42,,,,
1990-01-26,0.7605,,1.657,1.1939,4.7339,143.35,,,,
1990-01-29,0.7635,,1.678,1.1885,4.7339,143.13,,,,
1990-01-30,0.766,,1.6818,1.1906,4.7339,144.1,,,,
1990-01-31,0.7685,,1.6794,1.1858,4.7339,144.55,,,,
1990-02-01,0.7702,,1.6815,1.1864,4.7339,144.9,,,,
1990-02-02,0.7735,,1.6817,1.1887,4.7339,145.38,,,,
1990-02-05,0.7655,,1.695,1.1899,4.7339,145.39,,,,
1990-02-06,0.7665,,1.702,1.1879,4.7339,145.13,,,,
1990-02-07,0.7575,,1.699,1.1935,4.7339,145.47,,,,
1990-02-08,0.7545,,1.687,1.1971,4.7339,145.4,,,,
1990-02-09,0.7493,,1.6925,1.1956,4.7339,145.2,,,,
1990-02-12,0.7521,,1.695,1.2024,4.7339,144.2,,,,
1990-02-13,0.7521,,1.6905,1.1999,4.7339,144.4,,,,
1990-02-14,0.7457,,1.696,1.2068,4.7339,144.27,,,,
1990-02-15,0.75,,1.693,1.206,4.7339,144.4,,,,
1990-02-16,0.7567,,1.6955,1.199,4.7339,144.15,,,,
1990-02-19,,,,,,,,,,
1990-02-20,0.7595,,1.704,1.202,4.7339,145.45,,,,
1990-02-21,0.7586,,1.715,1.2013,4.7339,145.32,,,,
1990-02-22,0.7646,,1.7147,1.1945,4.7339,145.89,,,,
1990-02-23,0.7652,,1.71,1.197,4.7339,146.92,,,,
1990-02-26,0.765,,1.693,1.198,4.7339,148.85,,,,
1990-02-27,0.7605,,1.692,1.1948,4.7339,148.63,,,,
1990-02-28,0.7601,,1.6892,1.1923,4.7339,148.82,,,,
1990-03-01,0.7635,,1.665,1.1902,4.7339,149.67,,,,
1990-03-02,0.7596,,1.651,1.194,4.7339,150.28,,,,
1990-03-05,0.7585,,1.6388,1.1906,4.7339,149.78,,,,
1990-03-06,0.7611,,1.649,1.187,4.7339,149.8,,,,
1990-03-07,0.7596,,1.639,1.1851,4.7339,151.22,,,,
1990-03-08,0.7607,,1.6425,1.1795,4.7339,150.83,,,,
1990-03-09,0.7607,,1.6181,1.1793,4.7339,151.34,,,,
1990-03-12,0.758,,1.6103,1.179,4.7339,152.38,,,,
1990-03-13,0.761,,1.6003,1.1778,4.7339,152.55,,,,
1990-03-14,0.7635,,1.609,1.1745,4.7339,152.24,,,,
1990-03-15,0.7563,,1.6175,1.178,4.7339,152.55,,,,
1990-03-16,0.7536,,1.6235,1.1803,4.7339,152.38,,,,
1990-03-19,0.7549,,1.6103,1.1837,4.7339,153.5,,,,
1990-03-20,0.7565,,1.6105,1.1793,4.7339,153.88,,,,
1990-03-21,0.752,,1.5945,1.1768,4.7339,154.16,,,,
1990-03-22,0.7504,,1.601,1.1767,4.7339,155.1,,,,
1990-03-23,0.7474,,1.604,1.175,4.7339,153.9,,,,
1990-03-26,0.7469,,1.618,1.1759,4.7339,156.5,,,,
1990-03-27,0.7452,,1.6261,1.176,4.7339,157.4,,,,
1990-03-28,0.7471,,1.6275,1.1762,4.7339,158.75,,,,
1990-03-29,0.7523,,1.634,1.1743,4.7339,156.75,,,,
1990-03-30,0.7548,,1.648,1.1705,4.7339,157.82,,,,
1990-04-02,0.7561,,1.6315,1.1695,4.7334,158.9,,,,
1990-04-03,0.7605,,1.6355,1.1662,4.7334,159.13,,,,
1990-04-04,0.7669,,1.6415,1.1673,4.7339,158.6,,,,
1990-04-05,0.765,,1.6415,1.1686,4.7339,157.68,,,,
1990-04-06,0.765,,1.6385,1.1655,4.7339,157.65,,,,
1990-04-09,0.763,,1.6385,1.1617,4.7339,157.5,,,,
1990-04-10,0.7643,,1.6343,1.1615,4.7339,158.58,,,,
1990-04-11,0.7663,,1.6425,1.1652,4.7339,158.28,,,,
1990-04-12,0.7663,,1.642,1.1631,4.7339,158.19,,,,
1990-04-13,0.765,,1.6385,1.165,4.7339,158.75,,,,
1990-04-16,0.7654,,1.631,1.167,4.7339,159.37,,,,
1990-04-17,0.7653,,1.6338,1.1683,4.7339,159.9,,,,
1990-04-18,0.77,,1.638,1.1623,4.7339,159.1,,,,
1990-04-19,0.7732,,1.6435,1.1619,4.7339,156.5,,,,
1990-04-20,0.7705,,1.6353,1.1628,4.7339,157.85,,,,
1990-04-23,0.7655,,1.6357,1.161,4.7339,157.7,,,,
1990-04-24,0.7663,,1.6341,1.1593,4.7339,158.72,,,,
1990-04-25,0.766,,1.637,1.1608,4.7339,158.73,,,,
1990-04-26,0.756,,1.6335,1.1602,4.7339,158.75,,,,
1990-04-27,0.7503,,1.636,1.1634,4.7339,158.9,,,,
1990-04-30,0.75,,1.6389,1.1654,4.7339,158.85,,,,
1990-05-01,0.7457,,1.6405,1.1648,4.7339,158.85,,,,
1990-05-02,0.752,,1.643,1.1673,4.7339,158.3,,,,
1990-05-03,0.7552,,1.6422,1.167,4.7339,158.15,,,,
1990-05-04,0.7546,,1.66,1.1633,4.7339,158.35,,,,
1990-05-07,0.7565,,1.668,1.1625,4.7339,158.0,,,,
1990-05-08,0.7577,,1.6695,1.1635,4.7339,157.9,,,,
1990-05-09,0.7585,,1.678,1.1662,4.7339,156.45,,,,
1990-05-10,0.7587,,1.6763,1.1653,4.7339,157.0,,,,
1990-05-11,0.76,,1.6813,1.1785,4.7339,152.73,,,,
1990-05-14,0.7669,,1.684,1.177,4.7339,152.77,,,,
1990-05-15,0.7645,,1.677,1.181,4.7339,151.4,,,,
1990-05-16,0.7625,,1.68,1.1757,4.7339,151.43,,,,
1990-05-17,0.7617,,1.6917,1.1738,4.7339,152.35,,,,
1990-05-18,0.7605,,1.6908,1.1783,4.7339,152.85,,,,
1990-05-21,0.764,,1.6912,1.1795,4.7339,153.53,,,,
1990-05-22,0.764,,1.6915,1.1922,4.7339,151.6,,,,
1990-05-23,0.7653,,1.694,1.1836,4.7339,151.23,,,,
1990-05-24,0.7623,,1.6895,1.1855,4.7339,151.55,,,,
1990-05-25,0.7668,,1.6892,1.1841,4.7339,149.69,,,,
1990-05-28,,,,,,,,,,
1990-05-29,0.766,,1.6946,1.1818,4.7339,150.88,,,,
1990-05-30,0.772,,1.693,1.178,4.7339,151.32,,,,
1990-05-31,0.7678,,1.6765,1.1745,4.7339,152.64,,,,
1990-06-01,0.7693,,1.6838,1.1726,4.7339,151.39,,,,
1990-06-04,0.7676,,1.675,1.1766,4.7339,151.6,,,,
1990-06-05,0.771,,1.683,1.1757,4.7339,152.65,,,,
1990-06-06,0.7718,,1.6882,1.1728,4.7339,152.55,,,,
1990-06-07,0.7775,,1.6883,1.1683,4.7339,152.53,,,,
1990-06-08,0.7725,,1.6848,1.175,4.7339,153.53,,,,
1990-06-11,0.7751,,1.6858,1.1711,4.7339,154.52,,,,
1990-06-12,0.774,,1.7025,1.1715,4.7339,154.44,,,,
1990-06-13,0.7743,,1.707,1.1722,4.7339,154.79,,,,
1990-06-14,0.775,,1.7052,1.1705,4.7339,154.07,,,,
1990-06-15,0.7756,,1.7055,1.172,4.7339,154.2,,,,
1990-06-18,0.7792,,1.713,1.1727,4.7339,153.7,,,,
1990-06-19,0.784,,1.7205,1.1741,4.7334,153.65,,,,
1990-06-20,0.7833,,1.723,1.1724,4.7339,154.0,,,,
1990-06-21,0.7901,,1.725,1.1749,4.7339,154.82,,,,
1990-06-22,0.7852,,1.733,1.1822,4.7339,154.75,,,,
1990-06-25,0.7851,,1.7305,1.1794,4.7339,155.37,,,,
1990-06-26,0.7846,,1.7355,1.1732,4.7339,155.15,,,,
1990-06-27,0.7875,,1.7428,1.1705,4.7339,154.38,,,,
1990-06-28,0.7853,,1.7393,1.1698,4.7339,153.17,,,,
1990-06-29,0.7916,,1.745,1.1665,4.7339,152.35,,,,
1990-07-02,0.7964,,1.7634,1.1619,4.7339,151.27,,,,
1990-07-03,0.7974,,1.7795,1.1625,4.7339,151.2,,,,
1990-07-04,,,,,,,,,,
1990-07-05,0.799,,1.7805,1.1632,4.7339,150.77,,,,
1990-07-06,0.7974,,1.7865,1.1632,4.7339,151.03,,,,
1990-07-09,0.8025,,1.8058,1.1592,4.7339,151.1,,,,
1990-07-10,0.8066,,1.815,1.1572,4.7339,148.9,,,,
1990-07-11,0.7965,,1.798,1.1597,4.7339,148.68,,,,
