date,DPCERX,A006RX,A019RX,A822RX
2005-04-01,46.7366,11.5924,-1.9868,14.752
2005-07-01,47.0047,11.7148,-2.017,14.7629
2005-10-01,46.9731,12.0577,-2.082,14.7373
2006-01-01,47.3817,12.2078,-2.0351,14.8917
2006-04-01,47.5201,12.1103,-2.0127,14.8528
2006-07-01,47.7018,12.033,-2.0783,14.7918
2006-10-01,48.0339,11.7793,-1.8947,14.8756
2007-01-01,48.2235,11.6774,-1.8937,14.8629
2007-04-01,48.2418,11.7635,-1.8532,14.9646
2007-07-01,48.4385,11.5984,-1.7362,14.9937
2007-10-01,48.5062,11.4365,-1.5562,15.0752
2008-01-01,48.3336,11.0995,-1.4975,15.0766
2008-04-01,48.3606,10.8891,-1.2826,15.1731
2008-07-01,47.8711,10.6463,-1.2208,15.2577
2008-10-01,47.3295,9.5946,-1.2913,15.3272
2009-01-01,47.1135,8.487,-1.0921,15.4698
2009-04-01,46.7858,7.9773,-0.8345,15.6628
2009-07-01,46.9922,7.9355,-0.8863,15.6687
2009-10-01,46.832,8.6558,-0.8975,15.6617
2010-01-01,47.0095,8.8245,-0.9311,15.5629
2010-04-01,47.3411,9.2701,-1.0896,15.5806
2010-07-01,47.5774,9.6611,-1.1578,15.4374
2010-10-01,47.766,9.613,-1.0357,15.3063
2011-01-01,47.8624,9.417,-1.0191,15.0914
2011-04-01,47.825,9.7843,-0.9498,14.9611
2011-07-01,47.8683,9.8066,-0.9437,14.7162
2011-10-01,47.8511,10.5407,-0.9848,14.6756
2012-01-01,48.111,10.7552,-0.9473,14.5873
2012-04-01,48.1097,10.977,-0.9147,14.4845
2012-07-01,48.1067,10.983,-0.9134,14.4323
2012-10-01,48.1982,10.8671,-0.8437,14.2605
2013-01-01,48.4332,11.2815,-0.8072,14.1045
2013-04-01,48.4892,11.4093,-0.8487,14.0624
2013-07-01,48.5847,11.8456,-0.8451,13.9647
2013-10-01,48.9084,11.934,-0.7289,13.8275
2014-01-01,48.9961,11.7959,-0.8707,13.7434
2014-04-01,49.3764,12.2581,-0.8958,13.7369
2014-07-01,49.7567,12.5131,-0.8821,13.7998
2014-10-01,50.2214,12.526,-1.0111,13.7598
2015-01-01,50.519,12.9396,-1.1622,13.819
2015-04-01,50.7757,12.9677,-1.2001,13.9295
2015-07-01,51.0247,12.9683,-1.2948,13.9733
2015-10-01,51.1241,12.8636,-1.3206,14.0037
2016-01-01,51.4179,12.7854,-1.3265,14.1066
2016-04-01,51.5812,12.7083,-1.2878,14.0707
2016-07-01,51.8343,12.7367,-1.2417,14.1031
2016-10-01,52.0006,13.0612,-1.3883,14.1006
2017-01-01,52.3207,13.0065,-1.355,14.0401
2017-04-01,52.4995,13.1909,-1.4031,14.0582
2017-07-01,52.7607,13.3866,-1.3934,14.0504
2017-10-01,53.2474,13.6154,-1.4426,14.1527
2018-01-01,53.5678,13.8055,-1.4322,14.1653
2018-04-01,53.7833,13.7851,-1.4061,14.2479
2018-07-01,53.9467,14.1821,-1.5915,14.3381
2018-10-01,54.0361,14.1709,-1.645,14.3366
2019-01-01,54.0649,14.273,-1.5798,14.5196
2019-04-01,54.4639,14.3878,-1.6536,14.6998
2019-07-01,55.0016,14.48,-1.6154,14.8459
2019-10-01,55.2823,14.2717,-1.4275,14.9443
2020-01-01,54.2947,13.9011,-1.3825,15.0904
2020-04-01,49.5632,11.9542,-1.3934,15.4048
2020-07-01,53.944,14.184,-1.8296,15.1348
2020-10-01,54.6482,14.6424,-2.0447,15.1411
2021-01-01,55.8998,14.5331,-2.1784,15.3583
2021-04-01,57.8252,14.3363,-2.2902,15.1711
2021-07-01,58.2333,14.8395,-2.4204,15.0392
2021-10-01,58.7094,15.7762,-2.4871,15.0161
2022-01-01,58.7008,16.0623,-2.7928,14.8864
2022-04-01,59.0928,15.6803,-2.7538,14.8113
2022-07-01,59.2517,15.3804,-2.3964,14.8442
2022-10-01,59.2419,15.6452,-2.3698,14.9629
2023-01-01,59.785,15.3307,-2.2844,15.0872
2023-04-01,59.891,15.5696,-2.3197,15.1808
2023-07-01,60.2021,15.8845,-2.3093,15.336
2023-10-01,60.503,15.9843,-2.3234,15.4731
2024-01-01,60.6298,15.8866,-2.3927,15.5269
2024-04-01,61.0675,16.1657,-2.5557,15.6186
2024-07-01,61.5395,16.1708,-2.6313,15.7946
2024-10-01,62.0402,15.8658,-2.6376,15.9008
2025-01-01,62.0664,16.7017,-3.403,15.8442
2025-04-01,62.3716,16.0762,-2.6046,15.8216
2025-07-01,62.8316,16.0592,-2.3495,15.8907
2025-10-01,63.0849,16.1391,-2.3801,15.6499
2026-01-01,63.2773,16.4059,-2.6126,15.8105
