date,uninc,inc,INC
2004-08-01,7.23686,3.59597,
2004-09-01,7.10647,3.54789,
2004-10-01,7.21008,3.45997,
2004-11-01,7.14353,3.40583,
2004-12-01,7.13297,3.33791,
2005-01-01,7.10401,3.40527,
2005-02-01,7.12302,3.44601,
2005-03-01,7.1689,3.6211,
2005-04-01,7.32713,3.67091,
2005-05-01,7.08423,3.64459,
2005-06-01,6.94461,3.52498,
2005-07-01,6.99582,3.45152,
2005-08-01,6.77331,3.45985,
2005-09-01,6.89145,3.40701,
2005-10-01,6.91995,3.45899,
2005-11-01,6.87835,3.52971,
2005-12-01,6.94328,3.60169,
2006-01-01,7.07524,3.71655,
2006-02-01,7.0585,3.70776,
2006-03-01,7.02061,3.66667,
2006-04-01,6.98497,3.67089,
2006-05-01,6.95113,3.58138,
2006-06-01,6.91558,3.59538,
2006-07-01,6.88744,3.55921,
2006-08-01,6.92544,3.55295,
2006-09-01,6.9912,3.54931,
2006-10-01,7.02705,3.57815,
2006-11-01,6.98988,3.66341,
2006-12-01,7.11049,3.73662,
2007-01-01,6.88176,3.76504,
2007-02-01,6.83475,3.86097,
2007-03-01,6.95324,3.74419,
2007-04-01,6.8954,3.71997,
2007-05-01,6.86382,3.74992,
2007-06-01,6.89162,3.6959,
2007-07-01,6.84987,3.6172,
2007-08-01,6.76273,3.74089,
2007-09-01,6.76992,3.70926,
2007-10-01,6.69852,3.78006,
2007-11-01,6.64283,3.7881,
2007-12-01,6.58403,3.77997,
2008-01-01,6.63819,3.73295,
2008-02-01,6.67478,3.7914,
2008-03-01,6.54287,3.8071,
2008-04-01,6.61382,3.74262,
2008-05-01,6.59741,3.76421,
2008-06-01,6.62031,3.67073,
2008-07-01,6.74634,3.63532,
2008-08-01,6.55648,3.74999,
2008-09-01,6.46633,3.73894,
2008-10-01,6.29342,3.79196,
2008-11-01,6.27203,3.7976,
2008-12-01,6.3632,3.76679,
2009-01-01,6.30698,3.64886,
2009-02-01,6.36607,3.61499,
2009-03-01,6.53007,3.66882,
2009-04-01,6.42422,3.56358,
2009-05-01,6.35101,3.53644,
2009-06-01,6.32708,3.40942,
2009-07-01,6.30995,3.43157,
2009-08-01,6.42097,3.47973,
2009-09-01,6.3903,3.4944,
2009-10-01,6.28349,3.59423,
2009-11-01,6.35179,3.49879,
2009-12-01,6.43847,3.6151,
2010-01-01,6.34268,3.58467,
2010-02-01,6.45764,3.49622,
2010-03-01,6.35125,3.54419,
2010-04-01,6.30958,3.3292,
2010-05-01,6.33652,3.33732,
2010-06-01,6.31314,3.39478,
2010-07-01,6.27558,3.30521,
2010-08-01,6.22769,3.22929,
2010-09-01,6.20425,3.27323,
2010-10-01,6.31106,3.27819,
2010-11-01,6.15929,3.27721,
2010-12-01,6.19004,3.43637,
2011-01-01,6.31529,3.41428,
2011-02-01,6.26379,3.42058,
2011-03-01,6.26826,3.37795,
2011-04-01,6.1911,3.28977,
2011-05-01,6.19433,3.4096,
2011-06-01,6.1058,3.33575,
2011-07-01,6.07484,3.33953,
2011-08-01,6.13163,3.30496,
2011-09-01,5.93197,3.21383,
2011-10-01,6.11129,3.26437,
2011-11-01,6.08715,3.29249,
2011-12-01,6.14371,3.38978,
2012-01-01,6.19701,3.38209,
2012-02-01,6.00242,3.391,
2012-03-01,6.033,3.32435,
2012-04-01,6.04225,3.41639,
2012-05-01,6.12852,3.49617,
2012-06-01,6.20184,3.32896,
2012-07-01,6.20983,3.35791,
2012-08-01,6.1339,3.45625,
2012-09-01,6.19038,3.39384,
2012-10-01,6.14706,3.45554,
2012-11-01,6.24767,3.33004,
2012-12-01,6.25273,3.34078,
2013-01-01,6.09002,3.38773,
2013-02-01,6.06264,3.39049,
2013-03-01,5.83465,3.50717,
2013-04-01,6.04077,3.45226,
2013-05-01,6.06548,3.40645,
2013-06-01,6.09892,3.29113,
2013-07-01,6.26868,3.2997,
2013-08-01,6.13219,3.40961,
2013-09-01,6.05189,3.414,
2013-10-01,5.99652,3.50056,
2013-11-01,5.98139,3.43769,
2013-12-01,6.02647,3.5186,
2014-01-01,5.99091,3.53152,
2014-02-01,6.04954,3.47359,
2014-03-01,5.96047,3.50967,
2014-04-01,5.95099,3.47703,
2014-05-01,5.84839,3.4625,
2014-06-01,5.88092,3.37713,
2014-07-01,5.89974,3.37875,
2014-08-01,5.93672,3.38417,
2014-09-01,6.11446,3.46369,
2014-10-01,6.1937,3.51624,
2014-11-01,6.11972,3.57333,
2014-12-01,6.1024,3.64324,
2015-01-01,6.09883,3.51362,
2015-02-01,5.8534,3.47282,
2015-03-01,6.059,3.52742,
2015-04-01,6.10276,3.43524,
2015-05-01,6.3298,3.45995,
2015-06-01,6.08932,3.50954,
2015-07-01,6.16763,3.43979,
2015-08-01,6.1315,3.28865,
2015-09-01,5.88134,3.53369,
2015-10-01,5.98472,3.35827,
2015-11-01,5.98998,3.61764,
2015-12-01,5.91388,3.71522,
2016-01-01,6.0393,3.68358,
2016-02-01,6.05963,3.65999,
2016-03-01,6.15282,3.50448,
2016-04-01,6.15555,3.48165,
2016-05-01,6.11837,3.44836,
2016-06-01,6.04339,3.48831,
2016-07-01,5.92987,3.40251,
2016-08-01,5.9726,3.34293,
2016-09-01,5.90368,3.59192,
2016-10-01,5.94092,3.56984,
2016-11-01,5.95714,3.69894,
2016-12-01,6.12044,3.67055,
2017-01-01,5.83887,3.60042,
2017-02-01,6.08036,3.56216,
2017-03-01,6.00548,3.58947,
2017-04-01,5.91662,3.66732,
2017-05-01,5.875,3.58922,
2017-06-01,5.99468,3.47781,
2017-07-01,5.67673,3.55257,
2017-08-01,5.76202,3.62358,
2017-09-01,5.91846,3.70943,
2017-10-01,6.05393,3.8457,
2017-11-01,6.08797,3.7522,
2017-12-01,6.09088,3.78221,
2018-01-01,6.1275,3.72289,
2018-02-01,6.06139,3.57103,
2018-03-01,6.12607,3.64659,
2018-04-01,6.08144,3.58817,
2018-05-01,6.0217,3.52116,
2018-06-01,5.80174,3.42118,
2018-07-01,5.8913,3.38659,
2018-08-01,5.87839,3.56249,
2018-09-01,5.98938,3.60587,
2018-10-01,5.92367,3.72228,
2018-11-01,5.95446,3.8275,
2018-12-01,6.01816,3.74438,
2019-01-01,5.94307,3.67974,
2019-02-01,5.86139,3.72989,
2019-03-01,5.78439,3.67946,
2019-04-01,5.69791,3.75948,
2019-05-01,5.76341,3.72629,
2019-06-01,5.82222,3.77468,
2019-07-01,5.91173,3.77408,
2019-08-01,5.85563,3.74896,
2019-09-01,5.84977,3.79827,
2019-10-01,5.84493,3.86326,
2019-11-01,5.85121,3.83183,
2019-12-01,5.81364,3.99617,
2020-01-01,5.78426,3.95848,
2020-02-01,5.79691,3.93765,
2020-03-01,5.80282,3.86804,
2020-04-01,5.27616,4.11346,
2020-05-01,5.47625,3.95569,
2020-06-01,5.67209,3.8587,
2020-07-01,5.71279,3.89096,
2020-08-01,5.91266,3.93064,
2020-09-01,5.91357,3.92009,
2020-10-01,5.94772,3.92107,
2020-11-01,5.89122,3.88613,
2020-12-01,5.87203,3.66149,
2021-01-01,5.97947,3.7291,
2021-02-01,5.93018,3.54357,
2021-03-01,6.13816,3.75568,
2021-04-01,6.0131,3.86335,
2021-05-01,6.21059,3.77505,
2021-06-01,6.13764,3.82939,
2021-07-01,6.39706,3.77356,
2021-08-01,6.3364,3.7648,
2021-09-01,6.29777,3.80812,
2021-10-01,6.31461,3.91319,
2021-11-01,6.1599,3.92538,
2021-12-01,6.1736,3.8424,
2022-01-01,6.02271,3.90972,
2022-02-01,6.05874,3.84242,
2022-03-01,6.07472,3.84845,
2022-04-01,6.01903,4.08568,
2022-05-01,6.12696,4.15639,
2022-06-01,6.1228,4.03546,
2022-07-01,5.9637,4.01824,
2022-08-01,5.85717,4.04435,
2022-09-01,5.9996,4.07995,
2022-10-01,6.06062,4.15835,
2022-11-01,5.87827,4.27827,
2022-12-01,5.93576,4.14738,
2023-01-01,5.98217,3.97407,
2023-02-01,6.06153,3.87235,
2023-03-01,5.87738,3.76837,
2023-04-01,5.86834,3.8527,
2023-05-01,5.62146,4.02275,
2023-06-01,5.7757,4.07123,
2023-07-01,5.71218,4.25176,
2023-08-01,5.66106,4.15891,
2023-09-01,5.81547,3.98526,
2023-10-01,5.76103,3.94936,
2023-11-01,5.76001,4.09104,
2023-12-01,5.97653,3.98234,
2024-01-01,5.8461,3.99933,
2024-02-01,5.99395,3.92444,
2024-03-01,6.06311,3.95154,
2024-04-01,5.91283,3.99202,
2024-05-01,5.98128,4.0501,
2024-06-01,5.77324,4.12646,
2024-07-01,5.85469,4.07193,
2024-08-01,5.98367,4.09509,
2024-09-01,5.84542,4.25582,
2024-10-01,5.83628,4.07726,
2024-11-01,5.80453,4.06389,
2024-12-01,5.91492,4.08355,
2025-01-01,5.7494,4.01675,
2025-02-01,5.69816,4.06252,
2025-03-01,5.75477,4.01985,
2025-04-01,5.81454,4.09024,
2025-05-01,5.87007,3.93324,
2025-06-01,5.67966,4.11572,
2025-07-01,5.6469,3.93892,
2025-08-01,5.81025,4.08045,
2025-09-01,5.68723,4.18416,
2025-10-01,5.82756,4.17411,
2025-11-01,5.96767,4.16407,
2025-12-01,5.7162,4.06389,
2026-01-01,5.75602,3.99618,
2026-02-01,5.6293,4.13029,
2026-03-01,5.56068,3.95763,
2026-04-01,5.63664,3.96702,
2026-05-01,5.60037,4.05239,
