name,share,weight
"Redding, CA",36.47,89567.0
"Quincy-East Quincy, CA",25.84,10383.0
"Altamont, OR",45.5,55683.0
"Brookings, OR",43.03,19820.0
"Fresno, CA",46.13,538276.0
"Bakersfield, CA",50.73,273063.0
"Santa Rosa, CA",27.29,248828.0
"San Jose, CA",20.73,888376.0
"San Diego, CA",27.34,1147896.0
"Santa Barbara, CA",27.25,257579.0
"Fort Collins, CO",28.85,257714.0
"Sterling, CO",36.46,16206.0
"Ogallala, NE",38.66,6898.0
"Limon, CO",36.46,2493.0
"Burlington, CO",36.46,4824.0
"Denver, CO",22.45,1279234.0
"Pueblo, CO",41.67,86018.0
"Glenwood Springs, CO",23.63,65468.0
"Laramie, WY",28.1,16010.0
"Craig, CO",28.93,18332.0
"Grand Junction, CO",35.1,90118.0
"Alamosa, CO",39.9,17120.0
"Kremmling, CO",21.18,6351.0
"Gunnison, CO",21.18,7573.0
"Colorado Springs, CO",28.91,295394.0
"Trinidad, CO",40.38,8495.0
"Salida, CO",33.75,6503.0
"Springfield, CO",40.38,1669.0
"Cortez, CO",37.24,19588.0
"Farmington, NM",43.91,71702.0
"Bridgeport, CT",26.61,1408548.0
"Wilmington, DE",27.06,262334.0
"Dover, DE",33.29,230866.0
"Washington, DC",19.08,2142440.0
"Gainesville, FL",38.4,151027.0
"Tallahassee, FL",35.83,185146.0
"Pensacola, FL",31.11,289280.0
"Panama City, FL",33.7,79006.0
"Palm Bay, FL",29.09,297650.0
"Miami, FL",39.91,1662662.0
"Sarasota, FL",27.97,478396.0
"Orlando, FL",33.3,949430.0
"Tampa, FL",32.51,1286238.0
"Ocala, FL",40.0,242627.0
"Jacksonville, FL",32.49,627065.0
"Cape Coral, FL",32.5,445647.0
"Lake City, FL",46.77,63206.0
"Lakeland, FL",44.16,301764.0
"West Palm Beach, FL",32.33,813836.0
"Daytona Beach, FL",37.81,315767.0
"Brunswick, GA",40.03,39553.0
"Hinesville, GA",44.2,55631.0
"Savannah, GA",31.93,240311.0
"Statesboro, GA",50.67,42867.0
"Vidalia, GA",52.07,41604.0
"South Augusta, GA",42.61,226081.0
"Dublin, GA",49.84,28036.0
"Valdosta, GA",50.22,99861.0
"Waycross, GA",57.96,40739.0
"Fitzgerald, GA",50.93,10423.0
"Americus, GA",52.03,26230.0
"Bainbridge, GA",48.36,16221.0
"Albany, GA",47.99,64081.0
"Thomasville, GA",48.36,24433.0
"Atlanta, GA",30.13,2004629.0
"Cordele, GA",52.49,16742.0
"Macon, GA",43.52,161724.0
"Milledgeville, GA",47.93,31640.0
"Griffin, GA",36.29,60714.0
"Chattanooga, TN",36.6,228791.0
"Franklin, NC",44.3,23491.0
"Blue Ridge, GA",41.6,21791.0
"Gainesville, GA",39.62,136555.0
"Andrews, NC",43.86,31104.0
"Toccoa, GA",42.6,42226.0
"Athens, GA",38.82,107291.0
"Washington, GA",43.03,13749.0
"Kahului, HI",28.94,56886.0
"Kapaa, HI",28.94,25917.0
"Hilo, HI",35.61,65605.0
"Honolulu, HI",24.47,328731.0
"Spokane, WA",35.6,320873.0
"Lewiston, ID",39.84,43619.0
"Bonners Ferry, ID",38.73,5498.0
"Pullman, WA",39.28,36323.0
"Boise City, ID",33.32,293705.0
"Ontario, OR",44.22,26623.0
"Pocatello, ID",42.35,120461.0
"Salmon, ID",40.4,5827.0
"McCall, ID",37.93,5191.0
"Jackson, WY",34.56,11653.0
"Burley, ID",44.24,19383.0
"Twin Falls, ID",44.24,56332.0
"Logan, UT",38.42,70388.0
"Soda Springs, ID",44.96,5657.0
"Davenport, IA",34.6,157055.0
"Dubuque, IA",31.67,64816.0
"Rockford, IL",35.14,254317.0
"Burlington, IA",35.43,52278.0
"Galesburg, IL",36.76,53695.0
"Quincy, IL",40.82,57903.0
"Peoria, IL",34.96,214339.0
"Jacksonville, IL",34.93,31238.0
"Alton, IL",33.01,153457.0
"Effingham, IL",37.38,37603.0
"Mount Vernon, IL",35.49,53504.0
"St. Louis, MO",29.14,1004797.0
"Charleston, IL",42.35,37917.0
"Decatur, IL",35.74,156883.0
"Vincennes, IN",39.38,21178.0
"Olney, IL",40.93,20975.0
"Paducah, KY",47.46,55861.0
"Carbondale, IL",39.22,103524.0
"Evansville, IN",38.41,167954.0
"Harrisburg, IL",45.78,14025.0
"Springfield, IL",30.79,117487.0
"Bloomington, IL",31.7,90328.0
"Lafayette, IN",39.94,144180.0
"Kankakee, IL",37.46,52551.0
"Chicago, IL",28.58,3214502.0
"Gary, IN",34.89,273057.0
"South Bend, IN",35.47,263118.0
"Elkhart, IN",38.45,148832.0
"Fort Wayne, IN",34.99,243329.0
"Wabash, IN",36.25,51554.0
"Kokomo, IN",36.14,72407.0
"Muncie, IN",42.14,156222.0
"Terre Haute, IN",41.92,100894.0
"Richmond, IN",41.26,38609.0
"Bloomington, IN",37.29,117043.0
"Indianapolis, IN",31.63,768575.0
"Columbus, IN",34.4,69487.0
"Greensburg, IN",37.13,56104.0
"Louisville, KY",31.07,520205.0
"Madison, IN",34.0,23091.0
"Spencer, IA",30.65,23998.0
"Fairmont, MN",33.12,18148.0
"Sioux Center, IA",29.26,22820.0
"Worthington, MN",33.68,22260.0
"Storm Lake, IA",32.15,20794.0
"Decorah, IA",34.13,28015.0
"Iowa Falls, IA",32.45,11765.0
"Mason City, IA",34.13,31214.0
"Waterloo, IA",35.56,91457.0
"Fort Dodge, IA",37.6,36527.0
"Iowa City, IA",33.12,95514.0
"Cedar Rapids, IA",27.46,113172.0
"Marshalltown, IA",32.34,47631.0
"Clinton, IA",31.12,28854.0
"Des Moines, IA",30.33,313955.0
"Ottumwa, IA",40.16,57846.0
"Red Oak, IA",34.78,19017.0
"Centerville, IA",42.35,11576.0
"Carroll, IA",33.94,19310.0
"Sioux City, IA",32.49,75659.0
"Atlantic, IA",32.73,13696.0
"Creston, IA",42.35,13861.0
"Omaha, NE",28.84,384199.0
"St. Francis, KS",39.4,2312.0
"Dodge City, KS",41.27,15714.0
"Scott City, KS",41.27,3384.0
"Phillipsburg, KS",40.13,4555.0
"Colby, KS",40.13,7414.0
"Goodland, KS",40.13,3707.0
"Beloit, KS",39.97,4584.0
"Plainville, KS",40.13,3752.0
"Norton, KS",40.13,2590.0
"Ulysses, KS",41.27,5792.0
"Oberlin, KS",40.13,2814.0
"Guymon, OK",35.27,11353.0
"Ness City, KS",41.27,2065.0
"Garden City, KS",41.27,19155.0
"Liberal, KS",39.8,12159.0
"Hays, KS",40.13,16569.0
"Kansas City, KS",32.02,34184.0
"Topeka, KS",36.1,143625.0
"Marysville, KS",40.25,7033.0
"Concordia, KS",39.85,7712.0
"Salina, KS",39.85,24408.0
"Hiawatha, KS",32.02,8531.0
"St. Joseph, MO",37.38,62709.0
"Manhattan, KS",40.47,59185.0
"Hutchinson, KS",32.82,28685.0
"Kansas City, MO",28.44,854563.0
"Ottawa, KS",41.66,18976.0
"Newton, KS",35.48,31060.0
"Arkansas City, KS",41.92,18943.0
"Emporia, KS",41.27,18107.0
"Joplin, MO",47.02,107988.0
"Bartlesville, OK",49.54,57086.0
"Pratt, KS",35.35,6602.0
"Coldwater, KS",35.35,707.0
"Wichita, KS",39.09,240282.0
"Great Bend, KS",35.35,17133.0
"Union City, TN",48.3,48487.0
"Murray, KY",47.44,14071.0
"Owensboro, KY",43.27,76137.0
"Henderson, KY",50.09,55300.0
"Clarksville, TN",40.25,124822.0
"Glasgow, KY",52.56,39850.0
"Bowling Green, KY",43.25,79328.0
"Bardstown, KY",40.58,29809.0
"Fort Knox, KY",42.32,81090.0
"Somerset, KY",52.11,53282.0
"Campbellsville, KY",51.46,36512.0
"Corbin, KY",62.16,50575.0
"Richmond, KY",46.46,46574.0
"Hazard, KY",59.99,36359.0
"Middlesborough, KY",60.49,24734.0
"Jackson, KY",54.96,15921.0
"Pikeville, KY",57.12,68406.0
"Lexington-Fayette, KY",34.65,258239.0
"Danville, KY",40.16,37479.0
"Cincinnati, OH",32.17,853163.0
"Maysville, KY",51.56,20236.0
"Mount Sterling, KY",51.56,15365.0
"Huntington, WV",48.97,126155.0
"Shreveport, LA",48.75,200750.0
"Ruston, LA",49.39,28882.0
"Many, LA",48.16,9494.0
"Monroe, LA",49.59,95712.0
"Natchez, MS",55.75,25912.0
"Lake Providence, LA",50.87,7636.0
"Vicksburg, MS",47.59,30707.0
"Alexandria, LA",48.03,71463.0
"Jonesville, LA",51.45,9361.0
"Lake Charles, LA",41.49,125171.0
"Lafayette, LA",47.76,230169.0
"Houma, LA",46.02,105503.0
"Baton Rouge, LA",35.99,349800.0
"New Orleans, LA",38.43,509928.0
"Calais, ME",41.1,13936.0
"Presque Isle, ME",41.1,30306.0
"Bangor, ME",37.32,131231.0
"Portland, ME",31.81,320210.0
"Manchester, NH",21.84,532466.0
"Cumberland, MD",39.09,65695.0
"Hagerstown, MD",32.83,192543.0
"Baltimore, MD",24.25,1057750.0
"Cambridge, MD",33.73,70442.0
"Pittsfield, MA",29.21,69177.0
"Springfield, MA",33.48,276203.0
"Boston, MA",24.64,2121113.0
"Providence, RI",29.75,651356.0
"Nantucket, MA",19.76,4453.0
"Vineyard Haven, MA",19.76,6991.0
"Houghton, MI",36.91,19656.0
"Marinette, WI",33.52,48139.0
"Marquette, MI",37.95,50236.0
"Ironwood, MI",36.81,13414.0
"Sault Ste. Marie, MI",38.88,22383.0
"Petoskey, MI",41.38,35010.0
"Houghton Lake, MI",42.58,43638.0
"Alpena, MI",42.83,35367.0
"Traverse City, MI",30.97,70558.0
"Big Rapids, MI",42.22,49941.0
"Ludington, MI",35.75,23267.0
"Grand Rapids, MI",34.18,553784.0
"Kalamazoo, MI",36.29,205323.0
"Mount Pleasant, MI",40.66,55781.0
"Saginaw, MI",37.16,208786.0
"Detroit, MI",32.54,2113852.0
"Lansing, MI",31.01,193104.0
"Jackson, MI",38.03,119722.0
"Toledo, OH",34.92,338447.0
"Grand Forks, ND",37.15,44324.0
"Fargo, ND",30.18,114548.0
"Grafton, ND",37.93,12492.0
"Roseau, MN",33.84,8764.0
"Thief River Falls, MN",32.88,11513.0
"Bemidji, MN",36.96,45912.0
"Duluth, MN",33.94,123071.0
"Hibbing, MN",34.41,66242.0
"Mora, MN",34.59,19840.0
"Grand Marais, MN",34.23,2378.0
"St. Cloud, MN",28.32,119969.0
"International Falls, MN",34.23,6575.0
"Minneapolis, MN",22.38,1374642.0
"Fergus Falls, MN",31.59,49533.0
"Little Falls, MN",35.84,31982.0
"Milbank, SD",32.31,7430.0
"Willmar, MN",29.03,33478.0
"Redwood Falls, MN",29.12,13126.0
"Hutchinson, MN",27.35,30491.0
"Mankato, MN",31.04,59571.0
"Marshall, MN",32.44,18451.0
"Owatonna, MN",27.5,45503.0
"Rochester, MN",25.28,103371.0
"Austin, MN",27.63,29732.0
"La Crosse, WI",31.47,100640.0
"Eau Claire, WI",29.9,127779.0
"Memphis, TN",40.25,503421.0
"New Albany, MS",46.76,24006.0
"Tupelo, MS",44.51,82751.0
"Clarksdale, MS",57.21,49913.0
"Corinth, MS",53.94,51294.0
"Yazoo City, MS",48.43,13516.0
"Greenwood, MS",57.08,26977.0
"Greenville, MS",60.58,39795.0
"Starkville, MS",48.82,41627.0
"Kosciusko, MS",49.07,14849.0
"Jackson, MS",43.38,221245.0
"Hattiesburg, MS",48.62,66601.0
"Brookhaven, MS",52.14,16790.0
"Laurel, MS",55.71,39672.0
"Meridian, MS",47.04,55825.0
"McComb, MS",58.45,38902.0
"Biloxi, MS",43.6,192251.0
"Marshall, MO",41.11,18114.0
"Kirksville, MO",46.67,15065.0
"Brookfield, MO",44.31,8471.0
"Moberly, MO",45.23,22027.0
"Bethany, MO",43.15,7118.0
"Maryville, MO",43.15,13250.0
"Unionville, MO",46.67,4898.0
"Trenton, MO",43.15,5574.0
"Mexico, MO",41.01,14829.0
"Columbia, MO",36.04,136699.0
"Fort Leonard Wood, MO",45.47,45607.0
"Farmington, MO",47.14,55835.0
"Sedalia, MO",44.99,34329.0
"Nevada, MO",48.12,22451.0
"Springfield, MO",42.49,228070.0
"Monett, MO",46.24,57341.0
"Eldon, MO",41.13,35634.0
"Cape Girardeau, MO",49.17,68465.0
"Poplar Bluff, MO",55.73,26664.0
"Great Falls, MT",43.95,38919.0
"Havre, MT",43.95,10565.0
"Libby, MT",37.93,9563.0
"Cut Bank, MT",43.95,10207.0
"Kalispell, MT",37.93,56452.0
"Missoula, MT",34.57,67682.0
"Butte-Silver Bowe, MT",28.6,5408.0
"Butte-Silver Bowe, MT",34.14,25629.0
"Bozeman, MT",28.81,54499.0
"Harlowton, MT",31.98,2139.0
"Butte-Silver Bowe, MT",34.14,33212.0
"Miles City, MT",35.76,5644.0
"Sidney, MT",32.19,10698.0
"Jordan, MT",35.76,535.0
"Wolf Point, MT",35.76,5525.0
"Baker, MT",35.76,1248.0
"Colstrip, MT",35.76,5287.0
"Buffalo, SD",37.81,1137.0
"Sheridan, WY",34.09,21926.0
"Scobey, MT",35.76,891.0
"Lewistown, MT",35.76,5465.0
"Glasgow, MT",35.76,5406.0
"Glendive, MT",34.69,5500.0
"Billings, MT",30.91,75302.0
"Plentywood, MT",35.76,1782.0
"Pine Ridge, SD",41.08,8991.0
"Oshkosh, NE",43.9,904.0
"Ainsworth, NE",43.9,2395.0
"Scottsbluff, NE",43.9,25527.0
"O'Neill, NE",43.46,5743.0
"Valentine, NE",42.5,3190.0
"Cheyenne, WY",29.98,44219.0
"Yankton, SD",29.61,23837.0
"West Point, NE",39.98,8970.0
"Norfolk, NE",39.98,20166.0
"Columbus, NE",39.42,21856.0
"Ord, NE",36.02,3854.0
"Grand Island, NE",36.02,29912.0
"Kearney, NE",37.93,21795.0
"Broken Bow, NE",36.16,5087.0
"North Platte, NE",38.3,14751.0
"Lexington, NE",38.24,19570.0
"McCook, NE",38.3,8082.0
"Hastings, NE",38.05,16444.0
"Superior, NE",37.05,4221.0
"Nebraska City, NE",36.16,14825.0
"Lincoln, NE",30.59,154347.0
"York, NE",36.16,9937.0
"Reno, NV",28.1,252688.0
"Winnemucca, NV",40.34,11057.0
"Elko, NV",40.34,30149.0
"Hawthorne, NV",40.34,2433.0
"Claremont, NH",30.88,113492.0
"Berlin, NH",30.27,39624.0
"Keene, NH",30.52,51294.0
"Philadelphia, PA",29.19,2335464.0
"Newark, NJ",26.61,2275035.0
"Brick Township, NJ",22.24,475317.0
"Albuquerque, NM",37.61,380104.0
"Santa Fe, NM",36.2,106134.0
"Santa Rosa, NM",42.36,2831.0
"Las Vegas, NM",42.11,20152.0
"Clayton, NM",46.23,1727.0
"Alamogordo, NM",49.64,32552.0
"Clovis, NM",45.93,30033.0
"Tucumcari, NM",46.23,4481.0
"Deming, NM",45.69,22230.0
"Socorro, NM",45.69,7750.0
"Truth or Consequences, NM",45.69,4772.0
"El Paso, TX",52.8,371002.0
"Roswell, NM",44.5,45887.0
"Hobbs, NM",40.17,34462.0
"Watertown, NY",36.19,100002.0
"Plattsburgh, NY",33.58,66168.0
"Amsterdam, NY",37.89,46604.0
"Albany, NY",26.57,476741.0
"Syracuse, NY",32.92,433242.0
"Oneonta, NY",33.26,65541.0
"Elmira, NY",34.06,145153.0
"Buffalo, NY",32.47,1007471.0
"Binghamton, NY",35.87,121779.0
"Olean, NY",42.51,73514.0
"Erie, PA",40.09,250260.0
"Poughkeepsie, NY",28.95,357566.0
"New York, NY",32.53,4507710.0
"Galax, VA",47.51,24729.0
"North Wilkesboro, NC",47.12,39771.0
"Boone, NC",46.71,35924.0
"Winston-Salem, NC",37.86,244674.0
"Morganton, NC",46.04,70106.0
"Raleigh, NC",28.34,841146.0
"Greensboro, NC",38.53,499786.0
"Henderson, NC",49.64,26709.0
"Roanoke Rapids, NC",48.02,50066.0
"Washington, NC",36.88,54896.0
"Virginia Beach, VA",28.83,476823.0
"Greenville, NC",41.4,258883.0
"Rocky Mount, NC",49.99,83728.0
"Hickory, NC",39.03,181110.0
"Gastonia, NC",41.46,188621.0
"Spartanburg, SC",43.44,162740.0
"Asheville, NC",41.25,179608.0
"Cullowhee, NC",45.59,28969.0
"Charlotte, NC",30.25,826001.0
"Fayetteville, NC",45.37,284231.0
"Goldsboro, NC",44.18,93626.0
"Wilmington, NC",32.23,228608.0
"Bismarck, ND",29.8,59609.0
"Elgin, ND",30.09,1508.0
"Belcourt, ND",30.88,8004.0
"Minot, ND",29.67,38360.0
"McLaughlin, SD",34.51,3858.0
"Dickinson, ND",30.09,14446.0
"Williston, ND",30.05,12821.0
"Rugby, ND",33.1,5092.0
"Lemmon, SD",33.34,4221.0
"Steele, ND",29.67,1402.0
"Linton, ND",29.67,5108.0
"Bowman, ND",30.09,2147.0
"Cooperstown, ND",39.44,953.0
"Carrington, ND",39.44,2264.0
"Lisbon, ND",39.44,5600.0
"Jamestown, ND",39.44,13424.0
"Devils Lake, ND",39.34,8171.0
"Lima, OH",37.11,99642.0
"Defiance, OH",33.74,36945.0
"Findlay, OH",37.14,95928.0
"Lorain, OH",35.68,178969.0
"Cleveland, OH",32.96,1081080.0
"Youngstown, OH",41.57,307086.0
"Canton, OH",36.71,283103.0
"Mansfield, OH",37.01,122478.0
"Dayton, OH",36.68,480973.0
"Columbus, OH",31.16,814170.0
"Zanesville, OH",43.17,75446.0
"Wheeling, WV",42.35,72815.0
"Steubenville, OH",42.09,48508.0
"Parkersburg, WV",42.01,82860.0
"Washington, OH",47.57,43951.0
"Portsmouth, OH",47.93,85778.0
"Athens, OH",50.53,55559.0
"Tulsa, OK",38.91,411718.0
"Okmulgee, OK",50.73,20895.0
"Muskogee, OK",50.84,61828.0
"Elk City, OK",46.58,20636.0
"Altus, OK",46.58,16250.0
"Enid, OK",39.47,39020.0
"Woodward, OK",33.06,9789.0
"Oklahoma City, OK",38.61,571899.0
"Frederick, OK",47.43,3242.0
"Chickasha, OK",38.88,32944.0
"Lawton, OK",47.43,59909.0
"Ardmore, OK",49.5,50700.0
"Sherman, TX",38.74,77508.0
"Ada, OK",49.67,29412.0
"Stillwater, OK",49.53,31760.0
"Enterprise, OR",42.15,2780.0
"Kennewick, WA",34.52,163333.0
"La Grande, OR",42.15,15814.0
"City of the Dalles, OR",37.93,31750.0
"Bend, OR",30.68,103108.0
"Condon, OR",37.93,1692.0
"John Day, OR",37.93,3912.0
"Lakeview, OR",51.43,2904.0
"Burns, OR",51.43,2991.0
"Portland, OR",26.09,960695.0
"Newport, OR",35.89,31630.0
"Longview, WA",38.32,101860.0
"Eugene, OR",37.02,436782.0
"Roseburg, OR",41.39,75495.0
"Medford, OR",40.85,125070.0
"St. Marys borough, PA",41.83,15215.0
"State College borough, PA",37.87,125871.0
"Williamsport, PA",39.13,89805.0
"Scranton, PA",38.11,348548.0
"Allentown, PA",29.47,294840.0
"Harrisburg, PA",30.35,483464.0
"Sunbury, PA",38.56,78788.0
"Pittsburgh, PA",31.17,1068456.0
"Altoona, PA",39.46,154521.0
"Reading, PA",31.19,484698.0
"Greenville, SC",38.2,445029.0
"Columbia, SC",36.75,337901.0
"Sumter, SC",48.56,79619.0
"Bennettsville, SC",45.97,30472.0
"Barnwell, SC",53.4,24962.0
"Florence, SC",43.37,290958.0
"Charleston, SC",30.64,326103.0
"Gettysburg, SD",40.06,1085.0
"Rapid City, SD",33.62,73311.0
"Rosebud, SD",40.06,4551.0
"Philip, SD",40.06,2129.0
"North Eagle Butte, SD",40.06,3507.0
"Murdo, SD",40.06,501.0
"Parkston, SD",42.96,7990.0
"Miller, SD",37.68,2212.0
"Mitchell, SD",42.96,10576.0
"Chamberlain, SD",42.96,4323.0
"Winner, SD",42.96,4323.0
"Pierre, SD",42.96,7990.0
"Madison, SD",35.37,6177.0
"Watertown, SD",35.37,17400.0
"Brookings, SD",35.37,17682.0
"Huron, SD",35.45,7993.0
"Sisseton, SD",35.45,8641.0
"Aberdeen, SD",35.45,21819.0
"Sioux Falls, SD",25.83,107351.0
"Mobridge, SD",35.45,3197.0
"Dyersburg, TN",47.56,37938.0
"Jackson, TN",51.58,77995.0
"Paris, TN",41.47,58444.0
"Nashville-Davidson, TN",27.78,713054.0
"Lexington, TN",52.78,17602.0
"Columbia, TN",41.73,72845.0
"Crossville, TN",49.23,47272.0
"Cookeville, TN",48.65,47279.0
"McMinnville, TN",49.24,38310.0
"Knoxville, TN",35.72,358013.0
"Johnson City, TN",42.81,254249.0
"Morristown, TN",44.92,105499.0
"Cleveland, TN",46.9,93191.0
"Tullahoma, TN",37.63,63306.0
"Dumas, TX",44.11,13517.0
"Childress, TX",42.48,4050.0
"Wellington, TX",44.11,3594.0
"Littlefield, TX",48.11,10809.0
"Pampa, TX",44.11,24221.0
"Memphis, TX",44.11,3985.0
"Plainview, TX",48.93,18656.0
"Amarillo, TX",37.04,106730.0
"Perryton, TX",44.11,7422.0
"Lubbock, TX",40.53,133993.0
"Matador, TX",50.05,508.0
"Stamford, TX",41.67,5769.0
"Graham, TX",35.95,11540.0
"Seymour, TX",35.52,1655.0
"Fort Worth, TX",32.08,899279.0
"Vernon, TX",35.52,8510.0
"Wichita Falls, TX",39.11,56909.0
"Dallas, TX",28.74,1823938.0
"Paris, TX",40.35,80244.0
"Longview, TX",45.38,116389.0
"Tyler, TX",44.25,174925.0
"Abilene, TX",39.12,78731.0
"Waco, TX",41.95,117159.0
"Sweetwater, TX",42.22,7757.0
"Stephenville, TX",38.58,24008.0
"Snyder, TX",42.22,10388.0
"Austin, TX",23.13,905843.0
"Uvalde, TX",58.9,12214.0
"Marble Falls, TX",38.58,21734.0
"Fort Stockton, TX",38.83,6922.0
"Odessa, TX",33.93,131904.0
"Brownwood, TX",38.58,24796.0
"Junction, TX",38.59,3032.0
"Killeen, TX",39.74,176558.0
"Brady, TX",38.59,10639.0
"Mason, TX",38.59,1690.0
"San Angelo, TX",39.03,48645.0
"Big Spring, TX",38.59,24310.0
"Alpine, TX",38.91,5527.0
"Del Rio, TX",62.04,16393.0
"Van Horn, TX",38.91,889.0
"Pecos, TX",38.91,9466.0
"Lufkin, TX",46.28,72962.0
"Bryan, TX",41.42,102576.0
"La Grange, TX",35.87,18448.0
"Houston, TX",34.86,2356785.0
"Corsicana, TX",44.6,35110.0
"Beaumont, TX",43.94,182216.0
"Nacogdoches, TX",51.01,36771.0
"Lake Jackson, TX",31.01,158105.0
"Victoria, TX",41.46,67216.0
"Beeville, TX",42.81,16685.0
"Gonzales, TX",39.6,7775.0
"San Antonio, TX",37.44,903360.0
"Pearsall, TX",40.18,9702.0
"Kerrville, TX",34.56,30617.0
"Eagle Pass, TX",62.5,15716.0
"Crystal City, TX",62.5,7241.0
"Laredo, TX",55.0,79363.0
"Corpus Christi, TX",42.97,194834.0
"Brownsville, TX",60.65,393022.0
"Rock Springs, WY",32.84,38793.0
"Salt Lake City, UT",30.06,643567.0
"Price, UT",40.12,27317.0
"Moab, UT",39.79,3989.0
"Vernal, UT",39.79,18570.0
"St. George, UT",40.5,72319.0
"Loa, UT",40.5,1382.0
"Richfield, UT",40.5,13934.0
"Provo, UT",36.6,193620.0
"Burlington, VT",26.95,135010.0
"Richmond, VA",26.8,499902.0
"Winchester, VA",27.03,58733.0
"Bluefield, WV",50.39,71426.0
"Big Stone Gap, VA",56.4,30001.0
"Roanoke, VA",39.2,192134.0
"Staunton, VA",33.36,82026.0
"Martinsville, VA",44.7,37411.0
"Harrisonburg, VA",33.79,80196.0
"Charlottesville, VA",28.17,132624.0
"Fredericksburg, VA",23.07,126648.0
"Lynchburg, VA",37.41,93863.0
"South Boston, VA",44.59,57795.0
"Newport News, VA",31.0,250727.0
"Chincoteague, VA",26.47,22539.0
"Colonial Beach, VA",26.47,25881.0
"Bellingham, WA",32.91,91196.0
"Friday Harbor, WA",25.1,7136.0
"Seattle, WA",22.35,1931098.0
"Yakima, WA",42.52,103063.0
"Spokane, WA",41.6,40643.0
"Wenatchee, WA",38.81,45791.0
"Moses Lake, WA",43.88,43049.0
"Port Angeles, WA",35.54,46504.0
"Morgantown, WV",36.24,115435.0
"Buckhannon, WV",46.85,16608.0
"Elkins, WV",46.66,24736.0
"Summersville, WV",46.06,23581.0
"Spencer, WV",41.04,9281.0
"Charleston, WV",40.98,130533.0
"Beckley, WV",46.51,68170.0
"Welch, WV",52.93,17722.0
"Amery, WI",35.71,26361.0
"Ashland, WI",36.88,20534.0
"Rice Lake, WI",36.07,41928.0
"Wausau, WI",31.13,165755.0
"Madison, WI",25.95,297711.0
"Green Bay, WI",30.88,142543.0
"Antigo, WI",31.13,27902.0
"Rhinelander, WI",31.12,30235.0
"Monroe, WI",34.13,48365.0
"Milwaukee, WI",31.46,722532.0
"Racine, WI",30.77,256678.0
"Sheboygan, WI",28.71,82188.0
"Appleton, WI",29.42,246150.0
"Lusk, WY",33.52,1162.0
"Gillette, WY",33.52,22496.0
"Torrington, WY",33.52,10393.0
"Cody, WY",32.92,18013.0
"Casper, WY",34.36,36154.0
"Worland, WY",33.52,6427.0
"Riverton, WY",34.53,16264.0
"Rawlins, WY",34.53,7139.0
