date,ELEC.SALES.US-RES.M,ELEC.SALES.US-COM.M,ELEC.SALES.US-IND.M
2021-07-01,155325.12257,127403.83589,89391.03017
2021-08-01,158651.32152,130998.08354,90176.20862
2021-09-01,131863.863,118793.16871,84825.10308
2021-10-01,104580.8024,112160.77095,84035.94156
2021-11-01,101030.15028,103310.97538,81528.27797
2021-12-01,118084.63095,106357.29962,81618.12528
2022-01-01,140593.60425,112247.71503,83286.06042
2022-02-01,126230.10856,101560.8456,75917.05604
2022-03-01,112303.04625,107705.95853,82902.11488
2022-04-01,98449.32557,103690.4005,81194.6049
2022-05-01,110482.20116,111203.17353,84892.14236
2022-06-01,137055.26678,119850.14514,88515.7413
2022-07-01,165125.58352,132105.30718,89352.04012
2022-08-01,160974.29976,133771.13045,91554.99021
