date,P_Treasury_Bonds,P_Agency_Bonds,P_Corporate_Bonds,P_Corporate_Stocks,P_Foreign_Bonds,P_Foreign_Stocks,S_Treasury_Bonds,S_Agency_Bonds,S_Corporate_Bonds,S_Corporate_Stocks,S_Foreign_Bonds,S_Foreign_Stocks
1993-02-01,238511.0,11306.0,10883.0,28764.0,55135.0,15121.0,240540.0,10218.0,8765.0,25993.0,64531.0,16659.0
1993-03-01,253984.0,13147.0,12110.0,27060.0,71154.0,17482.0,247406.0,13621.0,9644.0,24614.0,76022.0,21465.0
1993-04-01,190158.0,7970.0,13005.0,25121.0,55458.0,19435.0,185792.0,6294.0,9473.0,25452.0,59017.0,23442.0
1993-05-01,184226.0,10508.0,8817.0,23094.0,53415.0,16415.0,185385.0,7068.0,8446.0,22308.0,55956.0,20415.0
1993-06-01,234513.0,11726.0,12365.0,24310.0,62063.0,18601.0,240211.0,7878.0,8947.0,23467.0,71104.0,24282.0
1993-07-01,187166.0,13002.0,9736.0,24441.0,60311.0,19635.0,189037.0,11194.0,9536.0,25046.0,72722.0,26111.0
1993-08-01,263690.0,11203.0,11222.0,26133.0,63342.0,20381.0,249710.0,8756.0,7631.0,23693.0,69143.0,29074.0
1993-09-01,237560.0,13207.0,11846.0,23905.0,69701.0,21410.0,248420.0,7694.0,8598.0,23033.0,82265.0,26776.0
1993-10-01,217042.0,13870.0,14356.0,32629.0,66462.0,24754.0,212991.0,10232.0,9168.0,28072.0,72665.0,32250.0
1993-11-01,271648.0,17732.0,10860.0,31924.0,77469.0,28418.0,256425.0,12532.0,9013.0,28755.0,76052.0,35105.0
1993-12-01,157393.0,15399.0,12347.0,32766.0,72875.0,31023.0,156862.0,9363.0,7947.0,28293.0,82782.0,37527.0
1994-01-01,211831.0,15698.0,8743.0,32091.0,80287.0,33246.0,209793.0,12063.0,7578.0,28827.0,86953.0,38724.0
1994-02-01,268972.0,12553.0,9639.0,33817.0,86385.0,37700.0,256094.0,10927.0,7268.0,30348.0,88719.0,45234.0
1994-03-01,252158.0,16472.0,13764.0,35905.0,114961.0,37742.0,253129.0,15779.0,9311.0,35740.0,104522.0,43941.0
1994-04-01,191406.0,18732.0,10688.0,29261.0,67624.0,33035.0,206061.0,19153.0,8177.0,31075.0,71297.0,35336.0
1994-05-01,279925.0,15264.0,9089.0,25615.0,62317.0,30719.0,260445.0,11899.0,8561.0,24286.0,59673.0,34726.0
1994-06-01,221934.0,15712.0,15500.0,27016.0,66949.0,30676.0,225979.0,12703.0,7707.0,29261.0,64904.0,36897.0
1994-07-01,165126.0,14163.0,9846.0,24289.0,54456.0,29717.0,164117.0,12082.0,6946.0,25119.0,57234.0,32857.0
1994-08-01,272689.0,11970.0,11329.0,29179.0,60265.0,30837.0,256658.0,9330.0,6453.0,26365.0,60007.0,35213.0
1994-09-01,209042.0,9116.0,10142.0,28819.0,67329.0,37791.0,197100.0,9914.0,7086.0,30463.0,67963.0,37271.0
1994-10-01,209478.0,9906.0,9982.0,27811.0,58647.0,29867.0,199251.0,9082.0,7513.0,29852.0,63986.0,34294.0
1994-11-01,242156.0,10390.0,11957.0,28696.0,62540.0,28444.0,229041.0,7404.0,8027.0,27653.0,66036.0,30991.0
1994-12-01,186425.0,9294.0,9388.0,28094.0,66608.0,26332.0,174673.0,7254.0,7448.0,29727.0,66298.0,28693.0
1995-01-01,236033.0,9413.0,9966.0,25030.0,68281.0,26322.0,226455.0,7416.0,5210.0,25907.0,69091.0,26496.0
1995-02-01,265180.0,9654.0,13155.0,29476.0,61402.0,27161.0,251077.0,7711.0,8643.0,29695.0,63252.0,28276.0
1995-03-01,256520.0,10332.0,15058.0,35342.0,79173.0,28928.0,247309.0,7763.0,10125.0,37662.0,80068.0,31787.0
1995-04-01,181310.0,7470.0,10693.0,30100.0,53644.0,24519.0,174910.0,5384.0,8727.0,29232.0,54467.0,26657.0
1995-05-01,293589.0,9458.0,13372.0,38781.0,75222.0,29239.0,279074.0,7774.0,8857.0,36099.0,79726.0,32917.0
1995-06-01,294719.0,11448.0,16491.0,45445.0,96268.0,29131.0,272088.0,8841.0,9994.0,43219.0,103694.0,33547.0
1995-07-01,239382.0,10970.0,12941.0,42444.0,67194.0,28586.0,207511.0,8253.0,6696.0,40009.0,71343.0,36775.0
1995-08-01,274042.0,11885.0,12905.0,41908.0,71373.0,30871.0,247960.0,7441.0,9300.0,39366.0,75284.0,36827.0
1995-09-01,235545.0,12474.0,15713.0,44450.0,81034.0,28715.0,246603.0,7389.0,10370.0,44218.0,86549.0,36675.0
1995-10-01,255986.0,10818.0,15655.0,41492.0,76922.0,29382.0,251319.0,9468.0,9731.0,42860.0,84981.0,34868.0
1995-11-01,252151.0,12130.0,19512.0,42003.0,78661.0,30317.0,236692.0,8140.0,12601.0,39071.0,85152.0,32035.0
1995-12-01,196701.0,9401.0,12619.0,46479.0,80367.0,32369.0,206045.0,11144.0,9973.0,44372.0,84339.0,38971.0
1996-01-01,285332.0,8884.0,15618.0,41977.0,84605.0,32994.0,272160.0,6251.0,10848.0,40167.0,88952.0,39487.0
1996-02-01,327247.0,11912.0,19332.0,50372.0,95095.0,36948.0,309267.0,8233.0,13478.0,48907.0,96373.0,42654.0
1996-03-01,260703.0,8163.0,22372.0,51940.0,93057.0,35684.0,249062.0,7889.0,13959.0,51178.0,99091.0,45948.0
1996-04-01,219052.0,7157.0,15597.0,50585.0,81138.0,37254.0,207666.0,6088.0,10290.0,46687.0,81697.0,44009.0
1996-05-01,269234.0,11911.0,21796.0,54304.0,82224.0,42834.0,255135.0,8600.0,13682.0,52888.0,83057.0,46056.0
1996-06-01,223775.0,12186.0,21441.0,40993.0,82586.0,36254.0,215205.0,7938.0,15851.0,39695.0,85571.0,44619.0
1996-07-01,329200.0,9054.0,16883.0,47225.0,80566.0,37169.0,283809.0,4736.0,10761.0,50971.0,84720.0,41845.0
1996-08-01,265554.0,11671.0,19690.0,42886.0,84114.0,33434.0,254578.0,7172.0,11400.0,40937.0,89563.0,34961.0
1996-09-01,365691.0,11320.0,24621.0,39634.0,112406.0,30837.0,352261.0,7203.0,15007.0,39731.0,117845.0,32646.0
1996-10-01,396819.0,14221.0,24915.0,54427.0,116431.0,39643.0,372698.0,10303.0,17509.0,53633.0,122436.0,42143.0
1996-11-01,361830.0,18959.0,25703.0,62341.0,103522.0,46049.0,344627.0,12366.0,19055.0,59970.0,106675.0,48307.0
1996-12-01,378503.0,15683.0,24864.0,54030.0,98291.0,41265.0,334231.0,12619.0,17249.0,53439.0,109424.0,46958.0
1997-01-01,394494.0,18063.0,26271.0,81232.0,110111.0,47709.0,377347.0,13851.0,19681.0,78365.0,110366.0,51124.0
1997-02-01,419611.0,15948.0,31373.0,75562.0,109261.0,53679.0,394342.0,10628.0,22015.0,71190.0,110934.0,59001.0
1997-03-01,384664.0,13331.0,27786.0,73254.0,128810.0,51033.0,364582.0,9604.0,22559.0,71756.0,131907.0,55359.0
1997-04-01,400424.0,16276.0,23952.0,75469.0,116824.0,50385.0,374769.0,10089.0,18112.0,68729.0,111149.0,54503.0
1997-05-01,410623.0,16121.0,28052.0,88077.0,119586.0,59202.0,403772.0,12993.0,21288.0,81731.0,120648.0,63009.0
1997-06-01,442216.0,18700.0,37181.0,90807.0,113892.0,67498.0,419719.0,16844.0,27170.0,81104.0,127945.0,73344.0
1997-07-01,385918.0,27542.0,34717.0,95664.0,130491.0,70898.0,382923.0,21728.0,24058.0,84655.0,141620.0,78838.0
1997-08-01,450374.0,30814.0,31375.0,99175.0,120659.0,63701.0,425892.0,23131.0,24942.0,91623.0,126491.0,71621.0
1997-09-01,397027.0,22110.0,28177.0,96182.0,117264.0,66853.0,381527.0,20338.0,20773.0,87422.0,124897.0,65369.0
1997-10-01,506334.0,26126.0,31808.0,122428.0,157818.0,81073.0,489152.0,18251.0,25936.0,122680.0,158825.0,83946.0
1997-11-01,352968.0,28563.0,23659.0,96441.0,112036.0,73525.0,337059.0,29121.0,19672.0,90969.0,116902.0,71818.0
1997-12-01,320492.0,25702.0,26522.0,103667.0,114979.0,70462.0,329890.0,22865.0,20309.0,98137.0,118191.0,69025.0
1998-01-01,416203.0,29850.0,27704.0,100282.0,100733.0,63651.0,410972.0,25860.0,19235.0,93156.0,100835.0,63532.0
1998-02-01,375861.0,35886.0,31547.0,106988.0,100027.0,68852.0,366118.0,27750.0,22795.0,97501.0,105020.0,70124.0
1998-03-01,426977.0,35345.0,34913.0,136184.0,128482.0,81370.0,431429.0,25502.0,25193.0,122769.0,133020.0,83255.0
1998-04-01,374585.0,37864.0,39394.0,134177.0,118339.0,80791.0,369724.0,30248.0,22198.0,130628.0,130416.0,82918.0
1998-05-01,403694.0,31779.0,33765.0,129562.0,110397.0,81280.0,382199.0,28645.0,24641.0,121357.0,113071.0,84469.0
1998-06-01,456258.0,38153.0,35287.0,135701.0,148806.0,83250.0,454701.0,31361.0,20705.0,133855.0,159901.0,81809.0
1998-07-01,380965.0,44021.0,33366.0,152834.0,118921.0,82415.0,383152.0,41766.0,22712.0,150317.0,115840.0,85922.0
1998-08-01,494430.0,41459.0,25083.0,129477.0,135075.0,68228.0,510181.0,37842.0,20585.0,129537.0,133789.0,63847.0
1998-09-01,554963.0,64765.0,35921.0,137424.0,152881.0,89590.0,560233.0,64873.0,27828.0,147901.0,149497.0,83481.0
1998-10-01,531532.0,77009.0,31710.0,145591.0,102202.0,90509.0,533725.0,82656.0,22847.0,142835.0,86222.0,82467.0
1998-11-01,448427.0,54512.0,27245.0,126268.0,55542.0,70048.0,422971.0,44857.0,15547.0,119169.0,56459.0,72792.0
1998-12-01,290260.0,33741.0,25327.0,139208.0,56845.0,69585.0,279711.0,26222.0,15046.0,134651.0,61529.0,68741.0
1999-01-01,378603.0,45384.0,23335.0,156137.0,56072.0,77984.0,381489.0,36782.0,17126.0,152638.0,58376.0,74689.0
1999-02-01,405890.0,42014.0,33155.0,159703.0,66198.0,74004.0,420513.0,38319.0,17868.0,155565.0,66453.0,70948.0
1999-03-01,418560.0,42645.0,34543.0,179803.0,76129.0,95302.0,417028.0,30831.0,21500.0,176841.0,74419.0,93519.0
1999-04-01,347181.0,41749.0,28295.0,222903.0,73376.0,98607.0,350452.0,30486.0,17030.0,205311.0,78523.0,93104.0
1999-05-01,397876.0,36732.0,29826.0,185647.0,72372.0,86345.0,392238.0,30170.0,18975.0,177130.0,72871.0,83890.0
1999-06-01,378389.0,41299.0,26961.0,179791.0,79013.0,97622.0,378998.0,36271.0,15926.0,167885.0,70168.0,91402.0
1999-07-01,335265.0,39295.0,37132.0,187705.0,63975.0,106244.0,341501.0,31792.0,16190.0,179386.0,68752.0,108442.0
1999-08-01,398104.0,39952.0,25055.0,178051.0,70061.0,91801.0,378986.0,34432.0,12229.0,165889.0,76482.0,91203.0
1999-09-01,318692.0,43599.0,32490.0,175193.0,66661.0,97384.0,318602.0,33707.0,15193.0,171908.0,65529.0,96559.0
1999-10-01,305910.0,48080.0,32446.0,218983.0,62533.0,96523.0,315643.0,38810.0,16310.0,211213.0,63853.0,104729.0
1999-11-01,358756.0,40178.0,33796.0,240329.0,59650.0,129534.0,362371.0,32182.0,18650.0,221911.0,60162.0,125718.0
1999-12-01,244912.0,25073.0,31658.0,256414.0,52227.0,125953.0,240270.0,20018.0,21303.0,247460.0,48355.0,127460.0
2000-01-01,342747.0,45483.0,33660.0,263946.0,62186.0,134494.0,333176.0,39819.0,19147.0,253365.0,65684.0,133411.0
2000-02-01,415262.0,59708.0,38604.0,293110.0,74194.0,176332.0,409699.0,45976.0,23479.0,265365.0,76366.0,184949.0
2000-03-01,374673.0,59366.0,46816.0,402373.0,84033.0,179305.0,391544.0,44622.0,32021.0,378141.0,87809.0,187574.0
2000-04-01,335420.0,61185.0,27370.0,309778.0,63921.0,154830.0,320900.0,52168.0,18683.0,306474.0,63129.0,154805.0
2000-05-01,330778.0,57950.0,31810.0,268500.0,79214.0,146598.0,337796.0,44079.0,24133.0,262187.0,74611.0,138292.0
2000-06-01,291954.0,53146.0,54173.0,300356.0,82907.0,152855.0,309886.0,46677.0,28438.0,282563.0,77255.0,156681.0
2000-07-01,238870.0,53485.0,34095.0,271572.0,68404.0,136467.0,244931.0,43307.0,23703.0,255999.0,74944.0,151958.0
2000-08-01,261003.0,61079.0,46729.0,286819.0,74848.0,142850.0,261116.0,44768.0,24746.0,262546.0,77577.0,142526.0
2000-09-01,287803.0,64605.0,41779.0,297677.0,92190.0,148564.0,296610.0,48208.0,28017.0,289118.0,91906.0,138797.0
2000-10-01,352223.0,64319.0,38941.0,339995.0,98505.0,152872.0,355212.0,46133.0,25553.0,323659.0,102176.0,150257.0
2000-11-01,303634.0,72605.0,42353.0,284909.0,94817.0,141601.0,317740.0,54262.0,23334.0,275855.0,86625.0,136598.0
2000-12-01,336144.0,75999.0,43126.0,286161.0,83713.0,135417.0,345933.0,66069.0,24074.0,275034.0,84904.0,139425.0
2001-01-01,470728.0,86121.0,52121.0,300629.0,116783.0,147050.0,479355.0,72847.0,38412.0,276851.0,118705.0,149895.0
2001-02-01,409898.0,80292.0,67337.0,258218.0,102395.0,129789.0,402684.0,70765.0,37836.0,248783.0,101160.0,133220.0
2001-03-01,446523.0,104309.0,65541.0,284280.0,115671.0,132858.0,441626.0,84765.0,38838.0,276852.0,116966.0,142592.0
2001-04-01,434782.0,88033.0,60897.0,249736.0,93824.0,120555.0,448493.0,72563.0,39167.0,243109.0,88341.0,124998.0
2001-05-01,464403.0,85083.0,84445.0,276905.0,101383.0,135478.0,461327.0,78133.0,51013.0,259584.0,99116.0,143225.0
2001-06-01,391897.0,91203.0,66954.0,259622.0,101950.0,119764.0,395342.0,74297.0,51928.0,249184.0,100902.0,126306.0
2001-07-01,382161.0,85388.0,54013.0,244887.0,91585.0,114292.0,393655.0,72912.0,39086.0,233412.0,85956.0,120632.0
2001-08-01,426754.0,99946.0,57739.0,247297.0,88714.0,96415.0,421918.0,87910.0,45028.0,239594.0,78179.0,98520.0
2001-09-01,388087.0,110430.0,45728.0,193492.0,87083.0,99588.0,389221.0,102602.0,35546.0,205024.0,76757.0,97257.0
2001-10-01,487602.0,125029.0,67432.0,255679.0,94591.0,105799.0,471879.0,97752.0,53841.0,248418.0,95345.0,108896.0
2001-11-01,589043.0,120631.0,66364.0,241311.0,96131.0,108043.0,576681.0,106558.0,49581.0,228139.0,97235.0,105248.0
2001-12-01,375852.0,125184.0,52470.0,239276.0,69992.0,88033.0,367035.0,116555.0,38810.0,225992.0,70938.0,96988.0
2002-01-01,529951.0,125770.0,59067.0,263348.0,94681.0,103518.0,545229.0,118063.0,43815.0,254755.0,100220.0,99570.0
2002-02-01,455826.0,115033.0,53809.0,267128.0,90167.0,95609.0,446978.0,108685.0,46171.0,264938.0,87915.0,98287.0
2002-03-01,583760.0,137443.0,82434.0,293998.0,109872.0,116719.0,564428.0,117883.0,55902.0,287126.0,102541.0,111045.0
2002-04-01,563822.0,145612.0,71798.0,279834.0,99876.0,115294.0,572656.0,121189.0,53947.0,272090.0,99482.0,118441.0
2002-05-01,658689.0,139430.0,80191.0,282362.0,125354.0,113650.0,648162.0,121063.0,53547.0,282677.0,118029.0,121465.0
2002-06-01,570020.0,133771.0,70749.0,256039.0,118968.0,111896.0,555697.0,121707.0,49788.0,252020.0,113394.0,116813.0
2002-07-01,733113.0,164425.0,56690.0,318232.0,120870.0,139362.0,708755.0,152609.0,52772.0,308575.0,113148.0,126011.0
2002-08-01,688585.0,156965.0,63949.0,257270.0,112167.0,92759.0,684238.0,139551.0,49457.0,252658.0,113916.0,89681.0
2002-09-01,674601.0,153124.0,55478.0,206763.0,126078.0,87083.0,652931.0,132067.0,51604.0,213226.0,125014.0,86318.0
2002-10-01,655578.0,147403.0,69768.0,297196.0,121725.0,100763.0,649492.0,125208.0,59993.0,293577.0,114860.0,106919.0
2002-11-01,662526.0,164459.0,93992.0,264363.0,136226.0,101915.0,641463.0,146067.0,71797.0,257887.0,133992.0,102889.0
2002-12-01,487979.0,144537.0,62822.0,223227.0,116255.0,89226.0,474500.0,128735.0,49644.0,220042.0,121236.0,91848.0
2003-01-01,517876.0,141693.0,73424.0,216867.0,118224.0,95017.0,516104.0,117973.0,49984.0,219719.0,112933.0,101798.0
2003-02-01,535880.0,129951.0,64848.0,201798.0,103009.0,84371.0,539090.0,120571.0,52060.0,203875.0,91146.0,88449.0
2003-03-01,664772.0,209796.0,84614.0,237095.0,139890.0,91679.0,637891.0,195087.0,57707.0,234286.0,140046.0,96617.0
2003-04-01,516360.0,114599.0,74534.0,233502.0,104507.0,96763.0,507695.0,96638.0,52483.0,229036.0,101066.0,94495.0
2003-05-01,744699.0,142161.0,91872.0,273601.0,131966.0,95410.0,702914.0,116467.0,64494.0,266951.0,128708.0,107182.0
2003-06-01,759496.0,142242.0,92129.0,311508.0,131808.0,114994.0,719945.0,134323.0,71063.0,302211.0,137492.0,121210.0
2003-07-01,802093.0,133264.0,85792.0,266737.0,139310.0,119903.0,751397.0,121030.0,59720.0,276273.0,127845.0,128437.0
2003-08-01,824804.0,115019.0,74199.0,252767.0,97982.0,103466.0,808053.0,106342.0,57635.0,241022.0,95155.0,117928.0
2003-09-01,712998.0,91905.0,84549.0,262914.0,137905.0,122756.0,706252.0,92033.0,64345.0,269103.0,125987.0,135565.0
2003-10-01,755416.0,88182.0,88884.0,305947.0,134101.0,143321.0,744914.0,76860.0,68193.0,307298.0,144626.0,154957.0
2003-11-01,577741.0,65405.0,85480.0,257717.0,105035.0,122075.0,542189.0,56160.0,56915.0,248935.0,112558.0,125008.0
2003-12-01,589382.0,66072.0,79598.0,283779.0,113545.0,114809.0,561493.0,51005.0,59581.0,270786.0,107674.0,121505.0
2004-01-01,659121.0,91522.0,81309.0,305887.0,144718.0,127228.0,613128.0,65506.0,70176.0,294811.0,148267.0,137386.0
2004-02-01,662429.0,102346.0,91047.0,301834.0,135809.0,134384.0,636271.0,82005.0,71286.0,299743.0,143999.0,140100.0
2004-03-01,803376.0,117318.0,114383.0,358378.0,156701.0,172807.0,752161.0,117942.0,87874.0,368130.0,155860.0,170872.0
2004-04-01,815613.0,121181.0,90132.0,348557.0,108725.0,151946.0,765253.0,95084.0,71138.0,348081.0,102695.0,161799.0
2004-05-01,769294.0,125805.0,87444.0,329686.0,109317.0,143286.0,740652.0,106591.0,66933.0,335189.0,110615.0,149741.0
2004-06-01,713758.0,110425.0,94826.0,314560.0,109716.0,140360.0,668411.0,96600.0,67437.0,310822.0,110787.0,148618.0
2004-07-01,647974.0,122036.0,97335.0,335518.0,105341.0,129316.0,635323.0,102764.0,68830.0,328097.0,115105.0,138432.0
2004-08-01,769582.0,87388.0,87441.0,262735.0,109220.0,124465.0,756187.0,69897.0,62678.0,265044.0,116798.0,125255.0
2004-09-01,788602.0,79263.0,109666.0,273164.0,114847.0,113329.0,771563.0,70837.0,64608.0,276510.0,140256.0,117824.0
2004-10-01,698172.0,82829.0,90198.0,322610.0,123141.0,131727.0,678969.0,60891.0,70458.0,319707.0,128735.0,141929.0
2004-11-01,844569.0,94787.0,110037.0,356270.0,122588.0,151624.0,810847.0,66989.0,83848.0,342528.0,126585.0,159401.0
2004-12-01,763555.0,74481.0,117597.0,352844.0,118920.0,143604.0,755201.0,47874.0,76649.0,344905.0,127213.0,157689.0
