date,M2,Monetary Base,Currency,Reserve Balances,Demand Deposits
2013-01-01,63.7808,16.62,7.02701,9.92281,5.67399
2013-02-01,63.3305,17.169,7.03102,10.4596,5.4911
2013-03-01,63.9193,17.6295,7.05602,10.8799,5.58259
2013-04-01,63.9849,18.0611,7.06926,11.3025,5.74512
2013-05-01,63.4163,18.662,7.10221,11.8669,5.64189
2013-06-01,63.6972,19.1378,7.11891,12.3315,5.65436
2013-07-01,63.6418,19.5843,7.12163,12.7811,5.68683
2013-08-01,63.6882,20.1371,7.10892,13.3457,5.61948
2013-09-01,63.8068,20.567,7.11225,13.7662,5.65064
2013-10-01,64.2544,21.0735,7.13077,14.2533,5.94133
2013-11-01,64.2181,21.5315,7.13859,14.709,5.83078
2013-12-01,64.6597,21.6234,7.16728,14.7801,6.27617
2014-01-01,64.6321,21.685,7.15543,14.868,6.19056
2014-02-01,64.9268,22.2926,7.20814,15.4113,6.1701
2014-03-01,65.6406,22.5954,7.34341,15.5643,6.33979
2014-04-01,65.5407,22.7147,7.3408,15.6888,6.42601
2014-05-01,64.8097,22.4649,7.33018,15.4403,6.28317
2014-06-01,64.7658,22.5402,7.30827,15.5396,6.43548
2014-07-01,64.7324,22.6477,7.29601,15.6639,6.48357
2014-08-01,64.5559,23.0109,7.27427,16.0483,6.1737
2014-09-01,64.4774,22.7429,7.24491,15.808,6.41421
2014-10-01,64.7247,22.4297,7.26338,15.4724,6.53581
2014-11-01,65.0219,21.4275,7.33268,14.4052,6.45218
2014-12-01,65.7048,21.9656,7.41287,14.8833,6.95173
2015-01-01,65.5135,22.3637,7.42322,15.2851,6.61654
2015-02-01,65.819,21.3207,7.45904,14.1903,6.7118
2015-03-01,66.2395,22.3135,7.50352,15.1294,6.78107
2015-04-01,66.2409,22.3836,7.50126,15.2005,6.76624
2015-05-01,65.447,21.6908,7.49683,14.5087,6.47968
2015-06-01,65.4931,21.4423,7.47547,14.2841,6.65599
2015-07-01,65.6263,21.6218,7.48019,14.4609,6.72638
2015-08-01,65.7932,21.6982,7.49305,14.5204,6.62001
2015-09-01,66.0116,21.8921,7.52379,14.6797,6.52388
2015-10-01,66.1567,22.0526,7.56159,14.8044,6.45909
2015-11-01,66.8065,21.7472,7.62377,14.4393,6.64515
2015-12-01,67.4674,20.807,7.68098,13.4591,6.9373
2016-01-01,67.6351,20.5395,7.67164,13.2139,6.70226
2016-02-01,67.7337,20.9373,7.69748,13.5756,6.6421
2016-03-01,68.5283,21.0429,7.76209,13.6009,6.91787
2016-04-01,68.8035,20.8356,7.77497,13.3797,7.14068
2016-05-01,68.2072,20.5713,7.78776,13.1036,7.12663
2016-06-01,68.4107,20.4444,7.79405,12.9732,7.12602
2016-07-01,68.5174,20.0964,7.79298,12.6316,7.09034
