date,Goods,Services,Housing,ResInv,OTHSERV,SHELTER
2001-04-01,10.630459183547032,28.304490318198127,8.46351026615941,4.171690907097068,19.84098005203872,12.635201173256478
2001-07-01,10.678352163560353,28.27204926629533,8.476616269993984,4.186717429883989,19.795432996301347,12.663333699877974
2001-10-01,11.03489798906999,28.349266125103284,8.448287649488085,4.149297254180521,19.900978475615197,12.597584903668606
2002-01-01,10.992279298969853,28.413580678541432,8.389374646526818,4.276006083726331,20.024206032014614,12.665380730253148
2002-04-01,10.998319173054771,28.530388611595512,8.421644804078072,4.372345700244072,20.10874380751744,12.793990504322144
2002-07-01,11.10609704643381,28.574024187566412,8.427778660170697,4.374075070841952,20.146245527395717,12.801853731012649
2002-10-01,11.123087157857071,28.686546989423956,8.453248965068878,4.441898531679609,20.23329802435508,12.895147496748487
2003-01-01,11.161146370250718,28.757517016679316,8.449626813926985,4.5143114086122695,20.30789020275233,12.963938222539253
2003-04-01,11.379072185160538,28.862127441845193,8.457136519055803,4.576060066762112,20.40499092278939,13.033196585817915
2003-07-01,11.670060056543688,28.98134863837199,8.453510944612042,4.826326247648929,20.52783769375995,13.279837192260972
2003-10-01,11.746911639712899,29.07819651172716,8.501442793903196,4.958142689330136,20.576753717823966,13.459585483233333
2004-01-01,11.856229660271977,29.2622819534014,8.538842076097744,5.006016401961579,20.723439877303655,13.544858478059323
2004-04-01,11.871181230266284,29.390060192097177,8.55301344582949,5.15350304280189,20.837046746267685,13.70651648863138
2004-07-01,12.007803862664565,29.625958309359326,8.605970926167874,5.177373027663505,21.019987383191452,13.783343953831379
2004-10-01,12.13828778337079,29.853339260749046,8.713674420096078,5.235764028929065,21.139664840652966,13.949438449025143
2005-01-01,12.205353574311305,29.95835788976591,8.781139250977217,5.348051405674219,21.177218638788695,14.129190656651437
2005-04-01,12.359259942368887,30.165689342162754,8.883847457643208,5.435175381835579,21.281841884519547,14.319022839478786
2005-07-01,12.445357074216275,30.318413556139127,8.92936928000945,5.480796589505083,21.389044276129678,14.410165869514532
2005-10-01,12.387922387744402,30.362946921325268,8.885247793537193,5.456289836906153,21.477699127788075,14.341537630443346
2006-01-01,12.616732933657087,30.468140810108814,8.827453901524855,5.393382210449077,21.64068690858396,14.220836111973933
2006-04-01,12.606620716985296,30.61827732735449,8.899652534760246,5.111982897670811,21.718624792594245,14.011635432431058
2006-07-01,12.684658196183102,30.696389803899233,8.938170053219164,4.816497145575428,21.758219750680073,13.754667198794591
2006-10-01,12.829610972511238,30.83727137888263,8.884967858470253,4.58066857043118,21.95230352041238,13.465636428901433
2007-01-01,12.8912303869856,30.94501395447796,8.943336426181956,4.364618883935011,22.001677528296003,13.307955310116967
2007-04-01,12.892470717895657,30.961562184312825,8.964286772315633,4.1832466656188965,21.99727541199719,13.14753343793453
2007-07-01,12.940163262669147,31.093996527732948,9.009302347625825,3.9072545145363753,22.08469418010712,12.916556862162201
2007-10-01,12.932816297479569,31.16981620512764,9.024517965961762,3.573299252988643,22.14529823916588,12.597817218950404
2008-01-01,12.692441679917113,31.30586407419019,9.140498571844965,3.2818124965825812,22.165365502345225,12.422311068427547
2008-04-01,12.645662552205946,31.39153786808992,9.167489233867395,3.126288515566606,22.224048634222523,12.293777749434001
2008-07-01,12.350486440488874,31.28729000289879,9.125727887129877,2.9604662236361614,22.161562115768916,12.086194110766037
2008-10-01,11.946138294905824,31.265249399915874,9.17472003777848,2.666088324943924,22.090529362137396,11.840808362722404
2009-01-01,11.924864074829342,31.07898493356618,9.122995069794843,2.402665381727629,21.955989863771336,11.525660451522473
2009-04-01,11.823861351360426,30.883014512828492,9.07591135425046,2.250352776582545,21.80710315857803,11.326264130833005
2009-07-01,12.002330945098576,30.86243441859672,9.071630357600718,2.349493740479497,21.790804060996003,11.421124098080215
2009-10-01,11.910510172114368,30.820306450013934,9.134602020813412,2.339208528916259,21.685704429200523,11.47381054972967
2010-01-01,11.976168139473062,30.912299382603532,9.184188338944479,2.2592661973407355,21.72811104365905,11.443454536285214
2010-04-01,12.116446148290292,31.06235279113986,9.212594376105537,2.372130534211231,21.849758415034323,11.584724910316769
2010-07-01,12.181612246358993,31.211815121624845,9.25626997974548,2.157329902462487,21.955545141879366,11.413599882207967
2010-10-01,12.324261428846663,31.21993579036207,9.272942696286316,2.1882891393694726,21.94699309407575,11.46123183565579
2011-01-01,12.363581912550726,31.264425855037235,9.214888421513551,2.1769808307825396,22.049537433523685,11.391869252296091
2011-04-01,12.295762368066962,31.311737012761554,9.194737269002967,2.1976833132116202,22.116999743758587,11.392420582214587
