date,Consumer,Capital,B648RC
2011-01-01,16.362467637696607,16.14915365078572,8.358093499382557
2011-04-01,15.974122925384949,16.520411773200287,8.924227479784232
2011-07-01,16.435231715575704,16.75940877462481,8.527143570271987
2011-10-01,16.244098988674757,16.342467858845964,8.361658845280385
2012-01-01,16.305051948054242,16.463082829509684,8.25101231901653
2012-04-01,16.24462673663117,16.39208347249457,7.8466379670964
2012-07-01,16.337777858821823,16.365656230570615,7.152713512383784
2012-10-01,16.357093993419287,16.168251689945386,7.278901143790849
2013-01-01,16.03402024164171,16.080598574164668,6.885262268041097
2013-04-01,16.416863323643717,16.23747720187125,6.591000499189695
2013-07-01,16.18225349604953,15.89986683398946,6.549401594390772
2013-10-01,16.21025469314049,15.900338335907085,6.215402196601314
2014-01-01,16.3570463922947,16.540134930400438,6.575921633423976
