date,B020RC,B021RC,A191RC
2014-10-01,13.288009487105596,16.225878312453304,100.0
2015-01-01,12.717784488120614,15.67889841837642,100.0
2015-04-01,12.647526085511574,15.3877692493251,100.0
2015-07-01,12.320372632703494,15.225721983222087,100.0
2015-10-01,12.07341904246812,14.877723481096899,100.0
2016-01-01,11.750123464777436,14.584404722832362,100.0
2016-04-01,11.847561440519158,14.505351190972188,100.0
2016-07-01,11.986924051655302,14.644130565297777,100.0
2016-10-01,11.874272814338632,14.81214369317671,100.0
2017-01-01,12.002242159126077,14.977276956416455,100.0
2017-04-01,11.95032776592684,14.96595820898545,100.0
2017-07-01,12.034104736640936,14.841540541301256,100.0
2017-10-01,12.301616905744341,15.294300742359898,100.0
2018-01-01,12.282728118148551,15.4021103538389,100.0
