date,ST,MT,LT
2020-07-01,7.07207,2.53138,2.16881
2020-10-01,5.22921,2.49277,2.07431
2021-01-01,6.43778,2.55677,2.14106
2021-04-01,1.65979,2.57639,2.06187
2021-07-01,-0.443978,2.39629,2.00579
2021-10-01,0.949384,2.37778,1.97164
2022-01-01,-1.09139,2.07812,1.79979
2022-04-01,-2.00188,1.91098,1.75264
2022-07-01,-1.40004,1.76129,1.71755
2022-10-01,-1.46532,1.71783,1.75067
2023-01-01,0.0970944,1.70674,1.7149
2023-04-01,1.84618,1.90086,1.6973
2023-07-01,3.06918,2.10018,1.65111
2023-10-01,3.49507,2.32711,1.65076
2024-01-01,3.35149,2.18229,1.67229
2024-04-01,3.11995,2.20869,1.65704
2024-07-01,2.60456,2.13702,1.67232
2024-10-01,1.87604,1.99154,1.66138
2025-01-01,1.20871,1.96643,1.58035
2025-04-01,1.47926,1.20602,1.63595
2025-07-01,1.91982,1.13458,1.66247
