date,ELEC.GEN.COW-US-99.M,ELEC.GEN.NUC-US-99.M,ELEC.GEN.TSN-US-99.M,ELEC.GEN.HYC-US-99.M,ELEC.GEN.HPS-US-99.M,ELEC.GEN.NG-US-99.M,ELEC.GEN.WND-US-99.M,ELEC.GEN.GEO-US-99.M,ELEC.GEN.WWW-US-99.M,ELEC.GEN.WAS-US-99.M,ELEC.GEN.PEL-US-99.M,ELEC.GEN.PC-US-99.M,ELEC.GEN.ALL-US-99.M,ELEC.GEN.AOR-US-99.M,ELEC.GEN.OTH-US-99.M,ELEC.GEN.SUN-US-99.M,ELEC.GEN.OOG-US-99.M
2003-07-01,181852.318,69652.754,,24843.095,-745.14,76938.278,953.396,1227.969,3361.136,1404.17541,10541.883,1658.961,374396.05,7009.08341,1352.73259,62.407,1292.084
2003-08-01,185331.823,69023.878,,22972.03,-805.987,83249.694,815.429,1219.447,3309.866,1383.31461,10836.052,1642.158,381816.319,6790.04961,1492.55139,61.992,1284.07
2003-09-01,164910.002,63583.645,,18480.455,-769.142,59089.943,895.054,1203.498,3079.38,1303.16547,7114.339,1549.201,323135.534,6536.95547,1330.73453,55.857,1309.402
2003-10-01,159322.942,60016.207,,18428.423,-615.06,51824.169,897.161,1195.451,3138.891,1280.7485,6969.911,1640.311,306740.933,6547.6885,1315.0955,35.436,1291.247
2003-11-01,158223.194,59600.02,,19715.265,-695.409,45327.919,961.432,1151.237,3118.975,1284.95831,4938.633,1540.898,297866.711,6530.63431,1234.05969,14.031,1451.497
2003-12-01,176291.473,68611.699,,24044.33,-660.749,44034.895,1104.881,1267.837,3274.77,1415.33501,8039.851,1665.55,331680.43,7067.07501,1145.69299,4.251,1440.613
2004-01-01,180657.42054,70806.16,,22983.30588,-768.241,48253.37213,999.44521,1294.77675,3317.86061,1262.99724,13508.61138,1925.44938,346545.62699,6887.68937,1109.73254,12.60957,1182.12678
2004-02-01,161503.09216,64101.949,,20913.61671,-691.561,50319.87478,1021.56897,1214.12345,3019.53798,1223.1291,7701.04802,1664.77272,314279.90954,6489.22123,1084.35306,10.86173,1193.54286
2004-03-01,154288.41916,63285.116,,22914.28123,-653.318,49801.1869,1291.224,1241.00414,3124.11746,1291.3173,8098.08336,1633.75959,308812.09552,7000.59234,1152.27459,52.92945,1291.70035
2004-04-01,141470.95622,58620.255,,20887.97481,-668.89,51821.98826,1294.8568,1161.38416,3091.00435,1291.13833,7400.40308,1641.41182,290559.91417,6895.28552,1145.29713,56.90189,1345.23234
2004-05-01,157016.37723,64917.412,,24019.71812,-688.911,62021.80807,1701.65148,1207.53632,2989.1925,1359.19063,8511.14429,1724.78582,327380.26364,7339.34665,1216.1401,81.77573,1302.44235
2004-06-01,167641.90627,67734.073,,25252.34503,-718.404,64685.66904,1397.20574,1224.70242,3082.52886,1305.8243,9184.84892,1656.56661,345085.07883,7098.13732,1216.67513,87.876,1333.2615
2004-07-01,181491.82062,71975.04,,23318.27953,-693.449,79290.02224,1164.37009,1277.53072,3416.47224,1326.58218,10336.62513,1761.16692,377331.69713,7267.05776,1301.09955,82.10253,1284.03439
2004-08-01,178181.34259,71068.483,,21591.96742,-817.999,77820.68835,1050.71885,1257.16271,3317.35079,1328.5582,9184.66583,1893.46788,368439.03706,7026.63655,1199.76914,72.846,1290.01531
2004-09-01,164252.92334,65932.057,,20525.26137,-769.637,67853.99334,1089.61523,1188.38333,3119.41557,1238.51804,7070.2581,1606.86725,335622.19789,6696.56386,1112.9346,60.63169,1340.97603
2004-10-01,157605.0954,62530.352,,18862.7954,-703.186,57228.81399,1028.87272,1276.3491,3263.62313,1248.3871,5927.79314,1738.40839,312450.22288,6850.75314,1140.76202,33.52109,1268.63542
2004-11-01,157435.99421,58940.863,,20937.04438,-664.846,49693.03398,932.203,1212.01288,3074.16534,1257.97685,5270.17006,1604.26829,302101.2562,6491.69963,1177.43328,15.34157,1215.59538
2004-12-01,176755.20145,68616.627,,26210.71849,-649.768,51309.56547,1172.00867,1256.00857,3301.61455,1286.95044,8197.2041,1903.2766,341947.96342,7024.34,1375.93036,7.75776,1204.86796
2005-01-01,177013.90662,69828.239,,24272.16485,-725.38707,51337.62707,1131.5685,1252.14421,3333.07625,1278.34692,10261.23399,1928.9444,343121.45336,7003.80341,1074.7305,8.66754,1126.19059
2005-02-01,155818.01413,60946.934,,21606.77394,-345.60763,44912.61665,966.48178,1063.01417,3055.29504,1123.40741,5574.51635,1739.99395,298500.31558,6221.27994,949.74373,13.08154,1076.05054
2005-03-01,163612.7005,61538.53,,22936.06749,-496.88857,51896.97271,1560.62565,1204.25234,3287.71741,1277.92853,6472.38527,1879.51516,317458.27645,7368.68101,1035.82594,38.15709,1214.48693
2005-04-01,143083.23903,55484.01,,23058.35863,-337.53828,52016.28598,1697.5037,1187.13448,3035.54666,1222.54168,5272.94654,1679.20601,289562.39987,7200.98977,983.44359,58.26325,1121.45859
2005-05-01,153957.96154,62970.464,,27278.51096,-466.25415,54826.00402,1746.42955,1264.30849,3100.69679,1351.15214,4823.02614,1890.89235,315062.10994,7543.73968,1046.46208,81.15271,1191.30332
2005-06-01,174866.99726,66144.275,,26782.98993,-414.6149,75635.49254,1796.92435,1248.05606,3173.50483,1329.13436,8740.41563,2043.44351,363671.63602,7636.09584,1087.40161,88.47625,1149.1396
2005-07-01,186090.75719,71070.011,,25956.84152,-624.66248,96819.41031,1420.94183,1272.69735,3417.44487,1381.22703,11038.50851,1994.73421,402273.84646,7564.64011,1202.72402,72.32901,1160.88207
2005-08-01,187573.75443,71381.55,,21565.67882,-623.0971,100786.65435,1138.03152,1253.78501,3420.41437,1348.02545,12413.62667,2113.89229,404940.68107,7236.10184,1320.7084,75.84548,1171.81137
2005-09-01,171656.21549,66738.979,,17363.68401,-680.14366,73355.48269,1468.34696,1222.65936,3258.783,1283.00703,10452.12894,1827.02153,350217.80051,7293.90405,1065.25224,61.1077,1145.27623
2005-10-01,162436.79301,61235.597,,18006.36026,-611.20958,55940.88089,1446.18982,1247.2035,3245.60966,1205.37626,8385.09832,1792.87305,316397.92361,7182.04439,949.41887,37.66515,1080.0674
2005-11-01,158797.52701,62912.709,,19352.66779,-554.2095,49440.22594,1609.69148,1219.61037,3189.8503,1290.20965,5199.14046,1668.3017,306115.23623,7322.11699,1011.56706,12.7552,965.18977
2005-12-01,177965.17958,71735.067,,22141.15675,-678.17506,53992.60122,1827.81389,1256.87987,3338.47745,1330.03656,11206.57941,1826.5925,348101.07055,7756.00119,1093.78087,2.79342,1062.28709
2006-01-01,169236.08057,71911.532,,27436.65597,-532.829,43806.92078,2382.63335,1229.56684,3421.61326,1388.23414,4245.7326,1890.22401,328657.73849,8434.98289,1071.55049,12.9353,1156.88819
2006-02-01,158616.18891,62615.654,,24761.68318,-446.518,47408.9894,1921.95844,1110.81709,3051.35954,1270.35046,3256.77507,1666.65215,307333.43003,7374.01837,966.21334,19.53284,1113.77361
2006-03-01,161325.11525,63720.849,,24624.60881,-435.173,54921.74189,2358.63174,1261.29007,3201.38797,1344.34039,2406.84382,1606.6201,318729.79961,8199.05401,1126.627,33.40385,1233.51274
2006-04-01,141426.23364,57567.204,,28555.68297,-587.331,56090.85628,2471.76225,1129.0892,2980.11613,1226.9033,3039.43632,1650.71851,297858.07754,7859.9452,1075.31003,52.07432,1180.02159
2006-05-01,157009.75508,62775.701,,30818.44294,-444.378,65585.60534,2458.6826,1095.60204,3039.29585,1371.35452,2901.98106,1517.9062,330615.57003,8035.67013,1119.4422,70.73512,1295.44408
2006-06-01,169693.4782,68391.472,,29757.28409,-423.163,81060.20993,2051.76563,1199.17681,3133.7702,1328.03867,4060.09234,1706.35326,364259.79756,7782.45339,1064.55048,69.70207,1167.06688
2006-07-01,187820.87151,72186.494,,25439.39237,-637.767,108093.51438,1955.06423,1261.35243,3444.30914,1399.06519,5120.68729,1881.39068,410420.79333,8121.4469,1127.47943,61.65591,1267.28377
2006-08-01,189454.92967,72016.095,,21728.3537,-694.881,106591.66595,1655.18688,1288.95901,3477.91332,1388.88808,6571.2996,1788.39533,407762.53636,7893.94045,1121.14596,82.99316,1291.59171
2006-09-01,161590.35416,66642.327,,17201.46086,-628.94,72673.34798,1879.14378,1219.45836,3260.16943,1307.63211,3043.47939,1601.8931,332055.32084,7720.3939,1058.12071,53.99022,1152.88373
2006-10-01,161389.65914,57509.306,,17055.17699,-506.995,70640.03895,2442.12988,1275.22675,3212.56903,1332.48449,3354.24077,1538.36894,321567.09131,8294.69361,1107.20966,32.28346,1185.39225
2006-11-01,159439.51728,61392.321,,20271.72257,-552.544,53439.69272,2540.48864,1207.43844,3181.93091,1358.82187,3354.81767,1392.0451,309158.82642,8304.36634,1052.28651,15.68648,1064.60122
2006-12-01,173508.95112,70489.681,,21595.95122,-667.323,56128.18599,2471.68958,1290.05196,3357.66128,1382.41136,3104.79224,1465.66845,336283.2459,8504.52746,1084.46331,2.71328,1068.34811
2007-01-01,175739.4377,74006.184,,26044.71053,-571.563,61474.53193,2452.31464,1295.61731,3536.10795,1370.71192,4420.48901,1573.67882,353531.09477,8667.59346,1021.91347,12.84165,1154.11886
2007-02-01,163602.81256,65224.794,,18566.63325,-446.964,57622.07125,2519.79285,1122.48999,3015.12684,1200.21349,7596.2205,1287.45366,323230.39483,7876.86761,919.10115,19.24445,981.40486
2007-03-01,159811.07388,64305.153,,24163.45595,-458.17,56203.82094,3047.09243,1204.12967,3105.69542,1373.07007,4118.28714,1297.35634,320471.24253,8778.47553,1017.89924,48.48795,1233.89052
2007-04-01,146249.54121,57301.424,,23890.58301,-373.845,60152.84758,3171.70315,1157.97515,3055.23878,1253.62091,3830.21239,1250.07723,303129.0636,8693.00233,972.12865,54.46434,1163.09222
2007-05-01,157513.28116,65024.555,,26046.97643,-546.955,66469.7005,2952.34063,1154.70788,3081.02653,1348.72034,3489.21301,1384.23038,330202.75802,8620.98714,1026.19628,84.19176,1174.57314
2007-06-01,173512.88404,68923.074,,22816.60812,-522.707,81511.45079,2620.41645,1238.17806,3213.44072,1392.43572,4213.35391,1563.69097,362754.87722,8548.92922,1033.90259,84.45828,1153.69057
2007-07-01,185053.78761,72738.535,,22477.76053,-594.694,97482.67572,2158.37244,1250.38243,3433.63521,1443.05645,4125.2084,1368.58676,393226.43225,8371.23945,1049.2055,85.79293,1154.12728
2007-08-01,190134.81633,72750.91,,19940.55104,-650.678,121338.42663,2699.36469,1254.57757,3426.03512,1439.53885,5701.55704,1485.06436,421796.65927,8894.67965,1069.68222,75.16342,1131.65
2007-09-01,169391.27283,67578.578,,14742.53418,-743.432,88531.61471,2866.72155,1217.72635,3289.76167,1400.20473,3647.26729,1288.51825,355393.91186,8842.62655,995.1966,68.21225,1119.73545
2007-10-01,162234.35613,61689.542,,14796.43375,-760.235,78358.02381,3376.54028,1264.54625,3245.60059,1425.64801,3558.35696,1188.51717,332615.41638,9361.56781,1055.30435,49.23269,1133.54941
2007-11-01,159382.45455,64899.278,,15682.053,-661.727,60636.79925,3095.03643,1210.97304,3273.31802,1425.13081,2001.45161,1135.01549,314102.5426,9028.75999,967.24564,24.30171,1031.21207
2007-12-01,173829.86553,71982.726,,18341.67452,-565.382,66807.82797,3490.23188,1265.90932,3339.03718,1452.20269,2802.90062,1412.27055,346290.33052,9552.78264,1103.35506,5.40157,1022.30963
2008-01-01,182875.5043,70734.57,,20779.13078,-745.514,72599.9011,4273.1854,1208.83801,3337.73883,1406.70765,3131.41753,1366.3988,362998.42904,10242.75916,951.09062,16.28927,1063.17076
2008-02-01,166666.35479,65130.385,,18788.8861,-451.129,60042.0118,3851.7487,1086.68291,3010.02584,1364.46101,2438.12292,1231.22126,325105.5971,9348.76005,938.6517,35.8416,972.33248
2008-03-01,160743.24304,64716.468,,21668.93847,-552.974,62170.57985,4782.01995,1250.80095,3123.21608,1472.45192,2112.22753,1039.27242,324629.84959,10703.08856,979.55367,74.59967,1049.45203
2008-04-01,146983.02391,57332.716,,22233.93205,-131.7,63046.09796,5225.28203,1218.1213,2929.93775,1503.51881,2274.40158,1126.0617,305865.03122,10971.00073,1008.26701,94.14084,1021.23029
2008-05-01,154915.90135,64825.901,,27221.14742,-586.857,62270.44712,5340.28392,1258.91536,2926.97762,1474.90846,2342.99412,1054.93348,325244.80192,11099.82949,1056.51372,98.74413,1043.99122
2008-06-01,171043.27903,70319.366,,29177.42712,-371.618,84619.97663,5140.3764,1260.30195,3114.10554,1501.88923,3707.2276,1254.73982,373109.02691,11144.83676,1081.60322,128.16363,1132.18873
2008-07-01,186733.45633,74318.27,,25555.08636,-799.08,100320.87805,4008.40059,1278.75428,3326.75191,1608.42546,2982.58689,1174.0127,402900.33624,10333.21035,1107.51572,110.87812,1174.39984
2008-08-01,180576.49295,72617.066,,21229.2774,-647.864,99673.49348,3264.40615,1272.71475,3342.44952,1529.49562,2547.14033,1263.68862,388986.71877,9514.34814,1066.13154,105.28212,1146.94431
2008-09-01,161356.34732,67053.867,,16178.19232,-517.254,79136.02998,3111.45182,1233.68699,3059.17108,1426.64382,2990.07066,1180.92408,338056.12999,8923.55057,931.44939,92.59686,822.95267
2008-10-01,151840.71519,62820.353,,15469.94246,-496.943,73283.33855,4756.40094,1276.85526,3063.95253,1489.61668,1943.14125,1342.98901,318547.34311,10647.06888,890.65962,60.24348,806.07814
2008-11-01,154281.19798,63408.145,,15667.93401,-489.183,61454.19852,4993.64564,1233.29176,3077.3951,1449.29333,2191.08432,1154.07672,310046.2412,10782.47354,875.36342,28.8477,720.9507
2008-12-01,167785.73046,72931.328,,20861.49062,-497.946,64363.64603,6615.89854,1261.01304,2988.13125,1506.34662,3257.01879,1136.85986,343898.25447,12390.07683,916.86518,18.68738,753.18471
2009-01-01,171925.15034,74102.489,,23490.29569,-501.48,66390.11321,5950.82465,1288.80999,3030.14106,1462.39925,4967.62648,1135.97979,354992.63621,11739.3651,936.35406,7.19014,806.74254
2009-02-01,140915.78476,64227.211,,17812.03175,-413.424,62138.85332,5852.17501,1167.77893,2822.82744,1357.45298,2267.04019,1050.6996,300887.39769,11230.67809,874.54406,30.44374,783.97894
2009-03-01,135530.3278,67240.567,,21827.45353,-314.985,68202.74331,7099.06292,1300.33544,2918.93479,1553.09164,2088.84828,1260.45324,310602.96381,12949.53168,983.55045,78.10689,834.47352
2009-04-01,125934.97312,59408.407,,25769.8074,-272.198,61158.67362,7457.69602,1222.10396,2664.37142,1542.33574,1658.29202,1148.3303,289537.25513,12985.92322,987.17143,99.41608,757.87503
2009-05-01,131673.05752,65395.452,,29559.65512,-348.823,68145.64662,6261.9611,1235.18623,2734.67679,1522.21899,2052.68618,1156.02059,311305.87215,11864.46773,1035.03322,110.42463,772.67616
2009-06-01,148086.77111,69734.736,,29233.39456,-226.41,84205.18154,5599.42191,1208.79898,2997.45172,1558.39733,2089.74207,1153.28959,347658.24126,11467.48249,1038.26725,103.41256,875.78664
2009-07-01,158233.86912,72948.979,,23384.74817,-491.31,101893.83251,4954.94132,1255.39976,3227.11799,1628.48273,2124.07288,1233.74956,372542.22554,11187.13007,1060.8958,121.18827,966.25844
2009-08-01,163260.48308,72244.597,,19580.41655,-612.532,109239.55406,5464.47362,1251.21853,3355.13523,1603.78017,2448.7294,1193.26569,381221.41693,11790.89806,1064.35894,116.29051,1011.64615
2009-09-01,137144.64798,65751.794,,17358.71392,-348.039,92126.61784,4650.70788,1216.78258,3060.66653,1501.26339,1677.05574,1175.97492,327400.61189,10524.41453,967.162,94.99416,1022.26996
2009-10-01,139955.57738,58020.927,,19691.06826,-385.127,72602.72548,6813.62592,1221.07897,3032.08616,1533.18567,1814.58979,745.52322,307040.34065,12668.07782,967.19089,68.10109,959.78783
2009-11-01,136809.57521,59069.208,,21007.70089,-329.53,63285.13196,6875.18302,1273.26451,3048.91116,1572.31225,1315.31373,756.97048,296634.66996,12810.0734,999.79423,40.40246,910.43205
2009-12-01,166434.03556,70710.218,,24729.80834,-383.487,71589.60705,6906.05833,1367.90014,3157.81799,1607.67579,1468.08459,954.17628,350507.29527,13060.66111,1014.01206,21.20887,930.17929
2010-01-01,173320.16091,72569.341,,22383.07243,-564.946,74172.73601,6854.33658,1311.83993,3126.16305,1502.76296,3186.85086,1161.34922,360957.16695,12804.96887,1014.24238,9.86635,909.39127
2010-02-01,153044.15909,65245.37,,20589.82989,-350.643,66198.08,5431.85793,1159.03753,2894.56439,1382.24081,1251.48313,1121.61447,319734.72667,10900.52455,909.15278,32.82389,825.15576
2010-03-01,144405.63319,64634.721,,20885.6628,-324.588,63430.66033,8589.07682,1306.59619,3090.27767,1591.66977,1272.15985,1198.05236,312167.64032,14653.61964,1002.04454,75.9992,1009.67461
2010-04-01,126951.88534,57611.073,,19096.66257,-335.277,64644.025,9764.45598,1240.25113,2932.09503,1558.14735,1219.50842,1066.84228,287800.22656,15607.22887,995.6531,112.2794,942.62498
2010-05-01,143272.49362,66658.365,,25079.21697,-440.745,73665.43824,8697.52487,1310.54838,2892.94844,1576.62894,1850.89495,1143.12505,327936.49155,14630.82261,1059.66655,153.17199,1017.21356
2010-06-01,165491.48889,68301.32156,,29853.82693,-471.738,92268.43063,8049.02142,1263.67554,3093.70551,1626.76494,2655.98851,1333.2633,375759.47838,14209.22031,1153.39257,176.0529,964.2837
2010-07-01,179600.4991,71913.468,,24516.76133,-557.093,114624.20192,6723.89118,1273.61621,3308.17437,1640.07324,2970.25821,1441.12614,409725.44035,13107.1365,1146.0121,161.38151,963.07006
2010-08-01,177745.32008,71574.103,,20119.23218,-600.278,121151.26856,6685.85505,1296.91198,3318.72602,1642.19083,2418.53603,1156.92561,408884.15537,13100.07661,1158.06188,156.39274,1060.90942
2010-09-01,148745.67169,69371.195,,17265.20646,-421.284,93004.17649,7105.5022,1252.56923,3157.07055,1574.68735,1675.06012,1107.62165,346045.17182,13227.41046,1116.42243,137.58114,953.69152
2010-10-01,132269.83506,62750.833,,17682.97635,-437.7,77738.33651,7943.80761,1221.9998,3002.77009,1547.06346,1220.95125,1006.60577,307920.69056,13791.0768,1089.84037,75.43584,807.93546
2010-11-01,135185.04538,62655.206,,19561.55003,-466.993,69226.55984,9747.6191,1252.33032,3080.20459,1625.33814,1219.80857,859.63331,306009.62912,15782.28754,1079.39328,76.79539,907.13817
2010-12-01,167258.08616,73683.304,,23169.07145,-529.847,77573.32016,9059.29736,1329.8369,3275.45996,1649.63888,2395.0238,1128.33041,362119.08129,15358.63431,1131.45958,44.40122,951.69841
2011-01-01,170802.67931,72742.813,,25531.09446,-659.19352,74254.33381,8550.4948,1346.94451,3289.92624,1514.83835,1902.14337,1554.96503,362871.89295,14741.98548,1071.28385,39.78157,929.78817
2011-02-01,138311.15723,64789.078,,24131.22605,-412.64867,65923.98289,10451.5619,1215.00579,2937.02878,1426.67176,1217.28048,1216.87903,313126.60705,16115.56676,1026.61055,85.29854,807.47474
2011-03-01,134845.23138,65661.598,,31134.47075,-348.69186,65947.12043,10544.64605,1337.48421,3080.55062,1565.03132,1276.12369,1416.33908,318709.9409,16650.01181,1182.39316,122.29961,945.34447
2011-04-01,124488.2575,54547.338,,31194.3065,-465.58881,70028.99891,12421.65683,1239.06347,2797.96143,1502.5435,1458.81047,964.96645,302400.72444,18125.23146,1140.86791,164.00623,917.53607
2011-05-01,137101.56497,57012.914,,32586.92609,-416.90794,75242.79679,11772.16075,1317.54765,2794.34203,1563.17921,1355.79471,1022.67916,323628.23805,17637.89875,1209.93024,190.66911,874.64129
2011-06-01,158055.21258,65270.134,,32151.21433,-567.0878,90691.11156,10985.06912,1214.56234,3230.06149,1631.6573,1374.12474,1219.59032,367727.015,17284.12333,1235.80409,222.77309,1012.78786
2011-07-01,176585.81965,72344.85,,31284.63456,-707.66208,119623.59113,7488.62905,1269.03963,3361.93444,1689.74039,1714.3883,1439.67826,418692.75464,14000.44504,1308.96688,191.10153,1098.04289
2011-08-01,171280.53388,71338.566,,25763.57824,-692.3285,119855.79257,7473.59402,1274.63164,3383.75594,1692.39314,1294.93972,1299.36909,406511.31471,14053.53748,1230.17877,229.16273,1087.14745
2011-09-01,140941.1491,66848.854,,21377.59172,-583.39179,91739.07009,6869.0293,1225.54721,3178.46402,1589.08752,1118.53975,1305.32063,337931.3176,13047.84788,1131.84067,185.71984,1004.49555
2011-10-01,126626.97282,63336.97,,19787.38961,-600.54202,78819.20708,10525.42896,1280.62826,2953.91094,1630.96988,1114.3227,947.75333,308698.50358,16549.79798,1175.56591,158.85995,941.06616
2011-11-01,121462.71077,64473.88,,20680.52743,-457.75403,75441.29818,12438.55312,1271.21847,3087.88791,1684.40199,1081.72755,700.87384,304102.15444,18589.43134,1186.60316,107.36985,942.8562
2011-12-01,132928.71614,71837.372,,23731.94371,-508.71899,86121.62582,10655.77473,1324.39482,3353.24295,1731.24885,1178.19572,1007.43966,335740.46276,17185.31496,1253.55427,120.6536,1005.01948
2012-01-01,129090.98981,72381.186,,23107.14392,-348.46486,90760.88378,13630.85627,1263.25221,3313.68219,1601.14902,1180.24823,1296.97279,339526.48011,19904.25954,1136.66182,95.31986,1016.59907
2012-02-01,113872.04689,63847.023,,20283.9644,-236.65968,90609.78234,11051.71417,1193.3295,3111.4547,1503.97599,907.44031,994.09292,309389.43252,16995.7147,1071.79506,135.24034,1044.2326
2012-03-01,105525.54678,61728.613,,25906.63425,-280.70052,92250.65327,14027.34496,1285.14948,3033.9848,1623.46655,971.20547,570.1245,309089.55207,20201.17419,1140.02955,231.22839,1076.27159
2012-04-01,96285.44067,55870.931,,26295.39842,-265.27339,94828.59637,12709.03261,1248.29925,2703.90679,1583.23404,965.44819,537.7796,295229.20493,18563.196,1090.47325,318.72331,1057.21482
2012-05-01,115982.64658,62081.445,,28641.31224,-370.7776,107351.81228,12540.32427,1303.9955,2937.31562,1653.68301,1078.4832,651.24738,336516.15597,18897.91524,1199.93588,462.59684,1002.13579
