date,All
2005-04-01,1.4713476687065574
2005-05-01,1.425116423842443
2005-06-01,1.210588354203949
2005-07-01,0.9753759575691653
2005-08-01,0.682738864647936
2005-09-01,0.8290047806724635
2005-10-01,1.1006673427700047
2005-11-01,1.7042126246820037
2005-12-01,2.4244207567064504
2006-01-01,3.423501515299858
2006-02-01,3.9850517989545935
2006-03-01,3.540067523697051
2006-04-01,2.7133901450198636
2006-05-01,1.9783024502320945
2006-06-01,2.1756034542161538
2006-07-01,2.748030204775668
2006-08-01,3.2894377094698997
2006-09-01,3.4007729778415006
2006-10-01,3.2363356571410393
2006-11-01,2.8942188734482954
2006-12-01,2.296036402290391
2007-01-01,1.2426491056201416
2007-02-01,0.8111209623884638
2007-03-01,1.0567635455610607
2007-04-01,2.3057737448473725
2007-05-01,3.0287038063211944
